광역단체,기초단체,영화상영관코드,영화상영관명,총 스크린수,총 좌석수,필름 상영관수,2D 상영관수,3D 상영관수,4D 상영관수,IMAX 상영관수,상설여부,특별관운영여부,가입여부,전송사업자명,개관일,영업상태,운영형태,주소,전화번호,홈페이지
강원도,원주시,003208,롯데시네마 원주무실,8,"1,079",0,8,2,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2017-06-29,영업,직영,강원도 원주시 무실동 1857-2 번지,02-1544-8855,http://www.lottecinema.co.kr
울산시,북구,014017,CGV 울산신천,4,363,0,4,0,0,0,상설,,가입,CJ올리브네트웍스(주),2019-11-28,영업,직영,울산광역시 북구 신천동 51 번지 신천CGV LEEPLEX 6층,,
경기도,오산시,002253,CGV 오산중앙,8,566,0,8,0,0,0,상설,,가입,CJ올리브네트웍스(주),2019-11-21,영업,위탁,경기도 오산시 원동 124-3 번지,,
대전시,서구,013035,롯데시네마 대전관저,7,"1,067",0,7,0,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2019-11-21,영업,직영,대전광역시 서구 관저동 1735 번지 디펠리체 5층 롯데시네마,010-9240-0201,http://www.lottecinema.co.kr
경기도,수원시,002116,CGV 동수원,8,"1,370",0,8,4,1,0,상설,,가입,CJ올리브네트웍스(주),2006-09-20,영업,직영,"경기도 수원시 팔달구 인계동 1113-11 번지 (인계동, 씨네파크 7층)",1544-1122,http://www.cgv.co.kr/
서울시,중구,001163,CGV 명동역 씨네라이브러리,6,797,2,5,2,0,0,상설,,가입,CJ올리브네트웍스(주),2010-08-19,영업,직영,서울특별시 중구 충무로2가 65-9 번지 하이해리엇 10층,1544-1122,http://www.cgv.co.kr
부산시,기장군,011063,CGV 정관,9,654,0,9,1,0,0,상설,,가입,CJ올리브네트웍스(주),2017-12-21,영업,위탁,부산광역시 기장군 정관읍 717-6 번지 조은플러스 10층 CGV,051-717-3850,
경기도,화성시,002250,CGV 화성봉담,4,379,0,4,0,0,0,상설,,가입,CJ올리브네트웍스(주),2019-08-14,영업,위탁,경기도 화성시 봉담읍 564 번지 2층 221호(프리미엄원희캐슬봉담 ),,
서울시,중구,001066,대한극장(서울),12,"2,784",0,11,3,0,0,상설,,가입,맥스무비(주),2001-12-15,영업,직영,서울특별시 중구 필동2가 19-1 번지,02-3393-3500,http://www.daehancinema.com
서울시,성동구,001274,메가박스 성수점,7,"1,041",0,0,0,0,0,상설,,가입,메가박스(주),2019-11-08,영업,직영,서울특별시 성동구 성수동1가 656-335 번지,02-1544-0070,http://www.megabox.co.kr/
경상북도,구미시,006079,롯데시네마 프리미엄구미센트럴,7,759,0,7,1,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2018-08-08,영업,위탁,경상북도 구미시 원평동 147-9 번지 5층 롯데시네마 사무실,1544-8855,
대구시,중구,012020,CGV 대구,13,"2,156",0,12,5,1,1,상설,,가입,CJ올리브네트웍스(주),2007-09-12,영업,직영,대구광역시 중구 사일동 15-1 번지 5층~9층,1544-1122,http://www.cgv.co.kr
경기도,안양시,002179,CGV 평촌,10,"1,391",0,10,3,0,0,상설,,가입,CJ올리브네트웍스(주),2014-06-03,영업,직영,경기도 안양시 동안구 관양동 1606 번지 8층,1544-1122,http://www.cgv.co.kr/
강원도,춘천시,003039,CGV 춘천,12,"1,789",0,14,4,0,1,상설,,가입,CJ올리브네트웍스(주),2008-02-28,영업,직영,강원도 춘천시 퇴계동 1017 번지,1544-1122,www.cgv.co.kr
충청북도,청주시,004017,CGV 청주(서문),10,"2,027",0,10,2,0,0,상설,,가입,CJ올리브네트웍스(주),2007-10-09,영업,직영,충청북도 청주시 상당구 서문동 29-2 번지,1544-1122,http://www.cgv.co.kr/
서울시,서대문구,001205,CGV 신촌아트레온,10,"1,561",0,10,5,1,0,상설,,가입,CJ올리브네트웍스(주),2013-06-21,영업,직영,서울특별시 서대문구 창천동 20-25 번지,1544-1122,
부산시,사하구,011053,CGV 하단아트몰링,7,888,0,7,1,0,0,상설,,가입,CJ올리브네트웍스(주),2017-03-03,영업,위탁,부산광역시 사하구 하단동 526-6 번지 하단동 CGV하단,,
서울시,마포구,001272,메가박스 홍대,5,726,0,0,0,0,0,상설,,가입,메가박스(주),2019-09-25,영업,직영,서울특별시 마포구 동교동 160-4 번지,02-1544-0070,http://www.megabox.co.kr/
부산시,부산진구,011067,CGV 서면삼정타워,8,"1,244",0,8,8,0,0,상설,,가입,CJ올리브네트웍스(주),2019-07-04,영업,위탁,,,
충청북도,충주시,004047,롯데시네마 충주,5,746,0,5,1,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2019-09-19,영업,위탁,,,
서울시,성북구,001273,씨네큐 성신여대입구,2,214,0,0,0,0,0,상설,,가입,(주)넥스트엔터테인먼트월드,,영업,위탁,,02-925-9300,
대구시,동구,012033,CGV 이시아폴리스,7,516,0,7,3,0,0,상설,,가입,CJ올리브네트웍스(주),2011-04-30,영업,위탁,대구광역시 동구 봉무동 1545 번지,1544-1122,http://www.cgv.co.kr
서울시,용산구,001088,CGV 용산아이파크몰,21,"5,226",0,18,6,1,1,상설,,가입,CJ올리브네트웍스(주),2004-10-08,영업,직영,서울특별시 용산구 한강로3가 40-999 번지 아이파크몰 6층,1544-1122,http://www.cgv.co.kr/
