순번,영화명,감독,제작사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
1,극한직업,이병헌,"(주)어바웃필름,영화사 해그림 주식회사,씨제이이앤엠(주)",씨제이이앤엠(주),2019.1.23,개봉영화,장편,한국,"1,978","139,647,979,516","16,264,944","31,858,660,536","3,638,287",코미디,15세이상관람가,일반영화
2,신과함께-죄와 벌,김용화,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",롯데쇼핑㈜롯데엔터테인먼트,2017.12.20,개봉영화,장편,한국,"1,912","115,698,654,137","14,410,754","27,530,825,087","3,346,172",판타지,12세이상관람가,일반영화
3,베테랑,류승완,"(주)외유내강,(주)필름케이",씨제이이앤엠(주),2015.8.5,개봉영화,장편,한국,"1,064","105,024,756,250","13,395,400","26,766,369,950","3,290,366",액션,15세이상관람가,일반영화
4,암살,최동훈,(주)케이퍼필름,(주)쇼박스,2015.7.22,개봉영화,장편,한국,"1,519","98,463,132,781","12,705,700","25,306,651,181","3,155,960",액션,15세이상관람가,일반영화
5,신과함께-인과 연,김용화,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",롯데컬처웍스(주)롯데엔터테인먼트,2018.8.1,개봉영화,장편,한국,"2,235","102,476,768,809","12,253,247","22,905,551,759","2,636,542",판타지,12세이상관람가,일반영화
6,택시운전사,장훈,더램프(주),(주)쇼박스,2017.8.2,개봉영화,장편,한국,"1,906","95,284,747,049","12,099,971","22,186,916,199","2,729,932",드라마,15세이상관람가,일반영화
7,부산행,연상호,(주)영화사레드피터,(주)넥스트엔터테인먼트월드(NEW),2016.7.20,개봉영화,장편,한국,"1,788","93,175,877,048","11,565,078","23,020,827,248","2,754,686",액션,15세이상관람가,일반영화
8,기생충,봉준호,(주)바른손이앤에이,씨제이이앤엠(주),2019.5.30,개봉영화,장편,한국,"1,948","85,873,327,245","10,083,922","23,435,560,515","2,691,955",드라마,15세이상관람가,일반영화
9,검사외전,이일형,"(주)영화사 월광,(주)사나이픽처스",(주)쇼박스,2016.2.3,개봉영화,장편,한국,"1,812","77,252,755,264","9,699,092","18,302,525,664","2,219,587",범죄,15세이상관람가,일반영화
10,엑시트,이상근,"(주)외유내강,(주)필름케이",씨제이이앤엠(주),2019.7.31,개봉영화,장편,한국,"1,660","79,185,559,662","9,418,686","18,525,571,852","2,132,093",코미디,12세이상관람가,일반영화
11,공조,김성훈,"(주)제이케이필름,씨제이이앤엠(주),영화사 이창,(주)에이치비엔터테인먼트",씨제이이앤엠(주),2017.1.18,개봉영화,장편,한국,976,"63,781,731,326","7,817,446","14,672,808,676","1,744,624",액션,15세이상관람가,일반영화
12,히말라야,이석훈,(주)제이케이필름,씨제이이앤엠(주),2015.12.16,개봉영화,장편,한국,"1,009","60,173,583,015","7,759,473","13,920,553,930","1,738,016",드라마,12세이상관람가,일반영화
13,밀정,김지운,"(주)다크서클픽쳐스,워너브러더스 코리아(주),(주)영화사하얼빈",워너브러더스 코리아(주),2016.9.7,개봉영화,장편,한국,"1,444","61,158,644,831","7,487,545","15,436,298,021","1,827,424",액션,15세이상관람가,일반영화
14,1987,장준환,(주)우정필름,씨제이이앤엠(주),2017.12.27,개봉영화,장편,한국,"1,299","58,165,581,145","7,231,638","14,638,920,495","1,776,877",드라마,15세이상관람가,일반영화
15,마스터,조의석,영화사 집,씨제이이앤엠(주),2016.12.21,개봉영화,장편,한국,"1,501","58,067,927,865","7,150,541","14,520,299,965","1,731,940",액션,15세이상관람가,일반영화
16,터널,김성훈,"(주)어나더썬데이,(주)비에이엔터테인먼트",(주)쇼박스,2016.8.10,개봉영화,장편,한국,"1,105","57,510,324,417","7,118,592","14,121,558,017","1,675,010",드라마,12세이상관람가,일반영화
17,내부자들,우민호,(유)내부자들 문화전문회사,(주)쇼박스,2015.11.19,개봉영화,장편,한국,"1,075","56,596,582,057","7,071,763","16,340,245,357","1,972,885",범죄,청소년관람불가,일반영화
18,인천상륙작전,이재한,(주)태원엔터테인먼트,씨제이이앤엠(주),2016.7.27,개봉영화,장편,한국,"1,049","55,101,410,303","7,049,643","11,459,996,563","1,427,944",전쟁,12세이상관람가,일반영화
19,럭키,이계벽,(주)용필름,(주)쇼박스,2016.10.13,개봉영화,장편,한국,"1,158","56,361,435,256","6,965,706","13,812,629,836","1,640,015",코미디,15세이상관람가,일반영화
20,곡성,나홍진,"(주)사이드미러,이십세기폭스 인터내셔널 프로덕션",이십세기폭스코리아(주),2016.5.12,개봉영화,장편,한국,"1,485","55,853,108,382","6,878,264","15,445,041,342","1,829,923",미스터리,15세이상관람가,일반영화
21,범죄도시,강윤성,"(주)홍필름,(주)비에이엔터테인먼트","메가박스중앙(주)플러스엠,(주)키위미디어그룹",2017.10.3,개봉영화,장편,한국,"1,315","56,077,813,249","6,851,297","14,046,905,449","1,670,254",범죄,청소년관람불가,일반영화
22,군함도,류승완,"(주)외유내강,(주)필름케이",씨제이이앤엠(주),2017.7.26,개봉영화,장편,한국,"2,027","50,510,565,168","6,592,151","11,091,878,868","1,398,649",액션,15세이상관람가,일반영화
23,사도,이준익,(주)타이거픽쳐스,(주)쇼박스,2015.9.16,개봉영화,장편,한국,"1,210","48,842,902,501","6,246,849","12,987,928,301","1,606,486",사극,12세이상관람가,일반영화
24,연평해전,김학순,(주)로제타시네마,(주)넥스트엔터테인먼트월드(NEW),2015.6.24,개봉영화,장편,한국,"1,013","45,560,620,330","6,043,458","9,906,059,630","1,265,879",드라마,12세이상관람가,일반영화
