상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,좌석수
2019-03-26,01관,"22:00,  킹콩(필름)",,,,,,,89
2019-03-26,02관,"22:00,  킹콩(필름)",,,,,,,47
2019-03-27,01관,"12:00,  캡틴 마블(디지털)",,,,,,,89
2019-03-27,02관,"22:00,  킹콩(필름)",,,,,,,47
2019-03-28,01관,,,,,,"23:58,  캡틴 마블(디지털)",,89
2019-03-29,01관,,,,"21:00,  악질경찰(디지털),  6,000원",,"23:59,  돈(디지털),  6,000원",,89
2019-03-29,02관,,,,"19:25,  돈(디지털),  6,000원","21:40,  캡틴 마블(디지털),  6,000원",,,47
2019-03-30,01관,"10:15,  돈(디지털),  6,000원","13:00,  돈(디지털),  6,000원","15:15,  악질경찰(디지털),  6,000원","17:40,  돈(디지털),  6,000원","19:50,  악질경찰(디지털),  6,000원","22:15,  돈(디지털),  6,000원",,89
2019-03-30,02관,"10:30,  캡틴 마블(디지털),  6,000원","13:10,  캡틴 마블(디지털),  6,000원","15:40,  캡틴 마블(디지털),  6,000원","18:05,  캡틴 마블(디지털),  6,000원","20:40,  캡틴 마블(디지털),  6,000원",,,47
2019-03-31,01관,"10:15,  돈(디지털),  6,000원","13:00,  돈(디지털),  6,000원","15:15,  악질경찰(디지털),  6,000원","17:40,  돈(디지털),  6,000원","19:50,  악질경찰(디지털),  6,000원","22:15,  돈(디지털),  6,000원",,89
2019-03-31,02관,"10:30,  캡틴 마블(디지털),  6,000원","13:10,  캡틴 마블(디지털),  6,000원","15:40,  캡틴 마블(디지털),  6,000원","18:05,  캡틴 마블(디지털),  6,000원","20:40,  캡틴 마블(디지털),  6,000원",,,47
2019-04-01,01관,"09:50,  돈(디지털),  6,000원","12:05,  악질경찰(디지털)","14:35,  돈(디지털),  6,000원","16:50,  악질경찰(디지털),  6,000원","19:20,  돈(디지털),  6,000원","21:35,  악질경찰(디지털)",,89
2019-04-01,02관,"10:30,  캡틴 마블(디지털),  6,000원","12:50,  캡틴 마블(디지털)","15:45,  악질경찰(디지털),  6,000원","18:30,  캡틴 마블(디지털),  6,000원","20:50,  악질경찰(디지털),  6,000원",,,47
2019-04-02,01관,"09:50,  돈(디지털)","12:05,  악질경찰(디지털)","14:35,  돈(디지털),  6,000원","16:50,  악질경찰(디지털),  6,000원","19:20,  돈(디지털),  6,000원","21:35,  악질경찰(디지털)",,89
2019-04-02,02관,"10:30,  캡틴 마블(디지털)","12:50,  캡틴 마블(디지털),  6,000원",,"18:30,  캡틴 마블(디지털)","20:50,  악질경찰(디지털),  6,000원",,,47
2019-04-03,01관,"10:25,  생일(디지털),  6,000원","13:00,  돈(디지털),  6,000원","15:15,  덤보(디지털더빙),  6,000원","17:25,  생일(디지털),  6,000원","19:40,  덤보(디지털더빙),  6,000원","21:50,  돈(디지털),  6,000원",,89
2019-04-03,02관,"09:40,  악질경찰(디지털)","12:10,  악질경찰(디지털),  6,000원","14:40,  악질경찰(디지털)","17:10,  악질경찰(디지털)","19:40,  악질경찰(디지털),  6,000원","22:10,  악질경찰(디지털)",,47
2019-04-04,01관,"10:25,  생일(디지털),  6,000원","13:00,  돈(디지털)","15:15,  덤보(디지털더빙),  6,000원","17:25,  생일(디지털),  6,000원","19:40,  덤보(디지털더빙),  6,000원","21:50,  돈(디지털)",,89
2019-04-04,02관,"09:40,  악질경찰(디지털),  6,000원","12:10,  악질경찰(디지털)","14:40,  악질경찰(디지털),  6,000원","17:10,  악질경찰(디지털)","19:40,  악질경찰(디지털)","22:10,  악질경찰(디지털)",,47
2019-04-05,01관,"10:00,  덤보(디지털더빙)","12:05,  덤보(디지털더빙)","14:20,  돈(디지털)","16:30,  돈(디지털)","18:50,  덤보(디지털더빙),  6,000원","21:00,  돈(디지털),  6,000원",,89
2019-04-05,02관,"10:25,  생일(디지털),  6,000원","12:40,  캡틴 마블(디지털)","15:00,  생일(디지털)","17:20,  생일(디지털),  6,000원","19:35,  생일(디지털),  6,000원","21:50,  생일(디지털)",,47
2019-04-06,01관,"10:00,  덤보(디지털더빙),  6,000원","12:05,  덤보(디지털더빙),  6,000원","14:20,  돈(디지털)","16:30,  돈(디지털),  6,000원","18:50,  덤보(디지털더빙),  6,000원","21:00,  돈(디지털),  6,000원",,89
2019-04-06,02관,"10:25,  생일(디지털)","12:40,  캡틴 마블(디지털),  6,000원","15:00,  생일(디지털),  6,000원","17:20,  생일(디지털),  6,000원","19:35,  생일(디지털),  6,000원","21:50,  생일(디지털),  6,000원",,47
2019-04-07,01관,"10:00,  덤보(디지털더빙)","12:05,  덤보(디지털더빙),  6,000원","14:20,  돈(디지털),  6,000원","16:30,  돈(디지털),  6,000원","18:50,  덤보(디지털더빙),  6,000원","21:00,  돈(디지털),  6,000원",,89
2019-04-07,02관,"10:25,  생일(디지털),  6,000원","12:40,  캡틴 마블(디지털),  6,000원","15:00,  생일(디지털),  6,000원","17:20,  생일(디지털),  6,000원","19:35,  생일(디지털),  6,000원","21:50,  생일(디지털),  6,000원",,47
2019-04-08,01관,"10:00,  덤보(디지털더빙)","12:05,  덤보(디지털더빙)","14:20,  돈(디지털),  6,000원","16:30,  돈(디지털)","18:50,  덤보(디지털더빙),  6,000원","21:00,  돈(디지털),  6,000원",,89
2019-04-08,02관,"10:25,  생일(디지털)","12:40,  캡틴 마블(디지털),  6,000원","15:00,  생일(디지털)","17:20,  생일(디지털),  6,000원","19:35,  생일(디지털),  6,000원","21:50,  생일(디지털)",,47
2019-04-09,01관,"10:00,  덤보(디지털더빙)","12:05,  덤보(디지털더빙)","14:20,  돈(디지털),  6,000원","16:30,  돈(디지털),  6,000원","18:50,  덤보(디지털더빙),  6,000원","21:00,  돈(디지털)",,89
2019-04-09,02관,"10:25,  생일(디지털),  6,000원","12:40,  캡틴 마블(디지털),  6,000원","15:00,  생일(디지털),  6,000원","17:20,  생일(디지털),  6,000원","19:35,  생일(디지털),  6,000원","21:50,  생일(디지털)",,47
2019-04-10,01관,"10:00,  덤보(디지털더빙)","12:05,  덤보(디지털더빙)","14:20,  돈(디지털),  6,000원","16:30,  돈(디지털)","18:50,  덤보(디지털더빙),  6,000원","21:00,  돈(디지털),  6,000원",,89
2019-04-10,02관,"10:25,  생일(디지털),  6,000원","12:40,  생일(디지털)","15:00,  생일(디지털),  6,000원","17:20,  생일(디지털)","19:35,  생일(디지털),  6,000원","21:50,  생일(디지털)",,47
2019-04-11,01관,"10:10,  헬보이(디지털)","13:00,  돈(디지털),  6,000원","15:30,  헬보이(디지털)","18:20,  헬보이(디지털),  6,000원","20:50,  돈(디지털),  6,000원",,,89
2019-04-11,02관,"10:30,  생일(디지털),  6,000원","13:10,  덤보(디지털더빙),  6,000원","15:40,  덤보(디지털더빙)","18:30,  생일(디지털)","21:10,  생일(디지털),  6,000원",,,47
