상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2018-01-30,01관,"11:00,  원더(디지털)","13:30,  메이즈 러너: 데스 큐어(디지털),  9,000원",,,,,,,,140
2018-01-30,02관,"12:00,  패딩턴 2(디지털)","14:20,  커뮤터(디지털),  9,000원","16:30,  더 포리너(디지털)",,,,,,,153
2018-01-30,03관,"11:10,  커뮤터(디지털),  6,000원","13:30,  라라랜드(디지털)","16:25,  메이즈 러너: 데스 큐어(디지털),  10,000원",,,,,,,151
2018-01-30,04관,"11:40,  그것만이 내 세상(디지털),  6,000원","14:30,  올 더 머니(디지털)","17:25,  코코(디지털),  10,000원",,,,,,,127
2018-01-30,05관,"12:10,  코코(디지털),  9,000원","15:00,  너의 췌장을 먹고 싶어(디지털)","17:30,  12 솔져스(디지털)",,,,,,,183
2018-01-31,01관,"11:15,  메이즈 러너: 데스 큐어(디지털),  6,000원","14:05,  염력(디지털),  9,000원","16:15,  코코(디지털),  10,000원","18:50,  염력(디지털),  5,000원","21:00,  염력(디지털),  7,000원","23:10,  염력(디지털),  9,000원",,,,140
2018-01-31,02관,"11:50,  12 솔져스(디지털),  8,000원","14:25,  12 솔져스(디지털),  9,000원","17:00,  12 솔져스(디지털),  6,000원","19:35,  12 솔져스(디지털),  7,000원","22:10,  12 솔져스(디지털),  9,000원",,,,,153
2018-01-31,03관,"10:40,  인시디어스4: 라스트 키(디지털),  6,000원","13:00,  코코(디지털),  9,000원","15:35,  인시디어스4: 라스트 키(디지털),  9,000원","17:55,  코코(디지털),  9,000원","20:30,  인시디어스4: 라스트 키(디지털),  6,000원","22:50,  인시디어스4: 라스트 키(디지털),  9,000원",,,,151
2018-01-31,04관,"10:50,  그것만이 내 세상(디지털),  6,000원","13:15,  커뮤터(디지털),  8,000원","15:25,  그것만이 내 세상(디지털),  9,000원","17:50,  메이즈 러너: 데스 큐어(디지털),  5,000원","20:40,  코코(디지털),  7,000원","23:15,  메이즈 러너: 데스 큐어(디지털),  9,000원",,,,127
2018-01-31,05관,"11:00,  염력(디지털),  7,000원","13:10,  염력(디지털),  9,000원","15:20,  염력(디지털),  9,000원","17:30,  염력(디지털),  5,000원","19:40,  염력(디지털),  9,000원","21:50,  염력(디지털),  10,000원",,,,183
2018-02-01,01관,"11:30,  메이즈 러너: 데스 큐어(디지털),  8,000원","14:20,  커뮤터(디지털),  9,000원","16:30,  염력(디지털),  10,000원","18:40,  염력(디지털),  10,000원","20:50,  염력(디지털),  10,000원","22:50,  염력(디지털),  9,000원",,,,140
2018-02-01,02관,"11:50,  올 더 머니(디지털),  8,000원","14:30,  12 솔져스(디지털),  9,000원","17:05,  올 더 머니(디지털),  10,000원","19:45,  12 솔져스(디지털),  10,000원","22:20,  12 솔져스(디지털),  9,000원",,,,,153
2018-02-01,03관,"10:30,  인시디어스4: 라스트 키(디지털),  6,000원","12:40,  인시디어스4: 라스트 키(디지털),  8,000원","14:50,  인시디어스4: 라스트 키(디지털),  9,000원","17:00,  인시디어스4: 라스트 키(디지털),  10,000원","19:35,  인시디어스4: 라스트 키(디지털),  10,000원","21:45,  인시디어스4: 라스트 키(디지털),  10,000원",,,,151
2018-02-01,04관,"10:50,  그것만이 내 세상(디지털),  9,000원","13:15,  코코(디지털),  9,000원","15:50,  그것만이 내 세상(디지털),  9,000원","18:15,  메이즈 러너: 데스 큐어(디지털),  10,000원","21:05,  코코(디지털),  10,000원",,,,,127
2018-02-01,05관,"11:00,  염력(디지털),  6,000원","13:10,  염력(디지털),  9,000원","15:20,  염력(디지털),  9,000원","17:30,  염력(디지털),  10,000원","19:40,  염력(디지털),  10,000원","21:50,  염력(디지털),  10,000원",,,,183
2018-02-02,01관,"11:45,  코코(디지털),  8,000원","14:20,  커뮤터(디지털),  11,000원","16:30,  염력(디지털),  11,000원","19:00,  염력(디지털),  11,000원","21:00,  올 더 머니(디지털),  11,000원","23:30,  염력(디지털),  11,000원",,,,140
2018-02-02,02관,"11:50,  12 솔져스(디지털),  11,000원","14:35,  12 솔져스(디지털),  11,000원","17:10,  올 더 머니(디지털),  11,000원","19:55,  12 솔져스(디지털),  11,000원","22:40,  12 솔져스(디지털),  11,000원",,,,,153
2018-02-02,03관,"10:30,  인시디어스4: 라스트 키(디지털)","12:40,  인시디어스4: 라스트 키(디지털)","14:50,  인시디어스4: 라스트 키(디지털),  11,000원","17:00,  인시디어스4: 라스트 키(디지털),  11,000원","19:30,  인시디어스4: 라스트 키(디지털),  11,000원","21:40,  인시디어스4: 라스트 키(디지털),  11,000원",,,,151
2018-02-02,04관,"10:45,  그것만이 내 세상(디지털),  9,000원","13:10,  코코(디지털),  11,000원","15:45,  그것만이 내 세상(디지털),  11,000원","18:10,  메이즈 러너: 데스 큐어(디지털),  11,000원","21:00,  코코(디지털),  11,000원","23:25,  인시디어스4: 라스트 키(디지털),  10,000원",,,,127
2018-02-02,05관,"11:00,  염력(디지털),  4,500원","13:15,  염력(디지털),  11,000원","15:30,  염력(디지털),  11,000원","17:45,  염력(디지털),  11,000원","20:00,  염력(디지털),  11,000원","22:15,  염력(디지털),  11,000원",,,,183
2018-02-03,01관,"11:30,  코코(디지털),  11,000원","14:00,  메이즈 러너: 데스 큐어(디지털),  11,000원","17:00,  코코(디지털),  11,000원","19:45,  염력(디지털),  11,000원","22:00,  메이즈 러너: 데스 큐어(디지털),  11,000원",,,,,140
2018-02-03,02관,"11:40,  12 솔져스(디지털),  7,000원","14:15,  그것만이 내 세상(디지털),  11,000원","16:40,  12 솔져스(디지털),  11,000원","19:15,  12 솔져스(디지털),  11,000원","22:00,  코코(디지털),  11,000원",,,,,153
2018-02-03,03관,"10:50,  인시디어스4: 라스트 키(디지털),  7,000원","13:20,  인시디어스4: 라스트 키(디지털),  11,000원","16:00,  염력(디지털),  11,000원","18:35,  인시디어스4: 라스트 키(디지털),  11,000원","20:45,  인시디어스4: 라스트 키(디지털),  11,000원","22:55,  인시디어스4: 라스트 키(디지털),  11,000원",,,,151
2018-02-03,04관,"10:45,  그것만이 내 세상(디지털),  9,000원","13:10,  커뮤터(디지털),  11,000원","15:30,  인시디어스4: 라스트 키(디지털),  11,000원","17:40,  올 더 머니(디지털),  11,000원","20:20,  코코(디지털),  11,000원","22:55,  올 더 머니(디지털),  11,000원",,,,127
2018-02-03,05관,"11:00,  염력(디지털),  9,000원","13:30,  염력(디지털),  11,000원","16:10,  염력(디지털),  11,000원","18:25,  염력(디지털),  11,000원","20:35,  염력(디지털),  11,000원","22:45,  염력(디지털),  11,000원",,,,183
2018-02-04,01관,"11:30,  코코(디지털),  7,000원","14:00,  코코(디지털),  11,000원","16:40,  코코(디지털),  11,000원","19:15,  코코(디지털),  11,000원","21:45,  코코(디지털),  11,000원",,,,,140
2018-02-04,02관,"11:40,  12 솔져스(디지털),  7,000원","14:15,  12 솔져스(디지털),  11,000원","17:10,  12 솔져스(디지털),  11,000원","19:45,  12 솔져스(디지털),  11,000원","22:20,  12 솔져스(디지털),  11,000원",,,,,153
2018-02-04,03관,"10:50,  인시디어스4: 라스트 키(디지털),  6,000원","13:20,  인시디어스4: 라스트 키(디지털),  11,000원","15:40,  인시디어스4: 라스트 키(디지털),  11,000원","17:50,  인시디어스4: 라스트 키(디지털),  11,000원","20:00,  인시디어스4: 라스트 키(디지털),  11,000원","22:10,  인시디어스4: 라스트 키(디지털),  11,000원",,,,151
2018-02-04,04관,"10:40,  그것만이 내 세상(디지털),  9,000원","13:05,  메이즈 러너: 데스 큐어(디지털),  11,000원","15:55,  그것만이 내 세상(디지털),  11,000원","18:25,  메이즈 러너: 데스 큐어(디지털),  11,000원","21:20,  올 더 머니(디지털),  11,000원",,,,,127
2018-02-04,05관,"11:00,  염력(디지털),  9,000원","13:30,  염력(디지털),  11,000원","16:10,  염력(디지털),  11,000원","18:50,  염력(디지털),  11,000원","21:00,  염력(디지털),  11,000원",,,,,183
2018-02-05,01관,"11:30,  코코(디지털),  8,000원","14:10,  코코(디지털),  9,000원","16:45,  코코(디지털),  10,000원","19:20,  코코(디지털),  10,000원","21:55,  코코(디지털),  10,000원",,,,,140
2018-02-05,02관,"11:15,  12 솔져스(디지털),  8,000원","13:50,  12 솔져스(디지털),  9,000원","16:30,  12 솔져스(디지털),  10,000원","19:10,  12 솔져스(디지털),  10,000원","21:45,  12 솔져스(디지털),  10,000원",,,,,153
2018-02-05,03관,"11:50,  커뮤터(디지털),  8,000원","14:00,  인시디어스4: 라스트 키(디지털),  9,000원","16:05,  인시디어스4: 라스트 키(디지털),  10,000원","18:10,  인시디어스4: 라스트 키(디지털),  10,000원","20:15,  인시디어스4: 라스트 키(디지털),  10,000원","22:20,  인시디어스4: 라스트 키(디지털),  6,000원",,,,151
2018-02-05,04관,"10:50,  그것만이 내 세상(디지털),  7,000원","13:10,  메이즈 러너: 데스 큐어(디지털),  9,000원","15:55,  그것만이 내 세상(디지털),  9,000원","18:30,  메이즈 러너: 데스 큐어(디지털),  10,000원","21:25,  올 더 머니(디지털),  10,000원",,,,,127
2018-02-05,05관,"11:00,  염력(디지털),  6,000원","13:20,  염력(디지털),  9,000원","15:30,  염력(디지털),  9,000원","17:40,  염력(디지털),  7,000원","19:50,  염력(디지털),  10,000원","22:05,  염력(디지털),  9,000원",,,,183
2018-02-06,01관,"11:30,  코코(디지털),  8,000원","14:10,  코코(디지털),  9,000원","16:45,  코코(디지털),  10,000원","19:20,  코코(디지털),  10,000원","21:55,  코코(디지털),  10,000원",,,,,140
2018-02-06,02관,"11:15,  12 솔져스(디지털),  8,000원","13:50,  12 솔져스(디지털),  9,000원","16:30,  12 솔져스(디지털),  10,000원","19:10,  12 솔져스(디지털),  10,000원","21:45,  12 솔져스(디지털),  10,000원",,,,,153
2018-02-06,03관,"11:50,  커뮤터(디지털),  0원","14:00,  인시디어스4: 라스트 키(디지털),  9,000원","16:05,  인시디어스4: 라스트 키(디지털),  10,000원","18:10,  인시디어스4: 라스트 키(디지털),  10,000원","20:15,  인시디어스4: 라스트 키(디지털),  10,000원","22:20,  인시디어스4: 라스트 키(디지털),  8,500원",,,,151
2018-02-06,04관,"10:50,  그것만이 내 세상(디지털),  6,000원","13:10,  메이즈 러너: 데스 큐어(디지털),  9,000원","15:55,  그것만이 내 세상(디지털),  9,000원","18:30,  메이즈 러너: 데스 큐어(디지털),  10,000원","21:25,  올 더 머니(디지털),  9,000원",,,,,127
2018-02-06,05관,"11:00,  염력(디지털),  6,000원","13:20,  염력(디지털),  9,000원","15:30,  염력(디지털),  9,000원","17:40,  염력(디지털),  10,000원","19:50,  염력(디지털),  10,000원","22:05,  염력(디지털)",,,,183
2018-02-07,01관,"11:30,  코코(디지털),  9,000원","14:05,  코코(디지털),  9,000원","16:40,  코코(디지털),  10,000원","19:15,  코코(디지털),  10,000원","21:50,  코코(디지털),  10,000원",,,,,140
2018-02-07,02관,"11:50,  12 솔져스(디지털),  9,000원","14:30,  12 솔져스(디지털),  9,000원","17:10,  12 솔져스(디지털),  10,000원","19:50,  12 솔져스(디지털),  10,000원","22:30,  12 솔져스(디지털),  9,000원",,,,,153
2018-02-07,03관,"11:00,  더 포리너(디지털),  6,000원","13:25,  인시디어스4: 라스트 키(디지털),  8,000원","15:35,  인시디어스4: 라스트 키(디지털),  9,000원","18:00,  그것만이 내 세상(디지털),  10,000원","20:25,  인시디어스4: 라스트 키(디지털),  10,000원","22:35,  인시디어스4: 라스트 키(디지털),  9,000원",,,,151
2018-02-07,04관,"10:45,  그것만이 내 세상(디지털),  6,000원","13:10,  더 포리너(디지털),  9,000원","15:35,  그것만이 내 세상(디지털),  9,000원","18:10,  메이즈 러너: 데스 큐어(디지털),  10,000원","21:00,  더 포리너(디지털),  7,000원",,,,,127
2018-02-07,05관,"10:50,  염력(디지털)","13:00,  염력(디지털),  8,000원","15:10,  염력(디지털),  9,000원","17:20,  올 더 머니(디지털),  10,000원","20:00,  젝스키스 에이틴(디지털),  9,000원","22:15,  염력(디지털),  8,000원",,,,183
2018-02-08,01관,"11:00,  염력(디지털),  6,000원","13:10,  12 솔져스(디지털),  9,000원","15:45,  염력(디지털),  9,000원","17:55,  12 솔져스(디지털),  10,000원","20:30,  젝스키스 에이틴(디지털),  10,000원","22:40,  12 솔져스(디지털),  9,000원",,,,140
2018-02-08,02관,"11:50,  패딩턴 2(디지털),  8,000원","14:05,  패딩턴 2(디지털),  8,000원","16:20,  터닝메카드W: 반다인의 비밀 특별판(디지털),  10,000원","18:05,  패딩턴 2(디지털),  10,000원","20:20,  패딩턴 2(디지털),  10,000원","22:35,  메이즈 러너: 데스 큐어(디지털),  9,000원",,,,153
2018-02-08,03관,"11:40,  더 포리너(디지털)","14:10,  인시디어스4: 라스트 키(디지털),  9,000원","16:30,  올 더 머니(디지털),  10,000원","19:20,  인시디어스4: 라스트 키(디지털),  10,000원","21:30,  더 포리너(디지털),  8,000원",,,,,151
