상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2017-09-29,01관,"14:00,  동주(디지털)","18:30,  특별시민(디지털)",,,,,,,,184
2017-09-29,02관,"14:00,  동주(디지털)","18:30,  특별시민(디지털)",,,,,,,,138
2017-09-29,03관,"15:00,  매직울프(디지털더빙)","18:00,  더 킹(디지털)",,,,,,,,120
2017-09-29,04관,"15:00,  매직울프(디지털더빙)","18:00,  더 킹(디지털)",,,,,,,,158
2017-09-29,05관,"16:00,  악녀(디지털)","19:00,  프리즌(디지털)",,,,,,,,184
2017-09-29,06관,"16:00,  악녀(디지털)","19:00,  프리즌(디지털)",,,,,,,,138
2017-09-29,07관,"17:00,  아빠는 딸(디지털)","19:30,  킬러의 보디가드(디지털)",,,,,,,,122
2017-09-29,08관,"17:00,  아빠는 딸(디지털)","19:30,  킬러의 보디가드(디지털)",,,,,,,,158
2017-09-30,01관,"08:10,  인생을 애니메이션처럼(디지털),  7,000원","10:10,  아이 캔 스피크(디지털),  11,000원","12:35,  아이 캔 스피크(디지털),  11,000원","15:00,  아이 캔 스피크(디지털),  11,000원","17:25,  아이 캔 스피크(디지털),  11,000원","19:50,  아이 캔 스피크(디지털),  10,000원","22:15,  아이 캔 스피크(디지털),  11,000원","24:40,  아이 캔 스피크(디지털),  6,000원",,184
2017-09-30,02관,"08:20,  아이 캔 스피크(디지털),  7,000원","10:45,  아이 캔 스피크(디지털),  10,000원","13:10,  아이 캔 스피크(디지털),  10,000원","15:35,  아이 캔 스피크(디지털),  11,000원","18:00,  아이 캔 스피크(디지털),  11,000원","20:25,  아이 캔 스피크(디지털),  11,000원","22:50,  아이 캔 스피크(디지털),  10,000원",,,138
2017-09-30,03관,"09:40,  레고 닌자고 무비(디지털더빙),  8,000원","11:45,  극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!(디지털더빙),  11,000원","13:45,  레고 닌자고 무비(디지털더빙),  11,000원","15:55,  극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!(디지털더빙),  11,000원","18:05,  살인자의 기억법(디지털),  11,000원","20:40,  킬러의 보디가드(디지털),  9,000원","23:05,  해피 버스데이(디지털),  6,000원",,,120
2017-09-30,04관,"09:10,  아이 캔 스피크(디지털),  9,000원","11:35,  아이 캔 스피크(디지털),  10,000원","14:00,  아이 캔 스피크(디지털),  11,000원","16:25,  아이 캔 스피크(디지털),  11,000원","18:50,  아이 캔 스피크(디지털),  11,000원","21:15,  아이 캔 스피크(디지털),  11,000원","23:40,  아이 캔 스피크(디지털),  6,000원",,,158
2017-09-30,05관,"10:00,  킹스맨: 골든 서클(디지털),  7,000원","12:45,  킹스맨: 골든 서클(디지털),  11,000원","15:30,  킹스맨: 골든 서클(디지털),  11,000원","18:15,  킹스맨: 골든 서클(디지털),  11,000원","21:00,  킹스맨: 골든 서클(디지털),  11,000원","23:50,  킹스맨: 골든 서클(디지털),  6,000원",,,,184
2017-09-30,06관,"08:40,  킹스맨: 골든 서클(디지털),  7,000원","11:25,  킹스맨: 골든 서클(디지털),  11,000원","14:10,  킹스맨: 골든 서클(디지털),  11,000원","16:55,  킹스맨: 골든 서클(디지털),  11,000원","19:40,  킹스맨: 골든 서클(디지털),  11,000원","22:25,  킹스맨: 골든 서클(디지털),  11,000원",,,,138
2017-09-30,07관,"08:00,  킹스맨: 골든 서클(디지털),  7,000원","10:45,  킹스맨: 골든 서클(디지털),  10,000원","13:30,  킹스맨: 골든 서클(디지털),  11,000원","16:15,  킹스맨: 골든 서클(디지털),  11,000원","19:00,  킹스맨: 골든 서클(디지털),  11,000원","21:45,  킹스맨: 골든 서클(디지털),  11,000원","24:30,  킹스맨: 골든 서클(디지털),  7,500원",,,122
2017-09-30,08관,"09:20,  킹스맨: 골든 서클(디지털),  7,000원","12:05,  킹스맨: 골든 서클(디지털),  11,000원","14:50,  킹스맨: 골든 서클(디지털),  11,000원","17:35,  킹스맨: 골든 서클(디지털),  11,000원","20:20,  킹스맨: 골든 서클(디지털),  11,000원","23:05,  킹스맨: 골든 서클(디지털),  9,000원",,,,158
