상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2018-08-21,01관,"14:30,  강철비(디지털)","17:30,  강철비(디지털)",,,,,,,63
2018-08-21,02관,"15:30,  꾼(디지털)","18:30,  공작(디지털),  8,000원",,,,,,,118
2018-08-21,03관,"14:00,  딥(디지털더빙)","16:00,  딥(디지털더빙)",,,,,,,107
2018-08-21,04관,"15:00,  범죄도시(디지털)","18:00,  신과함께-인과 연(디지털),  8,000원",,,,,,,118
2018-08-22,01관,"10:20,  극장판 도라에몽: 진구의 보물섬(디지털더빙),  7,000원","12:40,  신과함께-인과 연(디지털),  9,000원","15:30,  목격자(디지털),  10,000원","17:50,  신과함께-인과 연(디지털),  10,000원","20:40,  목격자(디지털),  10,000원","23:00,  공작(디지털),  10,000원",,,63
2018-08-22,02관,"10:10,  공작(디지털),  7,000원","13:00,  공작(디지털),  9,000원","15:50,  공작(디지털),  10,000원","18:40,  공작(디지털),  10,000원","21:30,  공작(디지털),  10,000원",,,,118
2018-08-22,03관,"09:30,  너의 결혼식(디지털),  7,000원","11:50,  목격자(디지털),  9,000원","14:20,  너의 결혼식(디지털),  10,000원","16:40,  너의 결혼식(디지털),  10,000원","19:00,  너의 결혼식(디지털),  10,000원","21:15,  너의 결혼식(디지털),  10,000원","23:30,  너의 결혼식(디지털),  10,000원",,107
2018-08-22,04관,"09:50,  나를 차버린 스파이(디지털),  9,000원","12:20,  나를 차버린 스파이(디지털),  7,000원","14:50,  나를 차버린 스파이(디지털),  8,000원","17:15,  나를 차버린 스파이(디지털),  10,000원","19:40,  나를 차버린 스파이(디지털),  10,000원","22:10,  나를 차버린 스파이(디지털),  10,000원",,,118
2018-08-23,01관,"10:20,  극장판 도라에몽: 진구의 보물섬(디지털더빙),  7,000원","12:40,  신과함께-인과 연(디지털),  10,000원","15:30,  목격자(디지털),  10,000원","17:50,  신과함께-인과 연(디지털),  10,000원","20:40,  목격자(디지털),  10,000원","23:00,  공작(디지털),  10,000원",,,63
2018-08-23,02관,"10:10,  공작(디지털),  7,000원","13:00,  공작(디지털),  9,000원","15:50,  공작(디지털),  10,000원","18:40,  공작(디지털),  10,000원","21:30,  공작(디지털),  10,000원",,,,118
2018-08-23,03관,"09:30,  너의 결혼식(디지털),  7,000원","11:50,  목격자(디지털),  9,000원","14:20,  너의 결혼식(디지털),  10,000원","16:40,  너의 결혼식(디지털),  10,000원","19:00,  너의 결혼식(디지털),  10,000원","21:15,  너의 결혼식(디지털),  10,000원","23:30,  너의 결혼식(디지털),  10,000원",,107
