상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2015-01-01,GS관,"09:15,  기술자들(디지털),  6,500원","11:35,  기술자들(디지털),  10,000원","13:55,  기술자들(디지털)","16:15,  기술자들(디지털),  10,000원","18:35,  기술자들(디지털),  10,000원","20:55,  기술자들(디지털),  10,000원","23:15,  기술자들(디지털),  9,000원",,,90
2015-01-01,GH관,"09:00,  님아, 그 강을 건너지 마오(디지털),  6,500원","10:50,  님아, 그 강을 건너지 마오(디지털),  10,000원","12:40,  님아, 그 강을 건너지 마오(디지털),  10,000원","14:30,  님아, 그 강을 건너지 마오(디지털),  10,000원","16:20,  님아, 그 강을 건너지 마오(디지털),  10,000원","18:10,  님아, 그 강을 건너지 마오(디지털),  10,000원","20:00,  님아, 그 강을 건너지 마오(디지털),  10,000원","21:50,  님아, 그 강을 건너지 마오(디지털),  10,000원","23:40,  님아, 그 강을 건너지 마오(디지털),  9,000원",72
2015-01-01,03관,"08:50,  상의원(디지털),  6,000원","11:25,  숲속으로(디지털),  10,000원","14:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","15:45,  상의원(디지털),  10,000원","18:20,  국제시장(디지털),  10,000원","20:50,  국제시장(디지털),  10,000원","23:20,  국제시장(디지털),  9,000원",,,76
2015-01-01,04관,"09:10,  국제시장(디지털),  6,000원","11:40,  국제시장(디지털),  10,000원","14:10,  국제시장(디지털),  10,000원","16:40,  국제시장(디지털),  10,000원","19:10,  국제시장(디지털),  10,000원","21:40,  국제시장(디지털),  10,000원","24:10,  국제시장(디지털),  9,000원",,,90
2015-01-01,05관,"09:30,  테이큰 3(디지털),  7,000원","11:50,  테이큰 3(디지털),  10,000원","14:10,  테이큰 3(디지털),  10,000원","16:30,  테이큰 3(디지털),  10,000원","18:50,  테이큰 3(디지털),  10,000원","21:10,  테이큰 3(디지털),  10,000원","23:30,  테이큰 3(디지털),  9,000원",,,72
2015-01-01,06관,"09:10,  마다가스카의 펭귄(디지털더빙),  6,000원","11:10,  마다가스카의 펭귄(디지털더빙),  10,000원","13:10,  마다가스카의 펭귄(디지털더빙),  10,000원","15:10,  마다가스카의 펭귄(디지털더빙),  10,000원","17:10,  호빗: 다섯 군대 전투(디지털),  10,000원","20:00,  호빗: 다섯 군대 전투(디지털),  10,000원","22:50,  호빗: 다섯 군대 전투(디지털),  10,000원",,,76
2015-01-02,GS관,"09:10,  국제시장(디지털),  9,000원","11:40,  국제시장(디지털),  10,000원","14:10,  국제시장(디지털),  10,000원","16:40,  국제시장(디지털),  10,000원","19:10,  국제시장(디지털),  10,000원","21:40,  국제시장(디지털),  10,000원","24:10,  국제시장(디지털),  9,000원",,,90
2015-01-02,GH관,"08:50,  님아, 그 강을 건너지 마오(디지털),  6,000원","10:40,  님아, 그 강을 건너지 마오(디지털),  10,000원","12:30,  님아, 그 강을 건너지 마오(디지털),  10,000원","14:20,  기술자들(디지털),  10,000원","16:40,  님아, 그 강을 건너지 마오(디지털),  10,000원","18:30,  기술자들(디지털),  10,000원","20:45,  님아, 그 강을 건너지 마오(디지털),  10,000원","22:35,  님아, 그 강을 건너지 마오(디지털),  10,000원","24:25,  님아, 그 강을 건너지 마오(디지털),  9,000원",72
2015-01-02,03관,"08:50,  숲속으로(디지털),  9,000원","11:20,  기술자들(디지털),  10,000원","13:40,  마다가스카의 펭귄(디지털더빙),  10,000원","15:40,  마다가스카의 펭귄(디지털더빙),  10,000원","17:40,  마다가스카의 펭귄(디지털더빙),  10,000원","19:40,  기술자들(디지털),  10,000원","22:00,  기술자들(디지털),  10,000원","24:20,  기술자들(디지털),  9,000원",,76
2015-01-02,04관,"09:05,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  9,000원","10:50,  국제시장(디지털),  10,000원","13:20,  국제시장(디지털),  10,000원","15:50,  국제시장(디지털),  10,000원","18:20,  국제시장(디지털),  10,000원","20:50,  국제시장(디지털),  10,000원","23:20,  국제시장(디지털),  9,000원",,,90
2015-01-02,05관,"09:40,  테이큰 3(디지털),  6,000원","12:00,  테이큰 3(디지털),  10,000원","14:20,  테이큰 3(디지털),  10,000원","16:40,  테이큰 3(디지털),  10,000원","19:00,  테이큰 3(디지털),  10,000원","21:20,  테이큰 3(디지털),  10,000원","23:40,  테이큰 3(디지털),  9,000원",,,72
2015-01-02,06관,"08:50,  마다가스카의 펭귄(디지털더빙),  6,000원","10:50,  마다가스카의 펭귄(디지털더빙),  10,000원","12:50,  마다가스카의 펭귄(디지털더빙),  10,000원","14:50,  마다가스카의 펭귄(디지털더빙),  10,000원","16:50,  마다가스카의 펭귄(디지털더빙),  10,000원","18:50,  호빗: 다섯 군대 전투(디지털),  10,000원","21:40,  상의원(디지털),  10,000원","24:15,  호빗: 다섯 군대 전투(디지털),  9,000원",,76
2015-01-03,GS관,"09:10,  국제시장(디지털),  6,000원","11:40,  국제시장(디지털),  10,000원","14:10,  국제시장(디지털),  10,000원","16:40,  국제시장(디지털),  10,000원","19:10,  국제시장(디지털),  10,000원","21:40,  국제시장(디지털),  10,000원","24:10,  국제시장(디지털),  9,000원",,,90
