상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2019-04-26,01관,"10:40,  어벤져스: 엔드게임(디지털),  7,000원","14:10,  어벤져스: 엔드게임(디지털),  11,000원",,,,,,,,134
2019-04-26,02관,"11:00,  생일(디지털),  7,000원","13:25,  어벤져스: 엔드게임(디지털),  10,000원","17:00,  어벤져스: 엔드게임(3D 디지털),  12,000원","20:30,  어벤져스: 엔드게임(디지털),  10,000원",,,,,,72
2019-04-26,03관,"11:20,  어벤져스: 엔드게임(디지털),  10,000원","14:50,  어벤져스: 엔드게임(디지털),  10,000원","18:30,  어벤져스: 엔드게임(디지털),  10,000원",,,,,,,72
2019-04-26,04관,"10:00,  요로나의 저주(디지털),  7,000원","12:00,  요로나의 저주(디지털),  10,000원","14:00,  요로나의 저주(디지털),  10,000원",,"18:40,  미성년(디지털),  10,000원",,,,,66
2019-04-26,06관,"10:00,  생일(디지털)","12:30,  생일(디지털),  10,000원","15:00,  생일(디지털),  10,000원","17:30,  어벤져스: 엔드게임(디지털),  10,000원",,,,,,72
2019-04-26,07관,"10:20,  미성년(디지털),  7,000원","12:30,  어벤져스: 엔드게임(디지털),  10,000원","15:55,  미성년(디지털),  10,000원","18:00,  어벤져스: 엔드게임(디지털),  7,000원",,,,,,72
2019-04-26,08관,"10:00,  어벤져스: 엔드게임(디지털),  7,000원",,"16:10,  어벤져스: 엔드게임(디지털),  10,000원","19:40,  어벤져스: 엔드게임(디지털),  10,000원",,,,,,66
2019-04-26,09관,"12:00,  어벤져스: 엔드게임(디지털),  11,000원","15:30,  어벤져스: 엔드게임(디지털),  11,000원","19:00,  어벤져스: 엔드게임(디지털),  11,000원",,,,,,,320
2019-04-27,01관,"10:30,  어벤져스: 엔드게임(디지털),  9,000원","14:00,  어벤져스: 엔드게임(디지털),  11,000원","17:30,  어벤져스: 엔드게임(디지털),  11,000원","21:00,  어벤져스: 엔드게임(디지털),  11,000원","24:30,  어벤져스: 엔드게임(디지털),  10,000원",,,,,134
2019-04-27,02관,"08:30,  어벤져스: 엔드게임(디지털),  7,000원","12:00,  어벤져스: 엔드게임(3D 디지털),  12,000원","15:30,  어벤져스: 엔드게임(디지털),  10,000원","19:00,  어벤져스: 엔드게임(3D 디지털),  12,000원","22:30,  어벤져스: 엔드게임(디지털),  10,000원",,,,,72
2019-04-27,03관,"09:40,  어벤져스: 엔드게임(디지털),  7,000원","13:10,  어벤져스: 엔드게임(디지털),  10,000원","16:40,  어벤져스: 엔드게임(디지털),  10,000원","20:10,  어벤져스: 엔드게임(디지털),  10,000원","23:40,  어벤져스: 엔드게임(디지털),  10,000원",,,,,72
2019-04-27,04관,"10:00,  생일(디지털)","12:30,  뽀로로 극장판 보물섬 대모험(디지털),  10,000원","14:20,  뽀로로 극장판 보물섬 대모험(디지털),  10,000원","16:10,  아메리카 뮤직&와일드(디지털),  10,000원","18:10,  더 캡틴(디지털),  10,000원","20:40,  생일(디지털),  10,000원","23:15,  요로나의 저주(디지털),  10,000원",,,66
2019-04-27,05관,"09:00,  어벤져스: 엔드게임(디지털),  7,000원","12:30,  어벤져스: 엔드게임(디지털),  10,000원","16:00,  어벤져스: 엔드게임(디지털),  10,000원","19:30,  어벤져스: 엔드게임(디지털),  10,000원","23:00,  어벤져스: 엔드게임(디지털),  10,000원",,,,,81
2019-04-27,06관,"09:20,  미성년(디지털),  7,000원","11:30,  어벤져스: 엔드게임(디지털),  10,000원","15:05,  어벤져스: 엔드게임(디지털),  10,000원","18:40,  어벤져스: 엔드게임(디지털),  10,000원","22:15,  어벤져스: 엔드게임(디지털),  10,000원",,,,,72
2019-04-27,07관,"10:00,  어벤져스: 엔드게임(디지털),  7,000원","13:30,  어벤져스: 엔드게임(디지털),  10,000원","17:00,  어벤져스: 엔드게임(디지털),  10,000원","20:30,  어벤져스: 엔드게임(디지털),  10,000원","24:00,  어벤져스: 엔드게임(디지털),  10,000원",,,,,72
2019-04-27,08관,"09:35,  어벤져스: 엔드게임(디지털),  7,000원","13:15,  어벤져스: 엔드게임(디지털),  10,000원","16:55,  어벤져스: 엔드게임(디지털),  10,000원","20:35,  어벤져스: 엔드게임(디지털),  10,000원","24:15,  어벤져스: 엔드게임(디지털),  9,000원",,,,,66
2019-04-27,09관,"09:30,  어벤져스: 엔드게임(디지털),  9,000원","13:00,  어벤져스: 엔드게임(디지털),  11,000원","16:30,  어벤져스: 엔드게임(디지털),  11,000원","20:00,  어벤져스: 엔드게임(디지털),  11,000원","23:30,  어벤져스: 엔드게임(디지털),  11,000원",,,,,320
2019-04-28,01관,"10:30,  어벤져스: 엔드게임(디지털),  7,000원","14:00,  어벤져스: 엔드게임(디지털),  11,000원","17:30,  어벤져스: 엔드게임(디지털),  11,000원","21:00,  어벤져스: 엔드게임(디지털),  11,000원","24:30,  어벤져스: 엔드게임(디지털),  10,000원",,,,,134
