상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2017-01-25,01관,"14:00,  터널(디지털)","19:00,  부산행(디지털),  0원",,,,,,,,234
2017-01-25,02관,"15:00,  미씽: 사라진 여자(디지털)","17:00,  세상에서 고양이가 사라진다면(디지털),  0원",,,,,,,,135
2017-01-25,03관,"16:00,  스플릿(디지털)",,,,,,,,,103
2017-01-25,05관,"18:00,  가려진 시간(디지털),  0원",,,,,,,,,134
2017-01-26,01관,"10:20,  공조(디지털),  6,500원","13:10,  공조(디지털),  9,000원","15:50,  공조(디지털),  9,000원","18:30,  공조(디지털),  9,000원","21:10,  공조(디지털),  9,000원","23:50,  공조(디지털),  7,000원",,,,234
2017-01-26,02관,"09:30,  더 킹(디지털),  6,000원","12:15,  더 킹(디지털),  9,000원","15:00,  더 킹(디지털),  9,000원","17:45,  더 킹(디지털),  9,000원","20:30,  더 킹(디지털),  9,000원","23:15,  더 킹(디지털),  7,000원",,,,135
2017-01-26,03관,"10:00,  모아나(디지털더빙),  6,000원","12:20,  모아나(디지털더빙),  9,000원","14:40,  공조(디지털),  9,000원","17:15,  공조(디지털),  9,000원","19:50,  공조(디지털),  9,000원","22:25,  공조(디지털),  9,000원",,,,103
2017-01-26,04관,"10:30,  더 킹(디지털),  6,000원","13:15,  더 킹(디지털),  9,000원","16:00,  더 킹(디지털),  9,000원","18:45,  더 킹(디지털),  9,000원","21:30,  더 킹(디지털),  9,000원","24:15,  더 킹(디지털),  6,500원",,,,113
2017-01-26,05관,"09:35,  키코리키: 황금모자의 비밀(디지털더빙)","11:25,  딥워터 호라이즌(디지털),  9,000원","13:45,  레지던트 이블: 파멸의 날(디지털),  9,000원","16:05,  모아나(디지털더빙),  9,000원","18:35,  레지던트 이블: 파멸의 날(디지털),  9,000원","20:55,  레지던트 이블: 파멸의 날(디지털),  9,000원","23:25,  딥워터 호라이즌(디지털)",,,134
2017-01-27,01관,"10:20,  공조(디지털),  6,000원","13:10,  공조(디지털),  10,000원","15:50,  공조(디지털),  10,000원","18:30,  공조(디지털),  10,000원","21:10,  공조(디지털),  10,000원","23:50,  공조(디지털),  7,000원",,,,234
2017-01-27,02관,"09:30,  더 킹(디지털),  6,000원","12:15,  더 킹(디지털),  8,000원","15:00,  더 킹(디지털),  10,000원","17:45,  더 킹(디지털),  10,000원","20:30,  더 킹(디지털),  10,000원","23:15,  더 킹(디지털),  8,000원",,,,135
2017-01-27,03관,"10:00,  모아나(디지털더빙),  7,000원","12:20,  모아나(디지털더빙),  7,000원","14:40,  공조(디지털),  10,000원","17:15,  공조(디지털),  10,000원","19:50,  공조(디지털),  10,000원","22:25,  공조(디지털),  10,000원",,,,103
2017-01-27,04관,"10:30,  더 킹(디지털),  6,000원","13:15,  더 킹(디지털),  10,000원","16:00,  더 킹(디지털),  10,000원","18:45,  더 킹(디지털),  10,000원","21:30,  더 킹(디지털),  10,000원","24:15,  더 킹(디지털),  7,000원",,,,113
2017-01-27,05관,"09:35,  키코리키: 황금모자의 비밀(디지털더빙)","11:25,  딥워터 호라이즌(디지털),  8,000원","13:45,  레지던트 이블: 파멸의 날(디지털),  10,000원","16:05,  모아나(디지털더빙),  10,000원","18:35,  레지던트 이블: 파멸의 날(디지털),  10,000원","20:55,  레지던트 이블: 파멸의 날(디지털),  10,000원","23:25,  딥워터 호라이즌(디지털)",,,134
2017-01-28,01관,"10:20,  공조(디지털),  9,000원","13:10,  공조(디지털),  10,000원","15:50,  공조(디지털),  10,000원","18:30,  공조(디지털),  10,000원","21:10,  공조(디지털),  10,000원","23:50,  공조(디지털),  9,000원",,,,234
2017-01-28,02관,"09:30,  더 킹(디지털),  6,000원","12:15,  더 킹(디지털),  10,000원","15:00,  더 킹(디지털),  10,000원","17:45,  더 킹(디지털),  10,000원","20:30,  더 킹(디지털),  10,000원","23:15,  더 킹(디지털),  8,000원",,,,135
2017-01-28,03관,"10:00,  모아나(디지털더빙),  9,000원","12:20,  모아나(디지털더빙),  10,000원","14:40,  공조(디지털),  10,000원","17:15,  공조(디지털),  10,000원","19:50,  공조(디지털),  10,000원","22:25,  공조(디지털),  10,000원",,,,103
2017-01-28,04관,"10:30,  더 킹(디지털),  6,000원","13:15,  더 킹(디지털),  10,000원","16:00,  더 킹(디지털),  10,000원","18:45,  더 킹(디지털),  10,000원","21:30,  더 킹(디지털),  10,000원","24:15,  더 킹(디지털),  8,000원",,,,113
2017-01-28,05관,"09:35,  키코리키: 황금모자의 비밀(디지털더빙)","11:25,  딥워터 호라이즌(디지털),  9,000원","13:45,  레지던트 이블: 파멸의 날(디지털),  10,000원","16:05,  모아나(디지털더빙),  10,000원","18:35,  레지던트 이블: 파멸의 날(디지털),  10,000원","20:55,  레지던트 이블: 파멸의 날(디지털),  10,000원","23:25,  딥워터 호라이즌(디지털),  8,000원",,,134
2017-01-29,01관,"10:20,  공조(디지털),  9,000원","13:10,  공조(디지털),  10,000원","15:50,  공조(디지털),  10,000원","18:30,  공조(디지털),  10,000원","21:10,  공조(디지털),  10,000원","23:50,  공조(디지털),  9,000원",,,,234
2017-01-29,02관,"09:30,  더 킹(디지털),  9,000원","12:15,  더 킹(디지털),  10,000원","15:00,  더 킹(디지털),  10,000원","17:45,  더 킹(디지털),  10,000원","20:30,  더 킹(디지털),  10,000원","23:15,  더 킹(디지털),  8,000원",,,,135
2017-01-29,03관,"10:00,  모아나(디지털더빙),  6,000원","12:20,  모아나(디지털더빙),  10,000원","14:40,  공조(디지털),  10,000원","17:15,  공조(디지털),  10,000원","19:50,  공조(디지털),  10,000원","22:25,  공조(디지털),  10,000원",,,,103
2017-01-29,04관,"10:30,  더 킹(디지털),  7,000원","13:15,  더 킹(디지털),  10,000원","16:00,  더 킹(디지털),  10,000원","18:45,  더 킹(디지털),  10,000원","21:30,  더 킹(디지털),  10,000원","24:15,  더 킹(디지털),  9,000원",,,,113
2017-01-29,05관,"09:35,  키코리키: 황금모자의 비밀(디지털더빙),  6,000원","11:25,  딥워터 호라이즌(디지털),  7,000원","13:45,  레지던트 이블: 파멸의 날(디지털),  10,000원","16:05,  모아나(디지털더빙),  10,000원","18:35,  레지던트 이블: 파멸의 날(디지털),  10,000원","20:55,  레지던트 이블: 파멸의 날(디지털),  10,000원","23:25,  딥워터 호라이즌(디지털),  9,000원",,,134
2017-01-30,01관,"10:20,  공조(디지털),  9,000원","13:10,  공조(디지털),  10,000원","15:50,  공조(디지털),  10,000원","18:30,  공조(디지털),  10,000원","21:10,  공조(디지털),  10,000원","23:50,  공조(디지털),  7,000원",,,,234
2017-01-30,02관,"09:30,  더 킹(디지털),  4,000원","12:15,  더 킹(디지털),  10,000원","15:00,  더 킹(디지털),  10,000원","17:45,  더 킹(디지털),  10,000원","20:30,  더 킹(디지털),  10,000원","23:15,  더 킹(디지털),  9,000원",,,,135
2017-01-30,03관,"10:00,  모아나(디지털더빙),  6,000원","12:20,  모아나(디지털더빙),  10,000원","14:40,  공조(디지털),  10,000원","17:15,  공조(디지털),  10,000원","19:50,  공조(디지털),  10,000원","22:25,  공조(디지털),  10,000원",,,,103
