상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2018-09-15,01관,"09:00,  물괴(디지털)","11:10,  물괴(디지털)","13:20,  물괴(디지털)","15:30,  물괴(디지털)","17:40,  물괴(디지털)","19:50,  물괴(디지털)","22:00,  물괴(디지털)","24:10,  물괴(디지털)",,136
2018-09-15,02관,"10:00,  극장판 요괴워치 섀도사이드: 도깨비왕의 부활(디지털더빙)","12:10,  극장판 요괴워치 섀도사이드: 도깨비왕의 부활(디지털더빙)","14:20,  극장판 요괴워치 섀도사이드: 도깨비왕의 부활(디지털더빙)","16:30,  극장판 요괴워치 섀도사이드: 도깨비왕의 부활(디지털더빙)","18:40,  극장판 요괴워치 섀도사이드: 도깨비왕의 부활(디지털더빙)","20:50,  극장판 요괴워치 섀도사이드: 도깨비왕의 부활(디지털더빙)","23:00,  극장판 요괴워치 섀도사이드: 도깨비왕의 부활(디지털더빙)",,,118
2018-09-15,03관,"10:30,  극장판 뽀잉: 슈퍼 변신의 비밀(디지털)","12:10,  극장판 뽀잉: 슈퍼 변신의 비밀(디지털)","13:50,  극장판 뽀잉: 슈퍼 변신의 비밀(디지털)","15:30,  극장판 뽀잉: 슈퍼 변신의 비밀(디지털)","17:10,  극장판 뽀잉: 슈퍼 변신의 비밀(디지털)","18:50,  극장판 뽀잉: 슈퍼 변신의 비밀(디지털)","20:30,  극장판 뽀잉: 슈퍼 변신의 비밀(디지털)","22:10,  극장판 뽀잉: 슈퍼 변신의 비밀(디지털)",,157
2018-09-15,04관,"09:50,  안시성(디지털)","12:30,  안시성(디지털)","15:10,  안시성(디지털)","17:50,  안시성(디지털)","20:30,  안시성(디지털)","23:10,  안시성(디지털)",,,,174
2018-09-15,05관,"10:10,  물괴(디지털)","12:20,  물괴(디지털)","14:35,  극장판 뽀잉: 슈퍼 변신의 비밀(디지털)","16:15,  물괴(디지털)","18:25,  극장판 요괴워치 섀도사이드: 도깨비왕의 부활(디지털더빙)","20:35,  물괴(디지털)",,,,113
2018-09-15,06관,"10:50,  안시성(디지털)","13:30,  안시성(디지털)","16:10,  안시성(디지털)","18:50,  안시성(디지털)","21:30,  안시성(디지털)","24:10,  안시성(디지털)",,,,137
2018-09-20,01관,,"15:30,  명당(디지털),  8,000원","18:30,  명당(디지털),  8,000원",,,,,,,136
2018-09-20,02관,,"14:00,  안시성(디지털),  8,000원","17:30,  협상(디지털),  8,000원",,,,,,,118
2018-09-20,03관,,"16:30,  더 넌(디지털),  8,000원","19:00,  안시성(디지털),  8,000원",,,,,,,157
2018-09-20,05관,,"14:30,  협상(디지털),  8,000원","18:00,  암수살인(디지털),  10,000원",,,,,,,113
2018-09-20,06관,,"14:15,  명당(디지털),  9,000원","16:45,  안시성(디지털),  10,000원","19:30,  협상(디지털),  10,000원",,,,,,137
2018-09-21,01관,"10:20,  협상(디지털),  8,000원","12:40,  협상(디지털),  7,000원","15:00,  협상(디지털),  10,000원","17:20,  협상(디지털),  11,000원","19:40,  협상(디지털),  11,000원","22:00,  협상(디지털),  11,000원","24:20,  협상(디지털),  9,000원",,,136
2018-09-21,02관,"10:50,  더 넌(디지털),  8,000원","12:55,  더 넌(디지털),  8,000원","15:00,  더 넌(디지털),  7,000원","17:05,  더 넌(디지털),  11,000원","19:10,  더 넌(디지털),  11,000원","21:15,  더 넌(디지털),  11,000원","23:20,  더 넌(디지털),  11,000원",,,118
2018-09-21,03관,"10:00,  명당(디지털),  8,000원","12:35,  명당(디지털),  11,000원","15:10,  명당(디지털),  11,000원","17:45,  명당(디지털),  9,000원","20:20,  명당(디지털),  11,000원","22:55,  명당(디지털),  11,000원",,,,157
2018-09-21,04관,"10:10,  안시성(디지털),  8,000원","12:55,  안시성(디지털),  9,000원","15:40,  안시성(디지털),  11,000원","18:25,  안시성(디지털),  11,000원","21:10,  안시성(디지털),  11,000원","23:55,  안시성(디지털),  11,000원",,,,174
2018-09-21,05관,"10:30,  루이스(디지털더빙),  8,000원","12:25,  물괴(디지털)","14:35,  안시성(디지털),  11,000원","17:20,  안시성(디지털),  11,000원","20:05,  안시성(디지털),  11,000원","22:50,  안시성(디지털),  11,000원",,,,113
2018-09-21,06관,"10:45,  극장판 요괴워치 섀도사이드: 도깨비왕의 부활(디지털더빙)","13:00,  극장판 뽀잉: 슈퍼 변신의 비밀(디지털)","14:45,  극장판 요괴워치 섀도사이드: 도깨비왕의 부활(디지털더빙),  11,000원","17:00,  명당(디지털),  9,000원","19:30,  협상(디지털),  11,000원","21:55,  명당(디지털),  11,000원","24:30,  명당(디지털),  10,000원",,,137
2018-09-22,01관,"09:20,  협상(디지털),  9,000원","11:40,  협상(디지털),  8,000원","14:00,  협상(디지털),  10,000원","16:20,  협상(디지털),  11,000원","18:40,  협상(디지털),  11,000원","21:00,  협상(디지털),  11,000원","23:20,  협상(디지털),  11,000원",,,136
2018-09-22,02관,"09:40,  극장판 뽀잉: 슈퍼 변신의 비밀(디지털)","11:20,  루이스(디지털더빙),  11,000원","13:15,  더 넌(디지털),  11,000원","15:20,  더 넌(디지털),  11,000원","17:25,  더 넌(디지털),  8,000원","19:30,  더 넌(디지털),  11,000원","21:35,  더 넌(디지털),  11,000원","23:40,  더 넌(디지털),  11,000원",,118
2018-09-22,03관,"10:15,  명당(디지털),  8,000원","12:50,  명당(디지털),  11,000원","15:25,  명당(디지털),  8,000원","18:00,  명당(디지털),  11,000원","20:35,  명당(디지털),  11,000원","23:10,  명당(디지털),  11,000원",,,,157
2018-09-22,04관,"10:30,  안시성(디지털),  8,000원","13:10,  안시성(디지털),  11,000원","15:50,  안시성(디지털),  11,000원","18:30,  안시성(디지털),  9,000원","21:10,  안시성(디지털),  11,000원","23:50,  안시성(디지털),  11,000원",,,,174
2018-09-22,05관,"10:00,  에그엔젤 코코밍: 두근두근 핼러윈 파티(디지털더빙),  9,000원","11:35,  극장판 요괴워치 섀도사이드: 도깨비왕의 부활(디지털더빙),  11,000원","13:45,  에그엔젤 코코밍: 두근두근 핼러윈 파티(디지털더빙),  11,000원","15:20,  극장판 요괴워치 섀도사이드: 도깨비왕의 부활(디지털더빙),  11,000원","17:30,  서치(디지털),  11,000원","19:40,  안시성(디지털),  11,000원","22:25,  안시성(디지털),  11,000원",,,113
2018-09-22,06관,"09:30,  안시성(디지털),  8,000원","12:10,  명당(디지털),  11,000원","14:45,  협상(디지털),  11,000원","17:05,  안시성(디지털),  11,000원","19:45,  명당(디지털),  11,000원","22:20,  협상(디지털),  11,000원","24:40,  안시성(디지털),  9,000원",,,137
