상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2016-07-27,02관,"14:10,  국가대표 2(디지털)","17:30,  국가대표 2(디지털)",,,,,,,,,185
2016-07-27,03관,"13:30,  슈퍼 프렌즈(디지털)","16:30,  위대한 소원(디지털)",,,,,,,,,144
2016-07-27,04관,"13:00,  나의 소녀시대(디지털)","17:00,  컨저링 2(디지털)",,,,,,,,,185
2016-07-27,05관,"12:30,  검사외전(디지털)","15:50,  싱 스트리트(디지털)",,,,,,,,,144
2016-07-27,06관,"12:00,  탐정 홍길동: 사라진 마을(디지털)","14:50,  곡성(디지털)",,,,,,,,,185
2016-07-27,07관,"15:20,  미 비포 유(디지털)",,,,,,,,,,148
2016-07-28,01관,"09:50,  인천상륙작전(디지털),  6,000원","12:30,  인천상륙작전(디지털),  6,000원","15:00,  인천상륙작전(디지털),  9,000원","17:30,  인천상륙작전(디지털),  10,000원","19:50,  인천상륙작전(디지털),  10,000원","22:20,  인천상륙작전(디지털),  9,000원",,,,,174
2016-07-28,02관,"09:15,  부산행(디지털),  7,500원","11:50,  부산행(디지털),  9,000원","14:20,  부산행(디지털),  9,000원","16:50,  부산행(디지털),  10,000원","19:20,  부산행(디지털),  10,000원","21:50,  부산행(디지털),  10,000원","24:25,  부산행(디지털),  8,000원",,,,185
2016-07-28,03관,"09:00,  인천상륙작전(디지털),  6,000원","11:20,  인천상륙작전(디지털),  9,000원","13:50,  인천상륙작전(디지털),  9,000원","16:15,  인천상륙작전(디지털),  10,000원","18:40,  인천상륙작전(디지털),  10,000원","21:10,  인천상륙작전(디지털),  10,000원","23:30,  인천상륙작전(디지털),  9,000원",,,,144
2016-07-28,04관,"10:00,  부산행(디지털),  9,000원","12:50,  부산행(디지털),  8,000원","15:20,  부산행(디지털),  9,000원","17:50,  부산행(디지털),  10,000원","20:20,  부산행(디지털),  10,000원","23:00,  부산행(디지털),  9,000원",,,,,185
2016-07-28,05관,"09:40,  빅(디지털더빙),  6,000원","11:45,  아이스 에이지: 지구 대충돌(디지털더빙),  8,000원","14:00,  아이스 에이지: 지구 대충돌(디지털더빙),  9,000원","16:00,  제이슨 본(디지털),  9,000원","18:45,  제이슨 본(디지털),  10,000원","21:20,  제이슨 본(디지털),  10,000원","23:50,  제이슨 본(디지털),  9,000원",,,,144
2016-07-28,06관,"09:00,  도리를 찾아서(디지털더빙),  6,000원","11:10,  빅(디지털더빙),  8,000원","13:30,  부산행(디지털),  9,000원","16:05,  부산행(디지털),  10,000원","18:30,  부산행(디지털),  10,000원","21:00,  부산행(디지털),  10,000원","23:40,  부산행(디지털),  9,000원",,,,185
