상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2018-04-05,01관,"12:20,  레디 플레이어 원(디지털),  7,000원","15:10,  레디 플레이어 원(디지털),  9,000원","18:00,  레디 플레이어 원(디지털),  9,000원","20:50,  레디 플레이어 원(디지털),  9,000원",,,,,,224
2018-04-05,02관,"12:00,  곤지암(디지털),  9,000원","14:00,  곤지암(디지털),  9,000원","16:00,  곤지암(디지털),  9,000원","18:00,  곤지암(디지털),  9,000원","20:00,  곤지암(디지털),  9,000원",,,,,218
2018-04-05,03관,"12:30,  바람 바람 바람(디지털),  9,000원","14:40,  바람 바람 바람(디지털),  9,000원","16:50,  바람 바람 바람(디지털),  9,000원","19:00,  곤지암(디지털),  9,000원","21:00,  곤지암(디지털),  9,000원",,,,,103
2018-04-05,04관,"12:10,  번개맨과 신비의 섬(디지털),  7,000원","13:45,  레디 플레이어 원(디지털),  5,000원","16:40,  7년의 밤(디지털),  9,000원","19:20,  바람 바람 바람(디지털),  9,000원",,,,,,218
2018-04-05,05관,"12:00,  지금 만나러 갑니다(디지털),  9,000원","14:40,  7년의 밤(디지털),  6,500원","17:10,  지금 만나러 갑니다(디지털),  7,500원","19:50,  7년의 밤(디지털),  9,000원",,,,,,130
2018-04-06,01관,"09:30,  레디 플레이어 원(디지털),  6,000원","12:15,  레디 플레이어 원(디지털),  6,000원","15:00,  레디 플레이어 원(디지털)","17:45,  레디 플레이어 원(디지털),  9,000원","20:30,  레디 플레이어 원(디지털),  9,000원","23:15,  레디 플레이어 원(디지털)",,,,224
2018-04-06,02관,"09:40,  곤지암(디지털),  6,000원","11:40,  곤지암(디지털),  9,000원","13:40,  곤지암(디지털),  9,000원","15:40,  곤지암(디지털),  9,000원","17:40,  곤지암(디지털),  7,000원","19:40,  곤지암(디지털),  9,000원","21:40,  곤지암(디지털),  9,000원","23:40,  곤지암(디지털),  6,000원",,218
2018-04-06,03관,"09:50,  바람 바람 바람(디지털),  6,000원","11:55,  바람 바람 바람(디지털)","14:00,  바람 바람 바람(디지털),  9,000원","16:05,  바람 바람 바람(디지털),  9,000원","18:10,  바람 바람 바람(디지털),  9,000원","20:15,  바람 바람 바람(디지털),  9,000원","22:20,  바람 바람 바람(디지털),  9,000원",,,103
2018-04-06,04관,"10:25,  지금 만나러 갑니다(디지털),  6,000원","13:10,  7년의 밤(디지털),  9,000원","15:50,  지금 만나러 갑니다(디지털),  9,000원","18:40,  곤지암(디지털),  9,000원","20:40,  곤지암(디지털),  9,000원","22:45,  7년의 밤(디지털)",,,,218
2018-04-06,05관,"10:00,  7년의 밤(디지털)","12:30,  지금 만나러 갑니다(디지털),  9,000원","15:10,  번개맨과 신비의 섬(디지털)","16:45,  7년의 밤(디지털),  9,000원","19:15,  레디 플레이어 원(디지털),  9,000원","22:00,  레디 플레이어 원(디지털),  9,000원",,,,130
2018-04-07,01관,"09:30,  레디 플레이어 원(디지털),  6,000원","12:15,  레디 플레이어 원(디지털),  9,000원","15:00,  레디 플레이어 원(디지털),  9,000원","17:45,  레디 플레이어 원(디지털),  9,000원","20:30,  레디 플레이어 원(디지털),  9,000원","23:15,  레디 플레이어 원(디지털),  7,000원",,,,224
2018-04-07,02관,"09:40,  곤지암(디지털),  9,000원","11:40,  곤지암(디지털),  7,000원","13:40,  곤지암(디지털),  9,000원","15:40,  곤지암(디지털),  9,000원","17:40,  곤지암(디지털),  9,000원","19:40,  곤지암(디지털),  9,000원","21:40,  곤지암(디지털),  9,000원","23:40,  곤지암(디지털),  9,000원",,218
2018-04-07,03관,"09:50,  바람 바람 바람(디지털),  6,000원","11:55,  바람 바람 바람(디지털),  9,000원","14:00,  바람 바람 바람(디지털),  9,000원","16:05,  바람 바람 바람(디지털),  9,000원","18:15,  바람 바람 바람(디지털),  9,000원","20:20,  바람 바람 바람(디지털),  9,000원","22:25,  바람 바람 바람(디지털),  9,000원",,,103
2018-04-07,04관,"09:30,  7년의 밤(디지털),  6,000원","12:00,  번개맨과 신비의 섬(디지털),  9,000원","13:35,  레디 플레이어 원(디지털),  9,000원","16:25,  7년의 밤(디지털),  9,000원","19:00,  7년의 밤(디지털),  9,000원","21:30,  7년의 밤(디지털),  9,000원",,,,218
2018-04-07,05관,"10:00,  번개맨과 신비의 섬(디지털),  6,000원","11:35,  지금 만나러 갑니다(디지털),  9,000원","14:15,  번개맨과 신비의 섬(디지털),  9,000원","16:00,  지금 만나러 갑니다(디지털),  9,000원","18:40,  곤지암(디지털),  9,000원","20:40,  곤지암(디지털),  9,000원","22:40,  곤지암(디지털),  9,000원",,,130
2018-04-08,01관,"09:30,  레디 플레이어 원(디지털),  6,000원","12:15,  레디 플레이어 원(디지털),  8,000원","15:00,  레디 플레이어 원(디지털),  9,000원","17:45,  레디 플레이어 원(디지털),  9,000원","20:30,  레디 플레이어 원(디지털),  9,000원","23:15,  레디 플레이어 원(디지털),  7,000원",,,,224
2018-04-08,02관,"09:40,  곤지암(디지털),  7,000원","11:40,  곤지암(디지털),  9,000원","13:40,  곤지암(디지털),  9,000원","15:40,  곤지암(디지털),  9,000원","17:40,  곤지암(디지털),  9,000원","19:40,  곤지암(디지털),  9,000원","21:40,  곤지암(디지털),  9,000원","23:40,  곤지암(디지털),  6,000원",,218
2018-04-08,03관,"09:50,  바람 바람 바람(디지털),  6,000원","11:55,  바람 바람 바람(디지털),  9,000원","14:00,  바람 바람 바람(디지털),  9,000원","16:05,  바람 바람 바람(디지털),  9,000원","18:15,  바람 바람 바람(디지털),  9,000원","20:20,  바람 바람 바람(디지털),  9,000원","22:25,  바람 바람 바람(디지털),  9,000원",,,103
2018-04-08,04관,"09:30,  7년의 밤(디지털)","12:00,  번개맨과 신비의 섬(디지털),  9,000원","13:35,  레디 플레이어 원(디지털),  9,000원","16:25,  7년의 밤(디지털),  9,000원","19:00,  7년의 밤(디지털),  9,000원","21:30,  7년의 밤(디지털),  9,000원",,,,218
2018-04-08,05관,"10:00,  번개맨과 신비의 섬(디지털),  7,000원","11:35,  지금 만나러 갑니다(디지털),  5,000원","14:15,  번개맨과 신비의 섬(디지털),  9,000원","16:00,  지금 만나러 갑니다(디지털),  9,000원","18:40,  곤지암(디지털),  9,000원","20:40,  곤지암(디지털),  9,000원","22:40,  곤지암(디지털),  9,000원",,,130
2018-04-09,01관,"09:30,  레디 플레이어 원(디지털),  7,000원","12:15,  레디 플레이어 원(디지털)","15:00,  레디 플레이어 원(디지털),  9,000원","17:45,  레디 플레이어 원(디지털),  9,000원","20:30,  레디 플레이어 원(디지털),  9,000원","23:15,  레디 플레이어 원(디지털)",,,,224
2018-04-09,02관,"09:40,  곤지암(디지털)","11:40,  곤지암(디지털)","13:40,  곤지암(디지털),  9,000원","15:40,  곤지암(디지털),  9,000원","17:40,  곤지암(디지털),  9,000원","19:40,  곤지암(디지털),  9,000원","21:40,  곤지암(디지털),  9,000원","23:40,  곤지암(디지털),  6,000원",,218
2018-04-09,03관,"09:50,  바람 바람 바람(디지털),  6,000원","11:55,  바람 바람 바람(디지털)","14:00,  바람 바람 바람(디지털),  7,000원","16:05,  바람 바람 바람(디지털),  9,000원","18:10,  바람 바람 바람(디지털),  9,000원","20:15,  바람 바람 바람(디지털),  9,000원","22:20,  바람 바람 바람(디지털),  9,000원",,,103
2018-04-09,04관,"10:25,  지금 만나러 갑니다(디지털),  6,000원","13:10,  7년의 밤(디지털),  6,000원","15:50,  지금 만나러 갑니다(디지털),  9,000원","18:40,  곤지암(디지털),  9,000원","20:40,  곤지암(디지털),  9,000원","22:45,  7년의 밤(디지털),  9,000원",,,,218
2018-04-09,05관,"10:00,  7년의 밤(디지털)","12:30,  지금 만나러 갑니다(디지털)","15:10,  번개맨과 신비의 섬(디지털),  7,000원","16:45,  7년의 밤(디지털),  9,000원","19:15,  레디 플레이어 원(디지털),  9,000원","22:00,  레디 플레이어 원(디지털)",,,,130
2018-04-10,01관,"09:30,  레디 플레이어 원(디지털)","12:15,  레디 플레이어 원(디지털),  9,000원","15:00,  레디 플레이어 원(디지털),  9,000원","17:45,  레디 플레이어 원(디지털),  9,000원","20:30,  레디 플레이어 원(디지털),  7,000원","23:15,  레디 플레이어 원(디지털),  6,000원",,,,224
2018-04-10,02관,"09:40,  곤지암(디지털)","11:40,  곤지암(디지털),  9,000원","13:40,  곤지암(디지털),  5,000원","15:40,  곤지암(디지털),  8,000원","17:40,  곤지암(디지털),  9,000원","19:40,  곤지암(디지털),  9,000원","21:40,  곤지암(디지털),  9,000원","23:40,  곤지암(디지털),  5,000원",,218
2018-04-10,03관,"09:50,  바람 바람 바람(디지털),  6,000원","11:55,  바람 바람 바람(디지털),  9,000원","14:00,  바람 바람 바람(디지털),  9,000원","16:05,  바람 바람 바람(디지털),  9,000원","18:10,  바람 바람 바람(디지털),  9,000원","20:15,  바람 바람 바람(디지털),  9,000원","22:20,  바람 바람 바람(디지털),  9,000원",,,103
2018-04-10,04관,"10:25,  지금 만나러 갑니다(디지털),  7,000원","13:10,  7년의 밤(디지털)","15:50,  지금 만나러 갑니다(디지털),  9,000원","18:40,  곤지암(디지털)","20:40,  곤지암(디지털),  9,000원","22:45,  7년의 밤(디지털),  9,000원",,,,218
2018-04-10,05관,"10:00,  7년의 밤(디지털),  6,000원","12:30,  지금 만나러 갑니다(디지털),  7,000원","15:10,  번개맨과 신비의 섬(디지털),  9,000원","16:45,  7년의 밤(디지털),  9,000원","19:15,  레디 플레이어 원(디지털),  9,000원","22:00,  레디 플레이어 원(디지털),  0원",,,,130
2018-04-11,01관,"09:30,  레디 플레이어 원(디지털),  6,000원","12:15,  레디 플레이어 원(디지털),  7,000원","15:00,  레디 플레이어 원(디지털),  9,000원","17:45,  레디 플레이어 원(디지털),  9,000원","20:30,  레디 플레이어 원(디지털),  9,000원","23:15,  레디 플레이어 원(디지털),  9,000원",,,,224
2018-04-11,02관,"09:40,  곤지암(디지털)","11:40,  곤지암(디지털)","13:40,  곤지암(디지털)","15:40,  곤지암(디지털),  9,000원","17:40,  곤지암(디지털),  9,000원","19:40,  곤지암(디지털),  9,000원","21:40,  곤지암(디지털),  9,000원","23:40,  곤지암(디지털),  6,000원",,218
2018-04-11,03관,"09:50,  바람 바람 바람(디지털),  7,000원","11:55,  바람 바람 바람(디지털),  9,000원","14:00,  바람 바람 바람(디지털),  9,000원","16:05,  바람 바람 바람(디지털),  9,000원","18:10,  바람 바람 바람(디지털),  9,000원","20:15,  바람 바람 바람(디지털),  9,000원","22:20,  바람 바람 바람(디지털),  6,000원",,,103
2018-04-11,04관,"10:25,  지금 만나러 갑니다(디지털),  6,000원","13:10,  7년의 밤(디지털),  6,500원","15:50,  지금 만나러 갑니다(디지털),  9,000원","18:40,  곤지암(디지털),  7,000원","20:40,  곤지암(디지털),  9,000원","22:40,  곤지암(디지털),  9,000원",,,,218
2018-04-11,05관,"10:00,  7년의 밤(디지털)","12:30,  지금 만나러 갑니다(디지털)","15:10,  번개맨과 신비의 섬(디지털),  7,000원","16:45,  7년의 밤(디지털),  9,000원","19:15,  레디 플레이어 원(디지털),  9,000원","22:00,  레디 플레이어 원(디지털),  9,000원",,,,130
2018-04-12,01관,"09:30,  내 이야기!!(디지털),  6,000원","11:40,  스파키(디지털)","13:40,  내 이야기!!(디지털)","15:50,  내 이야기!!(디지털),  9,000원","18:00,  내 이야기!!(디지털)","20:10,  내 이야기!!(디지털)","22:20,  내 이야기!!(디지털),  9,000원",,,224
2018-04-12,02관,"09:50,  램페이지(디지털),  7,000원","12:05,  바람 바람 바람(디지털),  8,000원","14:10,  램페이지(디지털),  9,000원","16:25,  바람 바람 바람(디지털),  9,000원","18:30,  램페이지(디지털),  9,000원","20:45,  램페이지(디지털),  9,000원","23:00,  램페이지(디지털)",,,218
2018-04-12,03관,"09:50,  머니백(디지털),  6,000원","12:00,  레디 플레이어 원(디지털),  9,000원","14:45,  머니백(디지털)","17:00,  레디 플레이어 원(디지털),  9,000원","19:45,  머니백(디지털),  9,000원","21:55,  바람 바람 바람(디지털),  9,000원",,,,103
