상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2015-01-01,01관,"09:20,  국제시장(디지털),  6,000원","12:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","13:45,  뽀로로 극장판 눈요정 마을 대모험(디지털),  8,000원","14:50,  국제시장(디지털),  10,000원","17:25,  국제시장(디지털),  10,000원","20:05,  개를 훔치는 완벽한 방법(디지털),  10,000원","22:25,  기술자들(디지털),  10,000원","24:35,  국제시장(디지털)",,84
2015-01-01,02관,"09:50,  마다가스카의 펭귄(디지털더빙),  6,500원","11:50,  마다가스카의 펭귄(디지털더빙),  10,000원","14:00,  마다가스카의 펭귄(디지털더빙),  10,000원","16:00,  마다가스카의 펭귄(디지털더빙),  10,000원","18:00,  님아, 그 강을 건너지 마오(디지털),  10,000원","20:00,  국제시장(디지털),  10,000원","22:30,  국제시장(디지털)","25:10,  국제시장(디지털)",,114
2015-01-01,03관,"10:50,  국제시장(디지털),  7,000원","13:20,  국제시장(디지털),  10,000원","15:50,  국제시장(디지털),  10,000원","18:20,  국제시장(디지털),  10,000원","21:00,  국제시장(디지털),  10,000원","23:30,  국제시장(디지털),  9,000원",,,,114
2015-01-01,04관,"08:10,  테이큰 3(디지털),  6,000원","10:30,  개를 훔치는 완벽한 방법(디지털),  10,000원","12:50,  테이큰 3(디지털),  10,000원","15:10,  테이큰 3(디지털),  10,000원","17:30,  테이큰 3(디지털),  10,000원","19:50,  테이큰 3(디지털),  10,000원","22:10,  테이큰 3(디지털),  10,000원","24:30,  테이큰 3(디지털),  9,000원",,112
2015-01-02,01관,"09:00,  님아, 그 강을 건너지 마오(디지털)","11:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙)","13:00,  개를 훔치는 완벽한 방법(디지털),  10,000원","15:20,  뽀로로 극장판 눈요정 마을 대모험(디지털),  5,000원","16:30,  국제시장(디지털),  10,000원","19:00,  개를 훔치는 완벽한 방법(디지털)","21:20,  기술자들(디지털)","24:00,  테이큰 3(디지털)",,84
2015-01-02,02관,"10:00,  마다가스카의 펭귄(디지털더빙),  7,000원","12:00,  마다가스카의 펭귄(디지털더빙)","14:00,  마다가스카의 펭귄(디지털더빙)","16:00,  마다가스카의 펭귄(디지털더빙)","18:00,  님아, 그 강을 건너지 마오(디지털)","20:00,  님아, 그 강을 건너지 마오(디지털)","22:00,  국제시장(디지털)","24:40,  국제시장(디지털)",,114
2015-01-02,03관,"09:40,  국제시장(디지털),  7,000원","12:20,  국제시장(디지털),  10,000원","15:00,  국제시장(디지털),  10,000원","17:40,  국제시장(디지털),  10,000원","20:20,  국제시장(디지털),  10,000원","23:00,  국제시장(디지털)",,,,114
2015-01-02,04관,"09:10,  테이큰 3(디지털),  6,000원","11:30,  테이큰 3(디지털)","13:50,  테이큰 3(디지털)","16:10,  테이큰 3(디지털)","18:30,  테이큰 3(디지털)","21:00,  테이큰 3(디지털)","23:30,  테이큰 3(디지털)",,,112
2015-01-03,01관,"10:00,  마다가스카의 펭귄(디지털더빙),  10,000원","12:00,  개를 훔치는 완벽한 방법(디지털),  10,000원","14:15,  뽀로로 극장판 눈요정 마을 대모험(디지털),  7,000원","15:25,  국제시장(디지털),  10,000원","18:00,  국제시장(디지털),  10,000원","20:40,  국제시장(디지털),  10,000원","23:30,  기술자들(디지털),  9,000원",,,84
2015-01-03,02관,"09:00,  마다가스카의 펭귄(디지털더빙),  6,000원","11:05,  마다가스카의 펭귄(디지털더빙),  10,000원","13:10,  마다가스카의 펭귄(디지털더빙),  10,000원","15:15,  마다가스카의 펭귄(디지털더빙),  10,000원","17:20,  님아, 그 강을 건너지 마오(디지털),  10,000원","19:20,  테이큰 3(디지털),  10,000원","21:45,  님아, 그 강을 건너지 마오(디지털),  10,000원","23:45,  국제시장(디지털),  9,000원",,114
2015-01-03,03관,"08:40,  국제시장(디지털),  9,000원","11:20,  국제시장(디지털),  10,000원","14:10,  국제시장(디지털),  10,000원","16:50,  국제시장(디지털),  10,000원","19:30,  국제시장(디지털),  10,000원","22:10,  국제시장(디지털),  10,000원","24:50,  국제시장(디지털),  9,000원",,,114
2015-01-03,04관,"08:20,  테이큰 3(디지털),  6,000원","10:45,  테이큰 3(디지털),  10,000원","13:30,  테이큰 3(디지털),  10,000원","16:00,  테이큰 3(디지털),  10,000원","18:25,  테이큰 3(디지털),  10,000원","20:50,  테이큰 3(디지털),  10,000원","23:15,  테이큰 3(디지털),  9,000원","25:40,  테이큰 3(디지털),  9,000원",,112
2015-01-04,01관,"10:20,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  7,000원","12:10,  님아, 그 강을 건너지 마오(디지털),  10,000원","14:40,  뽀로로 극장판 눈요정 마을 대모험(디지털),  7,000원","15:50,  개를 훔치는 완벽한 방법(디지털),  10,000원","18:10,  국제시장(디지털),  10,000원","20:50,  국제시장(디지털),  10,000원","23:30,  테이큰 3(디지털),  9,000원",,,84
2015-01-04,02관,"09:00,  마다가스카의 펭귄(디지털더빙),  6,000원","11:05,  마다가스카의 펭귄(디지털더빙),  10,000원","13:10,  마다가스카의 펭귄(디지털더빙),  10,000원","15:15,  마다가스카의 펭귄(디지털더빙),  10,000원","17:20,  테이큰 3(디지털),  10,000원","19:50,  님아, 그 강을 건너지 마오(디지털),  10,000원","21:50,  님아, 그 강을 건너지 마오(디지털),  10,000원","23:50,  기술자들(디지털),  9,000원",,114
2015-01-04,03관,"08:40,  국제시장(디지털),  9,000원","11:20,  국제시장(디지털),  10,000원","14:00,  국제시장(디지털),  10,000원","16:40,  국제시장(디지털),  10,000원","19:20,  국제시장(디지털),  10,000원","22:00,  국제시장(디지털),  10,000원","24:40,  국제시장(디지털),  4,000원",,,114
2015-01-04,04관,"08:20,  테이큰 3(디지털),  6,000원","10:45,  테이큰 3(디지털),  10,000원","13:30,  테이큰 3(디지털),  10,000원","16:00,  국제시장(디지털),  10,000원","18:45,  테이큰 3(디지털),  10,000원","21:10,  테이큰 3(디지털),  10,000원","23:35,  국제시장(디지털),  9,000원",,,112
2015-01-05,01관,"09:10,  님아, 그 강을 건너지 마오(디지털),  6,000원","11:10,  개를 훔치는 완벽한 방법(디지털),  9,000원","13:30,  테이큰 3(디지털),  9,000원","16:00,  테이큰 3(디지털),  9,000원","18:25,  개를 훔치는 완벽한 방법(디지털),  9,000원","20:45,  님아, 그 강을 건너지 마오(디지털),  9,000원","22:50,  테이큰 3(디지털),  9,000원",,,84
2015-01-05,02관,"10:00,  국제시장(디지털),  6,000원","12:40,  국제시장(디지털),  8,000원","15:30,  국제시장(디지털),  9,000원","18:10,  국제시장(디지털),  9,000원","21:00,  국제시장(디지털),  9,000원","23:40,  국제시장(디지털),  9,000원",,,,114
2015-01-05,03관,"09:00,  마다가스카의 펭귄(디지털더빙),  6,000원","11:05,  마다가스카의 펭귄(디지털더빙),  9,000원","13:10,  마다가스카의 펭귄(디지털더빙),  8,000원","15:15,  마다가스카의 펭귄(디지털더빙),  8,000원","17:20,  국제시장(디지털),  9,000원","20:00,  국제시장(디지털),  9,000원","22:40,  국제시장(디지털),  9,000원",,,114
