상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2015-01-01,01관,"09:10,  마다가스카의 펭귄(디지털더빙),  7,000원","11:00,  국제시장(디지털),  9,000원","13:25,  마다가스카의 펭귄(디지털더빙),  9,000원","15:15,  마다가스카의 펭귄(디지털더빙),  9,000원","17:10,  국제시장(디지털),  9,000원","19:35,  국제시장(디지털),  9,000원","22:00,  테이큰 3(디지털),  9,000원",,,,120
2015-01-01,02관,"09:30,  국제시장(디지털),  5,000원","11:55,  마다가스카의 펭귄(디지털더빙),  9,000원","13:50,  국제시장(디지털),  9,000원","16:15,  마다가스카의 펭귄(디지털더빙),  9,000원","18:10,  님아, 그 강을 건너지 마오(디지털),  9,000원","19:55,  님아, 그 강을 건너지 마오(디지털),  9,000원","21:40,  국제시장(디지털),  9,000원",,,,72
2015-01-02,01관,"09:30,  마다가스카의 펭귄(디지털더빙),  7,000원","11:20,  님아, 그 강을 건너지 마오(디지털)","13:20,  마다가스카의 펭귄(디지털더빙),  9,000원","15:20,  마다가스카의 펭귄(디지털더빙),  9,000원","17:10,  마다가스카의 펭귄(디지털더빙),  9,000원","19:10,  국제시장(디지털),  9,000원","21:35,  국제시장(디지털),  9,000원",,,,120
2015-01-02,02관,"09:10,  국제시장(디지털),  5,000원","11:40,  뽀로로 극장판 눈요정 마을 대모험(디지털),  5,000원","12:35,  국제시장(디지털)","14:30,  뽀로로 극장판 눈요정 마을 대모험(디지털),  7,000원","15:40,  국제시장(디지털),  9,000원","18:10,  님아, 그 강을 건너지 마오(디지털),  9,000원","21:55,  테이큰 3(디지털),  9,000원",,"20:05,  님아, 그 강을 건너지 마오(디지털),  9,000원",,72
2015-01-03,01관,"09:10,  국제시장(디지털)","11:05,  마다가스카의 펭귄(디지털더빙),  9,000원","12:40,  마다가스카의 펭귄(디지털더빙)","14:40,  마다가스카의 펭귄(디지털더빙)","16:40,  국제시장(디지털)","19:05,  국제시장(디지털)","21:30,  국제시장(디지털)",,,,120
2015-01-03,02관,"09:15,  국제시장(디지털),  8,000원","11:20,  국제시장(디지털)","13:45,  국제시장(디지털)","16:00,  마다가스카의 펭귄(디지털더빙),  9,000원","17:50,  국제시장(디지털),  9,000원","19:55,  님아, 그 강을 건너지 마오(디지털)","21:50,  테이큰 3(디지털)",,,,72
2015-01-04,01관,"09:10,  마다가스카의 펭귄(디지털더빙),  5,000원","11:00,  마다가스카의 펭귄(디지털더빙),  9,000원","12:55,  마다가스카의 펭귄(디지털더빙),  9,000원","14:50,  마다가스카의 펭귄(디지털더빙),  7,000원","16:45,  국제시장(디지털),  9,000원","19:10,  국제시장(디지털),  9,000원","21:35,  국제시장(디지털),  9,000원",,,,120
2015-01-04,02관,"09:10,  국제시장(디지털)","11:35,  국제시장(디지털)","14:00,  국제시장(디지털)","16:00,  마다가스카의 펭귄(디지털더빙),  9,000원","17:50,  국제시장(디지털),  9,000원","20:10,  님아, 그 강을 건너지 마오(디지털)","21:55,  테이큰 3(디지털)",,,,72
2015-01-05,01관,"09:10,  마다가스카의 펭귄(디지털더빙),  5,000원","11:00,  국제시장(디지털),  8,000원","13:25,  마다가스카의 펭귄(디지털더빙),  9,000원","15:15,  마다가스카의 펭귄(디지털더빙),  8,000원","17:10,  국제시장(디지털),  8,000원","19:35,  국제시장(디지털),  9,000원","22:00,  테이큰 3(디지털),  8,000원",,,,120
2015-01-05,02관,"09:30,  국제시장(디지털),  7,500원","11:55,  마다가스카의 펭귄(디지털더빙),  8,000원","13:50,  국제시장(디지털),  9,000원","16:15,  마다가스카의 펭귄(디지털더빙),  8,000원","18:10,  님아, 그 강을 건너지 마오(디지털),  8,000원","19:55,  님아, 그 강을 건너지 마오(디지털),  8,000원","21:40,  국제시장(디지털),  8,000원",,,,72
2015-01-06,01관,"09:10,  마다가스카의 펭귄(디지털더빙),  5,000원","11:00,  국제시장(디지털),  8,000원","13:25,  마다가스카의 펭귄(디지털더빙),  8,000원","15:15,  마다가스카의 펭귄(디지털더빙),  8,000원","17:05,  국제시장(디지털),  9,000원","19:30,  국제시장(디지털),  8,000원","21:55,  테이큰 3(디지털),  8,000원",,,,120
2015-01-06,02관,"09:30,  국제시장(디지털),  5,000원","11:55,  마다가스카의 펭귄(디지털더빙),  8,000원","13:50,  국제시장(디지털),  8,000원","16:15,  마다가스카의 펭귄(디지털더빙),  8,000원","18:10,  님아, 그 강을 건너지 마오(디지털),  8,000원","19:55,  님아, 그 강을 건너지 마오(디지털),  8,000원","21:40,  국제시장(디지털),  8,000원",,,,72
2015-01-07,01관,"09:10,  국제시장(디지털),  8,000원","11:35,  님아, 그 강을 건너지 마오(디지털),  8,000원","13:20,  패딩턴(디지털더빙),  8,000원","15:15,  마다가스카의 펭귄(디지털더빙),  9,000원","17:05,  패딩턴(디지털더빙),  8,000원","19:00,  국제시장(디지털),  8,000원","21:30,  국제시장(디지털),  8,000원",,,,120
