상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2015-01-01,01관,"08:30,  국제시장(디지털),  6,000원","11:00,  국제시장(디지털),  9,000원","13:30,  국제시장(디지털),  9,000원","16:00,  국제시장(디지털),  9,000원","18:30,  국제시장(디지털),  9,000원","21:00,  국제시장(디지털),  9,000원","23:30,  국제시장(디지털),  9,000원",,,153
2015-01-01,02관,"09:00,  마다가스카의 펭귄(디지털더빙),  5,000원","10:55,  마다가스카의 펭귄(디지털더빙),  9,000원","12:50,  마다가스카의 펭귄(디지털더빙),  9,000원","14:45,  마다가스카의 펭귄(디지털더빙),  9,000원","16:40,  마다가스카의 펭귄(디지털더빙),  9,000원","18:35,  기술자들(디지털),  9,000원","20:55,  기술자들(디지털),  9,000원","23:15,  님아, 그 강을 건너지 마오(디지털),  9,000원",,152
2015-01-01,03관,"08:40,  테이큰 3(디지털),  6,000원","11:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  7,000원","12:40,  국제시장(디지털),  9,000원","15:20,  마다가스카의 펭귄(디지털더빙),  9,000원","17:25,  국제시장(디지털),  9,000원","19:55,  테이큰 3(디지털),  9,000원","22:10,  테이큰 3(디지털),  9,000원","24:25,  테이큰 3(디지털),  9,000원",,138
2015-01-01,Table M관,"08:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","10:20,  기술자들(디지털),  9,000원","12:40,  님아, 그 강을 건너지 마오(디지털),  9,000원","14:30,  호빗: 다섯 군대 전투(디지털),  9,000원","17:10,  테이큰 3(디지털),  9,000원","19:40,  호빗: 다섯 군대 전투(디지털),  9,000원","22:20,  국제시장(디지털),  9,000원",,,36
2015-01-02,01관,"08:30,  국제시장(디지털),  5,000원","11:00,  국제시장(디지털),  9,000원","13:30,  국제시장(디지털),  9,000원","16:00,  국제시장(디지털),  9,000원","18:30,  국제시장(디지털),  9,000원","21:00,  국제시장(디지털),  9,000원","23:30,  국제시장(디지털),  9,000원",,,153
2015-01-02,02관,"09:20,  마다가스카의 펭귄(디지털더빙),  5,000원","11:15,  마다가스카의 펭귄(디지털더빙),  9,000원","13:10,  마다가스카의 펭귄(디지털더빙),  9,000원","15:05,  마다가스카의 펭귄(디지털더빙),  9,000원","17:00,  국제시장(디지털),  9,000원","19:30,  국제시장(디지털),  9,000원","22:00,  국제시장(디지털),  9,000원","24:30,  국제시장(디지털),  9,000원",,152
2015-01-02,03관,"08:50,  테이큰 3(디지털),  5,000원","11:00,  님아, 그 강을 건너지 마오(디지털),  9,000원","12:45,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  9,000원","14:25,  테이큰 3(디지털),  9,000원","16:40,  테이큰 3(디지털),  9,000원","18:55,  테이큰 3(디지털),  9,000원","21:10,  테이큰 3(디지털),  9,000원","23:25,  테이큰 3(디지털),  9,000원",,138
2015-01-02,Table M관,"08:50,  님아, 그 강을 건너지 마오(디지털),  5,000원","10:40,  테이큰 3(디지털),  9,000원","12:55,  님아, 그 강을 건너지 마오(디지털),  9,000원","14:45,  호빗: 다섯 군대 전투(디지털),  9,000원","17:20,  님아, 그 강을 건너지 마오(디지털),  9,000원","19:10,  기술자들(디지털),  9,000원","21:35,  기술자들(디지털),  9,000원","23:55,  님아, 그 강을 건너지 마오(디지털),  9,000원",,36
2015-01-03,01관,"08:30,  국제시장(디지털),  8,000원","11:00,  국제시장(디지털),  9,000원","13:30,  국제시장(디지털),  9,000원","16:00,  국제시장(디지털),  9,000원","18:30,  국제시장(디지털),  9,000원","21:00,  국제시장(디지털),  9,000원","23:30,  국제시장(디지털),  9,000원",,,153
2015-01-03,02관,"09:30,  국제시장(디지털),  6,000원","12:00,  국제시장(디지털),  9,000원","14:30,  국제시장(디지털),  9,000원","17:00,  국제시장(디지털),  9,000원","19:30,  국제시장(디지털),  9,000원","22:00,  국제시장(디지털),  9,000원","24:30,  테이큰 3(디지털),  9,000원",,,152
