상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2017-09-28,01관,"16:00,  킬러의 보디가드(디지털)","18:30,  킬러의 보디가드(디지털)",,,,,,,89
2017-09-28,02관,"15:30,  아빠는 딸(디지털)","18:00,  아빠는 딸(디지털)",,,,,,,133
2017-09-28,03관,"15:00,  동주(디지털)","17:30,  럭키(디지털)",,,,,,,116
2017-09-28,04관,"15:30,  더 킹(디지털)","18:40,  더 킹(디지털)",,,,,,,116
2017-09-28,05관,"17:00,  매직울프(디지털더빙)","19:00,  럭키(디지털)",,,,,,,171
2017-09-28,06관(프리미엄),"16:00,  특별시민(디지털)","18:40,  특별시민(디지털)",,,,,,,40
2017-09-29,01관,"16:00,  킬러의 보디가드(디지털)","18:30,  킬러의 보디가드(디지털)","21:00,  아이 캔 스피크(디지털),  10,000원",,,,,,89
2017-09-29,02관,"15:30,  아빠는 딸(디지털)","18:00,  아빠는 딸(디지털)","20:30,  킹스맨: 골든 서클(디지털),  10,000원",,,,,,133
2017-09-29,03관,"14:00,  동주(디지털)","17:00,  럭키(디지털)","19:20,  킹스맨: 골든 서클(디지털),  10,000원","22:30,  킹스맨: 골든 서클(디지털),  10,000원",,,,,116
2017-09-29,04관,"15:30,  더 킹(디지털)","18:40,  더 킹(디지털)","21:20,  킹스맨: 골든 서클(디지털),  10,000원",,,,,,116
2017-09-29,05관,"13:00,  매직울프(디지털더빙)","18:00,  럭키(디지털)","20:20,  아이 캔 스피크(디지털),  10,000원","22:50,  아이 캔 스피크(디지털),  10,000원",,,,,171
2017-09-29,06관(프리미엄),"16:00,  특별시민(디지털)","18:40,  특별시민(디지털)","21:30,  살인자의 기억법(디지털),  10,000원",,,,,,40
2017-09-30,01관,"09:00,  아이 캔 스피크(디지털),  6,000원","11:25,  아이 캔 스피크(디지털),  10,000원","13:50,  아이 캔 스피크(디지털),  10,000원","16:15,  아이 캔 스피크(디지털),  10,000원","18:45,  아이 캔 스피크(디지털),  10,000원","21:10,  아이 캔 스피크(디지털),  10,000원","23:35,  아이 캔 스피크(디지털),  6,000원",,89
2017-09-30,02관,"10:10,  킹스맨: 골든 서클(디지털),  7,000원","13:00,  킹스맨: 골든 서클(디지털),  10,000원","15:50,  킹스맨: 골든 서클(디지털),  10,000원","18:40,  킹스맨: 골든 서클(디지털),  10,000원","21:30,  킹스맨: 골든 서클(디지털),  10,000원","24:20,  킹스맨: 골든 서클(디지털),  6,000원",,,133
2017-09-30,03관,"10:05,  살인자의 기억법(디지털),  6,500원","12:30,  아이 캔 스피크(디지털),  10,000원","14:55,  레고 닌자고 무비(디지털더빙),  10,000원","17:05,  아이 캔 스피크(디지털),  10,000원","19:30,  아이 캔 스피크(디지털),  10,000원","22:00,  아이 캔 스피크(디지털),  10,000원","24:25,  아이 캔 스피크(디지털),  6,000원",,116
2017-09-30,04관,"10:20,  극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!(디지털더빙),  7,000원","12:15,  극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!(디지털더빙),  10,000원","14:10,  극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!(디지털더빙),  10,000원","16:05,  극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!(디지털더빙),  10,000원","18:00,  킬러의 보디가드(디지털),  6,000원","20:25,  킬러의 보디가드(디지털),  6,500원","22:50,  킬러의 보디가드(디지털),  10,000원",,116
2017-09-30,05관,"09:10,  킹스맨: 골든 서클(디지털),  6,000원","12:00,  킹스맨: 골든 서클(디지털),  10,000원","14:50,  킹스맨: 골든 서클(디지털),  10,000원","17:40,  킹스맨: 골든 서클(디지털),  10,000원","20:30,  킹스맨: 골든 서클(디지털),  10,000원","23:20,  킹스맨: 골든 서클(디지털),  7,500원",,,171
2017-09-30,06관(프리미엄),"09:00,  레고 닌자고 무비(디지털더빙),  7,000원","11:10,  킹스맨: 골든 서클(디지털)","14:00,  킹스맨: 골든 서클(디지털),  10,000원","16:50,  킹스맨: 골든 서클(디지털),  10,000원","19:40,  킹스맨: 골든 서클(디지털),  10,000원","22:30,  킹스맨: 골든 서클(디지털),  10,000원",,,40
2017-10-01,01관,"09:00,  아이 캔 스피크(디지털),  6,000원","11:25,  아이 캔 스피크(디지털),  10,000원","13:50,  아이 캔 스피크(디지털),  10,000원","16:15,  아이 캔 스피크(디지털),  10,000원","18:45,  아이 캔 스피크(디지털),  10,000원","21:10,  아이 캔 스피크(디지털),  10,000원","23:35,  아이 캔 스피크(디지털),  6,000원",,89
2017-10-01,02관,"10:10,  킹스맨: 골든 서클(디지털),  6,000원","13:00,  킹스맨: 골든 서클(디지털),  10,000원","15:50,  킹스맨: 골든 서클(디지털),  10,000원","18:40,  킹스맨: 골든 서클(디지털),  10,000원","21:30,  킹스맨: 골든 서클(디지털),  10,000원","24:20,  킹스맨: 골든 서클(디지털),  9,000원",,,133
2017-10-01,03관,"10:05,  살인자의 기억법(디지털),  7,000원","12:30,  아이 캔 스피크(디지털),  10,000원","14:55,  레고 닌자고 무비(디지털더빙),  10,000원","17:05,  아이 캔 스피크(디지털),  10,000원","19:30,  아이 캔 스피크(디지털),  10,000원","22:00,  아이 캔 스피크(디지털),  10,000원","24:25,  아이 캔 스피크(디지털),  6,000원",,116
2017-10-01,04관,"10:20,  극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!(디지털더빙),  9,000원","12:15,  극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!(디지털더빙),  10,000원","14:10,  극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!(디지털더빙),  10,000원","16:05,  극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!(디지털더빙),  10,000원","18:00,  킬러의 보디가드(디지털),  6,000원","20:25,  킬러의 보디가드(디지털),  9,000원","22:50,  킬러의 보디가드(디지털),  10,000원",,116
2017-10-01,05관,"09:10,  킹스맨: 골든 서클(디지털),  8,000원","12:00,  킹스맨: 골든 서클(디지털),  10,000원","14:50,  킹스맨: 골든 서클(디지털),  10,000원","17:40,  킹스맨: 골든 서클(디지털),  10,000원","20:30,  킹스맨: 골든 서클(디지털),  10,000원","23:20,  킹스맨: 골든 서클(디지털),  6,000원",,,171
2017-10-01,06관(프리미엄),"09:00,  레고 닌자고 무비(디지털더빙),  7,000원","11:10,  킹스맨: 골든 서클(디지털),  10,000원","14:00,  킹스맨: 골든 서클(디지털),  10,000원","16:50,  킹스맨: 골든 서클(디지털),  10,000원","19:40,  킹스맨: 골든 서클(디지털),  10,000원","22:30,  킹스맨: 골든 서클(디지털),  10,000원",,,40
