상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2015-01-01,01관,"08:30,  국제시장(디지털),  6,000원","11:00,  국제시장(디지털),  9,000원","13:40,  국제시장(디지털),  9,000원","16:15,  국제시장(디지털),  9,000원","18:50,  국제시장(디지털),  9,000원","21:25,  국제시장(디지털),  9,000원","24:00,  국제시장(디지털),  9,000원","26:30,  국제시장(디지털)",,,248
2015-01-01,02관,"08:45,  기술자들(디지털),  6,000원","11:10,  기술자들(디지털),  9,000원","13:35,  기술자들(디지털),  9,000원","16:00,  기술자들(디지털),  9,000원","18:20,  기술자들(디지털),  9,000원","20:45,  기술자들(디지털),  9,000원","23:10,  기술자들(디지털),  9,000원","25:30,  기술자들(디지털),  9,000원",,,195
2015-01-01,03관,"08:40,  님아, 그 강을 건너지 마오(디지털),  6,000원","10:30,  님아, 그 강을 건너지 마오(디지털),  9,000원","12:20,  님아, 그 강을 건너지 마오(디지털),  9,000원","14:15,  님아, 그 강을 건너지 마오(디지털),  9,000원","16:10,  님아, 그 강을 건너지 마오(디지털),  9,000원","18:00,  님아, 그 강을 건너지 마오(디지털),  9,000원","19:50,  님아, 그 강을 건너지 마오(디지털),  9,000원","21:40,  님아, 그 강을 건너지 마오(디지털),  9,000원","23:30,  님아, 그 강을 건너지 마오(디지털),  9,000원","25:15,  님아, 그 강을 건너지 마오(디지털),  9,000원",100
2015-01-01,04관,"07:30,  상의원(디지털),  6,000원","10:00,  국제시장(디지털),  9,000원","12:40,  국제시장(디지털),  9,000원","15:15,  국제시장(디지털),  9,000원","17:50,  국제시장(디지털),  9,000원","20:20,  국제시장(디지털),  9,000원","22:50,  상의원(디지털),  9,000원","25:20,  상의원(디지털),  9,000원",,,100
2015-01-01,05관,"10:05,  테이큰 3(디지털),  9,000원","12:25,  테이큰 3(디지털),  9,000원","14:45,  테이큰 3(디지털),  9,000원","17:05,  테이큰 3(디지털),  9,000원","19:25,  테이큰 3(디지털),  9,000원","21:45,  테이큰 3(디지털),  9,000원","24:05,  테이큰 3(디지털),  9,000원","26:20,  테이큰 3(디지털)",,,189
2015-01-02,01관,"08:45,  국제시장(디지털),  9,000원","11:20,  국제시장(디지털),  9,000원","14:00,  국제시장(디지털),  9,000원","16:30,  국제시장(디지털),  9,000원","19:00,  국제시장(디지털),  9,000원","21:30,  국제시장(디지털),  9,000원","24:00,  국제시장(디지털),  9,000원","26:30,  국제시장(디지털)",,,248
2015-01-02,02관,"08:00,  상의원(디지털),  6,000원","10:30,  상의원(디지털),  9,000원","12:55,  기술자들(디지털)","15:15,  기술자들(디지털)","17:35,  기술자들(디지털)","19:55,  기술자들(디지털)","22:15,  기술자들(디지털)","24:40,  기술자들(디지털)",,,195
2015-01-02,03관,"08:30,  님아, 그 강을 건너지 마오(디지털),  6,000원","10:20,  님아, 그 강을 건너지 마오(디지털),  9,000원","12:20,  님아, 그 강을 건너지 마오(디지털),  9,000원","14:15,  님아, 그 강을 건너지 마오(디지털),  9,000원","16:10,  님아, 그 강을 건너지 마오(디지털),  9,000원","18:10,  님아, 그 강을 건너지 마오(디지털),  9,000원","20:00,  님아, 그 강을 건너지 마오(디지털),  9,000원","21:50,  님아, 그 강을 건너지 마오(디지털),  9,000원","23:45,  님아, 그 강을 건너지 마오(디지털),  9,000원","25:40,  님아, 그 강을 건너지 마오(디지털),  9,000원",100
2015-01-02,04관,"08:00,  상의원(디지털)","10:30,  상의원(디지털),  9,000원","12:55,  기술자들(디지털),  9,000원","15:15,  기술자들(디지털),  9,000원","17:35,  기술자들(디지털),  9,000원","19:55,  기술자들(디지털),  9,000원","22:15,  기술자들(디지털),  9,000원","24:40,  기술자들(디지털),  8,000원",,,100
2015-01-02,05관,"09:00,  테이큰 3(디지털),  6,000원","11:15,  테이큰 3(디지털),  9,000원","13:35,  테이큰 3(디지털),  9,000원","16:00,  테이큰 3(디지털),  9,000원","18:20,  테이큰 3(디지털),  9,000원","20:35,  테이큰 3(디지털),  9,000원","22:50,  테이큰 3(디지털),  9,000원","25:10,  테이큰 3(디지털),  9,000원",,,189
