상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2015-01-01,01관,"09:45,  뽀로로 극장판 눈요정 마을 대모험(디지털),  5,000원","10:50,  뽀로로 극장판 눈요정 마을 대모험(디지털),  6,500원","12:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  9,000원","13:50,  뽀로로 극장판 눈요정 마을 대모험(디지털),  9,000원","15:00,  국제시장(디지털),  9,000원","17:35,  국제시장(디지털),  9,000원","20:10,  국제시장(디지털),  9,000원","22:45,  국제시장(디지털),  9,000원","25:15,  더 테너 리리코 스핀토(디지털)",,107
2015-01-01,02관,"08:00,  마다가스카의 펭귄(디지털더빙),  6,000원","10:00,  님아, 그 강을 건너지 마오(디지털),  9,000원","11:50,  님아, 그 강을 건너지 마오(디지털),  9,000원","13:45,  님아, 그 강을 건너지 마오(디지털),  9,000원","15:40,  님아, 그 강을 건너지 마오(디지털),  9,000원","17:30,  님아, 그 강을 건너지 마오(디지털),  9,000원","19:30,  님아, 그 강을 건너지 마오(디지털),  9,000원","21:25,  님아, 그 강을 건너지 마오(디지털),  9,000원","23:20,  님아, 그 강을 건너지 마오(디지털),  9,000원","25:10,  국제시장(디지털),  9,000원",97
2015-01-01,03관,"08:00,  국제시장(디지털),  6,000원","10:35,  국제시장(디지털),  9,000원","13:10,  국제시장(디지털),  9,000원","15:45,  국제시장(디지털),  9,000원","18:20,  국제시장(디지털),  9,000원","20:55,  국제시장(디지털),  9,000원","23:30,  국제시장(디지털),  9,000원",,,,136
2015-01-01,04관,"07:40,  호빗: 다섯 군대 전투(디지털),  6,000원","10:30,  마다가스카의 펭귄(디지털더빙),  9,000원","12:30,  마다가스카의 펭귄(디지털더빙),  9,000원","14:30,  마다가스카의 펭귄(디지털더빙),  9,000원","16:25,  마다가스카의 펭귄(디지털더빙),  9,000원","18:30,  기술자들(디지털),  9,000원","20:50,  기술자들(디지털),  9,000원","23:10,  기술자들(디지털),  9,000원","25:30,  기술자들(디지털),  9,000원",,115
2015-01-01,05관,"08:20,  테이큰 3(디지털),  6,000원","10:40,  테이큰 3(디지털),  9,000원","13:00,  테이큰 3(디지털),  9,000원","15:20,  테이큰 3(디지털),  9,000원","17:40,  테이큰 3(디지털),  9,000원","20:00,  테이큰 3(디지털),  9,000원","22:20,  테이큰 3(디지털),  9,000원","24:40,  테이큰 3(디지털),  9,000원",,,127
2015-01-01,06관,"09:00,  국제시장(디지털),  6,000원","11:30,  국제시장(디지털),  9,000원","14:00,  국제시장(디지털),  9,000원","16:35,  국제시장(디지털),  9,000원","19:10,  국제시장(디지털),  9,000원","21:45,  국제시장(디지털),  9,000원","24:20,  국제시장(디지털),  9,000원",,,,127
2015-01-02,01관,"08:20,  더 테너 리리코 스핀토(디지털),  6,000원","10:30,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  9,000원","12:20,  뽀로로 극장판 눈요정 마을 대모험(디지털),  5,000원","13:25,  뽀로로 극장판 눈요정 마을 대모험(디지털),  9,000원","14:30,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  9,000원","16:20,  국제시장(디지털),  9,000원","18:50,  국제시장(디지털),  9,000원","21:20,  국제시장(디지털),  9,000원","24:00,  더 테너 리리코 스핀토(디지털)",,107
2015-01-02,02관,"09:40,  테이큰 3(디지털),  5,000원","12:05,  님아, 그 강을 건너지 마오(디지털),  9,000원","14:00,  님아, 그 강을 건너지 마오(디지털),  9,000원","15:50,  님아, 그 강을 건너지 마오(디지털),  9,000원","17:45,  님아, 그 강을 건너지 마오(디지털),  9,000원","19:40,  님아, 그 강을 건너지 마오(디지털),  9,000원","21:30,  기술자들(디지털),  9,000원","23:50,  님아, 그 강을 건너지 마오(디지털),  9,000원","25:40,  님아, 그 강을 건너지 마오(디지털),  9,000원",,97
2015-01-02,03관,"08:00,  국제시장(디지털),  6,500원","10:40,  국제시장(디지털),  9,000원","13:10,  국제시장(디지털),  9,000원","15:40,  국제시장(디지털),  9,000원","18:10,  국제시장(디지털),  9,000원","20:40,  국제시장(디지털),  9,000원","23:10,  국제시장(디지털),  9,000원","25:40,  국제시장(디지털),  9,000원",,,136
2015-01-02,04관,"08:30,  호빗: 다섯 군대 전투(디지털),  7,000원","11:20,  마다가스카의 펭귄(디지털더빙),  9,000원","13:30,  마다가스카의 펭귄(디지털더빙),  9,000원","15:35,  마다가스카의 펭귄(디지털더빙),  9,000원","17:35,  기술자들(디지털),  9,000원","20:10,  기술자들(디지털),  9,000원","22:30,  호빗: 다섯 군대 전투(디지털),  9,000원","25:20,  기술자들(디지털),  9,000원",,,115
2015-01-02,05관,"08:20,  테이큰 3(디지털),  7,000원","10:40,  테이큰 3(디지털),  9,000원","13:00,  테이큰 3(디지털),  9,000원","15:20,  테이큰 3(디지털),  9,000원","17:40,  테이큰 3(디지털),  9,000원","20:00,  테이큰 3(디지털),  9,000원","22:20,  테이큰 3(디지털),  9,000원","24:40,  테이큰 3(디지털),  9,000원",,,127
2015-01-02,06관,"09:20,  국제시장(디지털),  7,000원","11:50,  국제시장(디지털),  9,000원","14:25,  국제시장(디지털),  9,000원","17:00,  국제시장(디지털),  9,000원","19:35,  국제시장(디지털),  9,000원","22:10,  국제시장(디지털),  9,000원","24:45,  국제시장(디지털),  9,000원",,,,127
2015-01-03,01관,"09:40,  뽀로로 극장판 눈요정 마을 대모험(디지털),  5,000원","10:40,  뽀로로 극장판 눈요정 마을 대모험(디지털),  5,000원","11:40,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  9,000원","13:30,  뽀로로 극장판 눈요정 마을 대모험(디지털),  7,000원","14:40,  국제시장(디지털),  9,000원","17:15,  국제시장(디지털),  9,000원","19:50,  국제시장(디지털),  9,000원","22:20,  국제시장(디지털),  9,000원","24:50,  호빗: 다섯 군대 전투(디지털),  9,000원",,107
2015-01-03,02관,"08:10,  님아, 그 강을 건너지 마오(디지털),  7,000원","10:00,  님아, 그 강을 건너지 마오(디지털),  9,000원","11:50,  님아, 그 강을 건너지 마오(디지털),  9,000원","13:45,  님아, 그 강을 건너지 마오(디지털),  9,000원","15:40,  님아, 그 강을 건너지 마오(디지털),  9,000원","17:35,  님아, 그 강을 건너지 마오(디지털),  9,000원","19:30,  님아, 그 강을 건너지 마오(디지털),  9,000원","21:25,  님아, 그 강을 건너지 마오(디지털),  9,000원","23:20,  님아, 그 강을 건너지 마오(디지털),  9,000원","25:10,  님아, 그 강을 건너지 마오(디지털),  6,000원",97
2015-01-03,03관,"08:15,  국제시장(디지털),  6,000원","10:50,  국제시장(디지털),  9,000원","13:20,  국제시장(디지털),  9,000원","16:00,  국제시장(디지털),  9,000원","18:35,  국제시장(디지털),  9,000원","21:10,  국제시장(디지털),  9,000원","23:45,  국제시장(디지털),  9,000원",,,,136
2015-01-03,04관,"07:40,  호빗: 다섯 군대 전투(디지털),  8,000원","10:30,  마다가스카의 펭귄(디지털더빙),  9,000원","12:30,  마다가스카의 펭귄(디지털더빙),  9,000원","14:30,  마다가스카의 펭귄(디지털더빙),  9,000원","16:30,  마다가스카의 펭귄(디지털더빙),  9,000원","18:30,  기술자들(디지털),  9,000원","20:50,  기술자들(디지털),  9,000원","23:10,  기술자들(디지털),  9,000원","25:30,  국제시장(디지털),  9,000원",,115
2015-01-03,05관,"08:40,  마다가스카의 펭귄(디지털더빙),  6,000원","10:40,  테이큰 3(디지털),  9,000원","13:00,  테이큰 3(디지털),  9,000원","15:20,  테이큰 3(디지털),  9,000원","17:40,  테이큰 3(디지털),  9,000원","20:00,  테이큰 3(디지털)","22:20,  테이큰 3(디지털)","24:40,  테이큰 3(디지털)",,,127
