상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2016-05-25,01관(SCREENX),"11:30,  트럼보(디지털),  0원","14:10,  런던 해즈 폴른(디지털),  0원",,,,,,,,,159
2016-05-25,02관,"12:40,  인생은 아름다워(디지털),  0원","15:10,  오베라는 남자(디지털),  0원",,,,,,,,,172
2016-05-25,03관,"12:30,  다이노소어 어드벤처 : 백악기 공룡대백과(디지털더빙),  0원","14:40,  썸니아(디지털),  0원",,,,,,,,,154
2016-05-25,04관,"12:00,  해어화(디지털),  0원","15:00,  4등(디지털),  0원",,,,,,,,,159
2016-05-25,05관,"11:40,  시간이탈자(디지털),  0원","14:20,  본 투 비 블루(디지털),  0원",,,,,,,,,172
2016-05-25,06관,"13:00,  동주(디지털)","15:30,  널 기다리며(디지털)",,,,,,,,,154
2016-05-26,01관(SCREENX),"08:35,  엑스맨: 아포칼립스(디지털),  6,000원","11:25,  엑스맨: 아포칼립스(디지털),  8,000원","14:20,  엑스맨: 아포칼립스(디지털),  9,000원","17:15,  엑스맨: 아포칼립스(디지털),  9,000원","20:10,  엑스맨: 아포칼립스(3D 디지털),  12,000원","23:05,  엑스맨: 아포칼립스(디지털),  10,000원",,,,,159
2016-05-26,02관,"09:40,  엑스맨: 아포칼립스(디지털),  7,000원","12:35,  엑스맨: 아포칼립스(디지털),  8,000원","15:30,  엑스맨: 아포칼립스(디지털),  9,000원","18:25,  엑스맨: 아포칼립스(디지털),  10,000원","21:20,  엑스맨: 아포칼립스(디지털),  9,000원","24:15,  엑스맨: 아포칼립스(디지털),  9,000원",,,,,172
2016-05-26,03관,"08:50,  오베라는 남자(디지털),  6,000원","11:15,  싱 스트리트(디지털),  8,000원","13:30,  오베라는 남자(디지털),  8,000원","15:55,  앵그리버드 더 무비(디지털더빙),  9,000원","18:00,  싱 스트리트(디지털),  10,000원","20:15,  오베라는 남자(디지털),  10,000원","22:40,  싱 스트리트(디지털),  10,000원","24:55,  오베라는 남자(디지털),  9,000원",,,154
2016-05-26,04관,"08:40,  곡성(디지털),  6,000원","11:45,  곡성(디지털),  7,000원","14:50,  곡성(디지털),  9,000원","17:55,  곡성(디지털),  10,000원","21:00,  곡성(디지털),  10,000원","24:05,  곡성(디지털)",,,,,159
