상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2015-01-01,01관,"08:50,  국제시장(디지털),  6,000원","11:25,  국제시장(디지털),  10,000원","14:00,  국제시장(디지털),  10,000원","16:35,  국제시장(디지털),  10,000원","19:10,  국제시장(디지털),  10,000원","21:45,  국제시장(디지털),  10,000원","24:20,  국제시장(디지털),  10,000원",,,,164
2015-01-01,02관,"10:20,  기술자들(디지털),  6,500원","12:50,  기술자들(디지털),  10,000원","15:20,  기술자들(디지털),  10,000원","17:50,  기술자들(디지털),  10,000원","20:10,  기술자들(디지털),  10,000원","22:35,  기술자들(디지털),  10,000원","25:00,  기술자들(디지털),  7,000원",,,,166
2015-01-01,03관,"09:30,  상의원(디지털),  6,000원","12:05,  테이큰 3(디지털),  10,000원","14:25,  테이큰 3(디지털),  10,000원","16:45,  테이큰 3(디지털),  10,000원","19:05,  테이큰 3(디지털),  10,000원","21:25,  테이큰 3(디지털),  10,000원","23:45,  테이큰 3(디지털),  10,000원",,,,166
2015-01-01,04관,"10:10,  테이큰 3(디지털),  9,000원","12:30,  국제시장(디지털),  10,000원","15:05,  국제시장(디지털),  10,000원","17:40,  국제시장(디지털),  10,000원","20:15,  국제시장(디지털),  10,000원","22:50,  테이큰 3(디지털),  10,000원","25:10,  테이큰 3(디지털),  10,000원",,,,165
2015-01-02,01관,"08:50,  국제시장(디지털)","11:25,  국제시장(디지털)","14:00,  국제시장(디지털)","16:35,  국제시장(디지털)","19:10,  국제시장(디지털)","21:45,  국제시장(디지털)","24:20,  국제시장(디지털)",,,,164
2015-01-02,02관,"09:50,  기술자들(디지털),  6,000원","12:20,  테이큰 3(디지털),  10,000원","14:45,  기술자들(디지털),  10,000원","17:10,  테이큰 3(디지털),  10,000원","19:35,  기술자들(디지털),  10,000원","22:00,  테이큰 3(디지털),  10,000원","24:25,  기술자들(디지털),  10,000원",,,,166
2015-01-02,03관,"09:00,  국제시장(디지털),  6,000원","11:40,  국제시장(디지털),  10,000원","14:15,  국제시장(디지털),  10,000원","16:45,  테이큰 3(디지털)","19:05,  테이큰 3(디지털)","21:25,  테이큰 3(디지털)","23:45,  테이큰 3(디지털)",,,,166
2015-01-02,04관,"09:00,  테이큰 3(디지털),  7,000원","11:20,  테이큰 3(디지털),  10,000원","13:40,  테이큰 3(디지털),  10,000원","16:00,  테이큰 3(디지털),  10,000원","18:20,  테이큰 3(디지털),  10,000원","20:40,  테이큰 3(디지털),  10,000원","23:00,  테이큰 3(디지털),  10,000원","25:20,  테이큰 3(디지털),  10,000원",,,165
2015-01-03,01관,"08:50,  국제시장(디지털),  7,500원","11:25,  국제시장(디지털)","14:00,  국제시장(디지털)","16:35,  국제시장(디지털)","19:10,  국제시장(디지털)","21:45,  국제시장(디지털)","24:20,  국제시장(디지털)",,,,164
2015-01-03,02관,"09:50,  기술자들(디지털),  6,000원","12:20,  기술자들(디지털),  10,000원","14:50,  국제시장(디지털),  10,000원","17:30,  국제시장(디지털),  10,000원","20:10,  기술자들(디지털),  10,000원","22:35,  기술자들(디지털),  10,000원","25:00,  기술자들(디지털),  10,000원",,,,166
2015-01-03,03관,"09:30,  상의원(디지털)","12:05,  테이큰 3(디지털)","14:25,  테이큰 3(디지털)","16:45,  테이큰 3(디지털)","19:05,  테이큰 3(디지털)","21:25,  테이큰 3(디지털)","23:45,  테이큰 3(디지털)",,,,166
2015-01-03,04관,"09:00,  테이큰 3(디지털),  6,000원","11:20,  테이큰 3(디지털),  10,000원","13:40,  테이큰 3(디지털),  10,000원","16:00,  테이큰 3(디지털),  10,000원","18:20,  테이큰 3(디지털),  10,000원","20:40,  테이큰 3(디지털),  10,000원","23:00,  테이큰 3(디지털),  10,000원","25:20,  테이큰 3(디지털),  10,000원",,,165
2015-01-04,01관,"08:50,  국제시장(디지털),  9,000원","11:25,  국제시장(디지털)","14:00,  국제시장(디지털)","16:35,  국제시장(디지털)","19:10,  국제시장(디지털)","21:45,  국제시장(디지털)","24:20,  국제시장(디지털)",,,,164
2015-01-04,02관,"09:50,  기술자들(디지털),  6,000원","12:20,  테이큰 3(디지털),  10,000원","14:50,  국제시장(디지털),  10,000원","17:30,  국제시장(디지털),  10,000원","20:10,  기술자들(디지털),  10,000원","22:35,  기술자들(디지털),  10,000원","25:00,  기술자들(디지털),  10,000원",,,,166
2015-01-04,03관,"09:30,  상의원(디지털)","12:05,  테이큰 3(디지털)","14:25,  테이큰 3(디지털)","16:45,  테이큰 3(디지털)","19:05,  테이큰 3(디지털)","21:25,  테이큰 3(디지털)","23:45,  테이큰 3(디지털)",,,,166
2015-01-04,04관,"09:00,  테이큰 3(디지털),  6,000원","11:20,  테이큰 3(디지털),  10,000원","13:40,  테이큰 3(디지털),  10,000원","16:00,  테이큰 3(디지털),  10,000원","18:20,  테이큰 3(디지털),  10,000원","20:40,  테이큰 3(디지털),  10,000원","23:00,  테이큰 3(디지털),  10,000원","25:20,  테이큰 3(디지털),  10,000원",,,165
2015-01-05,01관,"09:40,  국제시장(디지털),  6,000원","12:20,  국제시장(디지털),  9,000원","15:00,  국제시장(디지털),  9,000원","18:00,  국제시장(디지털),  9,000원","20:40,  국제시장(디지털),  9,000원","23:15,  국제시장(디지털),  9,000원",,,,,164
2015-01-05,02관,"09:30,  기술자들(디지털),  8,000원","11:55,  기술자들(디지털),  9,000원","14:20,  기술자들(디지털),  9,000원","16:45,  국제시장(디지털),  9,000원","19:20,  국제시장(디지털),  9,000원","21:55,  국제시장(디지털),  9,000원","24:30,  국제시장(디지털),  9,000원",,,,166
2015-01-05,03관,"10:15,  상의원(디지털),  6,000원","12:50,  테이큰 3(디지털),  9,000원","15:10,  테이큰 3(디지털),  9,000원","17:30,  테이큰 3(디지털),  9,000원","19:50,  테이큰 3(디지털),  9,000원","22:10,  기술자들(디지털),  9,000원","24:35,  기술자들(디지털),  9,000원",,,,166
2015-01-05,04관,"09:20,  테이큰 3(디지털),  6,000원","11:40,  테이큰 3(디지털),  9,000원","14:00,  테이큰 3(디지털),  9,000원","16:20,  테이큰 3(디지털),  9,000원","18:40,  테이큰 3(디지털),  9,000원","21:00,  테이큰 3(디지털),  9,000원","23:30,  테이큰 3(디지털),  9,000원",,,,165
2015-01-06,01관,"09:40,  국제시장(디지털),  6,000원","12:20,  국제시장(디지털),  9,000원","15:00,  국제시장(디지털),  9,000원","18:00,  국제시장(디지털),  9,000원","20:40,  국제시장(디지털),  9,000원","23:15,  국제시장(디지털),  9,000원",,,,,164
2015-01-06,02관,"09:30,  기술자들(디지털),  7,000원","11:55,  기술자들(디지털),  9,000원","14:20,  기술자들(디지털),  9,000원","16:45,  국제시장(디지털),  9,000원","19:20,  국제시장(디지털),  9,000원","21:55,  국제시장(디지털),  9,000원","24:30,  국제시장(디지털),  9,000원",,,,166
2015-01-06,03관,"10:15,  상의원(디지털),  6,000원","12:50,  테이큰 3(디지털),  9,000원","15:10,  테이큰 3(디지털),  9,000원","17:30,  테이큰 3(디지털),  9,000원","19:50,  테이큰 3(디지털),  9,000원","22:10,  기술자들(디지털),  9,000원","24:35,  기술자들(디지털),  9,000원",,,,166
2015-01-06,04관,"09:20,  테이큰 3(디지털),  6,000원","11:40,  테이큰 3(디지털),  9,000원","14:00,  테이큰 3(디지털),  9,000원","16:20,  테이큰 3(디지털),  9,000원","18:40,  테이큰 3(디지털),  9,000원","21:00,  테이큰 3(디지털),  9,000원","23:30,  테이큰 3(디지털),  9,000원",,,,165
2015-01-07,01관,"10:20,  국제시장(디지털),  6,000원","13:00,  국제시장(디지털),  9,000원","15:35,  국제시장(디지털),  9,000원","18:10,  국제시장(디지털),  9,000원","20:45,  국제시장(디지털),  9,000원","23:20,  국제시장(디지털),  9,000원",,,,,164
2015-01-07,02관,"09:50,  타임 패러독스(디지털),  6,000원","12:00,  국제시장(디지털),  9,000원","14:35,  타임 패러독스(디지털),  9,000원","16:45,  국제시장(디지털),  9,000원","19:20,  타임 패러독스(디지털),  9,000원","21:30,  타임 패러독스(디지털),  9,000원","23:40,  타임 패러독스(디지털),  9,000원",,,,166
2015-01-07,03관,"10:40,  언브로큰(디지털),  6,000원","13:30,  기술자들(디지털),  9,000원","16:00,  언브로큰(디지털),  9,000원","18:45,  기술자들(디지털),  9,000원","21:10,  언브로큰(디지털),  9,000원","23:55,  기술자들(디지털),  9,000원",,,,,166
2015-01-07,04관,"10:00,  테이큰 3(디지털),  6,000원","12:20,  테이큰 3(디지털),  9,000원","14:40,  테이큰 3(디지털),  9,000원","17:00,  테이큰 3(디지털),  9,000원","19:30,  테이큰 3(디지털),  9,000원","21:50,  테이큰 3(디지털),  9,000원","24:10,  테이큰 3(디지털),  9,000원",,,,165
2015-01-08,01관,"10:20,  국제시장(디지털),  7,000원","13:00,  국제시장(디지털),  9,000원","15:35,  국제시장(디지털),  9,000원","18:10,  국제시장(디지털),  9,000원","20:45,  국제시장(디지털),  9,000원","23:20,  국제시장(디지털),  9,000원",,,,,164
2015-01-08,02관,"09:50,  타임 패러독스(디지털),  6,000원","12:00,  국제시장(디지털),  9,000원","14:35,  타임 패러독스(디지털),  9,000원","16:45,  국제시장(디지털),  9,000원","19:20,  타임 패러독스(디지털),  9,000원","21:30,  타임 패러독스(디지털),  9,000원","23:40,  타임 패러독스(디지털),  9,000원",,,,166
2015-01-08,03관,"10:40,  언브로큰(디지털),  6,000원","13:30,  기술자들(디지털),  9,000원","16:00,  언브로큰(디지털),  9,000원","18:45,  기술자들(디지털),  9,000원","21:10,  언브로큰(디지털),  9,000원","23:55,  기술자들(디지털),  9,000원",,,,,166
2015-01-08,04관,"10:00,  테이큰 3(디지털),  6,000원","12:20,  테이큰 3(디지털),  9,000원","14:40,  테이큰 3(디지털),  9,000원","17:00,  테이큰 3(디지털),  9,000원","19:30,  테이큰 3(디지털),  9,000원","21:50,  테이큰 3(디지털),  9,000원","24:10,  테이큰 3(디지털),  9,000원",,,,165
2015-01-09,01관,"10:20,  국제시장(디지털),  6,000원","13:00,  국제시장(디지털),  10,000원","15:35,  국제시장(디지털),  10,000원","18:10,  국제시장(디지털),  10,000원","20:45,  국제시장(디지털),  10,000원","23:20,  국제시장(디지털),  9,000원",,,,,164
2015-01-09,02관,"09:50,  타임 패러독스(디지털),  7,000원","12:00,  국제시장(디지털),  10,000원","14:35,  타임 패러독스(디지털),  10,000원","16:45,  국제시장(디지털),  10,000원","19:20,  타임 패러독스(디지털),  10,000원","21:30,  타임 패러독스(디지털),  10,000원","23:40,  타임 패러독스(디지털),  10,000원",,,,166
2015-01-09,03관,"10:40,  언브로큰(디지털),  9,000원","13:30,  기술자들(디지털),  10,000원","16:00,  언브로큰(디지털),  10,000원","18:45,  기술자들(디지털),  10,000원","21:10,  언브로큰(디지털),  10,000원","23:55,  기술자들(디지털),  10,000원",,,,,166
2015-01-09,04관,"10:00,  테이큰 3(디지털),  6,000원","12:20,  테이큰 3(디지털),  10,000원","14:40,  테이큰 3(디지털),  10,000원","17:00,  테이큰 3(디지털),  10,000원","19:30,  테이큰 3(디지털),  10,000원","21:50,  테이큰 3(디지털),  10,000원","24:10,  테이큰 3(디지털),  10,000원",,,,165
2015-01-10,01관,"10:30,  국제시장(디지털),  9,000원","13:05,  국제시장(디지털),  10,000원","15:40,  국제시장(디지털),  10,000원","18:15,  국제시장(디지털),  10,000원","20:50,  국제시장(디지털),  10,000원","23:30,  국제시장(디지털),  10,000원",,,,,164
2015-01-10,02관,"10:00,  타임 패러독스(디지털),  9,000원","12:10,  타임 패러독스(디지털),  10,000원","14:20,  국제시장(디지털),  10,000원","17:00,  국제시장(디지털),  10,000원","19:35,  국제시장(디지털),  10,000원","22:10,  타임 패러독스(디지털),  10,000원","24:15,  타임 패러독스(디지털),  10,000원",,,,166
2015-01-10,03관,"09:10,  기술자들(디지털),  9,000원","11:30,  기술자들(디지털),  10,000원","13:55,  언브로큰(디지털),  10,000원","16:40,  기술자들(디지털),  10,000원","19:05,  기술자들(디지털),  10,000원","21:30,  기술자들(디지털),  10,000원","24:00,  기술자들(디지털),  10,000원",,,,166
2015-01-10,04관,"09:00,  테이큰 3(디지털),  9,000원","11:20,  테이큰 3(디지털),  10,000원","13:40,  테이큰 3(디지털),  10,000원","16:00,  테이큰 3(디지털),  10,000원","18:30,  테이큰 3(디지털),  10,000원","20:55,  테이큰 3(디지털),  10,000원","23:15,  테이큰 3(디지털),  10,000원",,,,165
2015-01-11,01관,"10:30,  국제시장(디지털),  7,000원","13:05,  국제시장(디지털),  10,000원","15:40,  국제시장(디지털),  10,000원","18:15,  국제시장(디지털),  10,000원","20:50,  국제시장(디지털),  10,000원","23:30,  국제시장(디지털),  10,000원",,,,,164
2015-01-11,02관,"10:00,  타임 패러독스(디지털),  6,000원","12:10,  타임 패러독스(디지털),  10,000원","14:20,  국제시장(디지털),  10,000원","17:00,  국제시장(디지털),  10,000원","19:35,  국제시장(디지털),  10,000원","22:10,  타임 패러독스(디지털),  10,000원",,,,,166
2015-01-11,03관,"09:10,  기술자들(디지털),  6,000원","11:30,  언브로큰(디지털),  10,000원","14:15,  기술자들(디지털),  10,000원","16:40,  기술자들(디지털),  10,000원","19:05,  타임 패러독스(디지털),  10,000원","21:15,  기술자들(디지털),  10,000원","23:40,  기술자들(디지털),  10,000원",,,,166
