상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2017-12-19,01관,"13:00,  극장판 숲의 요정 페어리루 ~크리스마스의 기적: 마법의 날개~(디지털더빙)","15:00,  강철비(디지털),  9,000원","17:55,  강철비(디지털),  9,000원","24:10,  강철비(디지털),  8,000원",,,,,,135
2017-12-19,02관,"14:30,  메리와 마녀의 꽃(디지털)","17:10,  스타워즈: 라스트 제다이(디지털),  7,000원","20:25,  스타워즈: 라스트 제다이(디지털),  9,000원","23:35,  스타워즈: 라스트 제다이(디지털),  8,000원",,,,,,128
2017-12-19,03관,"14:10,  뽀로로 극장판 공룡섬 대모험(디지털),  8,000원","16:30,  뽀로로 극장판 공룡섬 대모험(디지털),  9,000원","18:40,  스타워즈: 라스트 제다이(디지털),  9,000원","22:00,  러브 액츄얼리(디지털)",,,,,,75
2017-12-19,04관,"14:00,  강철비(디지털),  8,000원","16:55,  강철비(디지털),  9,000원","19:50,  강철비(디지털),  9,000원","23:00,  강철비(디지털),  9,000원",,,,,,128
2017-12-19,05관,"14:20,  메리와 마녀의 꽃(디지털더빙),  8,000원","17:00,  극장판 숲의 요정 페어리루 ~크리스마스의 기적: 마법의 날개~(디지털더빙)","19:30,  스타워즈: 라스트 제다이(디지털),  9,000원","22:40,  스타워즈: 라스트 제다이(디지털),  9,000원",,,,,,135
2017-12-19,06관,"15:10,  꾼(디지털),  8,000원","17:40,  메리와 마녀의 꽃(디지털더빙),  9,000원","20:00,  원더(디지털)","24:00,  메리와 마녀의 꽃(디지털)",,,,,,75
2017-12-20,01관,"09:00,  신과함께-죄와 벌(디지털),  6,000원","11:45,  신과함께-죄와 벌(디지털),  8,000원","14:35,  신과함께-죄와 벌(디지털),  9,000원","17:25,  신과함께-죄와 벌(디지털),  9,000원","20:20,  신과함께-죄와 벌(디지털),  9,000원","23:10,  신과함께-죄와 벌(디지털),  8,000원",,,,135
2017-12-20,02관,"10:40,  강철비(디지털),  9,000원","13:30,  강철비(디지털),  8,000원","16:20,  강철비(디지털),  9,000원","19:10,  강철비(디지털),  9,000원","22:00,  강철비(디지털),  9,000원","24:45,  강철비(디지털),  8,000원",,,,128
2017-12-20,03관,"09:20,  스타워즈: 라스트 제다이(디지털)","12:30,  스타워즈: 라스트 제다이(디지털),  4,000원","15:30,  스타워즈: 라스트 제다이(디지털),  8,000원","18:30,  스타워즈: 라스트 제다이(디지털),  9,000원","21:30,  스타워즈: 라스트 제다이(디지털),  9,000원","24:30,  스타워즈: 라스트 제다이(디지털)",,,,75
2017-12-20,04관,"10:20,  위대한 쇼맨(디지털)","12:40,  위대한 쇼맨(디지털),  8,000원","15:00,  위대한 쇼맨(디지털),  8,000원","17:10,  위대한 쇼맨(디지털),  9,000원","19:25,  위대한 쇼맨(디지털),  9,000원","21:40,  위대한 쇼맨(디지털),  9,000원","23:50,  위대한 쇼맨(디지털)",,,128
2017-12-20,05관,"10:30,  신과함께-죄와 벌(디지털),  6,000원","13:20,  신과함께-죄와 벌(디지털),  8,000원","16:10,  신과함께-죄와 벌(디지털),  9,000원","19:00,  신과함께-죄와 벌(디지털),  9,000원","21:50,  신과함께-죄와 벌(디지털),  9,000원","24:40,  신과함께-죄와 벌(디지털),  8,000원",,,,135
2017-12-20,06관,"09:30,  메리와 마녀의 꽃(디지털더빙),  6,000원","11:40,  러브 액츄얼리(디지털),  7,500원","14:30,  강철비(디지털),  8,000원","17:20,  러브 액츄얼리(디지털),  9,000원","20:00,  강철비(디지털),  9,000원","22:50,  강철비(디지털),  9,000원",,,,75
2017-12-21,01관,"09:00,  신과함께-죄와 벌(디지털),  6,000원","11:45,  신과함께-죄와 벌(디지털),  8,000원","14:30,  신과함께-죄와 벌(디지털),  9,000원","17:15,  신과함께-죄와 벌(디지털),  9,000원","20:00,  신과함께-죄와 벌(디지털),  9,000원","22:45,  신과함께-죄와 벌(디지털),  9,000원",,,,135
2017-12-21,02관,"09:30,  위대한 쇼맨(디지털),  9,000원","11:40,  위대한 쇼맨(디지털),  8,000원","13:50,  위대한 쇼맨(디지털),  8,000원","16:00,  위대한 쇼맨(디지털),  8,000원","18:10,  위대한 쇼맨(디지털),  9,000원","20:20,  위대한 쇼맨(디지털),  9,000원","22:30,  위대한 쇼맨(디지털),  9,000원","24:40,  위대한 쇼맨(디지털),  6,500원",,128
2017-12-21,03관,"09:20,  스타워즈: 라스트 제다이(디지털)","12:20,  메리와 마녀의 꽃(디지털더빙)","14:40,  스타워즈: 라스트 제다이(디지털),  9,000원","17:40,  러브 액츄얼리(디지털),  9,000원","20:15,  스타워즈: 라스트 제다이(디지털),  9,000원","23:15,  스타워즈: 라스트 제다이(디지털)",,,,75
2017-12-21,04관,"10:10,  신과함께-죄와 벌(디지털),  6,000원","12:55,  신과함께-죄와 벌(디지털),  8,000원","16:00,  신과함께-죄와 벌(디지털),  7,000원","18:55,  신과함께-죄와 벌(디지털),  9,000원","21:40,  신과함께-죄와 벌(디지털),  9,000원","24:25,  신과함께-죄와 벌(디지털),  8,000원",,,,128
2017-12-21,05관,"09:50,  강철비(디지털),  9,000원","12:40,  강철비(디지털),  8,000원","15:30,  강철비(디지털),  8,000원","18:20,  강철비(디지털),  9,000원","21:10,  강철비(디지털),  9,000원","24:00,  강철비(디지털),  8,000원",,,,135
2017-12-21,06관,"10:20,  극장판 포켓몬스터 너로 정했다!(디지털더빙),  6,500원","12:25,  몬스터 패밀리(디지털더빙),  8,000원","14:25,  더 크리스마스(디지털더빙),  8,000원","16:15,  신과함께-죄와 벌(디지털),  9,000원","19:00,  신과함께-죄와 벌(디지털),  9,000원","21:45,  스타워즈: 라스트 제다이(디지털),  9,000원",,,,75
2017-12-22,01관,"09:00,  신과함께-죄와 벌(디지털),  7,000원","11:45,  신과함께-죄와 벌(디지털),  10,000원","14:30,  신과함께-죄와 벌(디지털),  10,000원","17:15,  신과함께-죄와 벌(디지털),  10,000원","20:00,  신과함께-죄와 벌(디지털),  10,000원","22:45,  신과함께-죄와 벌(디지털),  10,000원",,,,135
