상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,좌석수
2018-03-25,01관(SCREENX),"10:00,  퍼시픽 림: 업라이징(디지털)","12:20,  퍼시픽 림: 업라이징(디지털)","14:40,  퍼시픽 림: 업라이징(디지털)","17:00,  퍼시픽 림: 업라이징(디지털)","19:20,  퍼시픽 림: 업라이징(디지털)","21:40,  퍼시픽 림: 업라이징(디지털)",,,,,,182
2018-03-26,01관(SCREENX),,,,"17:25,  퍼시픽 림: 업라이징(디지털)",,,,,,,,182
2018-03-28,01관(SCREENX),"11:40,  곤지암(디지털),  9,000원","13:40,  곤지암(디지털),  10,000원","15:40,  곤지암(디지털),  10,000원","17:40,  곤지암(디지털),  10,000원",,,,,,,,182
2018-03-28,02관,"12:00,  내 이야기!!(디지털),  0원","14:20,  괴물들(디지털),  0원","16:40,  곤지암(디지털),  10,000원",,,,,,,,,164
2018-03-28,03관(프리미엄),"12:30,  곤지암(디지털)","14:40,  플로리다 프로젝트(디지털),  0원","17:00,  지금 만나러 갑니다(디지털),  9,000원",,,,,,,,,78
2018-03-28,04관,"11:30,  7년의 밤(디지털),  8,000원","14:10,  강철비(디지털),  0원","17:10,  7년의 밤(디지털),  7,000원",,,,,,,,,184
2018-03-28,05관,"11:20,  패딩턴 2(디지털),  0원","13:35,  지금 만나러 갑니다(디지털),  9,000원","16:20,  나미야 잡화점의 기적(디지털),  0원",,,,,,,,,154
2018-03-28,06관,"11:00,  퍼시픽 림: 업라이징(디지털),  6,000원",,"16:10,  신과함께-죄와 벌(디지털),  0원",,,,,,,,,180
2018-03-28,4DX,"12:10,  레디 플레이어 원(4D),  8,000원","15:00,  퍼시픽 림: 업라이징(4D),  8,000원","17:25,  레디 플레이어 원(4D),  9,000원",,,,,,,,,84
2018-03-29,01관(SCREENX),"10:50,  곤지암(디지털),  10,000원",,"15:00,  곤지암(디지털),  10,000원",,"19:00,  곤지암(디지털),  10,000원","21:00,  곤지암(디지털),  10,000원","23:00,  곤지암(디지털),  10,000원","25:00,  곤지암(디지털)","27:00,  곤지암(디지털)",,,182
2018-03-29,02관,"10:30,  지금 만나러 갑니다(디지털),  7,000원","13:10,  지금 만나러 갑니다(디지털),  9,000원","15:50,  지금 만나러 갑니다(디지털),  9,000원","18:30,  지금 만나러 갑니다(디지털),  10,000원","21:10,  지금 만나러 갑니다(디지털),  10,000원","23:50,  지금 만나러 갑니다(디지털),  9,000원",,,,,,164
2018-03-29,03관(프리미엄),"09:30,  곤지암(디지털),  6,000원","11:30,  7년의 밤(디지털),  7,000원","14:00,  곤지암(디지털)","16:00,  7년의 밤(디지털)","18:35,  7년의 밤(디지털),  9,000원","21:05,  7년의 밤(디지털),  9,000원","23:35,  7년의 밤(디지털)",,,,,78
2018-03-29,04관,"11:00,  레디 플레이어 원(디지털),  9,000원","13:50,  레디 플레이어 원(디지털),  9,000원","16:40,  레디 플레이어 원(디지털),  10,000원","19:30,  레디 플레이어 원(디지털),  10,000원","22:20,  레디 플레이어 원(디지털),  9,000원",,,,,,,184
