상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2019-01-30,01관,,,"19:20,  극한직업(디지털),  8,000원",,,,,,,,170
2019-01-30,02관,"14:30,  런닝맨 : 풀룰루의 역습(디지털)","18:00,  드래곤 길들이기 3(디지털),  10,000원",,,,,,,,,139
2019-01-30,03관,,"17:00,  안시성(디지털)","19:50,  뺑반(디지털),  8,000원",,,,,,,,156
2019-01-30,04관,,"18:50,  뺑반(디지털),  7,000원",,,,,,,,,170
2019-01-30,05관,"14:00,  신과함께-인과 연(디지털)","17:40,  뺑반(디지털),  9,000원",,,,,,,,,143
2019-01-30,06관(SCREENX),"15:00,  목격자(디지털)","17:20,  극한직업(디지털),  10,000원","19:40,  드래곤 길들이기 3(디지털),  5,000원",,,,,,,,156
2019-01-30,07관,"15:30,  완벽한 타인(디지털)","18:20,  극한직업(디지털),  10,000원",,,,,,,,,173
2019-01-30,08관,,"18:40,  말모이(디지털),  9,000원",,,,,,,,,110
2019-01-31,01관,,"10:40,  극장판 헬로카봇: 옴파로스 섬의 비밀(디지털),  8,000원","13:00,  극한직업(디지털),  9,000원","15:25,  극한직업(디지털),  10,000원","17:50,  극한직업(디지털),  11,000원","20:10,  극한직업(디지털),  11,000원","22:30,  극한직업(디지털),  10,000원",,,,170
2019-01-31,02관,"09:30,  드래곤 길들이기 3(디지털더빙),  7,000원","11:45,  드래곤 길들이기 3(디지털더빙),  10,000원","14:05,  드래곤 길들이기 3(디지털더빙),  8,000원","16:30,  드래곤 길들이기 3(디지털더빙),  11,000원","19:00,  드래곤 길들이기 3(디지털),  11,000원","21:20,  드래곤 길들이기 3(디지털),  11,000원","23:40,  드래곤 길들이기 3(디지털),  10,000원",,,,139
2019-01-31,03관,"09:55,  뺑반(디지털),  7,000원","12:50,  뺑반(디지털),  9,000원","15:35,  뺑반(디지털),  10,000원","18:20,  뺑반(디지털),  7,000원","21:05,  뺑반(디지털),  11,000원","23:50,  뺑반(디지털),  5,000원",,,,,156
2019-01-31,04관,"09:05,  뺑반(디지털),  7,000원","11:50,  뺑반(디지털),  8,000원","14:35,  뺑반(디지털),  10,000원","17:20,  뺑반(디지털),  11,000원","20:05,  뺑반(디지털),  11,000원","22:50,  뺑반(디지털),  10,000원",,,,,170
2019-01-31,05관,"10:00,  극한직업(디지털),  10,000원","12:20,  극한직업(디지털),  10,000원","14:40,  극한직업(디지털),  10,000원","17:00,  극한직업(디지털),  10,500원","19:20,  극한직업(디지털),  11,000원","21:40,  극한직업(디지털),  11,000원","24:10,  극한직업(디지털),  9,000원",,,,143
2019-01-31,06관(SCREENX),"10:00,  극장판 헬로카봇: 옴파로스 섬의 비밀(디지털),  6,000원","12:00,  극장판 헬로카봇: 옴파로스 섬의 비밀(디지털),  6,000원","13:50,  극장판 헬로카봇: 옴파로스 섬의 비밀(디지털),  8,000원","15:40,  러브 유어셀프 인 서울(ScreenX),  8,000원","18:10,  극한직업(디지털),  11,000원","20:40,  극한직업(디지털),  11,000원","23:00,  극한직업(디지털),  10,000원",,,,156
2019-01-31,07관,"09:00,  극한직업(디지털),  8,000원","11:20,  극한직업(디지털),  9,000원","13:40,  극한직업(디지털),  10,000원","16:00,  극한직업(디지털),  10,000원","18:40,  극한직업(디지털),  11,000원","21:10,  극한직업(디지털),  11,000원","23:30,  극한직업(디지털),  10,000원",,,,173
2019-01-31,08관,"09:10,  극장판 헬로카봇: 옴파로스 섬의 비밀(디지털)","11:10,  극장판 헬로카봇: 옴파로스 섬의 비밀(디지털),  8,500원","13:05,  드래곤 길들이기 3(디지털더빙),  8,000원","15:30,  드래곤 길들이기 3(디지털더빙),  10,000원","18:00,  드래곤 길들이기 3(디지털),  10,000원","20:20,  말모이(디지털),  9,000원","23:10,  말모이(디지털),  7,000원",,,,110
2019-02-01,01관,"08:30,  극한직업(디지털),  10,000원","10:50,  극한직업(디지털),  12,000원","13:10,  극한직업(디지털),  12,000원","15:30,  극한직업(디지털),  12,000원","17:50,  극한직업(디지털),  12,000원","20:10,  극한직업(디지털),  12,000원","22:30,  극한직업(디지털),  12,000원",,,,170
2019-02-01,02관,"09:30,  드래곤 길들이기 3(디지털더빙),  8,000원","11:45,  드래곤 길들이기 3(디지털더빙)","14:05,  드래곤 길들이기 3(디지털더빙),  7,000원","16:30,  드래곤 길들이기 3(디지털더빙),  12,000원","19:00,  드래곤 길들이기 3(디지털),  12,000원","21:20,  드래곤 길들이기 3(디지털),  12,000원","23:40,  드래곤 길들이기 3(디지털),  11,000원",,,,139
2019-02-01,03관,"09:55,  뺑반(디지털),  8,000원","12:50,  뺑반(디지털),  12,000원","15:35,  뺑반(디지털),  12,000원","18:20,  뺑반(디지털),  12,000원","21:05,  뺑반(디지털),  12,000원","23:50,  뺑반(디지털),  12,000원",,,,,156
2019-02-01,04관,"09:05,  뺑반(디지털),  8,000원","11:50,  뺑반(디지털),  12,000원","14:35,  뺑반(디지털),  12,000원","17:20,  뺑반(디지털),  12,000원","20:05,  뺑반(디지털),  12,000원","22:50,  뺑반(디지털),  12,000원",,,,,170
2019-02-01,05관,"10:00,  극한직업(디지털),  8,000원","12:20,  극한직업(디지털),  12,000원","14:40,  극한직업(디지털),  12,000원","17:00,  극한직업(디지털),  12,000원","19:20,  극한직업(디지털),  12,000원","21:40,  극한직업(디지털),  12,000원","24:10,  극한직업(디지털),  11,000원",,,,143
2019-02-01,06관(SCREENX),"10:00,  극장판 헬로카봇: 옴파로스 섬의 비밀(디지털),  8,000원","12:00,  극장판 헬로카봇: 옴파로스 섬의 비밀(디지털),  11,000원","13:50,  극장판 헬로카봇: 옴파로스 섬의 비밀(디지털),  12,000원","15:40,  러브 유어셀프 인 서울(ScreenX),  10,000원","18:10,  극한직업(디지털),  12,000원","20:40,  극한직업(디지털),  12,000원","23:00,  극한직업(디지털),  12,000원",,,,156
2019-02-01,07관,"09:10,  극한직업(디지털),  8,000원","11:30,  극한직업(디지털),  8,000원","13:50,  극한직업(디지털),  12,000원","16:10,  극한직업(디지털),  12,000원","18:40,  극한직업(디지털),  12,000원","21:10,  극한직업(디지털),  12,000원","23:30,  극한직업(디지털),  12,000원",,,,173
2019-02-01,08관,"09:00,  극장판 헬로카봇: 옴파로스 섬의 비밀(디지털)","11:10,  극장판 헬로카봇: 옴파로스 섬의 비밀(디지털),  10,000원","13:05,  드래곤 길들이기 3(디지털더빙),  8,000원","15:25,  드래곤 길들이기 3(디지털더빙),  12,000원","18:00,  드래곤 길들이기 3(디지털),  12,000원","20:20,  말모이(디지털),  9,000원","23:10,  말모이(디지털),  7,000원",,,,110
2019-02-02,01관,"08:30,  극한직업(디지털),  8,000원","10:50,  극한직업(디지털),  12,000원","13:10,  극한직업(디지털),  11,000원","15:30,  극한직업(디지털),  12,000원","17:50,  극한직업(디지털),  12,000원","20:10,  극한직업(디지털),  12,000원","22:30,  극한직업(디지털),  11,000원","24:50,  극한직업(디지털),  10,000원",,,170
2019-02-02,02관,"09:30,  드래곤 길들이기 3(디지털더빙),  8,000원","11:45,  드래곤 길들이기 3(디지털더빙),  10,000원","14:05,  드래곤 길들이기 3(디지털더빙),  12,000원","16:30,  극한직업(디지털),  12,000원","19:00,  극한직업(디지털),  12,000원","21:20,  드래곤 길들이기 3(디지털),  12,000원","23:40,  드래곤 길들이기 3(디지털),  12,000원",,,,139
2019-02-02,03관,"09:40,  극한직업(디지털),  10,000원","12:30,  뺑반(디지털),  12,000원","15:20,  뺑반(디지털),  12,000원","18:20,  극한직업(디지털),  12,000원","21:00,  뺑반(디지털),  12,000원","23:50,  뺑반(디지털),  10,000원",,,,,156
2019-02-02,04관,"09:05,  뺑반(디지털),  10,000원","11:50,  뺑반(디지털),  12,000원","14:35,  뺑반(디지털),  12,000원","17:20,  뺑반(디지털),  12,000원","20:05,  뺑반(디지털),  12,000원","22:50,  뺑반(디지털),  12,000원",,,,,170
2019-02-02,05관,"10:00,  극한직업(디지털),  10,000원","12:20,  극한직업(디지털),  12,000원","14:40,  극한직업(디지털),  11,000원","17:00,  극한직업(디지털),  12,000원","19:20,  극한직업(디지털),  12,000원","21:40,  극한직업(디지털),  12,000원","24:10,  극한직업(디지털),  11,000원",,,,143
2019-02-02,06관(SCREENX),"10:00,  극장판 헬로카봇: 옴파로스 섬의 비밀(디지털),  10,000원","12:00,  극장판 헬로카봇: 옴파로스 섬의 비밀(디지털),  12,000원","13:50,  극장판 헬로카봇: 옴파로스 섬의 비밀(디지털),  12,000원","15:40,  러브 유어셀프 인 서울(ScreenX),  10,000원","18:10,  러브 유어셀프 인 서울(ScreenX),  10,000원","20:40,  극한직업(디지털),  12,000원","23:10,  극한직업(디지털),  12,000원",,,,156
2019-02-02,07관,"09:10,  극한직업(디지털),  8,000원","11:30,  극한직업(디지털),  12,000원","13:50,  극한직업(디지털),  12,000원","16:10,  극한직업(디지털),  12,000원","18:40,  극한직업(디지털),  12,000원","21:10,  극한직업(디지털),  12,000원","23:30,  극한직업(디지털),  12,000원",,,,173
2019-02-02,08관,"09:00,  극장판 헬로카봇: 옴파로스 섬의 비밀(디지털),  8,000원","11:00,  극장판 헬로카봇: 옴파로스 섬의 비밀(디지털),  12,000원","12:55,  드래곤 길들이기 3(디지털),  12,000원","15:15,  드래곤 길들이기 3(디지털),  12,000원","17:40,  드래곤 길들이기 3(디지털),  12,000원","20:00,  말모이(디지털),  9,000원","22:50,  극한직업(디지털),  12,000원",,,,110
2019-02-03,01관,"08:30,  극한직업(디지털),  9,000원","10:50,  극한직업(디지털),  12,000원","13:10,  극한직업(디지털),  12,000원","15:30,  극한직업(디지털),  12,000원","17:50,  극한직업(디지털),  11,000원","20:10,  극한직업(디지털),  12,000원","22:30,  극한직업(디지털),  12,000원","24:50,  극한직업(디지털),  11,000원",,,170
2019-02-03,02관,"09:30,  드래곤 길들이기 3(디지털더빙),  8,000원","11:45,  드래곤 길들이기 3(디지털더빙),  12,000원","14:05,  드래곤 길들이기 3(디지털더빙),  12,000원","16:30,  극한직업(디지털),  12,000원","19:00,  극한직업(디지털),  12,000원","21:20,  드래곤 길들이기 3(디지털),  12,000원","23:40,  드래곤 길들이기 3(디지털),  10,000원",,,,139
2019-02-03,03관,"09:40,  극한직업(디지털),  10,000원","12:30,  뺑반(디지털),  7,000원","15:20,  뺑반(디지털),  12,000원","18:20,  극한직업(디지털),  12,000원","21:00,  뺑반(디지털),  12,000원","23:50,  뺑반(디지털),  12,000원",,,,,156
