상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,13회,14회,15회,16회,17회,좌석수
2015-01-01,01관,"10:00,  국제시장(디지털),  6,000원","12:50,  님아, 그 강을 건너지 마오(디지털),  10,000원","15:00,  국제시장(디지털),  10,000원","17:30,  국제시장(디지털),  10,000원","20:05,  국제시장(디지털),  10,000원","22:40,  국제시장(디지털),  10,000원","25:15,  국제시장(디지털),  10,000원",,,,,,,,,,,
2015-01-01,ART1관,"10:40,  개를 훔치는 완벽한 방법(디지털),  6,000원","13:00,  개를 훔치는 완벽한 방법(디지털),  10,000원","15:30,  개를 훔치는 완벽한 방법(디지털),  10,000원","18:00,  개를 훔치는 완벽한 방법(디지털),  10,000원","20:30,  개를 훔치는 완벽한 방법(디지털),  10,000원","22:50,  개를 훔치는 완벽한 방법(디지털),  10,000원","25:10,  개를 훔치는 완벽한 방법(디지털)",,,,,,,,,,,118
2015-01-01,ART2관,"09:30,  기술자들(디지털),  6,000원","11:55,  호빗: 다섯 군대 전투(디지털),  10,000원","14:50,  님아, 그 강을 건너지 마오(디지털),  10,000원","16:45,  호빗: 다섯 군대 전투(디지털),  10,000원","19:35,  호빗: 다섯 군대 전투(디지털),  10,000원","22:30,  기술자들(디지털),  10,000원","24:55,  상의원(디지털)",,,,,,,,,,,112
2015-01-01,ART3관,"08:40,  국제시장(디지털),  6,000원","11:15,  국제시장(디지털),  10,000원","13:50,  국제시장(디지털),  10,000원","16:25,  국제시장(디지털),  10,000원","19:00,  국제시장(디지털),  10,000원","21:35,  국제시장(디지털),  10,000원","24:10,  국제시장(디지털),  10,000원",,,,,,,,,,,182
2015-01-01,ART4관,"09:10,  마다가스카의 펭귄(디지털),  7,000원","11:10,  기술자들(디지털),  10,000원","13:40,  마다가스카의 펭귄(디지털),  10,000원","15:40,  마다가스카의 펭귄(디지털),  10,000원","17:45,  마다가스카의 펭귄(디지털),  10,000원","19:50,  기술자들(디지털),  10,000원","22:15,  마다가스카의 펭귄(디지털),  10,000원","24:25,  기술자들(디지털)",,,,,,,,,,123
2015-01-01,ART5관,"10:15,  테이큰 3(디지털),  7,000원","12:30,  테이큰 3(디지털),  10,000원","14:45,  테이큰 3(디지털),  10,000원","17:05,  테이큰 3(디지털),  10,000원","19:25,  테이큰 3(디지털),  10,000원","21:50,  테이큰 3(디지털),  10,000원","24:20,  테이큰 3(디지털),  10,000원",,,,,,,,,,,159
2015-01-02,01관,"10:45,  국제시장(디지털),  10,000원","13:20,  님아, 그 강을 건너지 마오(디지털),  10,000원","15:20,  국제시장(디지털),  10,000원","18:00,  국제시장(디지털),  10,000원","20:35,  국제시장(디지털),  10,000원","23:15,  국제시장(디지털),  10,000원",,,,,,,,,,,,
2015-01-02,ART1관,"09:00,  개를 훔치는 완벽한 방법(디지털),  6,000원","11:20,  개를 훔치는 완벽한 방법(디지털),  10,000원","13:40,  개를 훔치는 완벽한 방법(디지털),  10,000원","16:10,  개를 훔치는 완벽한 방법(디지털),  10,000원","18:20,  개를 훔치는 완벽한 방법(디지털),  10,000원","20:40,  개를 훔치는 완벽한 방법(디지털),  10,000원","23:00,  개를 훔치는 완벽한 방법(디지털),  10,000원","25:15,  개를 훔치는 완벽한 방법(디지털)",,,,,,,,,,118
2015-01-02,ART2관,"09:50,  기술자들(디지털),  7,000원","12:15,  상의원(디지털),  10,000원","14:50,  호빗: 다섯 군대 전투(디지털),  10,000원","17:45,  님아, 그 강을 건너지 마오(디지털),  10,000원","19:45,  기술자들(디지털),  10,000원","22:10,  호빗: 다섯 군대 전투(디지털),  10,000원","25:00,  상의원(디지털),  10,000원",,,,,,,,,,,112
2015-01-02,ART3관,"09:20,  국제시장(디지털),  6,000원","11:50,  국제시장(디지털),  10,000원","14:20,  국제시장(디지털),  10,000원","16:55,  국제시장(디지털),  10,000원","19:30,  국제시장(디지털),  10,000원","22:00,  국제시장(디지털),  10,000원","24:30,  국제시장(디지털),  10,000원",,,,,,,,,,,182
2015-01-02,ART4관,"09:40,  마다가스카의 펭귄(디지털),  6,000원","11:40,  마다가스카의 펭귄(디지털),  10,000원","13:50,  마다가스카의 펭귄(디지털),  10,000원","15:55,  기술자들(디지털),  10,000원","18:25,  마다가스카의 펭귄(디지털),  10,000원","20:25,  마다가스카의 펭귄(디지털),  10,000원","22:25,  기술자들(디지털),  10,000원","24:50,  기술자들(디지털),  10,000원",,,,,,,,,,123
2015-01-02,ART5관,"10:15,  테이큰 3(디지털),  7,000원","12:35,  테이큰 3(디지털),  10,000원","15:00,  기술자들(디지털),  9,000원","17:55,  테이큰 3(디지털),  10,000원","20:10,  테이큰 3(디지털),  10,000원","22:40,  테이큰 3(디지털),  10,000원","25:05,  테이큰 3(디지털),  10,000원",,,,,,,,,,,159
2015-01-03,01관,"09:50,  국제시장(디지털),  7,000원","12:25,  님아, 그 강을 건너지 마오(디지털),  10,000원","14:35,  국제시장(디지털),  10,000원","17:10,  국제시장(디지털),  10,000원","19:45,  국제시장(디지털),  10,000원","22:20,  국제시장(디지털),  10,000원","25:00,  국제시장(디지털),  10,000원",,,,,,,,,,,
2015-01-03,ART1관,"10:55,  개를 훔치는 완벽한 방법(디지털),  10,000원","13:10,  개를 훔치는 완벽한 방법(디지털),  10,000원","15:30,  개를 훔치는 완벽한 방법(디지털),  10,000원","17:50,  개를 훔치는 완벽한 방법(디지털),  10,000원","20:10,  개를 훔치는 완벽한 방법(디지털),  8,500원","22:30,  개를 훔치는 완벽한 방법(디지털),  10,000원","24:50,  개를 훔치는 완벽한 방법(디지털),  8,000원",,,,,,,,,,,118
2015-01-03,ART2관,"09:10,  기술자들(디지털),  6,000원","11:35,  기술자들(디지털),  10,000원","14:00,  호빗: 다섯 군대 전투(디지털),  10,000원","16:55,  님아, 그 강을 건너지 마오(디지털),  10,000원","18:50,  님아, 그 강을 건너지 마오(디지털),  10,000원","20:45,  호빗: 다섯 군대 전투(디지털),  10,000원","23:40,  상의원(디지털),  10,000원",,,,,,,,,,,112
2015-01-03,ART3관,"08:40,  국제시장(디지털),  7,000원","11:15,  국제시장(디지털),  10,000원","13:50,  국제시장(디지털),  10,000원","16:25,  국제시장(디지털),  10,000원","19:00,  국제시장(디지털),  10,000원","21:35,  국제시장(디지털),  10,000원","24:05,  국제시장(디지털),  10,000원",,,,,,,,,,,182
2015-01-03,ART4관,"09:40,  마다가스카의 펭귄(디지털),  6,000원","11:40,  마다가스카의 펭귄(디지털),  10,000원","13:45,  마다가스카의 펭귄(디지털),  10,000원","16:00,  마다가스카의 펭귄(디지털),  10,000원","18:10,  마다가스카의 펭귄(디지털),  10,000원","20:15,  기술자들(디지털),  10,000원","22:35,  마다가스카의 펭귄(디지털),  10,000원","24:35,  기술자들(디지털),  10,000원",,,,,,,,,,123
2015-01-03,ART5관,"10:35,  테이큰 3(디지털),  10,000원","12:55,  테이큰 3(디지털),  10,000원","15:20,  테이큰 3(디지털),  10,000원","17:40,  테이큰 3(디지털),  10,000원","20:05,  테이큰 3(디지털),  10,000원","22:25,  테이큰 3(디지털),  10,000원","24:45,  테이큰 3(디지털),  10,000원",,,,,,,,,,,159
2015-01-04,01관,"09:50,  국제시장(디지털),  9,000원","12:25,  님아, 그 강을 건너지 마오(디지털),  10,000원","14:35,  국제시장(디지털),  10,000원","17:10,  국제시장(디지털),  10,000원","19:45,  국제시장(디지털),  10,000원","22:20,  국제시장(디지털),  10,000원",,,,,,,,,,,,
2015-01-04,ART1관,"10:55,  개를 훔치는 완벽한 방법(디지털),  10,000원","13:10,  개를 훔치는 완벽한 방법(디지털),  10,000원","15:30,  개를 훔치는 완벽한 방법(디지털),  10,000원","17:50,  개를 훔치는 완벽한 방법(디지털),  10,000원","20:10,  개를 훔치는 완벽한 방법(디지털),  10,000원","22:30,  개를 훔치는 완벽한 방법(디지털),  10,000원","24:50,  개를 훔치는 완벽한 방법(디지털)",,,,,,,,,,,118
2015-01-04,ART2관,"09:10,  기술자들(디지털),  6,500원","11:35,  기술자들(디지털),  10,000원","14:00,  호빗: 다섯 군대 전투(디지털),  10,000원","16:55,  님아, 그 강을 건너지 마오(디지털),  10,000원","18:55,  님아, 그 강을 건너지 마오(디지털),  10,000원","20:50,  호빗: 다섯 군대 전투(디지털),  10,000원","23:45,  상의원(디지털),  10,000원",,,,,,,,,,,112
