1회,2회,3회,4회,5회,6회,7회,8회,9회,상영관,상영일자,좌석수
"08:50,  아쿠아맨(디지털),  7,000원","11:50,  아쿠아맨(디지털),  11,000원","14:40,  아쿠아맨(디지털),  11,000원","17:30,  아쿠아맨(디지털),  11,000원","20:30,  아쿠아맨(디지털),  11,000원","23:20,  아쿠아맨(디지털),  11,000원",,,,01관,2019-01-01,206
"08:30,  PMC: 더 벙커(디지털),  7,000원","11:00,  PMC: 더 벙커(디지털),  7,000원","13:30,  PMC: 더 벙커(디지털),  11,000원","16:00,  PMC: 더 벙커(디지털),  11,000원","18:30,  PMC: 더 벙커(디지털),  11,000원","21:00,  PMC: 더 벙커(디지털),  11,000원","23:30,  PMC: 더 벙커(디지털),  11,000원",,,02관,2019-01-01,246
"08:00,  아쿠아맨(디지털),  7,000원","10:50,  아쿠아맨(디지털),  7,000원","13:50,  아쿠아맨(디지털),  11,000원","16:40,  아쿠아맨(디지털),  11,000원","19:30,  아쿠아맨(디지털),  11,000원","22:20,  아쿠아맨(디지털),  11,000원",,,,03관,2019-01-01,251
"08:40,  언니(디지털),  7,000원","10:40,  언니(디지털),  7,000원","12:40,  점박이 한반도의 공룡2 : 새로운 낙원(디지털),  11,000원","14:40,  점박이 한반도의 공룡2 : 새로운 낙원(디지털),  11,000원","16:55,  언니(디지털),  11,000원","18:55,  언니(디지털),  11,000원","20:50,  언니(디지털),  11,000원","23:00,  언니(디지털),  11,000원",,04관,2019-01-01,125
"09:00,  점박이 한반도의 공룡2 : 새로운 낙원(디지털),  7,000원","11:00,  점박이 한반도의 공룡2 : 새로운 낙원(디지털),  10,000원","13:00,  아쿠아맨(디지털),  11,000원","15:50,  아쿠아맨(디지털),  11,000원","18:35,  아쿠아맨(디지털),  11,000원","21:25,  아쿠아맨(디지털),  11,000원",,,,05관,2019-01-01,134
"09:50,  PMC: 더 벙커(디지털),  10,000원","12:20,  PMC: 더 벙커(디지털),  11,000원","15:00,  PMC: 더 벙커(디지털),  11,000원","17:45,  PMC: 더 벙커(디지털),  11,000원","20:15,  PMC: 더 벙커(디지털),  11,000원","22:45,  PMC: 더 벙커(디지털),  11,000원",,,,06관,2019-01-01,164
"09:20,  마약왕(디지털),  7,000원","12:05,  범블비(디지털),  11,000원","14:25,  스윙키즈(디지털),  11,000원","17:05,  스윙키즈(디지털),  11,000원","19:45,  범블비(디지털),  11,000원","22:10,  스윙키즈(디지털),  11,000원",,,,07관,2019-01-01,89
"08:00,  그린치(디지털더빙)","10:00,  그린치(디지털더빙),  7,000원","11:55,  극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~(디지털더빙),  11,000원","14:05,  보헤미안 랩소디(디지털),  9,000원","16:45,  범블비(디지털),  11,000원","19:10,  보헤미안 랩소디(디지털),  11,000원","22:00,  마약왕(디지털),  11,000원",,,08관,2019-01-01,85
"10:00,  아쿠아맨(디지털),  7,000원","12:50,  아쿠아맨(디지털),  10,000원","15:40,  아쿠아맨(디지털),  10,000원","18:30,  아쿠아맨(디지털),  10,000원","21:35,  아쿠아맨(디지털),  10,000원",,,,,01관,2019-01-02,206
"09:30,  PMC: 더 벙커(디지털),  6,000원","12:00,  PMC: 더 벙커(디지털),  7,000원","14:30,  PMC: 더 벙커(디지털),  10,000원","17:00,  PMC: 더 벙커(디지털),  10,000원","19:30,  PMC: 더 벙커(디지털),  10,000원","22:15,  PMC: 더 벙커(디지털),  10,000원",,,,02관,2019-01-02,246
"09:05,  아쿠아맨(디지털),  8,000원","11:50,  아쿠아맨(디지털),  9,000원","14:50,  아쿠아맨(디지털),  10,000원","17:40,  아쿠아맨(디지털),  10,000원","20:30,  아쿠아맨(디지털),  10,000원","23:20,  아쿠아맨(디지털),  10,000원",,,,03관,2019-01-02,251
"09:45,  언니(디지털),  6,000원","11:40,  언니(디지털),  10,000원","13:40,  점박이 한반도의 공룡2 : 새로운 낙원(디지털),  10,000원","15:50,  점박이 한반도의 공룡2 : 새로운 낙원(디지털),  10,000원","18:00,  언니(디지털),  10,000원","20:00,  언니(디지털),  10,000원","21:55,  언니(디지털),  10,000원",,,04관,2019-01-02,125
"10:00,  점박이 한반도의 공룡2 : 새로운 낙원(디지털),  7,000원","12:00,  점박이 한반도의 공룡2 : 새로운 낙원(디지털),  10,000원","14:00,  아쿠아맨(디지털),  10,000원","16:50,  아쿠아맨(디지털),  10,000원","19:45,  아쿠아맨(디지털),  10,000원","22:35,  아쿠아맨(디지털),  10,000원",,,,05관,2019-01-02,134
"09:00,  점박이 한반도의 공룡2 : 새로운 낙원(디지털),  6,000원","10:55,  PMC: 더 벙커(디지털),  6,000원","13:25,  PMC: 더 벙커(디지털),  10,000원","16:05,  PMC: 더 벙커(디지털),  10,000원","18:45,  PMC: 더 벙커(디지털),  10,000원","21:15,  PMC: 더 벙커(디지털),  10,000원","23:40,  PMC: 더 벙커(디지털),  10,000원",,,06관,2019-01-02,164
"10:20,  마약왕(디지털),  7,000원","13:05,  범블비(디지털),  10,000원","15:25,  스윙키즈(디지털),  8,000원","18:10,  스윙키즈(디지털),  10,000원","20:45,  범블비(디지털),  10,000원","23:10,  스윙키즈(디지털),  10,000원",,,,07관,2019-01-02,89
