상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2018-01-18,01관,"13:30,  신과함께-죄와 벌(디지털),  8,000원","16:20,  신과함께-죄와 벌(디지털),  9,000원","19:10,  신과함께-죄와 벌(디지털),  9,000원","22:00,  신과함께-죄와 벌(디지털),  9,000원",,,,,,132
2018-01-18,02관,"14:30,  쥬만지: 새로운 세계(디지털)","17:00,  쥬만지: 새로운 세계(디지털)","19:30,  1987(디지털)",,,,,,,85
2018-01-18,GS관,"14:00,  그것만이 내 세상(디지털),  9,000원","16:30,  그것만이 내 세상(디지털),  9,000원","19:00,  그것만이 내 세상(디지털),  9,000원","21:30,  그것만이 내 세상(디지털),  9,000원",,,,,,196
2018-01-18,GH관,"13:00,  코코(디지털더빙),  8,000원","15:40,  코코(디지털더빙),  8,000원","18:20,  코코(디지털더빙),  9,000원","21:00,  코코(디지털),  9,000원",,,,,,204
2018-01-18,05관,"13:10,  1987(디지털),  8,000원","15:50,  1987(디지털),  8,000원","18:30,  1987(디지털),  9,000원","21:10,  1987(디지털),  9,000원",,,,,,134
2018-01-19,01관,"10:15,  신과함께-죄와 벌(디지털),  7,000원","13:00,  신과함께-죄와 벌(디지털),  10,000원","15:45,  신과함께-죄와 벌(디지털),  10,000원","18:30,  신과함께-죄와 벌(디지털),  10,000원","21:15,  신과함께-죄와 벌(디지털),  10,000원",,,,,132
2018-01-19,02관,"09:45,  그것만이 내 세상(디지털),  6,000원","12:10,  쥬만지: 새로운 세계(디지털),  10,000원","14:35,  그것만이 내 세상(디지털),  10,000원","17:00,  쥬만지: 새로운 세계(디지털),  8,000원","19:25,  그것만이 내 세상(디지털),  10,000원","21:50,  그것만이 내 세상(디지털),  10,000원",,,,85
2018-01-19,GS관,"09:50,  메이즈 러너: 데스 큐어(디지털),  6,000원","12:40,  메이즈 러너: 데스 큐어(디지털),  10,000원","15:30,  메이즈 러너: 데스 큐어(디지털),  10,000원","18:20,  메이즈 러너: 데스 큐어(디지털),  10,000원","21:10,  메이즈 러너: 데스 큐어(디지털),  10,000원",,,,,196
2018-01-19,GH관,"10:00,  코코(디지털더빙),  6,000원","12:30,  코코(디지털더빙),  10,000원","15:00,  코코(디지털),  10,000원","17:30,  메이즈 러너: 데스 큐어(디지털),  10,000원","20:20,  메이즈 러너: 데스 큐어(디지털),  10,000원","23:10,  메이즈 러너: 데스 큐어(디지털),  9,000원",,,,204
2018-01-19,05관,"09:30,  1987(디지털),  6,000원","12:05,  1987(디지털),  4,500원","14:40,  1987(디지털),  10,000원","17:15,  1987(디지털),  8,000원","19:50,  1987(디지털),  10,000원","22:25,  1987(디지털),  10,000원",,,,134
2018-01-20,01관,"10:15,  신과함께-죄와 벌(디지털),  6,000원","13:00,  신과함께-죄와 벌(디지털),  10,000원","15:45,  신과함께-죄와 벌(디지털),  10,000원","18:30,  신과함께-죄와 벌(디지털),  10,000원","21:15,  신과함께-죄와 벌(디지털),  10,000원",,,,,132
2018-01-20,02관,"09:45,  그것만이 내 세상(디지털),  9,000원","12:10,  쥬만지: 새로운 세계(디지털),  10,000원","14:35,  그것만이 내 세상(디지털),  10,000원","17:00,  쥬만지: 새로운 세계(디지털),  10,000원","19:25,  그것만이 내 세상(디지털),  10,000원","21:50,  그것만이 내 세상(디지털),  10,000원",,,,85
2018-01-20,GS관,"09:50,  메이즈 러너: 데스 큐어(디지털),  6,000원","12:40,  메이즈 러너: 데스 큐어(디지털),  10,000원","15:30,  메이즈 러너: 데스 큐어(디지털),  10,000원","18:20,  메이즈 러너: 데스 큐어(디지털),  10,000원","21:10,  메이즈 러너: 데스 큐어(디지털),  9,000원",,,,,196
2018-01-20,GH관,"10:00,  코코(디지털더빙),  6,000원","12:30,  코코(디지털더빙),  10,000원","15:00,  코코(디지털),  10,000원","17:30,  메이즈 러너: 데스 큐어(디지털),  10,000원","20:20,  메이즈 러너: 데스 큐어(디지털),  10,000원","23:10,  메이즈 러너: 데스 큐어(디지털),  9,000원",,,,204
2018-01-20,05관,"09:30,  1987(디지털),  6,000원","12:05,  1987(디지털),  10,000원","14:40,  1987(디지털),  10,000원","17:15,  1987(디지털),  10,000원","19:50,  1987(디지털),  10,000원","22:25,  1987(디지털),  10,000원",,,,134
2018-01-21,01관,"10:15,  신과함께-죄와 벌(디지털),  7,000원","13:00,  신과함께-죄와 벌(디지털),  10,000원","15:45,  신과함께-죄와 벌(디지털),  10,000원","18:30,  신과함께-죄와 벌(디지털),  10,000원","21:15,  신과함께-죄와 벌(디지털),  10,000원",,,,,132
