상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2016-02-25,01관,"14:40,  브루클린의 멋진 주말(디지털),  0원","17:00,  대호(디지털),  0원","20:00,  갓 오브 이집트(디지털),  0원",,,,,,,,321
2016-02-25,02관(4DX),"14:20,  포인트 브레이크(4D),  0원","18:10,  갓 오브 이집트(4D),  0원",,,,,,,,,120
2016-02-25,03관,"14:00,  뽀로로 극장판 컴퓨터 왕국 대모험(디지털),  0원","15:45,  브루클린의 멋진 주말(디지털),  0원","17:55,  엽문3: 최후의 대결(디지털),  0원",,,,,,,,87
2016-02-25,04관,"15:00,  우먼 인 골드(디지털),  0원",,"19:40,  룸(디지털),  0원",,,,,,,,131
2016-02-25,05관(SCREENX),"16:20,  번개맨(디지털),  0원","18:30,  히말라야(디지털),  0원",,,,,,,,,174
2016-02-25,06관,"15:30,  헤이트풀8(디지털),  0원","18:50,  내부자들: 디 오리지널(디지털),  0원",,,,,,,,,215
2016-02-25,07관,"16:00,  그날의 분위기(디지털),  0원","18:25,  헤이트풀8(디지털),  0원",,,,,,,,,119
2016-02-26,01관,"10:00,  귀향(디지털),  7,000원","12:40,  귀향(디지털),  10,000원","15:20,  귀향(디지털),  10,000원","18:00,  귀향(디지털),  10,000원","20:40,  귀향(디지털),  10,000원","23:20,  귀향(디지털),  9,000원",,,,,321
2016-02-26,02관(4DX),"10:20,  데드풀(4D),  5,000원","12:40,  데드풀(4D),  9,000원","15:00,  데드풀(4D),  9,000원","17:20,  데드풀(4D),  9,000원","19:40,  데드풀(4D),  9,000원","22:00,  데드풀(4D),  9,000원","24:20,  데드풀(4D),  9,000원",,,,120
2016-02-26,03관,"10:40,  남과 여(디지털),  6,000원","13:05,  남과 여(디지털),  10,000원","15:30,  남과 여(디지털),  10,000원","17:55,  남과 여(디지털),  10,000원","20:20,  남과 여(디지털),  10,000원","22:45,  남과 여(디지털),  10,000원","25:10,  남과 여(디지털),  9,000원",,,,87
2016-02-26,04관,"11:00,  순정(디지털),  9,000원","13:20,  순정(디지털),  10,000원","15:40,  순정(디지털),  10,000원","18:00,  순정(디지털),  10,000원","20:25,  순정(디지털),  10,000원","22:50,  순정(디지털),  10,000원","25:15,  순정(디지털),  9,000원",,,,131
2016-02-26,05관(SCREENX),"11:40,  귀향(디지털),  10,000원","14:45,  주토피아(디지털더빙),  10,000원","17:15,  주토피아(디지털더빙),  10,000원","19:40,  귀향(디지털),  10,000원","22:20,  귀향(디지털),  10,000원","25:00,  귀향(디지털),  9,000원",,,,,174
2016-02-26,06관,"11:20,  주토피아(디지털더빙),  7,500원","13:45,  주토피아(디지털더빙),  10,000원","16:10,  주토피아(디지털더빙),  10,000원","18:35,  데드풀(디지털),  10,000원","20:55,  데드풀(디지털),  10,000원","23:15,  데드풀(디지털),  9,000원","25:35,  데드풀(디지털),  9,000원",,,,215
2016-02-26,07관,"10:30,  제 5침공(디지털),  6,000원","12:55,  검사외전(디지털),  10,000원","15:35,  좋아해줘(디지털),  10,000원","18:05,  제 5침공(디지털),  10,000원","20:30,  검사외전(디지털),  10,000원","23:10,  제 5침공(디지털),  9,000원","25:30,  검사외전(디지털),  9,000원",,,,119
2016-02-27,01관,"07:00,  귀향(디지털),  6,000원","09:40,  귀향(디지털),  9,000원","12:20,  귀향(디지털),  10,000원","15:00,  귀향(디지털),  10,000원","17:45,  귀향(디지털),  10,000원","20:30,  귀향(디지털),  10,000원","23:15,  귀향(디지털),  9,000원","25:55,  귀향(디지털),  9,000원",,,321
2016-02-27,02관(4DX),"08:30,  데드풀(4D),  5,000원","10:50,  데드풀(4D),  9,000원","13:10,  데드풀(4D),  9,000원","15:30,  데드풀(4D),  9,000원","17:50,  데드풀(4D),  9,000원","20:10,  데드풀(4D),  9,000원","22:30,  데드풀(4D),  9,000원","24:50,  데드풀(4D),  9,000원",,,120
2016-02-27,03관,"07:40,  제 5침공(디지털),  6,000원","10:05,  검사외전(디지털),  10,000원","12:45,  좋아해줘(디지털),  10,000원","15:15,  검사외전(디지털),  10,000원","17:55,  좋아해줘(디지털),  10,000원","20:25,  검사외전(디지털),  10,000원","23:05,  제 5침공(디지털),  9,000원","25:30,  검사외전(디지털),  9,000원",,,87
2016-02-27,04관,"08:00,  순정(디지털),  6,000원","10:35,  주토피아(디지털더빙),  10,000원","13:00,  주토피아(디지털더빙),  10,000원","15:25,  주토피아(디지털더빙),  10,000원","17:50,  주토피아(디지털더빙),  10,000원","20:15,  좋아해줘(디지털),  10,000원","22:45,  좋아해줘(디지털),  10,000원","25:15,  순정(디지털)",,,131
2016-02-27,05관(SCREENX),"08:20,  주토피아(디지털더빙),  6,000원","10:45,  귀향(디지털),  10,000원","13:25,  귀향(디지털),  10,000원","16:05,  귀향(디지털),  10,000원","18:45,  귀향(디지털),  10,000원","21:25,  귀향(디지털),  10,000원","24:05,  귀향(디지털),  9,000원",,,,174
2016-02-27,06관,"07:10,  데드풀(디지털),  6,000원","09:35,  주토피아(디지털더빙),  6,000원","12:00,  주토피아(디지털더빙),  10,000원","14:25,  주토피아(디지털더빙),  10,000원","16:50,  주토피아(디지털더빙),  10,000원","19:10,  데드풀(디지털),  10,000원","21:30,  데드풀(디지털),  10,000원","23:50,  데드풀(디지털),  9,000원",,,215
2016-02-27,07관,"07:30,  남과 여(디지털)","09:55,  좋아해줘(디지털),  7,000원","12:30,  순정(디지털),  7,000원","14:55,  좋아해줘(디지털),  7,000원","17:25,  주토피아(디지털),  10,000원","19:45,  남과 여(디지털),  10,000원","22:10,  남과 여(디지털),  8,000원","24:35,  남과 여(디지털),  9,000원",,,119
2016-02-28,01관,"07:00,  귀향(디지털),  6,000원","09:40,  귀향(디지털),  6,000원","12:20,  귀향(디지털),  10,000원","15:00,  귀향(디지털),  10,000원","17:45,  귀향(디지털),  10,000원","20:30,  귀향(디지털),  10,000원","23:15,  귀향(디지털),  9,000원",,,,321
2016-02-28,02관(4DX),"08:30,  데드풀(4D),  5,000원","10:50,  데드풀(4D),  9,000원","13:10,  데드풀(4D),  9,000원","15:30,  데드풀(4D),  9,000원","17:50,  데드풀(4D),  9,000원","20:10,  데드풀(4D),  9,000원","22:30,  데드풀(4D),  9,000원","24:50,  데드풀(4D),  9,000원",,,120
2016-02-28,03관,"07:20,  제 5침공(디지털),  6,000원","09:40,  검사외전(디지털),  6,000원","12:15,  좋아해줘(디지털),  10,000원","14:45,  남과 여(디지털),  10,000원","17:10,  검사외전(디지털),  10,000원","19:45,  주토피아(디지털),  10,000원","22:05,  제 5침공(디지털),  10,000원","24:30,  검사외전(디지털),  9,000원",,,87
2016-02-28,04관,"08:00,  순정(디지털),  6,000원","10:25,  주토피아(디지털더빙),  10,000원","12:50,  순정(디지털),  10,000원","15:15,  좋아해줘(디지털),  10,000원","17:50,  주토피아(디지털더빙),  10,000원","20:10,  좋아해줘(디지털),  10,000원","22:40,  좋아해줘(디지털),  10,000원","25:10,  좋아해줘(디지털),  9,000원",,,131
2016-02-28,05관(SCREENX),"08:20,  주토피아(디지털더빙),  6,000원","10:45,  귀향(디지털),  10,000원","13:25,  귀향(디지털),  10,000원","16:05,  귀향(디지털),  10,000원","18:45,  귀향(디지털),  10,000원","21:25,  귀향(디지털),  10,000원","24:05,  귀향(디지털),  9,000원",,,,174
2016-02-28,06관,"07:10,  데드풀(디지털),  7,000원","09:35,  주토피아(디지털더빙),  6,000원","12:00,  주토피아(디지털더빙),  10,000원","14:25,  주토피아(디지털더빙),  10,000원","16:50,  주토피아(디지털),  10,000원","19:10,  데드풀(디지털),  10,000원","21:30,  데드풀(디지털),  10,000원","23:50,  데드풀(디지털),  9,000원",,,215
2016-02-28,07관,"08:10,  좋아해줘(디지털),  6,000원","10:40,  좋아해줘(디지털),  10,000원","13:10,  주토피아(디지털더빙),  10,000원","15:30,  주토피아(디지털더빙),  10,000원","18:10,  주토피아(디지털),  10,000원","20:30,  주토피아(디지털),  10,000원","22:50,  검사외전(디지털),  10,000원","25:25,  남과 여(디지털),  9,000원",,,119
