상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2019-07-04,05관,,,,,"20:00,  완벽한 타인(디지털)",,,,,116
2019-07-04,06관,,,,,"20:00,  말모이(디지털)",,,,,124
2019-07-04,07관,,,,,"20:00,  말모이(디지털)",,,,,124
2019-07-04,08관,,,,,"20:00,  완벽한 타인(디지털)",,,,,116
2019-07-05,01관,"13:30,  스파이더맨: 파 프롬 홈(디지털),  12,000원","16:10,  스파이더맨: 파 프롬 홈(디지털),  12,000원","18:50,  스파이더맨: 파 프롬 홈(디지털),  12,000원","21:30,  스파이더맨: 파 프롬 홈(디지털),  12,000원",,,,,,270
2019-07-05,02관,"11:00,  알라딘(디지털),  12,000원","13:40,  알라딘(디지털),  12,000원","16:20,  알라딘(디지털),  12,000원","19:00,  알라딘(디지털),  12,000원","21:40,  알라딘(디지털),  12,000원",,,,,176
2019-07-05,03관,"11:40,  토이 스토리 4(디지털더빙),  11,500원","13:50,  토이 스토리 4(디지털),  12,000원","16:00,  토이 스토리 4(디지털),  12,000원","18:10,  토이 스토리 4(디지털),  12,000원","20:20,  기생충(디지털),  12,000원","23:00,  존 윅 3: 파라벨룸(디지털),  12,000원",,,,176
2019-07-05,04관,"12:30,  기생충(디지털),  9,000원","15:20,  별의 정원(디지털),  9,000원","17:05,  스파이더맨: 파 프롬 홈(디지털),  12,000원","19:45,  스파이더맨: 파 프롬 홈(디지털),  12,000원","22:25,  스파이더맨: 파 프롬 홈(디지털),  12,000원",,,,,142
2019-07-05,05관,"12:00,  스파이더맨: 파 프롬 홈(디지털),  11,000원","14:40,  스파이더맨: 파 프롬 홈(디지털),  11,000원","17:20,  스파이더맨: 파 프롬 홈(디지털),  11,000원","20:00,  스파이더맨: 파 프롬 홈(디지털),  11,000원","22:40,  스파이더맨: 파 프롬 홈(디지털),  11,000원",,,,,116
2019-07-05,06관,"11:30,  스파이더맨: 파 프롬 홈(디지털),  11,000원","14:10,  스파이더맨: 파 프롬 홈(디지털),  11,000원","16:50,  스파이더맨: 파 프롬 홈(디지털),  11,000원","19:30,  스파이더맨: 파 프롬 홈(디지털),  11,000원","22:10,  스파이더맨: 파 프롬 홈(디지털),  11,000원",,,,,124
2019-07-05,07관,"12:30,  스파이더맨: 파 프롬 홈(디지털),  11,000원","15:10,  스파이더맨: 파 프롬 홈(디지털),  11,000원","17:50,  스파이더맨: 파 프롬 홈(디지털),  11,000원","20:30,  스파이더맨: 파 프롬 홈(디지털),  11,000원","23:10,  스파이더맨: 파 프롬 홈(디지털),  11,000원",,,,,124
2019-07-05,08관,"13:00,  스파이더맨: 파 프롬 홈(디지털),  11,000원","15:40,  스파이더맨: 파 프롬 홈(디지털),  11,000원","18:20,  스파이더맨: 파 프롬 홈(디지털),  11,000원","21:00,  스파이더맨: 파 프롬 홈(디지털),  11,000원","23:40,  스파이더맨: 파 프롬 홈(디지털),  11,000원",,,,,116
2019-07-06,01관,"10:10,  별의 정원(디지털),  7,000원","11:50,  스파이더맨: 파 프롬 홈(디지털),  12,000원","14:30,  스파이더맨: 파 프롬 홈(디지털),  12,000원","17:10,  스파이더맨: 파 프롬 홈(디지털),  12,000원","19:50,  스파이더맨: 파 프롬 홈(디지털),  12,000원","22:30,  스파이더맨: 파 프롬 홈(디지털),  12,000원",,,,270
2019-07-06,02관,"11:00,  스파이더맨: 파 프롬 홈(디지털),  12,000원","13:40,  스파이더맨: 파 프롬 홈(디지털),  12,000원","16:20,  스파이더맨: 파 프롬 홈(디지털),  12,000원","19:00,  스파이더맨: 파 프롬 홈(디지털),  12,000원","21:40,  스파이더맨: 파 프롬 홈(디지털),  12,000원",,,,,176
2019-07-06,03관,"10:10,  알라딘(디지털),  8,000원","12:50,  알라딘(디지털),  12,000원","15:30,  알라딘(디지털),  12,000원","18:10,  알라딘(디지털),  12,000원","20:50,  알라딘(디지털),  12,000원","23:30,  알라딘(디지털),  12,000원",,,,176
2019-07-06,04관,"10:00,  토이 스토리 4(디지털더빙),  6,000원","12:10,  토이 스토리 4(디지털),  8,000원","14:20,  기생충(디지털),  12,000원","17:05,  존 윅 3: 파라벨룸(디지털),  12,000원","19:45,  토이 스토리 4(디지털),  12,000원","22:00,  기생충(디지털),  12,000원",,,,142
2019-07-06,05관,"11:30,  스파이더맨: 파 프롬 홈(디지털),  8,000원","14:10,  스파이더맨: 파 프롬 홈(디지털),  11,000원","16:50,  스파이더맨: 파 프롬 홈(디지털),  11,000원","19:30,  스파이더맨: 파 프롬 홈(디지털),  11,000원","22:10,  스파이더맨: 파 프롬 홈(디지털),  11,000원",,,,,116
2019-07-06,06관,"09:30,  스파이더맨: 파 프롬 홈(디지털),  8,000원","12:10,  스파이더맨: 파 프롬 홈(디지털),  11,000원","14:50,  스파이더맨: 파 프롬 홈(디지털),  11,000원","17:30,  스파이더맨: 파 프롬 홈(디지털),  11,000원","20:10,  스파이더맨: 파 프롬 홈(디지털),  11,000원","22:50,  스파이더맨: 파 프롬 홈(디지털),  11,000원",,,,124
2019-07-06,07관,"10:00,  스파이더맨: 파 프롬 홈(디지털),  8,000원","12:40,  스파이더맨: 파 프롬 홈(디지털),  11,000원","15:20,  스파이더맨: 파 프롬 홈(디지털),  11,000원","18:00,  스파이더맨: 파 프롬 홈(디지털),  11,000원","20:40,  스파이더맨: 파 프롬 홈(디지털),  11,000원","23:20,  스파이더맨: 파 프롬 홈(디지털),  11,000원",,,,124
2019-07-06,08관,"10:30,  스파이더맨: 파 프롬 홈(디지털),  8,000원","13:10,  스파이더맨: 파 프롬 홈(디지털),  11,000원","15:50,  스파이더맨: 파 프롬 홈(디지털),  11,000원","18:30,  스파이더맨: 파 프롬 홈(디지털),  11,000원","21:10,  스파이더맨: 파 프롬 홈(디지털),  11,000원","23:50,  스파이더맨: 파 프롬 홈(디지털),  11,000원",,,,116
