상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2015-01-01,01관,"07:50,  님아, 그 강을 건너지 마오(디지털),  6,500원","09:40,  테이큰 3(디지털),  7,000원","12:00,  님아, 그 강을 건너지 마오(디지털),  10,000원","13:50,  테이큰 3(디지털),  10,000원","16:10,  호빗: 다섯 군대 전투(디지털),  10,000원","19:00,  테이큰 3(디지털),  10,000원","21:20,  테이큰 3(디지털),  10,000원","23:40,  테이큰 3(디지털),  10,000원","26:00,  테이큰 3(디지털),  10,000원",,108
2015-01-01,02관,"07:50,  국제시장(디지털),  6,000원","10:20,  국제시장(디지털),  10,000원","12:50,  국제시장(디지털),  10,000원","15:25,  국제시장(디지털),  10,000원","18:05,  국제시장(디지털),  10,000원","20:40,  국제시장(디지털),  10,000원","23:15,  국제시장(디지털),  10,000원","25:50,  국제시장(디지털),  10,000원",,,131
2015-01-01,03관,"08:40,  기술자들(디지털),  6,000원","11:00,  기술자들(디지털),  10,000원","13:20,  기술자들(디지털),  10,000원","15:45,  기술자들(디지털),  10,000원","18:05,  기술자들(디지털),  10,000원","20:25,  기술자들(디지털),  10,000원","22:50,  기술자들(디지털),  10,000원","25:10,  기술자들(디지털),  10,000원",,,108
2015-01-01,04관,"08:00,  호빗: 다섯 군대 전투(디지털),  6,000원","10:50,  마다가스카의 펭귄(디지털),  10,000원","12:50,  마다가스카의 펭귄(3D 디지털),  13,000원","14:50,  마다가스카의 펭귄(디지털),  10,000원","16:50,  마다가스카의 펭귄(3D 디지털),  12,000원","18:50,  마다가스카의 펭귄(디지털),  10,000원","20:50,  님아, 그 강을 건너지 마오(디지털),  10,000원","22:40,  호빗: 다섯 군대 전투(디지털),  10,000원","25:30,  님아, 그 강을 건너지 마오(디지털),  10,000원",,108
2015-01-02,01관,"07:50,  님아, 그 강을 건너지 마오(디지털),  6,000원","09:40,  테이큰 3(디지털),  9,000원","12:00,  님아, 그 강을 건너지 마오(디지털),  10,000원","13:50,  테이큰 3(디지털),  10,000원","16:10,  테이큰 3(디지털),  10,000원","18:30,  테이큰 3(디지털),  10,000원","20:50,  테이큰 3(디지털),  10,000원","23:10,  테이큰 3(디지털),  10,000원","25:30,  테이큰 3(디지털),  10,000원",,108
2015-01-02,02관,"07:50,  국제시장(디지털),  7,000원","10:20,  국제시장(디지털),  10,000원","12:50,  국제시장(디지털),  10,000원","15:25,  국제시장(디지털),  10,000원","18:05,  국제시장(디지털),  10,000원","20:40,  국제시장(디지털),  10,000원","23:15,  국제시장(디지털),  10,000원","25:50,  국제시장(디지털),  10,000원",,,131
2015-01-02,03관,"08:40,  기술자들(디지털),  6,000원","11:00,  기술자들(디지털),  10,000원","13:20,  기술자들(디지털),  10,000원","15:45,  기술자들(디지털),  10,000원","18:05,  기술자들(디지털),  10,000원","20:25,  기술자들(디지털),  10,000원","22:50,  기술자들(디지털),  10,000원","25:10,  기술자들(디지털),  10,000원",,,108
2015-01-02,04관,"07:50,  호빗: 다섯 군대 전투(디지털),  6,000원","10:40,  마다가스카의 펭귄(디지털),  10,000원","12:40,  마다가스카의 펭귄(3D 디지털),  12,000원","14:40,  마다가스카의 펭귄(디지털),  10,000원","16:40,  마다가스카의 펭귄(3D 디지털),  12,000원","18:40,  마다가스카의 펭귄(디지털),  10,000원","20:40,  호빗: 다섯 군대 전투(디지털),  10,000원","23:30,  호빗: 다섯 군대 전투(디지털),  10,000원",,,108
2015-01-03,01관,"08:10,  님아, 그 강을 건너지 마오(디지털),  7,000원","10:00,  테이큰 3(디지털),  10,000원","12:20,  님아, 그 강을 건너지 마오(디지털),  10,000원","14:10,  테이큰 3(디지털),  10,000원","16:30,  테이큰 3(디지털),  10,000원","18:50,  테이큰 3(디지털),  10,000원","21:10,  테이큰 3(디지털),  10,000원","23:30,  테이큰 3(디지털),  10,000원","25:50,  테이큰 3(디지털),  10,000원",,108
2015-01-03,02관,"08:00,  국제시장(디지털),  6,000원","10:30,  국제시장(디지털),  10,000원","13:05,  국제시장(디지털),  10,000원","15:40,  국제시장(디지털),  10,000원","18:15,  국제시장(디지털),  10,000원","20:50,  국제시장(디지털),  10,000원","23:25,  국제시장(디지털),  10,000원","26:00,  국제시장(디지털),  10,000원",,,131
