상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2019-08-28,01관,"12:00,  유열의 음악앨범(디지털),  10,000원","14:30,  유열의 음악앨범(디지털),  10,000원","17:00,  유열의 음악앨범(디지털),  7,000원","19:30,  유열의 음악앨범(디지털),  7,000원","22:00,  유열의 음악앨범(디지털),  11,000원",,,,206
2019-08-28,02관,"12:30,  변신(디지털),  7,000원","14:45,  47미터 2(디지털),  10,000원","16:40,  변신(디지털),  11,000원","18:55,  엑시트(디지털),  7,000원","21:00,  47미터 2(디지털),  7,000원",,,,142
2019-08-28,03관,"12:20,  47미터 2(디지털),  7,000원","14:15,  엑시트(디지털),  10,000원","16:25,  47미터 2(디지털),  11,000원","18:20,  변신(디지털),  7,000원","20:40,  유열의 음악앨범(디지털),  5,000원",,,,206
2019-08-29,01관,"10:00,  유열의 음악앨범(디지털),  10,000원","12:30,  유열의 음악앨범(디지털),  9,000원","15:00,  유열의 음악앨범(디지털),  10,000원","17:30,  유열의 음악앨범(디지털),  11,000원","20:00,  유열의 음악앨범(디지털),  11,000원","22:30,  유열의 음악앨범(디지털),  10,000원",,,206
2019-08-29,02관,"10:30,  엑시트(디지털),  7,000원","12:40,  47미터 2(디지털),  9,000원","14:40,  엑시트(디지털),  10,000원","16:50,  47미터 2(디지털),  11,000원","18:50,  엑시트(디지털),  11,000원","21:00,  유열의 음악앨범(디지털),  11,000원","23:30,  47미터 2(디지털),  10,000원",,142
2019-08-29,03관,"11:00,  변신(디지털),  8,000원","13:20,  변신(디지털),  10,000원","15:45,  변신(디지털),  10,000원","18:10,  변신(디지털),  11,000원","20:30,  변신(디지털),  11,000원","22:50,  변신(디지털),  10,000원",,,206
2019-08-30,01관,"10:30,  유열의 음악앨범(디지털),  8,000원","13:00,  유열의 음악앨범(디지털),  12,000원","15:30,  유열의 음악앨범(디지털),  12,000원","18:00,  유열의 음악앨범(디지털),  12,000원","20:30,  유열의 음악앨범(디지털),  12,000원","23:00,  유열의 음악앨범(디지털),  12,000원",,,206
2019-08-30,02관,"09:40,  엑시트(디지털),  10,000원","11:45,  47미터 2(디지털),  12,000원","13:40,  유열의 음악앨범(디지털),  12,000원","16:10,  엑시트(디지털),  12,000원","18:20,  47미터 2(디지털),  12,000원","20:15,  엑시트(디지털),  12,000원","22:30,  47미터 2(디지털),  12,000원",,142
2019-08-30,03관,"09:30,  변신(디지털),  8,000원","11:50,  변신(디지털),  12,000원","14:10,  변신(디지털),  12,000원","16:30,  변신(디지털),  12,000원","18:50,  변신(디지털),  12,000원","21:10,  변신(디지털),  12,000원","23:30,  변신(디지털),  12,000원",,206
2019-08-31,01관,"09:00,  유열의 음악앨범(디지털),  9,000원","11:30,  유열의 음악앨범(디지털),  12,000원","14:00,  유열의 음악앨범(디지털),  12,000원","16:30,  유열의 음악앨범(디지털),  12,000원","19:00,  유열의 음악앨범(디지털),  12,000원","21:25,  유열의 음악앨범(디지털),  12,000원","23:50,  유열의 음악앨범(디지털),  12,000원",,206
