상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2018-03-23,01관,,"12:00,  나미야 잡화점의 기적(디지털),  0원","14:45,  1급기밀(디지털),  0원","17:00,  바람 바람 바람(디지털),  0원",,,,,,117
2018-03-23,02관,,"11:00,  타클라마칸(디지털)","13:20,  치즈인더트랩(디지털)","15:50,  사라진 밤(디지털),  11,000원",,,,,,83
2018-03-23,03관,,"11:30,  원더(디지털),  0원","13:50,  더 포스트(디지털),  0원",,,,,,,124
2018-03-23,04관,,"11:10,  리틀 포레스트(디지털),  11,000원","13:25,  사라진 밤(디지털),  10,000원","15:40,  강철비(디지털),  0원",,,,,,117
2018-03-23,05관,,"11:50,  플로리다 프로젝트(디지털),  11,000원","14:15,  더 미드와이프(디지털),  10,000원","16:40,  지금 만나러 갑니다(디지털),  11,000원",,,,,,83
2018-03-23,06관,,"12:30,  퍼시픽 림: 업라이징(디지털),  10,000원","14:55,  퍼시픽 림: 업라이징(디지털),  11,000원","17:20,  퍼시픽 림: 업라이징(디지털),  11,000원",,,,,,124
2018-03-23,07관,,"11:40,  지금 만나러 갑니다(디지털),  10,000원","14:25,  지금 만나러 갑니다(디지털),  10,500원","17:10,  지금 만나러 갑니다(디지털),  11,000원",,,,,,117
2018-03-23,08관,,"11:25,  콜 미 바이 유어 네임(디지털),  11,000원","14:05,  미니특공대X(디지털)","15:45,  콜 미 바이 유어 네임(디지털),  11,000원",,,,,,83
2018-03-23,09관,,"11:20,  퍼시픽 림: 업라이징(디지털),  10,000원","13:45,  퍼시픽 림: 업라이징(디지털),  10,000원","16:10,  퍼시픽 림: 업라이징(디지털),  11,000원",,,,,,124
2018-03-24,01관,"10:40,  치즈인더트랩(디지털),  7,000원","13:10,  치즈인더트랩(디지털),  11,000원","16:00,  지금 만나러 갑니다(디지털),  11,000원","18:50,  치즈인더트랩(디지털),  11,000원","21:30,  지금 만나러 갑니다(디지털),  11,000원",,,,,117
2018-03-24,02관,"10:15,  리틀 포레스트(디지털),  7,000원","12:25,  타클라마칸(디지털),  5,000원","14:40,  리틀 포레스트(디지털),  5,000원","16:55,  리틀 포레스트(디지털),  11,000원","19:10,  리틀 포레스트(디지털),  11,000원","21:25,  타클라마칸(디지털)","23:45,  타클라마칸(디지털)",,,83
2018-03-24,03관,"09:30,  지금 만나러 갑니다(디지털),  7,000원","12:15,  지금 만나러 갑니다(디지털),  11,000원","15:00,  지금 만나러 갑니다(디지털),  11,000원","17:45,  지금 만나러 갑니다(디지털),  11,000원","20:30,  지금 만나러 갑니다(디지털),  11,000원","23:15,  지금 만나러 갑니다(디지털),  10,000원",,,,124
2018-03-24,04관,"09:40,  소공녀(디지털),  7,000원","11:55,  플로리다 프로젝트(디지털),  10,000원","14:20,  사라진 밤(디지털),  11,000원","16:30,  소공녀(디지털),  11,000원","18:45,  사라진 밤(디지털),  11,000원","20:55,  소공녀(디지털),  8,000원","23:10,  사라진 밤(디지털),  10,000원",,,117
2018-03-24,05관,"10:25,  더 미드와이프(디지털),  7,000원","12:50,  소공녀(디지털),  11,000원","15:05,  더 미드와이프(디지털),  11,000원","17:30,  사라진 밤(디지털),  11,000원","19:45,  소공녀(디지털),  11,000원","22:00,  더 미드와이프(디지털),  11,000원",,,,83
2018-03-24,06관,"09:00,  퍼시픽 림: 업라이징(디지털),  7,000원","11:25,  퍼시픽 림: 업라이징(디지털),  10,000원","13:45,  퍼시픽 림: 업라이징(디지털),  11,000원","16:10,  퍼시픽 림: 업라이징(디지털),  11,000원","18:35,  퍼시픽 림: 업라이징(디지털),  11,000원","21:00,  퍼시픽 림: 업라이징(디지털),  11,000원","23:25,  퍼시픽 림: 업라이징(디지털),  10,000원",,,124
2018-03-24,07관,"09:35,  타클라마칸(디지털)","11:55,  사라진 밤(디지털),  10,000원","14:05,  지금 만나러 갑니다(디지털),  11,000원","16:50,  지금 만나러 갑니다(디지털),  11,000원","19:35,  지금 만나러 갑니다(디지털),  11,000원","22:20,  지금 만나러 갑니다(디지털),  11,000원",,,,117
2018-03-24,08관,"09:10,  콜 미 바이 유어 네임(디지털),  7,000원","11:50,  콜 미 바이 유어 네임(디지털),  11,000원","14:35,  미니특공대X(디지털),  11,000원","16:15,  콜 미 바이 유어 네임(디지털),  11,000원","18:55,  콜 미 바이 유어 네임(디지털),  11,000원","21:35,  콜 미 바이 유어 네임(디지털),  11,000원",,,,83
2018-03-24,09관,"10:00,  퍼시픽 림: 업라이징(디지털),  9,000원","12:25,  퍼시픽 림: 업라이징(디지털),  11,000원","14:50,  퍼시픽 림: 업라이징(디지털),  11,000원","17:15,  퍼시픽 림: 업라이징(디지털),  11,000원","19:40,  퍼시픽 림: 업라이징(디지털),  11,000원","22:05,  퍼시픽 림: 업라이징(디지털),  11,000원",,,,124
2018-03-25,01관,"10:40,  치즈인더트랩(디지털),  7,000원","13:10,  지금 만나러 갑니다(디지털),  11,000원","15:55,  치즈인더트랩(디지털),  11,000원","18:25,  지금 만나러 갑니다(디지털),  11,000원","21:10,  치즈인더트랩(디지털),  11,000원","23:40,  지금 만나러 갑니다(디지털),  10,000원",,,,117
2018-03-25,02관,"10:15,  리틀 포레스트(디지털),  7,000원","12:25,  타클라마칸(디지털),  9,000원","14:40,  리틀 포레스트(디지털),  11,000원","16:55,  리틀 포레스트(디지털),  11,000원","19:10,  리틀 포레스트(디지털),  11,000원","21:25,  타클라마칸(디지털),  10,000원","23:45,  타클라마칸(디지털)",,,83
2018-03-25,03관,"09:30,  지금 만나러 갑니다(디지털),  9,000원","12:15,  지금 만나러 갑니다(디지털),  11,000원","15:00,  지금 만나러 갑니다(디지털),  11,000원","17:40,  지금 만나러 갑니다(디지털),  10,000원","20:20,  지금 만나러 갑니다(디지털),  11,000원","23:00,  지금 만나러 갑니다(디지털),  11,000원",,,,124
2018-03-25,04관,"09:40,  소공녀(디지털),  7,000원","11:55,  플로리다 프로젝트(디지털),  11,000원","14:20,  사라진 밤(디지털),  11,000원","16:30,  소공녀(디지털),  11,000원","18:45,  사라진 밤(디지털),  11,000원","20:55,  소공녀(디지털),  8,000원","23:10,  사라진 밤(디지털),  10,000원",,,117
2018-03-25,05관,"10:25,  더 미드와이프(디지털),  7,000원","12:50,  소공녀(디지털),  10,000원","15:05,  더 미드와이프(디지털),  11,000원","17:30,  사라진 밤(디지털),  11,000원","19:45,  소공녀(디지털),  10,000원","22:00,  더 미드와이프(디지털)",,,,83
