상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2017-12-29,01관,"12:30,  1987(디지털),  11,000원","15:05,  1987(디지털),  11,000원","17:40,  1987(디지털),  11,000원","20:15,  1987(디지털),  11,000원",,,,,,153
2017-12-29,02관,"12:40,  몬스터 패밀리(디지털더빙),  11,000원","14:40,  뽀로로 극장판 공룡섬 대모험(디지털),  11,000원","16:25,  1987(디지털),  11,000원","19:00,  1987(디지털),  11,000원",,,,,,153
2017-12-29,03관,"12:00,  신과함께-죄와 벌(디지털),  11,000원","14:45,  신과함께-죄와 벌(디지털),  11,000원","17:30,  신과함께-죄와 벌(디지털),  11,000원","20:15,  신과함께-죄와 벌(디지털),  11,000원",,,,,,153
2017-12-29,04관,"12:00,  1987(디지털),  7,000원","14:35,  1987(디지털),  11,000원","17:10,  1987(디지털),  11,000원","19:45,  1987(디지털),  11,000원",,,,,,153
2017-12-29,05관,"12:50,  사랑과 영혼(디지털)",,"19:50,  강철비(디지털),  11,000원",,,,,,,130
2017-12-29,06관,"12:00,  원더(디지털),  7,000원","14:15,  극장판 포켓몬스터 너로 정했다!(디지털더빙),  11,000원","16:20,  딥(디지털더빙)","18:10,  원라인(디지털)",,,,,,135
2017-12-29,07관,"12:05,  뽀로로 극장판 공룡섬 대모험(디지털),  11,000원","13:50,  몬스터 패밀리(디지털더빙),  10,000원","16:00,  더 킹(디지털)","18:40,  범죄도시(디지털)",,,,,,135
2017-12-29,08관,"13:10,  신과함께-죄와 벌(디지털),  11,000원","15:55,  신과함께-죄와 벌(디지털),  11,000원","18:40,  신과함께-죄와 벌(디지털),  11,000원",,,,,,,216
2017-12-29,09관,"13:00,  1987(디지털),  11,000원","15:35,  1987(디지털),  6,000원","18:10,  1987(디지털),  11,000원",,,,,,,216
2017-12-30,01관,"09:30,  1987(디지털),  7,000원","12:05,  1987(디지털),  11,000원","14:40,  1987(디지털),  11,000원","17:15,  1987(디지털),  11,000원","19:50,  1987(디지털),  11,000원","22:25,  1987(디지털),  11,000원",,,,153
2017-12-30,02관,"10:40,  1987(디지털),  7,000원","13:15,  1987(디지털),  11,000원","15:50,  1987(디지털),  11,000원","18:25,  1987(디지털),  11,000원","21:00,  1987(디지털),  11,000원","23:35,  1987(디지털),  11,000원",,,,153
2017-12-30,03관,"09:30,  신과함께-죄와 벌(디지털),  7,000원","12:15,  신과함께-죄와 벌(디지털),  11,000원","15:00,  신과함께-죄와 벌(디지털),  11,000원","17:45,  신과함께-죄와 벌(디지털),  11,000원","20:30,  신과함께-죄와 벌(디지털),  11,000원","23:15,  신과함께-죄와 벌(디지털),  11,000원",,,,153
2017-12-30,04관,"10:30,  신과함께-죄와 벌(디지털),  7,000원","13:15,  신과함께-죄와 벌(디지털),  11,000원","16:00,  신과함께-죄와 벌(디지털),  11,000원","18:45,  신과함께-죄와 벌(디지털),  11,000원","21:30,  신과함께-죄와 벌(디지털),  11,000원","24:15,  신과함께-죄와 벌(디지털),  9,000원",,,,153
2017-12-30,05관,"09:50,  몬스터 패밀리(디지털더빙),  7,000원","11:50,  몬스터 패밀리(디지털더빙),  11,000원","13:50,  몬스터 패밀리(디지털더빙),  11,000원","15:50,  몬스터 패밀리(디지털더빙),  11,000원","17:50,  원더(디지털),  11,000원","20:15,  신과함께-죄와 벌(디지털),  11,000원","23:00,  원더(디지털),  11,000원",,,130
2017-12-30,06관,"10:20,  극장판 포켓몬스터 너로 정했다!(디지털더빙),  7,000원","12:25,  사랑과 영혼(디지털),  10,000원","15:00,  극장판 포켓몬스터 너로 정했다!(디지털더빙),  11,000원","17:05,  극장판 포켓몬스터 너로 정했다!(디지털더빙),  11,000원","19:10,  강철비(디지털),  11,000원","21:55,  강철비(디지털),  11,000원","24:40,  강철비(디지털),  9,000원",,,135
2017-12-30,07관,"11:00,  뽀로로 극장판 공룡섬 대모험(디지털),  7,000원","12:45,  뽀로로 극장판 공룡섬 대모험(디지털),  11,000원","14:30,  신과함께-죄와 벌(디지털),  11,000원","17:15,  신과함께-죄와 벌(디지털),  11,000원","20:00,  신과함께-죄와 벌(디지털),  11,000원","22:45,  신과함께-죄와 벌(디지털),  11,000원",,,,135
2017-12-30,08관,"10:00,  신과함께-죄와 벌(디지털),  7,000원","12:45,  신과함께-죄와 벌(디지털),  11,000원","15:30,  신과함께-죄와 벌(디지털),  11,000원","18:15,  신과함께-죄와 벌(디지털),  11,000원","21:00,  신과함께-죄와 벌(디지털),  11,000원","23:45,  신과함께-죄와 벌(디지털),  10,000원",,,,216
2017-12-30,09관,"11:00,  신과함께-죄와 벌(디지털),  7,000원","13:45,  신과함께-죄와 벌(디지털),  11,000원","16:30,  신과함께-죄와 벌(디지털),  11,000원","19:15,  신과함께-죄와 벌(디지털),  11,000원","22:00,  신과함께-죄와 벌(디지털),  11,000원","24:45,  신과함께-죄와 벌(디지털),  9,000원",,,,216
2017-12-31,01관,"09:30,  1987(디지털),  7,000원","12:05,  1987(디지털),  11,000원","14:40,  1987(디지털),  11,000원","17:15,  1987(디지털),  11,000원","19:50,  1987(디지털),  11,000원","22:30,  1987(디지털),  11,000원",,,,153
2017-12-31,02관,"10:40,  1987(디지털),  7,000원","13:15,  1987(디지털),  11,000원","15:50,  1987(디지털),  11,000원","18:25,  1987(디지털),  11,000원","21:00,  1987(디지털),  11,000원","23:45,  1987(디지털),  11,000원",,,,153
2017-12-31,03관,"09:30,  신과함께-죄와 벌(디지털),  8,000원","12:15,  신과함께-죄와 벌(디지털),  11,000원","15:00,  신과함께-죄와 벌(디지털),  11,000원","17:45,  신과함께-죄와 벌(디지털),  11,000원","20:30,  신과함께-죄와 벌(디지털),  11,000원","23:15,  신과함께-죄와 벌(디지털),  11,000원",,,,153
2017-12-31,04관,"10:30,  신과함께-죄와 벌(디지털),  9,000원","13:15,  신과함께-죄와 벌(디지털),  11,000원","16:00,  신과함께-죄와 벌(디지털),  11,000원","18:45,  신과함께-죄와 벌(디지털),  11,000원","21:30,  신과함께-죄와 벌(디지털),  11,000원","24:15,  신과함께-죄와 벌(디지털),  9,000원",,,,153
