상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2015-01-01,01관,"09:40,  마다가스카의 펭귄(디지털더빙),  8,000원","11:35,  마다가스카의 펭귄(디지털더빙),  9,000원","13:30,  마다가스카의 펭귄(디지털더빙),  9,000원","15:25,  마다가스카의 펭귄(디지털더빙),  9,000원","17:25,  호빗: 다섯 군대 전투(디지털),  9,000원","20:15,  호빗: 다섯 군대 전투(디지털),  9,000원","23:10,  호빗: 다섯 군대 전투(디지털),  9,000원",,137
2015-01-01,02관,"10:35,  님아, 그 강을 건너지 마오(디지털),  7,000원","12:30,  님아, 그 강을 건너지 마오(디지털),  9,000원","14:20,  님아, 그 강을 건너지 마오(디지털),  9,000원","16:05,  님아, 그 강을 건너지 마오(디지털),  9,000원","18:00,  님아, 그 강을 건너지 마오(디지털),  9,000원","19:50,  님아, 그 강을 건너지 마오(디지털),  9,000원","22:00,  님아, 그 강을 건너지 마오(디지털),  9,000원","23:45,  님아, 그 강을 건너지 마오(디지털),  9,000원",137
2015-01-01,03관,"09:50,  테이큰 3(디지털),  6,000원","12:10,  테이큰 3(디지털),  9,000원","14:30,  테이큰 3(디지털),  9,000원","16:40,  테이큰 3(디지털),  9,000원","18:55,  테이큰 3(디지털),  9,000원","21:10,  테이큰 3(디지털),  9,000원","23:25,  테이큰 3(디지털),  9,000원",,137
2015-01-01,04관,"10:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  6,000원","12:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  9,000원","13:50,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  9,000원","15:50,  기술자들(디지털),  9,000원","18:10,  기술자들(디지털),  9,000원","20:35,  기술자들(디지털),  9,000원","22:50,  기술자들(디지털),  9,000원",,137
2015-01-01,05관,"09:55,  더 테너 리리코 스핀토(디지털),  6,000원","12:20,  국제시장(디지털),  9,000원","14:40,  국제시장(디지털),  9,000원","17:00,  국제시장(디지털),  9,000원","19:30,  국제시장(디지털),  9,000원","22:10,  국제시장(디지털),  9,000원",,,210
2015-01-01,06관,"10:20,  국제시장(디지털),  6,000원","12:50,  국제시장(디지털),  9,000원","15:20,  국제시장(디지털),  9,000원","17:50,  국제시장(디지털),  9,000원","20:20,  국제시장(디지털),  9,000원","23:00,  국제시장(디지털),  9,000원",,,200
2015-01-02,01관,"09:50,  마다가스카의 펭귄(디지털더빙),  6,000원","12:20,  마다가스카의 펭귄(디지털더빙),  9,000원","14:25,  마다가스카의 펭귄(디지털더빙),  9,000원","16:20,  호빗: 다섯 군대 전투(디지털),  9,000원","19:10,  호빗: 다섯 군대 전투(디지털),  9,000원","21:55,  호빗: 다섯 군대 전투(디지털),  9,000원",,,137
2015-01-02,02관,"10:05,  님아, 그 강을 건너지 마오(디지털),  6,000원","11:50,  님아, 그 강을 건너지 마오(디지털),  9,000원","13:40,  님아, 그 강을 건너지 마오(디지털),  9,000원","15:35,  님아, 그 강을 건너지 마오(디지털),  9,000원","17:30,  님아, 그 강을 건너지 마오(디지털),  9,000원","19:30,  님아, 그 강을 건너지 마오(디지털),  9,000원","21:15,  님아, 그 강을 건너지 마오(디지털),  9,000원","23:20,  님아, 그 강을 건너지 마오(디지털),  9,000원",137
2015-01-02,03관,"10:00,  테이큰 3(디지털),  6,000원","12:15,  테이큰 3(디지털),  9,000원","14:30,  테이큰 3(디지털),  9,000원","16:40,  테이큰 3(디지털),  9,000원","18:55,  테이큰 3(디지털),  9,000원","21:20,  테이큰 3(디지털),  9,000원","23:30,  테이큰 3(디지털),  9,000원",,137
2015-01-02,04관,"10:20,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  6,000원","12:05,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  9,000원","13:50,  기술자들(디지털),  9,000원","16:10,  기술자들(디지털),  9,000원","18:30,  기술자들(디지털),  9,000원","20:55,  기술자들(디지털),  9,000원","23:10,  기술자들(디지털),  9,000원",,137
2015-01-02,05관,"10:15,  더 테너 리리코 스핀토(디지털),  6,000원","12:30,  국제시장(디지털),  9,000원","14:50,  국제시장(디지털),  9,000원","17:10,  국제시장(디지털)","19:40,  국제시장(디지털),  9,000원","22:05,  국제시장(디지털),  9,000원",,,210
2015-01-02,06관,"10:25,  국제시장(디지털),  6,000원","12:50,  국제시장(디지털),  9,000원","15:20,  국제시장(디지털),  9,000원","17:50,  국제시장(디지털),  9,000원","20:20,  국제시장(디지털),  5,000원","23:00,  국제시장(디지털),  9,000원",,,200
2015-01-03,01관,"09:50,  마다가스카의 펭귄(디지털더빙),  7,000원","12:20,  마다가스카의 펭귄(디지털더빙),  9,000원","14:25,  마다가스카의 펭귄(디지털더빙),  9,000원","16:20,  호빗: 다섯 군대 전투(디지털),  9,000원","19:10,  호빗: 다섯 군대 전투(디지털),  9,000원","21:55,  호빗: 다섯 군대 전투(디지털),  9,000원",,,137
