상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2018-05-28,01관,"12:30,  택시운전사(디지털)","15:40,  택시운전사(디지털)","20:20,  데드풀 2(디지털),  10,000원",,,,,,,173
2018-05-28,02관,"12:00,  비긴 어게인(디지털)","14:20,  라라랜드(디지털)","20:10,  독전(디지털),  12,000원",,,,,,,50
2018-05-28,03관,"12:10,  살인자의 기억법(디지털)","14:40,  살인자의 기억법(디지털)","20:00,  어벤져스: 인피니티 워(디지털),  10,000원",,,,,,,119
2018-05-28,04관,"12:40,  꾼(디지털)","16:00,  꾼(디지털)","19:20,  데드풀 2(디지털),  10,000원",,,,,,,136
2018-05-28,05관,"12:50,  조선명탐정: 흡혈괴마의 비밀(디지털)","15:20,  조선명탐정: 흡혈괴마의 비밀(디지털)","19:10,  독전(디지털),  10,000원",,,,,,,187
2018-05-28,06관,"13:20,  청년경찰(디지털)","16:10,  얼리맨(디지털더빙)","19:30,  버닝(디지털),  10,000원",,,,,,,85
2018-05-28,07관,"13:10,  리틀 포레스트(디지털)","15:30,  지금 만나러 갑니다(디지털)","19:40,  트루스 오어 데어(디지털),  10,000원",,,,,,,119
2018-05-28,08관,"13:00,  범죄도시(디지털)","15:50,  범죄도시(디지털)","19:50,  한 솔로: 스타워즈 스토리(디지털),  10,000원",,,,,,,132
2018-05-29,01관,"10:40,  데드풀 2(디지털),  7,000원","13:05,  데드풀 2(디지털),  9,000원","15:30,  데드풀 2(디지털),  9,000원","18:00,  데드풀 2(디지털),  10,000원","20:40,  데드풀 2(디지털),  10,000원",,,,,173
2018-05-29,02관,"11:00,  버닝(디지털),  10,000원","14:05,  버닝(디지털),  12,000원","17:15,  버닝(디지털),  12,000원","20:30,  독전(디지털),  12,000원",,,,,,50
2018-05-29,03관,"10:20,  트루스 오어 데어(디지털),  7,000원","12:25,  트루스 오어 데어(디지털),  7,000원","14:30,  트루스 오어 데어(디지털),  9,000원","16:35,  위 베어 베어스: 베이비 베어스(디지털더빙),  6,000원","18:10,  트루스 오어 데어(디지털),  10,000원","20:15,  트루스 오어 데어(디지털),  10,000원",,,,119
2018-05-29,04관,"10:45,  독전(디지털),  7,000원","13:20,  독전(디지털),  9,000원","16:00,  독전(디지털),  9,000원","18:30,  독전(디지털),  10,000원",,,,,,136
2018-05-29,05관,"09:35,  독전(디지털),  7,000원","12:05,  독전(디지털),  8,000원","14:35,  독전(디지털),  9,000원","17:10,  독전(디지털),  10,000원","19:40,  독전(디지털),  10,000원",,,,,187
2018-05-29,06관,"09:40,  한 솔로: 스타워즈 스토리(디지털),  7,000원","12:20,  한 솔로: 스타워즈 스토리(디지털),  8,000원","15:00,  한 솔로: 스타워즈 스토리(디지털),  9,000원","17:40,  한 솔로: 스타워즈 스토리(디지털),  10,000원","20:20,  한 솔로: 스타워즈 스토리(디지털),  10,000원",,,,,85
2018-05-29,07관,"09:45,  어벤져스: 인피니티 워(디지털),  7,000원","12:40,  어벤져스: 인피니티 워(디지털),  8,000원","15:35,  어벤져스: 인피니티 워(디지털),  9,000원","18:40,  어벤져스: 인피니티 워(디지털),  10,000원",,,,,,119
2018-05-29,08관,"09:30,  데드풀 2(디지털),  7,000원","11:55,  데드풀 2(디지털),  8,000원","14:20,  데드풀 2(디지털),  9,000원","16:45,  데드풀 2(디지털),  10,000원","19:10,  데드풀 2(디지털),  10,000원",,,,,132
2018-05-30,01관,"09:50,  데드풀 2(디지털),  7,000원","12:15,  데드풀 2(디지털),  8,000원","14:40,  데드풀 2(디지털),  9,000원","17:10,  데드풀 2(디지털),  5,000원","19:35,  데드풀 2(디지털),  7,000원",,,,,173
2018-05-30,02관,"09:15,  어벤져스: 인피니티 워(디지털),  8,000원","12:10,  어벤져스: 인피니티 워(디지털),  12,000원","15:05,  어벤져스: 인피니티 워(디지털),  12,000원","18:00,  어벤져스: 인피니티 워(디지털),  5,000원","20:55,  어벤져스: 인피니티 워(디지털),  5,000원",,,,,50
2018-05-30,03관,"09:30,  데자뷰(디지털),  7,000원","11:25,  한 솔로: 스타워즈 스토리(디지털),  8,000원","14:05,  데자뷰(디지털),  9,000원","16:10,  한 솔로: 스타워즈 스토리(디지털),  10,000원","18:50,  데자뷰(디지털),  5,000원","20:45,  한 솔로: 스타워즈 스토리(디지털),  5,000원",,,,119
2018-05-30,04관,"10:00,  독전(디지털),  7,000원","12:50,  독전(디지털),  8,000원","15:20,  독전(디지털),  9,000원","17:45,  독전(디지털),  7,000원","20:15,  독전(디지털),  9,000원",,,,,136
2018-05-30,05관,"11:00,  독전(디지털),  7,000원","13:30,  독전(디지털),  9,000원","16:00,  독전(디지털),  9,000원","18:35,  독전(디지털),  7,000원","21:00,  독전(디지털),  7,000원",,,,,187
2018-05-30,06관,"10:10,  홈(디지털),  7,000원","12:25,  스탠바이, 웬디(디지털),  8,000원","14:25,  홈(디지털),  8,000원","16:30,  스탠바이, 웬디(디지털),  6,000원","18:30,  홈(디지털),  5,000원","20:40,  스탠바이, 웬디(디지털),  7,000원",,,,85
2018-05-30,07관,"10:50,  데드풀 2(디지털)","13:15,  데드풀 2(디지털),  9,000원","15:40,  데드풀 2(디지털),  9,000원","18:10,  데드풀 2(디지털),  7,000원","20:35,  데드풀 2(디지털),  7,000원",,,,,119
2018-05-30,08관,"10:20,  꼬마영웅 바비(디지털더빙),  7,000원","12:00,  독전(디지털),  8,000원","14:30,  독전(디지털),  9,000원","17:00,  독전(디지털),  7,000원","19:30,  독전(디지털),  7,000원",,,,,132
2018-05-31,01관,"09:30,  데드풀 2(디지털),  7,000원","11:55,  데드풀 2(디지털),  8,000원","14:20,  데드풀 2(디지털),  9,000원","16:45,  데드풀 2(디지털),  10,000원","19:10,  데드풀 2(디지털),  10,000원","21:40,  데드풀 2(디지털),  10,000원",,,,173
2018-05-31,02관,"09:35,  한 솔로: 스타워즈 스토리(디지털),  10,000원","12:15,  어벤져스: 인피니티 워(디지털),  12,000원","15:10,  한 솔로: 스타워즈 스토리(디지털)","17:50,  어벤져스: 인피니티 워(디지털),  12,000원","20:45,  한 솔로: 스타워즈 스토리(디지털),  10,000원",,,,,50
2018-05-31,03관,"09:45,  홈(디지털),  7,000원","11:50,  데자뷰(디지털),  8,000원","13:50,  홈(디지털),  0원","16:05,  데자뷰(디지털),  10,000원","18:00,  독전(디지털),  10,000원","20:35,  데자뷰(디지털),  8,000원",,,,119
2018-05-31,04관,"09:40,  독전(디지털),  7,000원","12:10,  독전(디지털),  8,000원","14:40,  독전(디지털),  9,000원","17:10,  독전(디지털),  10,000원","19:40,  독전(디지털),  10,000원",,,,,136
2018-05-31,05관,"10:40,  독전(디지털),  9,000원","13:20,  독전(디지털),  9,000원","16:00,  독전(디지털),  9,000원","18:50,  독전(디지털),  10,000원","21:20,  독전(디지털),  10,000원",,,,,187
2018-05-31,06관,"10:10,  극장판 페어리 테일: 드래곤 크라이(디지털)","12:00,  디트로이트(디지털),  8,000원","14:50,  극장판 페어리 테일: 드래곤 크라이(디지털),  9,000원","16:40,  디트로이트(디지털)","19:30,  극장판 페어리 테일: 드래곤 크라이(디지털),  7,000원","21:30,  디트로이트(디지털),  10,000원",,,,85
2018-05-31,07관,"11:00,  꼬마영웅 바비(디지털더빙)","13:00,  데드풀 2(디지털),  8,000원","15:35,  데드풀 2(디지털),  9,000원","18:10,  데드풀 2(디지털),  10,000원","20:40,  데드풀 2(디지털),  10,000원",,,,,119
2018-05-31,08관,"10:20,  스탠바이, 웬디(디지털),  7,000원","12:20,  피터 래빗(디지털더빙),  8,000원","14:25,  스탠바이, 웬디(디지털),  9,000원","16:30,  피터 래빗(디지털더빙),  10,000원","18:30,  스탠바이, 웬디(디지털),  10,000원","20:30,  독전(디지털),  10,000원",,,,132
2018-06-01,01관,"09:30,  데드풀 2(디지털),  8,000원","11:55,  데드풀 2(디지털),  9,000원","14:20,  데드풀 2(디지털),  11,000원","16:45,  데드풀 2(디지털),  11,000원","19:10,  데드풀 2(디지털),  11,000원","21:40,  데드풀 2(디지털),  11,000원",,,,173
2018-06-01,02관,"09:35,  한 솔로: 스타워즈 스토리(디지털)","12:15,  어벤져스: 인피니티 워(디지털),  15,000원","15:10,  한 솔로: 스타워즈 스토리(디지털),  15,000원","17:50,  어벤져스: 인피니티 워(디지털),  15,000원","20:45,  한 솔로: 스타워즈 스토리(디지털),  15,000원","23:25,  어벤져스: 인피니티 워(디지털),  15,000원",,,,50
2018-06-01,03관,"09:45,  홈(디지털),  0원","11:50,  데자뷰(디지털),  11,000원","13:50,  홈(디지털),  8,000원","16:05,  데자뷰(디지털),  11,000원","18:00,  독전(디지털),  11,000원","20:35,  데자뷰(디지털),  8,000원","22:40,  데드풀 2(디지털),  11,000원",,,119
2018-06-01,04관,"09:40,  독전(디지털),  8,000원","12:10,  독전(디지털),  11,000원","14:40,  독전(디지털),  11,000원","17:10,  독전(디지털),  11,000원","19:40,  독전(디지털),  11,000원","22:10,  독전(디지털),  11,000원",,,,136
2018-06-01,05관,"10:40,  독전(디지털),  8,000원","13:20,  독전(디지털),  11,000원","16:00,  독전(디지털),  11,000원","18:50,  독전(디지털),  11,000원","21:20,  독전(디지털),  11,000원",,,,,187
2018-06-01,06관,"10:10,  극장판 페어리 테일: 드래곤 크라이(디지털)","12:00,  디트로이트(디지털)","14:50,  극장판 페어리 테일: 드래곤 크라이(디지털)","16:40,  디트로이트(디지털)","19:30,  극장판 페어리 테일: 드래곤 크라이(디지털),  11,000원","21:30,  디트로이트(디지털),  11,000원",,,,85
2018-06-01,07관,"11:00,  꼬마영웅 바비(디지털더빙),  8,000원","13:00,  데드풀 2(디지털),  11,000원","15:35,  데드풀 2(디지털),  11,000원","18:10,  데드풀 2(디지털),  11,000원","20:40,  데드풀 2(디지털),  11,000원",,,,,119
2018-06-01,08관,"10:20,  스탠바이, 웬디(디지털),  8,000원","12:20,  피터 래빗(디지털더빙),  11,000원","14:25,  스탠바이, 웬디(디지털),  11,000원","16:30,  피터 래빗(디지털더빙),  11,000원","18:30,  스탠바이, 웬디(디지털),  11,000원","20:30,  독전(디지털),  11,000원","23:00,  독전(디지털),  11,000원",,,132
2018-06-02,01관,"10:30,  데드풀 2(디지털),  8,000원","13:00,  데드풀 2(디지털),  11,000원","15:30,  데드풀 2(디지털),  11,000원","18:00,  데드풀 2(디지털),  11,000원","20:35,  데드풀 2(디지털),  11,000원",,,,,173
2018-06-02,02관,"10:00,  한 솔로: 스타워즈 스토리(디지털),  12,000원","12:40,  어벤져스: 인피니티 워(디지털),  15,000원","15:40,  어벤져스: 인피니티 워(디지털),  15,000원","18:40,  어벤져스: 인피니티 워(디지털),  15,000원","21:35,  어벤져스: 인피니티 워(디지털),  15,000원",,,,,50
2018-06-02,03관,"10:10,  피터 래빗(디지털더빙),  9,000원","12:20,  피터 래빗(디지털더빙),  11,000원","14:30,  피터 래빗(디지털더빙),  11,000원","16:35,  독전(디지털),  11,000원","19:05,  독전(디지털),  11,000원","21:45,  독전(디지털),  11,000원",,,,119
2018-06-02,04관,"10:00,  독전(디지털),  8,000원","12:35,  독전(디지털),  11,000원","15:10,  독전(디지털),  11,000원","17:45,  독전(디지털),  11,000원","20:20,  독전(디지털),  11,000원",,,,,136
2018-06-02,05관,"10:50,  독전(디지털),  8,000원","13:25,  독전(디지털),  11,000원","16:00,  독전(디지털),  11,000원","18:30,  독전(디지털),  11,000원","21:05,  독전(디지털),  11,000원",,,,,187
2018-06-02,06관,"10:55,  극장판 페어리 테일: 드래곤 크라이(디지털),  8,000원","12:45,  디트로이트(디지털),  8,000원","15:35,  극장판 페어리 테일: 드래곤 크라이(디지털),  11,000원","17:25,  디트로이트(디지털),  11,000원","20:15,  데자뷰(디지털),  11,000원",,,,,85
2018-06-02,07관,"11:00,  꼬마영웅 바비(디지털더빙),  9,000원","12:50,  스탠바이, 웬디(디지털),  11,000원","15:00,  데자뷰(디지털),  11,000원","17:15,  스탠바이, 웬디(디지털),  11,000원","19:30,  데드풀 2(디지털),  11,000원",,,,,119
2018-06-02,08관,"11:40,  독전(디지털),  8,000원","14:15,  독전(디지털),  11,000원","17:10,  독전(디지털),  11,000원","19:40,  독전(디지털),  11,000원",,,,,,132
2018-06-03,01관,"10:30,  데드풀 2(디지털),  8,000원","13:00,  데드풀 2(디지털),  11,000원","15:30,  데드풀 2(디지털),  11,000원","18:00,  데드풀 2(디지털),  11,000원","20:35,  데드풀 2(디지털),  11,000원",,,,,173
2018-06-03,02관,"10:20,  한 솔로: 스타워즈 스토리(디지털),  12,000원","13:05,  어벤져스: 인피니티 워(디지털),  15,000원","16:05,  어벤져스: 인피니티 워(디지털),  15,000원","19:10,  어벤져스: 인피니티 워(디지털),  15,000원",,,,,,50
2018-06-03,03관,"10:10,  피터 래빗(디지털더빙),  8,000원","12:20,  피터 래빗(디지털더빙),  11,000원","14:30,  피터 래빗(디지털더빙),  11,000원","16:35,  독전(디지털),  11,000원","19:05,  독전(디지털),  11,000원",,,,,119
