상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2016-12-19,01관,"15:00,  감바의 대모험(디지털더빙),  0원","17:10,  스노우타임(디지털더빙),  0원",,,,,,,,,103
2016-12-19,02관,"15:40,  터널(디지털),  0원","18:20,  메카닉: 리크루트(디지털),  0원",,,,,,,,,103
2016-12-19,03관,"16:10,  아이 엠 어 히어로(디지털),  0원","19:00,  내 어깨 위 고양이, 밥(디지털),  0원",,,,,,,,,99
2016-12-19,04관,"17:40,  스플릿(디지털),  0원",,,,,,,,,,50
2016-12-19,05관,"16:50,  로스트 인 더스트(디지털),  0원",,,,,,,,,,99
2016-12-20,01관,"15:00,  스노우타임(디지털더빙),  0원","17:10,  감바의 대모험(디지털더빙),  0원",,,,,,,,,103
2016-12-20,02관,"16:10,  스플릿(디지털),  0원","19:00,  사랑하기 때문에(디지털),  0원",,,,,,,,,103
2016-12-20,03관,"15:30,  메카닉: 리크루트(디지털),  0원","17:45,  국가대표 2(디지털),  0원",,,,,,,,,99
2016-12-20,04관,"16:40,  아이 엠 어 히어로(디지털),  0원",,,,,,,,,,50
2016-12-20,05관,"18:20,  굿바이 싱글(디지털),  0원",,,,,,,,,,99
2016-12-21,01관,"09:10,  판도라(디지털),  7,000원","12:00,  판도라(디지털),  9,000원","14:50,  판도라(디지털),  9,000원","17:35,  판도라(디지털),  9,000원","20:20,  판도라(디지털),  9,000원","23:10,  판도라(디지털),  9,000원",,,,,103
2016-12-21,02관,"08:50,  마스터(디지털),  6,000원","11:40,  마스터(디지털),  9,000원","14:30,  마스터(디지털),  9,000원","17:20,  마스터(디지털),  9,000원","20:10,  마스터(디지털),  9,000원","23:00,  마스터(디지털),  9,000원",,,,,103
2016-12-21,03관,"10:10,  마스터(디지털),  6,000원","13:00,  마스터(디지털),  9,000원","15:50,  마스터(디지털),  9,000원","18:40,  마스터(디지털),  9,000원","21:30,  마스터(디지털),  9,000원","24:20,  판도라(디지털),  9,000원",,,,,99
2016-12-21,04관,"09:20,  극장판 도라에몽: 신 진구의 버스 오브 재팬(디지털더빙)","11:35,  극장판 도라에몽: 신 진구의 버스 오브 재팬(디지털더빙),  8,000원","13:50,  씽(디지털더빙),  9,000원","16:10,  씽(디지털더빙),  9,000원","18:30,  라라랜드(디지털),  9,000원","21:10,  판도라(디지털),  9,000원","24:00,  라라랜드(디지털),  9,000원",,,,50
2016-12-21,05관,"09:30,  마스터(디지털),  6,000원","12:20,  마스터(디지털),  9,000원","15:10,  마스터(디지털),  9,000원","18:00,  마스터(디지털),  9,000원","20:50,  마스터(디지털),  9,000원","23:40,  마스터(디지털),  9,000원",,,,,99
2016-12-22,01관,"09:10,  판도라(디지털),  6,000원","12:00,  판도라(디지털),  9,000원","14:50,  판도라(디지털),  9,000원","17:35,  판도라(디지털),  9,000원","20:20,  판도라(디지털),  9,000원","23:10,  판도라(디지털),  9,000원",,,,,103
2016-12-22,02관,"08:50,  마스터(디지털),  7,000원","11:40,  마스터(디지털),  9,000원","14:30,  마스터(디지털),  9,000원","17:20,  마스터(디지털),  9,000원","20:10,  마스터(디지털),  9,000원","23:00,  마스터(디지털),  9,000원",,,,,103
2016-12-22,03관,"10:10,  마스터(디지털),  7,000원","13:00,  마스터(디지털),  9,000원","15:50,  마스터(디지털),  9,000원","18:40,  마스터(디지털),  9,000원","21:30,  마스터(디지털),  9,000원","24:20,  판도라(디지털),  9,000원",,,,,99
2016-12-22,04관,"09:25,  씽(디지털더빙),  6,000원","11:45,  극장판 도라에몽: 신 진구의 버스 오브 재팬(디지털더빙)","14:00,  씽(디지털더빙),  9,000원","16:20,  포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」(디지털더빙),  9,000원","18:25,  라라랜드(디지털),  9,000원","21:05,  판도라(디지털),  9,000원","23:50,  라라랜드(디지털),  9,000원",,,,50
2016-12-22,05관,"09:30,  마스터(디지털),  6,000원","12:20,  마스터(디지털),  9,000원","15:10,  마스터(디지털),  9,000원","18:00,  마스터(디지털),  9,000원","20:50,  마스터(디지털),  9,000원","23:40,  마스터(디지털),  9,000원",,,,,99
2016-12-23,01관,"09:10,  판도라(디지털),  7,000원","12:00,  판도라(디지털),  9,000원","14:50,  판도라(디지털),  9,000원","17:35,  판도라(디지털),  9,000원","20:20,  판도라(디지털),  9,000원","23:10,  판도라(디지털),  9,000원",,,,,103
2016-12-23,02관,"08:50,  마스터(디지털),  5,000원","11:40,  마스터(디지털),  9,000원","14:30,  마스터(디지털),  9,000원","17:20,  마스터(디지털),  9,000원","20:10,  마스터(디지털),  9,000원","23:00,  마스터(디지털),  9,000원",,,,,103
