상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2015-01-01,01관,"09:20,  국제시장(디지털),  6,000원","12:00,  국제시장(디지털),  10,000원","14:40,  국제시장(디지털),  10,000원","17:15,  국제시장(디지털),  10,000원","19:55,  국제시장(디지털),  10,000원","22:30,  국제시장(디지털),  10,000원","25:05,  국제시장(디지털),  8,000원",,,,194
2015-01-01,02관,"09:30,  마다가스카의 펭귄(디지털더빙),  6,000원","11:35,  님아, 그 강을 건너지 마오(디지털),  10,000원","13:30,  님아, 그 강을 건너지 마오(디지털),  10,000원","15:25,  국제시장(디지털),  10,000원","18:00,  국제시장(디지털),  10,000원","20:40,  국제시장(디지털),  10,000원","23:20,  국제시장(디지털),  9,000원",,,,124
2015-01-01,03관(SCREENX),"08:30,  마다가스카의 펭귄(디지털더빙),  6,000원","10:30,  마다가스카의 펭귄(디지털더빙),  10,000원","12:30,  마다가스카의 펭귄(디지털더빙),  10,000원","14:30,  마다가스카의 펭귄(디지털더빙),  10,000원","16:30,  마다가스카의 펭귄(디지털더빙),  10,000원","18:30,  테이큰 3(디지털),  10,000원","20:50,  테이큰 3(디지털),  10,000원","23:10,  테이큰 3(디지털),  9,000원","25:30,  테이큰 3(디지털),  8,000원",,180
2015-01-01,04관,"08:50,  호빗: 다섯 군대 전투(디지털),  6,000원","11:45,  기술자들(디지털),  10,000원","14:10,  호빗: 다섯 군대 전투(디지털),  10,000원","17:05,  님아, 그 강을 건너지 마오(디지털),  10,000원","19:00,  님아, 그 강을 건너지 마오(디지털),  10,000원","21:00,  님아, 그 강을 건너지 마오(디지털),  10,000원","23:00,  상의원(디지털),  8,000원","25:35,  상의원(디지털),  8,000원",,,110
2015-01-01,05관,"10:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  6,500원","11:50,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","13:40,  마다가스카의 펭귄(디지털더빙),  10,000원","15:40,  뽀로로 극장판 눈요정 마을 대모험(디지털),  5,000원","16:50,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","18:40,  마다가스카의 펭귄(디지털),  10,000원","20:45,  국제시장(디지털),  10,000원","22:50,  기술자들(디지털)","25:15,  기술자들(디지털)",,113
2015-01-01,06관,"08:00,  테이큰 3(디지털),  6,500원","10:20,  테이큰 3(디지털),  10,000원","12:40,  테이큰 3(디지털),  10,000원","15:00,  테이큰 3(디지털),  10,000원","17:20,  테이큰 3(디지털),  10,000원","19:45,  마다가스카의 펭귄(디지털),  10,000원","21:50,  테이큰 3(디지털),  10,000원","24:10,  테이큰 3(디지털),  9,000원",,,125
2015-01-02,01관,"09:20,  국제시장(디지털),  7,000원","11:55,  국제시장(디지털),  10,000원","14:35,  국제시장(디지털),  10,000원","17:15,  국제시장(디지털),  10,000원","19:50,  국제시장(디지털),  10,000원","22:25,  국제시장(디지털),  10,000원","25:00,  국제시장(디지털),  9,000원",,,,194
2015-01-02,02관,"08:30,  님아, 그 강을 건너지 마오(디지털),  6,000원","10:25,  님아, 그 강을 건너지 마오(디지털),  10,000원","12:20,  님아, 그 강을 건너지 마오(디지털),  10,000원","14:15,  님아, 그 강을 건너지 마오(디지털),  10,000원","16:10,  국제시장(디지털),  10,000원","18:50,  님아, 그 강을 건너지 마오(디지털),  10,000원","21:00,  국제시장(디지털),  10,000원","23:35,  님아, 그 강을 건너지 마오(디지털),  8,000원","25:40,  국제시장(디지털)",,124
2015-01-02,03관(SCREENX),"09:00,  마다가스카의 펭귄(디지털더빙),  7,000원","11:00,  마다가스카의 펭귄(디지털더빙),  10,000원","13:00,  마다가스카의 펭귄(디지털더빙),  10,000원","15:00,  마다가스카의 펭귄(디지털더빙),  10,000원","17:00,  마다가스카의 펭귄(디지털더빙),  10,000원","19:00,  테이큰 3(디지털),  10,000원","21:20,  테이큰 3(디지털),  10,000원","23:40,  테이큰 3(디지털),  8,000원","26:00,  테이큰 3(디지털),  8,000원",,180
2015-01-02,04관,"09:30,  기술자들(디지털),  7,000원","12:00,  호빗: 다섯 군대 전투(디지털),  10,000원","14:50,  상의원(디지털),  10,000원","17:30,  기술자들(디지털),  10,000원","20:00,  호빗: 다섯 군대 전투(디지털),  10,000원","22:50,  상의원(디지털),  10,000원","25:25,  상의원(디지털),  9,000원",,,,110
2015-01-02,05관,"09:40,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  6,000원","11:30,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","13:20,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","15:10,  뽀로로 극장판 눈요정 마을 대모험(디지털),  5,000원","16:15,  마다가스카의 펭귄(디지털),  10,000원","18:15,  마다가스카의 펭귄(디지털),  10,000원","20:15,  님아, 그 강을 건너지 마오(디지털),  10,000원","22:10,  기술자들(디지털),  10,000원","24:35,  기술자들(디지털),  8,000원",,113
2015-01-02,06관,"08:50,  테이큰 3(디지털),  7,000원","11:10,  테이큰 3(디지털),  10,000원","13:30,  테이큰 3(디지털),  10,000원","15:50,  테이큰 3(디지털),  10,000원","18:10,  테이큰 3(디지털),  10,000원","20:30,  마다가스카의 펭귄(디지털),  10,000원","22:30,  테이큰 3(디지털),  10,000원","24:50,  테이큰 3(디지털),  8,000원",,,125
2015-01-03,01관,"09:20,  국제시장(디지털),  7,000원","12:00,  국제시장(디지털),  10,000원","14:40,  국제시장(디지털),  10,000원","17:15,  국제시장(디지털),  10,000원","19:50,  국제시장(디지털),  10,000원","22:30,  국제시장(디지털),  10,000원","25:10,  국제시장(디지털),  8,000원",,,,194
2015-01-03,02관,"09:40,  마다가스카의 펭귄(디지털더빙),  6,000원","11:40,  님아, 그 강을 건너지 마오(디지털),  10,000원","13:35,  님아, 그 강을 건너지 마오(디지털),  10,000원","15:30,  국제시장(디지털),  10,000원","18:05,  국제시장(디지털),  10,000원","20:40,  국제시장(디지털),  10,000원","23:20,  국제시장(디지털),  8,000원",,,,124
2015-01-03,03관(SCREENX),"08:30,  마다가스카의 펭귄(디지털더빙),  6,000원","10:30,  마다가스카의 펭귄(디지털더빙),  10,000원","12:30,  마다가스카의 펭귄(디지털더빙),  10,000원","14:30,  마다가스카의 펭귄(디지털더빙),  10,000원","16:30,  마다가스카의 펭귄(디지털더빙),  10,000원","18:30,  테이큰 3(디지털),  10,000원","20:50,  테이큰 3(디지털),  10,000원","23:10,  테이큰 3(디지털),  8,000원","25:30,  테이큰 3(디지털),  8,000원",,180
2015-01-03,04관,"08:40,  국제시장(디지털),  7,000원","11:30,  호빗: 다섯 군대 전투(디지털),  10,000원","14:20,  상의원(디지털),  10,000원","17:00,  기술자들(디지털),  10,000원","19:25,  호빗: 다섯 군대 전투(디지털),  10,000원","22:20,  상의원(디지털),  10,000원","25:00,  기술자들(디지털),  8,500원",,,,110
2015-01-03,05관,"09:30,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  6,000원","11:15,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","13:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","14:50,  뽀로로 극장판 눈요정 마을 대모험(디지털),  5,000원","16:00,  마다가스카의 펭귄(디지털),  10,000원","18:00,  마다가스카의 펭귄(디지털),  10,000원","20:00,  님아, 그 강을 건너지 마오(디지털),  10,000원","22:00,  님아, 그 강을 건너지 마오(디지털),  10,000원","24:00,  님아, 그 강을 건너지 마오(디지털),  8,000원",,113
2015-01-03,06관,"08:00,  테이큰 3(디지털),  9,000원","10:20,  테이큰 3(디지털),  10,000원","12:40,  테이큰 3(디지털),  10,000원","15:00,  테이큰 3(디지털),  10,000원","17:20,  테이큰 3(디지털),  10,000원","19:40,  마다가스카의 펭귄(디지털),  10,000원","21:50,  테이큰 3(디지털),  10,000원","24:20,  테이큰 3(디지털),  8,000원",,,125
2015-01-04,01관,"09:20,  국제시장(디지털),  8,500원","12:00,  국제시장(디지털),  10,000원","14:45,  국제시장(디지털),  10,000원","17:20,  국제시장(디지털),  10,000원","19:55,  국제시장(디지털),  10,000원","22:30,  국제시장(디지털),  10,000원","25:05,  국제시장(디지털),  8,000원",,,,194
2015-01-04,02관,"09:40,  마다가스카의 펭귄(디지털),  6,000원","11:40,  님아, 그 강을 건너지 마오(디지털),  10,000원","13:40,  님아, 그 강을 건너지 마오(디지털),  10,000원","15:40,  국제시장(디지털),  10,000원","18:15,  국제시장(디지털),  10,000원","20:50,  국제시장(디지털),  10,000원","23:30,  국제시장(디지털),  9,000원",,,,124
2015-01-04,03관(SCREENX),"09:10,  마다가스카의 펭귄(디지털더빙),  6,000원","11:10,  마다가스카의 펭귄(디지털더빙),  10,000원","13:10,  마다가스카의 펭귄(디지털더빙),  10,000원","15:10,  마다가스카의 펭귄(디지털더빙),  10,000원","17:10,  마다가스카의 펭귄(디지털더빙),  10,000원","19:10,  테이큰 3(디지털),  10,000원","21:30,  테이큰 3(디지털),  10,000원","23:50,  테이큰 3(디지털),  8,000원",,,180
2015-01-04,04관,"08:50,  기술자들(디지털),  8,500원","11:20,  호빗: 다섯 군대 전투(디지털),  10,000원","14:15,  님아, 그 강을 건너지 마오(디지털),  10,000원","16:15,  상의원(디지털),  10,000원","18:50,  기술자들(디지털),  10,000원","21:15,  호빗: 다섯 군대 전투(디지털),  10,000원","24:10,  상의원(디지털),  8,000원",,,,110
2015-01-04,05관,"09:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  6,000원","10:50,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","12:50,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","14:40,  뽀로로 극장판 눈요정 마을 대모험(디지털),  5,000원","16:00,  마다가스카의 펭귄(디지털),  10,000원","18:00,  마다가스카의 펭귄(디지털),  10,000원","20:00,  님아, 그 강을 건너지 마오(디지털),  10,000원","22:00,  님아, 그 강을 건너지 마오(디지털),  10,000원","24:00,  님아, 그 강을 건너지 마오(디지털),  9,000원",,113
2015-01-04,06관,"08:40,  테이큰 3(디지털),  6,000원","11:00,  테이큰 3(디지털),  10,000원","13:25,  테이큰 3(디지털),  10,000원","15:50,  테이큰 3(디지털),  10,000원","18:10,  테이큰 3(디지털),  10,000원","20:35,  마다가스카의 펭귄(디지털),  10,000원","22:35,  테이큰 3(디지털),  10,000원","24:55,  테이큰 3(디지털),  8,000원",,,125
2015-01-05,01관,"09:20,  국제시장(디지털),  6,000원","12:00,  국제시장(디지털),  7,000원","14:45,  국제시장(디지털),  7,000원","17:20,  국제시장(디지털),  9,000원","19:55,  국제시장(디지털),  9,000원","22:30,  국제시장(디지털),  9,000원","25:10,  국제시장(디지털),  7,000원",,,,194
2015-01-05,02관,"09:30,  님아, 그 강을 건너지 마오(디지털),  6,000원","11:30,  님아, 그 강을 건너지 마오(디지털),  6,000원","13:30,  님아, 그 강을 건너지 마오(디지털),  7,000원","15:30,  국제시장(디지털),  7,000원","18:10,  국제시장(디지털),  9,000원","20:50,  국제시장(디지털),  9,000원","23:30,  국제시장(디지털),  7,000원",,,,124
2015-01-05,03관(SCREENX),"09:10,  마다가스카의 펭귄(디지털더빙),  6,000원","11:10,  마다가스카의 펭귄(디지털더빙),  9,000원","13:10,  마다가스카의 펭귄(디지털더빙),  7,000원","15:10,  마다가스카의 펭귄(디지털더빙),  7,000원","17:10,  마다가스카의 펭귄(디지털더빙),  9,000원","19:10,  테이큰 3(디지털),  9,000원","21:30,  테이큰 3(디지털),  9,000원","24:00,  테이큰 3(디지털),  7,000원",,,180
