상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2017-07-14,01관,"09:00,  스파이더맨: 홈 커밍(디지털),  7,000원","11:45,  스파이더맨: 홈 커밍(디지털),  7,000원","14:30,  스파이더맨: 홈 커밍(디지털),  11,000원","17:15,  스파이더맨: 홈 커밍(디지털),  11,000원","20:00,  스파이더맨: 홈 커밍(디지털),  11,000원","22:45,  스파이더맨: 홈 커밍(디지털),  11,000원","25:30,  스파이더맨: 홈 커밍(디지털),  10,000원",,,165
2017-07-14,02관,"08:30,  다크 나이트(디지털),  7,000원","11:35,  블랙 쉐도우(디지털)","13:40,  다크 나이트(디지털),  11,000원","16:45,  블랙 쉐도우(디지털)","18:50,  다크 나이트(디지털),  11,000원","21:55,  다크 나이트(디지털),  11,000원","25:10,  블랙 쉐도우(디지털)",,,117
2017-07-14,03관,"11:00,  내가 죽기 전에 가장 듣고 싶은 말(디지털),  0원","13:20,  47 미터(디지털),  0원","15:25,  박열(디지털),  11,000원","18:05,  원더 우먼(디지털),  6,000원","21:10,  스파이더맨: 홈 커밍(디지털),  11,000원","24:00,  악녀(디지털),  6,000원",,,,143
2017-07-14,04관,"09:40,  스파이더맨: 홈 커밍(디지털),  7,500원","12:25,  스파이더맨: 홈 커밍(디지털),  7,000원","15:10,  스파이더맨: 홈 커밍(디지털),  11,000원","17:55,  스파이더맨: 홈 커밍(디지털),  11,000원","20:40,  스파이더맨: 홈 커밍(디지털),  11,000원","23:25,  스파이더맨: 홈 커밍(디지털),  11,000원",,,,231
2017-07-14,05관,"08:20,  스파이더맨: 홈 커밍(디지털)","11:05,  스파이더맨: 홈 커밍(디지털),  7,000원","13:55,  스파이더맨: 홈 커밍(디지털),  11,000원","16:40,  스파이더맨: 홈 커밍(디지털),  11,000원","19:25,  스파이더맨: 홈 커밍(디지털),  11,000원","22:10,  스파이더맨: 홈 커밍(디지털),  11,000원","25:00,  스파이더맨: 홈 커밍(디지털),  10,000원",,,231
2017-07-14,06관,"10:20,  스파이더맨: 홈 커밍(디지털),  7,000원","13:05,  스파이더맨: 홈 커밍(디지털),  11,000원","15:50,  스파이더맨: 홈 커밍(디지털),  11,000원","18:35,  스파이더맨: 홈 커밍(디지털),  11,000원","21:40,  스파이더맨: 홈 커밍(디지털),  11,000원","24:30,  스파이더맨: 홈 커밍(디지털),  10,000원",,,,145
2017-07-14,07관,"08:40,  박열(디지털)","11:20,  내 사랑(디지털),  4,000원","14:00,  박열(디지털),  11,000원","16:50,  내 사랑(디지털),  7,000원","19:30,  박열(디지털),  11,000원","22:15,  박열(디지털),  11,000원","24:50,  박열(디지털),  10,000원",,,117
2017-07-14,08관,"09:30,  카3: 새로운 도전(디지털더빙)","11:55,  너의 이름은.(디지털더빙)","14:15,  카3: 새로운 도전(디지털더빙)","16:35,  카3: 새로운 도전(디지털더빙),  11,000원","18:55,  너의 이름은.(디지털더빙)","21:15,  악녀(디지털),  6,000원","23:55,  원더 우먼(디지털),  6,000원",,,165
2017-07-14,09관,"10:40,  카3: 새로운 도전(디지털더빙)","13:00,  카3: 새로운 도전(디지털더빙)","15:20,  카3: 새로운 도전(디지털더빙),  7,000원","17:40,  카3: 새로운 도전(디지털더빙),  11,000원","20:10,  다크 나이트(디지털),  10,000원","23:15,  블랙 쉐도우(디지털)","25:20,  다크 나이트(디지털),  7,000원",,,184
2017-07-15,01관,"09:00,  스파이더맨: 홈 커밍(디지털),  7,000원","11:45,  스파이더맨: 홈 커밍(디지털),  7,000원","14:30,  스파이더맨: 홈 커밍(디지털),  11,000원","17:15,  스파이더맨: 홈 커밍(디지털),  11,000원","20:00,  스파이더맨: 홈 커밍(디지털),  11,000원","22:45,  스파이더맨: 홈 커밍(디지털),  11,000원","25:30,  스파이더맨: 홈 커밍(디지털),  10,000원",,,165
