상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2017-12-21,01관,,"11:00,  신과함께-죄와 벌(디지털),  6,000원","13:40,  신과함께-죄와 벌(디지털),  9,000원","16:20,  신과함께-죄와 벌(디지털),  10,000원","19:00,  신과함께-죄와 벌(디지털),  10,000원","21:40,  신과함께-죄와 벌(디지털),  10,000원",,,,228
2017-12-21,02관,,"11:20,  위대한 쇼맨(디지털),  8,000원","13:30,  위대한 쇼맨(디지털),  8,000원","15:40,  위대한 쇼맨(디지털),  9,000원","17:50,  위대한 쇼맨(디지털),  9,000원","20:00,  위대한 쇼맨(디지털),  10,000원","22:10,  위대한 쇼맨(디지털),  9,000원",,,180
2017-12-21,03관,,"11:10,  강철비(디지털),  8,000원","13:50,  강철비(디지털),  14,000원","16:30,  강철비(디지털),  10,000원","19:10,  강철비(디지털),  10,000원","21:50,  강철비(디지털),  10,000원",,,,180
2017-12-21,04관,,"11:40,  신과함께-죄와 벌(디지털),  6,000원","14:20,  신과함께-죄와 벌(디지털),  9,000원","17:00,  신과함께-죄와 벌(디지털),  10,000원","19:40,  신과함께-죄와 벌(디지털),  10,000원","22:20,  신과함께-죄와 벌(디지털),  9,000원",,,,84
2017-12-21,05관,,"12:30,  더 크리스마스(디지털더빙)","14:20,  스타워즈: 라스트 제다이(디지털),  9,000원","17:15,  강철비(디지털),  10,000원","19:55,  스타워즈: 라스트 제다이(디지털),  10,000원","22:50,  강철비(디지털),  8,000원",,,,56
2017-12-21,06관(프리미엄),,"12:20,  극장판 포켓몬스터 너로 정했다!(디지털더빙),  7,000원","14:20,  극장판 포켓몬스터 너로 정했다!(디지털더빙),  9,000원","16:20,  극장판 포켓몬스터 너로 정했다!(디지털더빙),  10,000원","18:20,  신과함께-죄와 벌(디지털),  10,000원","21:00,  신과함께-죄와 벌(디지털),  10,000원","23:40,  신과함께-죄와 벌(디지털),  9,000원",,,74
2017-12-21,07관(프리미엄),,"12:00,  뽀로로 극장판 공룡섬 대모험(디지털)","13:40,  몬스터 패밀리(디지털더빙),  9,000원","15:35,  뽀로로 극장판 공룡섬 대모험(디지털),  9,000원","17:15,  몬스터 패밀리(디지털더빙),  10,000원","19:10,  러브 액츄얼리(디지털),  10,000원","21:40,  러브 액츄얼리(디지털),  10,000원",,,56
2017-12-21,08관(프리미엄),,"12:10,  신과함께-죄와 벌(디지털),  8,000원","14:55,  신과함께-죄와 벌(디지털),  9,000원","17:40,  신과함께-죄와 벌(디지털),  10,000원","20:25,  신과함께-죄와 벌(디지털),  10,000원","23:10,  신과함께-죄와 벌(디지털),  9,000원",,,,90
2017-12-22,01관,"09:00,  신과함께-죄와 벌(디지털),  7,000원","11:40,  신과함께-죄와 벌(디지털),  11,000원","14:20,  신과함께-죄와 벌(디지털),  11,000원","17:00,  신과함께-죄와 벌(디지털),  11,000원","19:40,  신과함께-죄와 벌(디지털),  11,000원","22:20,  신과함께-죄와 벌(디지털),  11,000원",,,,228
2017-12-22,02관,"09:40,  위대한 쇼맨(디지털),  7,000원","11:45,  위대한 쇼맨(디지털),  11,000원","13:50,  위대한 쇼맨(디지털),  11,000원","15:55,  위대한 쇼맨(디지털),  11,000원","18:00,  위대한 쇼맨(디지털),  11,000원","20:05,  위대한 쇼맨(디지털),  11,000원","22:10,  위대한 쇼맨(디지털),  11,000원","24:15,  위대한 쇼맨(디지털),  8,000원",,180
2017-12-22,03관,"09:10,  강철비(디지털),  7,000원","11:50,  강철비(디지털),  4,000원","14:30,  강철비(디지털),  11,000원","17:10,  강철비(디지털),  11,000원","19:50,  강철비(디지털),  11,000원","22:30,  강철비(디지털),  11,000원",,,,180
2017-12-22,04관,"10:00,  신과함께-죄와 벌(디지털),  7,000원","12:40,  신과함께-죄와 벌(디지털),  11,000원","15:20,  신과함께-죄와 벌(디지털),  11,000원","18:00,  신과함께-죄와 벌(디지털),  11,000원","20:40,  신과함께-죄와 벌(디지털),  11,000원","23:20,  신과함께-죄와 벌(디지털),  11,000원",,,,84
2017-12-22,05관,"10:00,  몬스터 패밀리(디지털더빙)","11:55,  더 크리스마스(디지털더빙),  10,000원","13:45,  몬스터 패밀리(디지털더빙),  9,000원","15:40,  스타워즈: 라스트 제다이(디지털),  11,000원","18:35,  강철비(디지털),  11,000원","21:15,  강철비(디지털),  11,000원","23:55,  강철비(디지털),  11,000원",,,56
2017-12-22,06관(프리미엄),"09:20,  뽀로로 극장판 공룡섬 대모험(디지털),  7,000원","11:00,  신과함께-죄와 벌(디지털),  11,000원","13:40,  신과함께-죄와 벌(디지털),  11,000원","16:20,  신과함께-죄와 벌(디지털),  11,000원","19:00,  신과함께-죄와 벌(디지털),  11,000원","21:40,  신과함께-죄와 벌(디지털),  11,000원","24:20,  신과함께-죄와 벌(디지털),  10,000원",,,74
2017-12-22,07관(프리미엄),"09:50,  극장판 포켓몬스터 너로 정했다!(디지털더빙),  7,000원","11:50,  극장판 포켓몬스터 너로 정했다!(디지털더빙),  11,000원","13:50,  극장판 포켓몬스터 너로 정했다!(디지털더빙),  11,000원","15:50,  신과함께-죄와 벌(디지털),  11,000원","18:30,  신과함께-죄와 벌(디지털),  11,000원","21:10,  신과함께-죄와 벌(디지털),  11,000원","23:50,  러브 액츄얼리(디지털),  10,000원",,,56
2017-12-22,08관(프리미엄),"09:30,  신과함께-죄와 벌(디지털),  7,000원","12:10,  신과함께-죄와 벌(디지털),  11,000원","14:50,  신과함께-죄와 벌(디지털),  11,000원","17:30,  신과함께-죄와 벌(디지털),  11,000원","20:10,  신과함께-죄와 벌(디지털),  11,000원","22:50,  신과함께-죄와 벌(디지털),  11,000원",,,,90
2017-12-23,01관,"08:30,  신과함께-죄와 벌(디지털),  9,000원","11:10,  신과함께-죄와 벌(디지털),  11,000원","13:50,  신과함께-죄와 벌(디지털),  11,000원","16:30,  신과함께-죄와 벌(디지털),  11,000원","19:10,  신과함께-죄와 벌(디지털),  11,000원","21:50,  신과함께-죄와 벌(디지털),  11,000원","24:30,  신과함께-죄와 벌(디지털),  10,000원",,,228
2017-12-23,02관,"09:00,  극장판 포켓몬스터 너로 정했다!(디지털더빙),  7,000원","11:00,  극장판 포켓몬스터 너로 정했다!(디지털더빙),  11,000원","13:00,  극장판 포켓몬스터 너로 정했다!(디지털더빙),  11,000원","15:00,  극장판 포켓몬스터 너로 정했다!(디지털더빙),  11,000원","17:00,  극장판 포켓몬스터 너로 정했다!(디지털더빙),  11,000원","19:00,  강철비(디지털),  11,000원","21:40,  강철비(디지털),  11,000원","24:20,  강철비(디지털),  10,000원",,180
2017-12-23,03관,"09:40,  강철비(디지털),  7,000원","12:20,  강철비(디지털),  11,000원","15:00,  강철비(디지털),  11,000원","17:40,  강철비(디지털),  11,000원","20:20,  강철비(디지털),  11,000원","23:00,  강철비(디지털),  11,000원",,,,180
2017-12-23,04관,"09:10,  신과함께-죄와 벌(디지털),  7,000원","11:50,  신과함께-죄와 벌(디지털),  11,000원","14:30,  신과함께-죄와 벌(디지털),  11,000원","17:10,  신과함께-죄와 벌(디지털),  11,000원","19:50,  신과함께-죄와 벌(디지털),  11,000원","22:30,  신과함께-죄와 벌(디지털),  11,000원",,,,84
2017-12-23,05관,"09:20,  몬스터 패밀리(디지털더빙),  7,000원","11:15,  뽀로로 극장판 공룡섬 대모험(디지털),  11,000원","12:55,  몬스터 패밀리(디지털더빙),  11,000원","14:50,  몬스터 패밀리(디지털더빙),  11,000원","16:45,  몬스터 패밀리(디지털더빙),  11,000원","18:40,  신과함께-죄와 벌(디지털),  11,000원","21:20,  신과함께-죄와 벌(디지털),  11,000원","24:00,  러브 액츄얼리(디지털),  11,000원",,56
2017-12-23,06관(프리미엄),"08:40,  뽀로로 극장판 공룡섬 대모험(디지털),  6,000원","10:20,  신과함께-죄와 벌(디지털),  11,000원","13:00,  신과함께-죄와 벌(디지털),  11,000원","15:40,  신과함께-죄와 벌(디지털),  11,000원","18:20,  신과함께-죄와 벌(디지털),  11,000원","21:00,  신과함께-죄와 벌(디지털),  11,000원","23:40,  신과함께-죄와 벌(디지털),  11,000원",,,74
2017-12-23,07관(프리미엄),"09:30,  위대한 쇼맨(디지털),  7,000원","11:35,  더 크리스마스(디지털더빙),  11,000원","13:25,  위대한 쇼맨(디지털),  11,000원","15:30,  위대한 쇼맨(디지털),  11,000원","17:35,  위대한 쇼맨(디지털),  11,000원","19:40,  위대한 쇼맨(디지털),  11,000원","21:45,  위대한 쇼맨(디지털),  11,000원","23:50,  위대한 쇼맨(디지털),  11,000원",,56
2017-12-23,08관(프리미엄),"09:50,  신과함께-죄와 벌(디지털),  9,000원","12:30,  신과함께-죄와 벌(디지털),  11,000원","15:10,  신과함께-죄와 벌(디지털),  11,000원","17:50,  신과함께-죄와 벌(디지털),  11,000원","20:30,  신과함께-죄와 벌(디지털),  11,000원","23:10,  신과함께-죄와 벌(디지털),  11,000원",,,,90
2017-12-24,01관,"08:30,  신과함께-죄와 벌(디지털),  7,000원","11:10,  신과함께-죄와 벌(디지털),  11,000원","13:50,  신과함께-죄와 벌(디지털),  11,000원","16:30,  신과함께-죄와 벌(디지털),  10,000원","19:10,  신과함께-죄와 벌(디지털),  11,000원","21:50,  신과함께-죄와 벌(디지털),  11,000원","24:30,  신과함께-죄와 벌(디지털),  10,000원",,,228
