상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2018-11-30,01관,,,"16:30,  너의 결혼식(디지털)","19:00,  도어락(디지털)",,,,,,174
2018-11-30,02관(SCREENX),,,"14:40,  국가부도의 날(디지털),  11,000원","17:00,  보헤미안 랩소디(ScreenX),  10,000원","20:10,  국가부도의 날(디지털),  11,000원",,,,,160
2018-11-30,03관,,,"14:10,  안시성(디지털)","17:00,  헌터 킬러(디지털)","19:30,  국가부도의 날(디지털),  11,000원",,,,,146
2018-11-30,04관,,,"16:50,  국가부도의 날(디지털),  11,000원","19:10,  서치(디지털)",,,,,,171
2018-11-30,05관,,"11:30,  번개맨의 비밀(디지털),  9,000원",,"18:40,  국가부도의 날(디지털),  11,000원",,,,,,131
2018-11-30,06관,,,"15:20,  지금 만나러 갑니다(디지털)","18:10,  미쓰백(디지털)",,,,,,142
2018-11-30,07관,,,"14:30,  신과함께-인과 연(디지털)","17:20,  후드(디지털),  11,000원",,,,,,142
2018-12-01,01관,"09:00,  국가부도의 날(디지털),  8,000원","11:20,  국가부도의 날(디지털),  11,000원","13:40,  국가부도의 날(디지털),  11,000원","16:00,  국가부도의 날(디지털),  11,000원","18:20,  국가부도의 날(디지털),  11,000원","21:00,  국가부도의 날(디지털),  11,000원","23:20,  국가부도의 날(디지털),  11,000원",,,174
2018-12-01,02관(SCREENX),"09:50,  보헤미안 랩소디(ScreenX),  6,000원","12:30,  보헤미안 랩소디(ScreenX),  10,000원","15:20,  보헤미안 랩소디(ScreenX),  10,000원","18:00,  보헤미안 랩소디(ScreenX),  10,000원","20:40,  보헤미안 랩소디(ScreenX),  10,000원","23:20,  보헤미안 랩소디(ScreenX),  10,000원",,,,160
2018-12-01,03관,"09:40,  신비한 동물들과 그린델왈드의 범죄(디지털),  8,000원","12:20,  후드(디지털),  11,000원","14:50,  신비한 동물들과 그린델왈드의 범죄(디지털),  11,000원","17:40,  완벽한 타인(디지털),  11,000원","20:20,  국가부도의 날(디지털),  11,000원","22:40,  완벽한 타인(디지털),  11,000원",,,,146
2018-12-01,04관,"10:10,  국가부도의 날(디지털),  11,000원","12:40,  국가부도의 날(디지털),  11,000원","15:00,  국가부도의 날(디지털),  11,000원","17:20,  국가부도의 날(디지털),  11,000원","19:40,  국가부도의 날(디지털),  11,000원","22:10,  국가부도의 날(디지털),  11,000원",,,,171
