상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2015-01-01,01관,"10:00,  마다가스카의 펭귄(디지털더빙),  8,000원","12:10,  마다가스카의 펭귄(디지털더빙),  9,000원","14:10,  마다가스카의 펭귄(디지털더빙),  9,000원","16:20,  마다가스카의 펭귄(디지털더빙),  9,000원","18:30,  상의원(디지털),  9,000원","21:20,  호빗: 다섯 군대 전투(디지털),  9,000원","24:10,  상의원(디지털),  9,000원",,,196
2015-01-01,02관,"09:45,  기술자들(디지털),  6,500원","12:25,  님아, 그 강을 건너지 마오(디지털),  9,000원","14:30,  기술자들(디지털),  9,000원","17:10,  기술자들(디지털),  9,000원","19:50,  님아, 그 강을 건너지 마오(디지털),  9,000원","22:00,  상의원(디지털),  9,000원","24:30,  기술자들(디지털),  9,000원",,,158
2015-01-01,03관,"09:40,  님아, 그 강을 건너지 마오(디지털),  6,000원","11:40,  국제시장(디지털),  9,000원","14:20,  국제시장(디지털),  9,000원","16:55,  국제시장(디지털),  9,000원","19:30,  국제시장(디지털),  9,000원","22:05,  국제시장(디지털),  9,000원","24:40,  국제시장(디지털),  9,000원",,,158
2015-01-01,04관,"09:55,  국제시장(디지털),  6,000원","12:40,  국제시장(디지털),  9,000원","15:20,  국제시장(디지털),  9,000원","18:10,  님아, 그 강을 건너지 마오(디지털),  9,000원","20:20,  국제시장(디지털),  9,000원","23:00,  국제시장(디지털),  9,000원","25:30,  님아, 그 강을 건너지 마오(디지털),  9,000원",,,228
2015-01-01,05관,"09:30,  테이큰 3(디지털),  8,000원","11:55,  호빗: 다섯 군대 전투(디지털),  9,000원","14:50,  테이큰 3(디지털),  9,000원","17:15,  호빗: 다섯 군대 전투(디지털),  9,000원","20:10,  테이큰 3(디지털),  9,000원","22:35,  테이큰 3(디지털),  9,000원","25:00,  테이큰 3(디지털),  9,000원",,,228
2015-01-02,01관,"10:00,  마다가스카의 펭귄(디지털더빙),  6,500원","12:10,  마다가스카의 펭귄(디지털더빙),  9,000원","14:10,  마다가스카의 펭귄(디지털더빙),  9,000원","16:20,  마다가스카의 펭귄(디지털더빙),  9,000원","18:30,  상의원(디지털),  9,000원","21:20,  호빗: 다섯 군대 전투(디지털),  9,000원","24:10,  상의원(디지털),  8,000원",,,196
2015-01-02,02관,"09:45,  기술자들(디지털),  7,000원","12:25,  님아, 그 강을 건너지 마오(디지털),  9,000원","14:30,  기술자들(디지털),  9,000원","17:10,  기술자들(디지털),  9,000원","19:50,  님아, 그 강을 건너지 마오(디지털),  9,000원","22:00,  상의원(디지털),  9,000원","24:30,  기술자들(디지털),  9,000원",,,158
2015-01-02,03관,"09:40,  님아, 그 강을 건너지 마오(디지털),  6,000원","11:40,  국제시장(디지털),  9,000원","14:20,  국제시장(디지털),  9,000원","16:55,  국제시장(디지털),  9,000원","19:30,  국제시장(디지털),  9,000원","22:05,  국제시장(디지털),  9,000원","24:40,  국제시장(디지털),  9,000원",,,158
2015-01-02,04관,"09:55,  국제시장(디지털),  7,500원","12:40,  국제시장(디지털),  9,000원","15:20,  국제시장(디지털),  9,000원","18:10,  님아, 그 강을 건너지 마오(디지털),  9,000원","20:20,  국제시장(디지털),  9,000원","23:00,  국제시장(디지털),  9,000원","25:30,  님아, 그 강을 건너지 마오(디지털),  9,000원",,,228
2015-01-02,05관,"09:30,  테이큰 3(디지털),  6,000원","11:55,  호빗: 다섯 군대 전투(디지털),  9,000원","14:50,  테이큰 3(디지털),  9,000원","17:15,  호빗: 다섯 군대 전투(디지털),  9,000원","20:10,  테이큰 3(디지털),  9,000원","22:35,  테이큰 3(디지털),  9,000원","25:00,  테이큰 3(디지털),  9,000원",,,228
2015-01-03,01관,"10:00,  마다가스카의 펭귄(디지털더빙),  7,000원","12:10,  마다가스카의 펭귄(디지털더빙),  9,000원","14:10,  마다가스카의 펭귄(디지털더빙),  9,000원","16:20,  마다가스카의 펭귄(디지털더빙),  9,000원","18:30,  상의원(디지털),  9,000원","21:20,  호빗: 다섯 군대 전투(디지털),  9,000원","24:10,  상의원(디지털),  9,000원",,,196
2015-01-03,02관,"09:45,  기술자들(디지털),  6,000원","12:25,  님아, 그 강을 건너지 마오(디지털),  9,000원","14:30,  기술자들(디지털),  9,000원","17:10,  기술자들(디지털),  9,000원","19:50,  님아, 그 강을 건너지 마오(디지털),  9,000원","22:00,  상의원(디지털),  9,000원","24:30,  기술자들(디지털),  9,000원",,,158
2015-01-03,03관,"09:40,  님아, 그 강을 건너지 마오(디지털),  8,000원","11:40,  국제시장(디지털),  9,000원","14:20,  국제시장(디지털),  9,000원","16:55,  국제시장(디지털),  9,000원","19:30,  국제시장(디지털),  9,000원","22:05,  국제시장(디지털),  9,000원","24:40,  국제시장(디지털),  9,000원",,,158
2015-01-03,04관,"09:55,  국제시장(디지털),  9,000원","12:40,  국제시장(디지털),  9,000원","15:20,  국제시장(디지털),  9,000원","18:10,  님아, 그 강을 건너지 마오(디지털),  9,000원","20:20,  국제시장(디지털),  9,000원","23:00,  국제시장(디지털),  9,000원","25:30,  님아, 그 강을 건너지 마오(디지털),  9,000원",,,228
2015-01-03,05관,"09:30,  테이큰 3(디지털),  7,000원","11:55,  호빗: 다섯 군대 전투(디지털),  9,000원","14:50,  테이큰 3(디지털),  9,000원","17:15,  호빗: 다섯 군대 전투(디지털),  9,000원","20:10,  테이큰 3(디지털),  9,000원","22:35,  테이큰 3(디지털),  9,000원","25:00,  테이큰 3(디지털),  9,000원",,,228
2015-01-04,01관,"10:00,  마다가스카의 펭귄(디지털더빙),  7,000원","12:10,  마다가스카의 펭귄(디지털더빙),  9,000원","14:10,  마다가스카의 펭귄(디지털더빙),  9,000원","16:20,  마다가스카의 펭귄(디지털더빙),  9,000원","18:20,  상의원(디지털),  9,000원","20:55,  상의원(디지털),  9,000원","23:30,  상의원(디지털),  9,000원",,,196
2015-01-04,02관,"09:45,  기술자들(디지털),  9,000원","12:25,  님아, 그 강을 건너지 마오(디지털),  9,000원","14:20,  기술자들(디지털),  9,000원","17:00,  님아, 그 강을 건너지 마오(디지털),  9,000원","18:55,  기술자들(디지털),  9,000원","21:25,  님아, 그 강을 건너지 마오(디지털),  9,000원","23:20,  기술자들(디지털),  9,000원",,,158
