상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2015-03-11,01관,"14:00,  명탐정 코난 : 코난 실종사건 - 사상 최악의 이틀(디지털더빙),  0원","17:00,  기술자들(디지털),  0원","20:00,  소셜포비아(디지털),  0원",,,,,,,209
2015-03-11,02관,"16:00,  허삼관(디지털),  0원","19:00,  쎄시봉(디지털),  0원",,,,,,,,183
2015-03-11,03관,"14:30,  허삼관(디지털),  0원","18:40,  위플래쉬(디지털),  0원",,,,,,,,161
2015-03-11,05관,"15:30,  오늘의 연애(디지털),  0원","19:30,  살인의뢰(디지털),  0원",,,,,,,,222
2015-03-12,01관,"10:35,  채피(디지털),  6,000원","13:20,  채피(디지털),  9,000원","16:00,  채피(디지털),  9,000원","18:35,  채피(디지털),  9,000원","21:10,  채피(디지털),  9,000원",,,,,209
2015-03-12,02관,"10:10,  살인의뢰(디지털),  6,000원","12:25,  살인의뢰(디지털),  9,000원","14:40,  살인의뢰(디지털),  9,000원","17:00,  살인의뢰(디지털),  9,000원","19:15,  살인의뢰(디지털),  9,000원","21:35,  살인의뢰(디지털),  9,000원",,,,183
2015-03-12,03관,"10:40,  위플래쉬(디지털),  6,000원","13:00,  우주로봇 씨어(디지털더빙)","15:20,  위플래쉬(디지털),  9,000원","17:40,  헬머니(디지털),  9,000원","20:00,  위플래쉬(디지털),  9,000원","22:20,  헬머니(디지털),  9,000원",,,,161
2015-03-12,04관,,"12:15,  소셜포비아(디지털),  9,000원","14:30,  소셜포비아(디지털),  9,000원","16:45,  소셜포비아(디지털),  9,000원","19:00,  소셜포비아(디지털),  9,000원","21:15,  소셜포비아(디지털),  9,000원",,,,176
2015-03-12,05관,"10:50,  킹스맨 : 시크릿 에이전트(디지털),  9,000원","13:40,  킹스맨 : 시크릿 에이전트(디지털),  9,000원","16:30,  킹스맨 : 시크릿 에이전트(디지털),  9,000원","19:20,  킹스맨 : 시크릿 에이전트(디지털),  9,000원","22:10,  킹스맨 : 시크릿 에이전트(디지털),  9,000원",,,,,222
2015-03-13,01관,"10:00,  채피(디지털),  6,000원","12:40,  채피(디지털),  9,000원","15:15,  채피(디지털),  9,000원","17:50,  채피(디지털),  9,000원","20:25,  채피(디지털),  9,000원","23:00,  채피(디지털),  9,000원",,,,209
2015-03-13,02관,"10:30,  살인의뢰(디지털),  6,000원","12:45,  살인의뢰(디지털),  9,000원","15:00,  살인의뢰(디지털),  9,000원","17:15,  살인의뢰(디지털),  9,000원","19:30,  살인의뢰(디지털),  9,000원","21:45,  살인의뢰(디지털),  9,000원","24:00,  살인의뢰(디지털),  9,000원",,,183
2015-03-13,03관,"09:30,  위플래쉬(디지털),  7,000원","11:50,  우주로봇 씨어(디지털더빙),  9,000원","14:10,  위플래쉬(디지털),  9,000원","16:30,  헬머니(디지털),  9,000원","18:50,  위플래쉬(디지털),  9,000원","21:10,  헬머니(디지털),  9,000원","23:30,  위플래쉬(디지털),  9,000원",,,161
2015-03-13,04관,"10:20,  소셜포비아(디지털),  6,000원","12:35,  소셜포비아(디지털),  7,000원","14:50,  소셜포비아(디지털),  9,000원","17:05,  소셜포비아(디지털),  9,000원","19:20,  소셜포비아(디지털),  9,000원","21:35,  소셜포비아(디지털),  9,000원","23:50,  소셜포비아(디지털),  9,000원",,,176
2015-03-13,05관,"10:10,  킹스맨 : 시크릿 에이전트(디지털),  7,000원","12:50,  킹스맨 : 시크릿 에이전트(디지털),  9,000원","15:30,  킹스맨 : 시크릿 에이전트(디지털),  9,000원","18:15,  킹스맨 : 시크릿 에이전트(디지털),  9,000원","21:00,  킹스맨 : 시크릿 에이전트(디지털),  9,000원","23:40,  킹스맨 : 시크릿 에이전트(디지털),  9,000원",,,,222
2015-03-14,01관,"10:00,  채피(디지털),  6,000원","12:40,  채피(디지털),  9,000원","15:15,  채피(디지털),  9,000원","17:50,  채피(디지털),  9,000원","20:25,  채피(디지털),  9,000원","23:00,  채피(디지털),  9,000원",,,,209
2015-03-14,02관,"10:30,  살인의뢰(디지털),  6,000원","12:45,  살인의뢰(디지털),  9,000원","15:00,  살인의뢰(디지털),  9,000원","17:15,  살인의뢰(디지털),  9,000원","19:30,  살인의뢰(디지털),  9,000원","21:45,  살인의뢰(디지털),  9,000원","24:00,  살인의뢰(디지털),  9,000원",,,183
2015-03-14,03관,"09:30,  우주로봇 씨어(디지털더빙),  6,000원","11:35,  우주로봇 씨어(디지털더빙),  9,000원","13:40,  위플래쉬(디지털),  9,000원","16:00,  헬머니(디지털),  9,000원","18:25,  위플래쉬(디지털),  9,000원","20:45,  헬머니(디지털),  9,000원","23:05,  위플래쉬(디지털),  9,000원",,,161
2015-03-14,04관,"10:20,  소셜포비아(디지털),  6,000원","12:35,  소셜포비아(디지털),  9,000원","14:50,  소셜포비아(디지털),  9,000원","17:05,  소셜포비아(디지털),  9,000원","19:20,  소셜포비아(디지털),  9,000원","21:35,  소셜포비아(디지털),  9,000원","23:50,  소셜포비아(디지털),  9,000원",,,176
2015-03-14,05관,"10:10,  킹스맨 : 시크릿 에이전트(디지털),  7,000원","12:50,  킹스맨 : 시크릿 에이전트(디지털),  9,000원","15:30,  킹스맨 : 시크릿 에이전트(디지털),  9,000원","18:15,  킹스맨 : 시크릿 에이전트(디지털),  9,000원","21:00,  킹스맨 : 시크릿 에이전트(디지털),  9,000원","23:40,  킹스맨 : 시크릿 에이전트(디지털),  9,000원",,,,222
2015-03-15,01관,"10:00,  채피(디지털),  7,000원","12:40,  채피(디지털),  9,000원","15:15,  채피(디지털),  9,000원","17:50,  채피(디지털),  9,000원","20:25,  채피(디지털),  9,000원","23:00,  채피(디지털),  9,000원",,,,209
2015-03-15,02관,"10:30,  살인의뢰(디지털),  6,000원","12:50,  살인의뢰(디지털),  9,000원","15:05,  살인의뢰(디지털),  9,000원","17:20,  살인의뢰(디지털),  9,000원","19:40,  살인의뢰(디지털),  9,000원","21:55,  살인의뢰(디지털),  9,000원",,,,183
2015-03-15,03관,"10:45,  우주로봇 씨어(디지털더빙),  6,000원","12:55,  우주로봇 씨어(디지털더빙),  9,000원","14:55,  위플래쉬(디지털),  9,000원","17:30,  위플래쉬(디지털),  9,000원","20:00,  위플래쉬(디지털),  9,000원","22:20,  헬머니(디지털),  9,000원",,,,161
2015-03-15,04관,"10:15,  소셜포비아(디지털),  6,000원","12:30,  소셜포비아(디지털),  9,000원","14:45,  소셜포비아(디지털),  9,000원","17:00,  소셜포비아(디지털),  9,000원","19:20,  소셜포비아(디지털),  9,000원","21:40,  소셜포비아(디지털),  9,000원",,,,176
2015-03-15,05관,"09:40,  킹스맨 : 시크릿 에이전트(디지털),  7,000원","12:20,  킹스맨 : 시크릿 에이전트(디지털),  9,000원","15:00,  킹스맨 : 시크릿 에이전트(디지털),  9,000원","17:45,  킹스맨 : 시크릿 에이전트(디지털),  9,000원","20:30,  킹스맨 : 시크릿 에이전트(디지털),  9,000원","23:10,  킹스맨 : 시크릿 에이전트(디지털),  9,000원",,,,222
2015-03-16,01관,"10:35,  채피(디지털),  6,000원","13:15,  채피(디지털)","15:50,  채피(디지털),  9,000원","18:25,  채피(디지털),  9,000원","21:00,  채피(디지털),  9,000원","23:35,  채피(디지털),  9,000원",,,,209
2015-03-16,02관,"10:15,  살인의뢰(디지털),  6,000원","12:30,  살인의뢰(디지털),  9,000원","14:45,  살인의뢰(디지털),  9,000원","17:00,  살인의뢰(디지털),  9,000원","19:15,  살인의뢰(디지털),  9,000원","21:30,  살인의뢰(디지털),  9,000원","23:45,  살인의뢰(디지털),  9,000원",,,183
2015-03-16,03관,"10:40,  위플래쉬(디지털),  9,000원","13:00,  우주로봇 씨어(디지털더빙)","15:05,  위플래쉬(디지털),  9,000원","17:25,  헬머니(디지털),  9,000원","19:50,  위플래쉬(디지털),  9,000원","22:15,  헬머니(디지털),  9,000원",,,,161
2015-03-16,04관,"10:00,  소셜포비아(디지털),  6,000원","12:15,  소셜포비아(디지털)","14:30,  소셜포비아(디지털),  9,000원","16:45,  소셜포비아(디지털),  9,000원","19:00,  소셜포비아(디지털),  9,000원","21:15,  소셜포비아(디지털),  9,000원","23:30,  소셜포비아(디지털),  9,000원",,,176
2015-03-16,05관,"10:50,  킹스맨 : 시크릿 에이전트(디지털),  8,000원","13:40,  킹스맨 : 시크릿 에이전트(디지털),  9,000원","16:30,  킹스맨 : 시크릿 에이전트(디지털),  9,000원","19:20,  킹스맨 : 시크릿 에이전트(디지털),  9,000원","22:10,  킹스맨 : 시크릿 에이전트(디지털),  9,000원",,,,,222
2015-03-17,01관,"10:35,  채피(디지털),  6,000원","13:15,  채피(디지털),  9,000원","15:50,  채피(디지털),  9,000원","18:25,  채피(디지털),  9,000원","21:00,  채피(디지털),  9,000원","23:35,  채피(디지털),  9,000원",,,,209
2015-03-17,02관,"10:15,  살인의뢰(디지털),  6,000원","12:30,  살인의뢰(디지털),  9,000원","14:45,  살인의뢰(디지털),  9,000원","17:00,  살인의뢰(디지털),  9,000원","19:15,  살인의뢰(디지털),  9,000원","21:30,  살인의뢰(디지털),  9,000원","23:45,  살인의뢰(디지털),  9,000원",,,183
2015-03-17,03관,"10:40,  위플래쉬(디지털),  7,000원","13:00,  우주로봇 씨어(디지털더빙)","15:05,  위플래쉬(디지털),  9,000원","17:25,  헬머니(디지털),  9,000원","19:50,  위플래쉬(디지털),  9,000원","22:15,  헬머니(디지털),  9,000원",,,,161
2015-03-17,04관,"10:00,  소셜포비아(디지털),  6,000원","12:15,  소셜포비아(디지털),  9,000원","14:30,  소셜포비아(디지털),  9,000원","16:45,  소셜포비아(디지털),  9,000원","19:00,  소셜포비아(디지털),  9,000원","21:15,  소셜포비아(디지털),  9,000원","23:30,  소셜포비아(디지털),  9,000원",,,176
2015-03-17,05관,"10:50,  킹스맨 : 시크릿 에이전트(디지털),  6,000원","13:40,  킹스맨 : 시크릿 에이전트(디지털),  9,000원","16:30,  킹스맨 : 시크릿 에이전트(디지털),  9,000원","19:20,  킹스맨 : 시크릿 에이전트(디지털),  9,000원","22:10,  킹스맨 : 시크릿 에이전트(디지털),  9,000원",,,,,222
2015-03-18,01관,"10:35,  채피(디지털),  6,000원","13:15,  채피(디지털),  9,000원","15:50,  채피(디지털),  9,000원","18:25,  채피(디지털),  9,000원","21:00,  채피(디지털),  9,000원","23:35,  채피(디지털),  9,000원",,,,209
2015-03-18,02관,"10:15,  살인의뢰(디지털),  6,000원","12:30,  살인의뢰(디지털),  9,000원","14:45,  살인의뢰(디지털),  9,000원","17:00,  살인의뢰(디지털),  9,000원","19:15,  살인의뢰(디지털),  9,000원","21:30,  살인의뢰(디지털),  9,000원","23:45,  살인의뢰(디지털),  9,000원",,,183
2015-03-18,03관,"10:40,  위플래쉬(디지털),  6,000원","13:00,  우주로봇 씨어(디지털더빙),  9,000원","15:05,  위플래쉬(디지털),  9,000원","17:25,  헬머니(디지털),  9,000원","19:50,  위플래쉬(디지털),  9,000원","22:15,  헬머니(디지털),  9,000원",,,,161
2015-03-18,04관,"10:00,  소셜포비아(디지털),  6,000원","12:15,  소셜포비아(디지털)","14:30,  소셜포비아(디지털),  9,000원","16:45,  소셜포비아(디지털),  9,000원","19:00,  소셜포비아(디지털),  9,000원","21:15,  소셜포비아(디지털),  9,000원","23:30,  소셜포비아(디지털),  9,000원",,,176
2015-03-18,05관,"10:50,  킹스맨 : 시크릿 에이전트(디지털),  6,000원","13:40,  킹스맨 : 시크릿 에이전트(디지털),  9,000원","16:30,  킹스맨 : 시크릿 에이전트(디지털),  9,000원","19:20,  킹스맨 : 시크릿 에이전트(디지털),  9,000원","22:10,  킹스맨 : 시크릿 에이전트(디지털),  9,000원",,,,,222
