상영일자,상영관,1회,2회,3회,4회,5회,6회,좌석수
2018-09-22,하늘,,,"17:15,  극장판 요괴워치 섀도사이드: 도깨비왕의 부활(디지털더빙),  6,000원","19:20,  협상(디지털),  6,000원",,,43
2018-09-22,내린,,,"17:00,  명당(디지털),  6,000원","19:40,  안시성(디지털),  6,000원",,,56
2018-09-22,인제하늘내린센터,,,"17:15,  명당(디지털),  6,000원",,,,414
2018-09-23,하늘,"10:30,  극장판 요괴워치 섀도사이드: 도깨비왕의 부활(디지털더빙),  6,000원","12:55,  안시성(디지털),  6,000원","15:50,  안시성(디지털),  6,000원","18:50,  안시성(디지털),  6,000원",,,43
2018-09-23,내린,"11:20,  협상(디지털),  6,000원","13:45,  명당(디지털),  6,000원","16:35,  협상(디지털),  6,000원","19:25,  명당(디지털),  6,000원",,,56
2018-09-24,하늘,"10:30,  극장판 요괴워치 섀도사이드: 도깨비왕의 부활(디지털더빙),  6,000원","12:55,  안시성(디지털),  6,000원","15:50,  안시성(디지털),  6,000원","18:50,  안시성(디지털),  6,000원",,,43
2018-09-24,내린,"11:20,  협상(디지털),  6,000원","13:45,  명당(디지털),  6,000원","16:35,  협상(디지털),  6,000원","19:25,  명당(디지털),  6,000원",,,56
2018-09-25,하늘,"10:30,  극장판 요괴워치 섀도사이드: 도깨비왕의 부활(디지털더빙),  6,000원","12:55,  안시성(디지털),  6,000원","15:50,  안시성(디지털),  6,000원","18:50,  안시성(디지털),  6,000원",,,43
2018-09-25,내린,"11:20,  협상(디지털),  6,000원","13:45,  명당(디지털),  6,000원","16:35,  협상(디지털),  6,000원","19:25,  명당(디지털),  6,000원",,,56
2018-09-26,하늘,"10:30,  극장판 요괴워치 섀도사이드: 도깨비왕의 부활(디지털더빙),  6,000원","12:55,  안시성(디지털),  6,000원","15:50,  안시성(디지털),  6,000원","18:50,  안시성(디지털),  5,000원",,,43
2018-09-26,내린,"11:20,  협상(디지털),  6,000원","13:45,  명당(디지털),  6,000원","16:35,  협상(디지털),  6,000원","19:25,  명당(디지털),  5,000원",,,56
2018-09-27,하늘,"11:50,  극장판 요괴워치 섀도사이드: 도깨비왕의 부활(디지털더빙),  6,000원","14:25,  원더풀 고스트(디지털),  7,000원","17:15,  명당(디지털),  6,000원","20:00,  원더풀 고스트(디지털),  7,000원",,,43
2018-09-27,내린,"10:45,  안시성(디지털),  6,000원","13:20,  명당(디지털),  6,000원","15:50,  안시성(디지털),  6,000원","18:40,  안시성(디지털),  7,000원",,,56
2018-09-28,하늘,"11:50,  극장판 요괴워치 섀도사이드: 도깨비왕의 부활(디지털더빙),  6,000원","14:25,  원더풀 고스트(디지털),  6,000원","17:15,  명당(디지털),  6,000원","20:00,  원더풀 고스트(디지털),  6,000원",,,43
2018-09-28,내린,"10:45,  안시성(디지털),  6,000원","13:20,  명당(디지털),  6,000원","15:50,  안시성(디지털),  6,000원","18:40,  안시성(디지털),  6,000원",,,56
2018-09-29,하늘,"11:50,  극장판 요괴워치 섀도사이드: 도깨비왕의 부활(디지털더빙),  6,000원","14:25,  원더풀 고스트(디지털),  6,000원","17:15,  명당(디지털),  6,000원","20:00,  원더풀 고스트(디지털),  6,000원",,,43
2018-09-29,내린,"10:45,  안시성(디지털),  6,000원","13:20,  명당(디지털),  7,000원","15:50,  안시성(디지털),  7,000원","18:40,  안시성(디지털),  9,000원",,,56
2018-09-30,하늘,"11:50,  극장판 요괴워치 섀도사이드: 도깨비왕의 부활(디지털더빙),  6,000원","14:25,  원더풀 고스트(디지털),  6,000원","17:15,  명당(디지털),  7,000원","20:00,  원더풀 고스트(디지털),  6,000원",,,43
2018-09-30,내린,"10:45,  안시성(디지털),  6,000원","13:20,  명당(디지털),  6,000원","15:50,  안시성(디지털),  6,000원","18:40,  안시성(디지털),  6,000원",,,56
2018-10-01,하늘,"11:50,  극장판 요괴워치 섀도사이드: 도깨비왕의 부활(디지털더빙)","14:25,  원더풀 고스트(디지털),  6,000원","17:15,  명당(디지털),  6,000원","20:00,  원더풀 고스트(디지털),  9,000원",,,43
2018-10-01,내린,"10:45,  안시성(디지털),  7,000원","13:20,  명당(디지털),  6,000원","15:50,  안시성(디지털),  7,000원","18:40,  안시성(디지털),  6,000원",,,56
