상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2015-01-01,01관,"08:20,  국제시장(디지털),  6,000원","11:00,  마다가스카의 펭귄(디지털더빙),  10,000원","13:10,  마다가스카의 펭귄(디지털더빙),  10,000원","15:20,  마다가스카의 펭귄(디지털더빙),  10,000원","17:40,  기술자들(디지털)","19:35,  기술자들(디지털),  10,000원","22:00,  테이큰 3(디지털),  10,000원","24:20,  테이큰 3(디지털),  10,000원",,207
2015-01-01,02관,"09:10,  테이큰 3(디지털),  6,500원","11:30,  테이큰 3(디지털),  10,000원","13:50,  테이큰 3(디지털),  10,000원","16:10,  테이큰 3(디지털),  10,000원","18:30,  테이큰 3(디지털),  10,000원","20:50,  테이큰 3(디지털),  10,000원","23:10,  테이큰 3(디지털),  10,000원",,,216
2015-01-01,03관,"08:30,  기술자들(디지털),  6,000원","10:50,  국제시장(디지털),  10,000원","13:20,  국제시장(디지털),  10,000원","15:55,  국제시장(디지털),  10,000원","18:45,  호빗: 다섯 군대 전투(디지털),  10,000원","21:35,  호빗: 다섯 군대 전투(디지털),  10,000원","24:25,  기술자들(디지털),  10,000원",,,167
2015-01-01,04관,"09:45,  호빗: 다섯 군대 전투(디지털),  6,500원","12:35,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","14:25,  마다가스카의 펭귄(디지털더빙),  10,000원","16:30,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","18:15,  국제시장(디지털),  10,000원","21:00,  국제시장(디지털),  10,000원","23:35,  국제시장(디지털),  10,000원",,,224
2015-01-01,05관,"09:30,  국제시장(디지털),  6,000원","12:05,  국제시장(디지털),  10,000원","14:40,  국제시장(디지털),  10,000원","17:15,  국제시장(디지털),  10,000원","19:50,  국제시장(디지털),  10,000원","22:25,  국제시장(디지털),  10,000원","25:00,  국제시장(디지털),  10,000원",,,232
2015-01-01,06관,"09:50,  님아, 그 강을 건너지 마오(디지털),  6,000원","11:40,  뽀로로 극장판 눈요정 마을 대모험(디지털),  8,000원","12:50,  님아, 그 강을 건너지 마오(디지털),  10,000원","14:55,  기술자들(디지털),  10,000원","17:20,  마다가스카의 펭귄(디지털더빙),  10,000원","19:20,  님아, 그 강을 건너지 마오(디지털),  10,000원","21:15,  상의원(디지털),  10,000원","23:50,  상의원(디지털),  10,000원",,167
2015-01-02,01관,"08:30,  국제시장(디지털),  8,000원","11:00,  마다가스카의 펭귄(디지털더빙),  10,000원","13:10,  마다가스카의 펭귄(디지털더빙),  10,000원","15:20,  마다가스카의 펭귄(디지털더빙),  9,000원","17:35,  마다가스카의 펭귄(디지털더빙),  10,000원","19:35,  기술자들(디지털),  10,000원","22:00,  테이큰 3(디지털),  10,000원","24:20,  테이큰 3(디지털),  10,000원",,207
2015-01-02,02관,"09:10,  테이큰 3(디지털),  9,000원","11:30,  테이큰 3(디지털),  10,000원","13:50,  테이큰 3(디지털),  10,000원","16:10,  테이큰 3(디지털),  10,000원","18:30,  테이큰 3(디지털),  10,000원","20:50,  테이큰 3(디지털),  10,000원","23:10,  테이큰 3(디지털),  10,000원",,,216
2015-01-02,03관,"09:00,  님아, 그 강을 건너지 마오(디지털),  6,000원","10:50,  국제시장(디지털),  10,000원","13:20,  국제시장(디지털),  10,000원","15:55,  국제시장(디지털),  10,000원","18:45,  호빗: 다섯 군대 전투(디지털),  10,000원","21:35,  호빗: 다섯 군대 전투(디지털),  10,000원","24:25,  기술자들(디지털),  10,000원",,,167
2015-01-02,04관,"09:50,  호빗: 다섯 군대 전투(디지털),  9,000원","12:40,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","14:30,  마다가스카의 펭귄(디지털더빙),  10,000원","16:35,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","18:20,  국제시장(디지털),  10,000원","21:05,  국제시장(디지털),  10,000원","23:40,  국제시장(디지털),  10,000원",,,224
2015-01-02,05관,"09:30,  국제시장(디지털),  7,000원","12:05,  국제시장(디지털),  10,000원","14:40,  국제시장(디지털),  10,000원","17:15,  국제시장(디지털),  10,000원","19:50,  국제시장(디지털),  10,000원","22:25,  국제시장(디지털),  10,000원","25:00,  국제시장(디지털),  10,000원",,,232
2015-01-02,06관,"09:40,  기술자들(디지털),  7,000원","12:15,  님아, 그 강을 건너지 마오(디지털),  10,000원","14:15,  기술자들(디지털),  10,000원","16:40,  국제시장(디지털),  10,000원","19:10,  님아, 그 강을 건너지 마오(디지털),  10,000원","21:15,  국제시장(디지털),  10,000원","23:45,  상의원(디지털),  10,000원",,,167
2015-01-03,01관,"08:20,  국제시장(디지털),  9,000원","11:00,  마다가스카의 펭귄(디지털더빙),  10,000원","13:10,  마다가스카의 펭귄(디지털더빙),  10,000원","15:20,  마다가스카의 펭귄(디지털더빙),  10,000원","17:35,  마다가스카의 펭귄(디지털더빙),  10,000원","19:35,  국제시장(디지털),  10,000원","22:10,  테이큰 3(디지털),  10,000원","24:30,  테이큰 3(디지털),  10,000원",,207
2015-01-03,02관,"09:45,  호빗: 다섯 군대 전투(디지털)","12:00,  마다가스카의 펭귄(디지털더빙),  10,000원","14:05,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","16:00,  마다가스카의 펭귄(디지털더빙),  10,000원","18:15,  국제시장(디지털),  10,000원","21:00,  국제시장(디지털),  10,000원","23:35,  국제시장(디지털),  10,000원",,,216
2015-01-03,03관,"08:30,  기술자들(디지털),  6,000원","10:50,  국제시장(디지털),  10,000원","13:20,  국제시장(디지털),  10,000원","15:55,  국제시장(디지털),  10,000원","18:45,  호빗: 다섯 군대 전투(디지털),  10,000원","21:35,  국제시장(디지털),  10,000원","24:20,  기술자들(디지털),  10,000원",,,167
2015-01-03,04관,"09:10,  테이큰 3(디지털),  7,000원","11:30,  테이큰 3(디지털),  10,000원","13:50,  테이큰 3(디지털),  10,000원","16:10,  테이큰 3(디지털),  10,000원","18:30,  테이큰 3(디지털),  10,000원","20:50,  테이큰 3(디지털),  10,000원","23:10,  테이큰 3(디지털),  10,000원",,,224
2015-01-03,05관,"09:30,  국제시장(디지털),  6,000원","12:05,  국제시장(디지털),  10,000원","14:40,  국제시장(디지털),  10,000원","17:15,  국제시장(디지털),  10,000원","19:50,  국제시장(디지털),  10,000원","22:25,  국제시장(디지털),  10,000원","25:00,  국제시장(디지털),  10,000원",,,232
2015-01-03,06관,"09:50,  님아, 그 강을 건너지 마오(디지털),  7,500원","11:40,  뽀로로 극장판 눈요정 마을 대모험(디지털),  7,000원","12:50,  님아, 그 강을 건너지 마오(디지털),  10,000원","15:00,  마다가스카의 펭귄(디지털더빙),  10,000원","17:25,  님아, 그 강을 건너지 마오(디지털),  10,000원","19:20,  님아, 그 강을 건너지 마오(디지털),  10,000원","21:15,  기술자들(디지털),  10,000원","23:45,  상의원(디지털),  10,000원",,167
2015-01-04,01관,"08:20,  국제시장(디지털),  9,000원","11:00,  마다가스카의 펭귄(디지털더빙),  10,000원","13:10,  마다가스카의 펭귄(디지털더빙),  10,000원","15:20,  마다가스카의 펭귄(디지털더빙),  10,000원","17:35,  마다가스카의 펭귄(디지털더빙),  10,000원","19:35,  국제시장(디지털),  10,000원","22:10,  테이큰 3(디지털),  10,000원","24:30,  테이큰 3(디지털),  10,000원",,207
2015-01-04,02관,"09:45,  호빗: 다섯 군대 전투(디지털)","12:00,  마다가스카의 펭귄(디지털더빙),  10,000원","14:05,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","16:00,  마다가스카의 펭귄(디지털더빙),  10,000원","18:15,  국제시장(디지털),  10,000원","21:00,  국제시장(디지털),  10,000원","23:35,  국제시장(디지털),  10,000원",,,216
2015-01-04,03관,"08:30,  기술자들(디지털),  7,000원","10:50,  국제시장(디지털),  10,000원","13:20,  국제시장(디지털),  10,000원","15:55,  국제시장(디지털),  5,000원","18:45,  호빗: 다섯 군대 전투(디지털),  10,000원","21:35,  국제시장(디지털),  10,000원","24:20,  기술자들(디지털),  10,000원",,,167
2015-01-04,04관,"09:10,  테이큰 3(디지털),  8,500원","11:30,  테이큰 3(디지털),  10,000원","13:50,  테이큰 3(디지털),  10,000원","16:10,  테이큰 3(디지털),  10,000원","18:30,  테이큰 3(디지털),  10,000원","20:50,  테이큰 3(디지털),  10,000원","23:10,  테이큰 3(디지털),  10,000원",,,224
2015-01-04,05관,"09:30,  국제시장(디지털),  7,500원","12:05,  국제시장(디지털),  10,000원","14:40,  국제시장(디지털),  10,000원","17:15,  국제시장(디지털),  10,000원","19:50,  국제시장(디지털),  10,000원","22:25,  국제시장(디지털),  10,000원",,,,232
2015-01-04,06관,"09:50,  님아, 그 강을 건너지 마오(디지털),  7,000원","11:40,  뽀로로 극장판 눈요정 마을 대모험(디지털),  5,000원","12:45,  마다가스카의 펭귄(디지털더빙),  10,000원","14:55,  마다가스카의 펭귄(디지털더빙),  10,000원","17:25,  님아, 그 강을 건너지 마오(디지털),  10,000원","19:20,  님아, 그 강을 건너지 마오(디지털),  10,000원","21:15,  기술자들(디지털),  10,000원","23:45,  상의원(디지털),  10,000원",,167
2015-01-05,01관,"09:20,  호빗: 다섯 군대 전투(디지털),  6,000원","12:10,  마다가스카의 펭귄(디지털더빙),  9,000원","14:10,  마다가스카의 펭귄(디지털더빙),  9,000원","16:10,  님아, 그 강을 건너지 마오(디지털),  9,000원","18:05,  국제시장(디지털),  9,000원","20:40,  국제시장(디지털),  9,000원","23:20,  국제시장(디지털),  9,000원",,,207
2015-01-05,02관,"08:30,  국제시장(디지털),  6,000원","11:10,  테이큰 3(디지털),  9,000원","13:30,  테이큰 3(디지털),  9,000원","15:50,  테이큰 3(디지털),  9,000원","18:20,  테이큰 3(디지털),  9,000원","20:50,  테이큰 3(디지털),  9,000원","23:10,  테이큰 3(디지털),  9,000원",,,216
2015-01-05,03관,"09:10,  테이큰 3(디지털),  8,000원","11:30,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  9,000원","13:15,  마다가스카의 펭귄(디지털더빙),  9,000원","15:20,  마다가스카의 펭귄(디지털더빙),  9,000원","17:20,  테이큰 3(디지털),  9,000원","19:40,  테이큰 3(디지털),  9,000원","22:00,  테이큰 3(디지털),  9,000원","24:20,  테이큰 3(디지털),  9,000원",,167
2015-01-05,04관,"09:00,  님아, 그 강을 건너지 마오(디지털),  6,000원","11:00,  국제시장(디지털),  9,000원","13:45,  국제시장(디지털),  9,000원","16:20,  국제시장(디지털),  9,000원","18:55,  국제시장(디지털),  9,000원","21:40,  국제시장(디지털),  9,000원","24:15,  국제시장(디지털),  9,000원",,,224
2015-01-05,05관,"09:30,  국제시장(디지털),  8,000원","12:05,  국제시장(디지털),  9,000원","14:40,  국제시장(디지털),  9,000원","17:15,  국제시장(디지털),  9,000원","19:50,  국제시장(디지털),  9,000원","22:30,  국제시장(디지털),  9,000원",,,,232
2015-01-05,06관,"09:50,  상의원(디지털),  6,000원","12:25,  님아, 그 강을 건너지 마오(디지털),  9,000원","14:20,  기술자들(디지털),  9,000원","16:50,  기술자들(디지털),  9,000원","19:20,  님아, 그 강을 건너지 마오(디지털),  9,000원","21:15,  호빗: 다섯 군대 전투(디지털),  9,000원","24:05,  상의원(디지털),  9,000원",,,167
