상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2016-02-03,01관,"11:00,  번개맨(디지털),  0원","13:20,  검은 사제들(디지털),  0원",,,,,,,,,231
2016-02-03,02관,"11:40,  뽀로로 극장판 컴퓨터 왕국 대모험(디지털),  0원","13:40,  내부자들: 디 오리지널(디지털),  0원",,,,,,,,,164
2016-02-03,03관,"12:40,  시카리오: 암살자의 도시(디지털),  0원","16:00,  최강전사 미니특공대: 영웅의 탄생(디지털),  0원",,,,,,,,,152
2016-02-03,04관,"12:20,  시간을 달리는 소녀(디지털),  0원","15:00,  드레스메이커(디지털),  0원",,,,,,,,,166
2016-02-03,05관(SCREENX),"13:00,  어린왕자(디지털더빙),  0원","15:20,  히말라야(디지털),  0원",,,,,,,,,136
2016-02-03,06관,"11:20,  조선마술사(디지털),  0원","14:20,  대호(디지털),  0원",,,,,,,,,172
2016-02-03,07관,"12:00,  극장판 아이엠스타 : 꿈의 오디션!(디지털더빙),  0원","14:40,  헤이트풀8(디지털),  0원",,,,,,,,,170
2016-02-03,08관 [4DX],,"15:40,  포인트 브레이크(4D),  0원",,,,,,,,,84
2016-02-04,01관,"09:20,  검사외전(디지털),  7,500원","12:00,  검사외전(디지털),  9,000원","14:40,  검사외전(디지털),  9,000원","17:20,  검사외전(디지털),  9,000원","20:00,  검사외전(디지털),  9,000원","22:40,  검사외전(디지털),  9,000원","25:20,  검사외전(디지털),  8,000원",,,,231
2016-02-04,02관,"08:00,  검사외전(디지털),  6,000원","10:40,  로봇, 소리(디지털)","13:20,  검사외전(디지털),  9,000원","16:00,  검사외전(디지털),  9,000원","18:40,  로봇, 소리(디지털),  9,000원","21:20,  검사외전(디지털),  9,000원","24:00,  로봇, 소리(디지털),  9,000원",,,,164
