상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2017-09-13,01관,"11:00,  아이 캔 스피크(디지털),  0원","15:00,  살인자의 기억법(디지털),  9,000원","19:00,  살인자의 기억법(디지털),  9,000원",,,,,,,178
2017-09-13,02관,"13:10,  괜찮아요, 미스터 브래드(디지털),  0원","16:30,  극장판 에그엔젤 코코밍: 푸르밍과 두근두근 코코밍 세계(디지털더빙),  9,000원","19:10,  그것(디지털),  9,000원",,,,,,,125
2017-09-13,03관,"13:00,  킬러의 보디가드(디지털),  0원","18:30,  좋아해, 너를(디지털),  0원",,,,,,,,150
2017-09-13,04관,"14:20,  살인자의 기억법(디지털),  9,000원","19:30,  킬러의 보디가드(디지털),  0원",,,,,,,,146
2017-09-13,05관,"14:00,  택시운전사(디지털),  8,000원","19:30,  킬러의 보디가드(디지털),  0원",,,,,,,,152
2017-09-13,06관,"14:30,  극장판 에그엔젤 코코밍: 푸르밍과 두근두근 코코밍 세계(디지털더빙),  9,000원","18:00,  아이 캔 스피크(디지털),  0원",,,,,,,,106
2017-09-14,01관,"09:00,  아메리칸 메이드(디지털),  6,000원","11:20,  아메리칸 메이드(디지털),  8,000원","13:40,  아메리칸 메이드(디지털),  9,000원","16:00,  아메리칸 메이드(디지털),  9,000원","18:20,  아메리칸 메이드(디지털),  9,000원","20:40,  아메리칸 메이드(디지털),  9,000원","23:00,  아메리칸 메이드(디지털),  9,000원",,,178
2017-09-14,02관,"09:05,  시인의 사랑(디지털)","11:25,  그것(디지털),  7,000원","14:10,  시인의 사랑(디지털),  4,000원","16:30,  그것(디지털),  9,000원","19:15,  그것(디지털),  9,000원","22:00,  시인의 사랑(디지털),  9,000원","24:20,  그것(디지털),  8,000원",,,125
2017-09-14,03관,"09:20,  살인자의 기억법(디지털),  6,000원","11:50,  살인자의 기억법(디지털),  8,000원","14:20,  살인자의 기억법(디지털),  9,000원","16:50,  살인자의 기억법(디지털),  9,000원","19:20,  살인자의 기억법(디지털),  9,000원","21:50,  살인자의 기억법(디지털),  9,000원","24:20,  살인자의 기억법(디지털),  8,000원",,,150
2017-09-14,04관,"09:35,  킬러의 보디가드(디지털),  6,000원","12:00,  킬러의 보디가드(디지털),  8,000원","14:25,  킬러의 보디가드(디지털),  9,000원","16:50,  극장판 에그엔젤 코코밍: 푸르밍과 두근두근 코코밍 세계(디지털더빙),  8,000원","18:35,  킬러의 보디가드(디지털),  9,000원","21:00,  킬러의 보디가드(디지털),  9,000원","23:25,  킬러의 보디가드(디지털),  9,000원",,,146
2017-09-14,05관,"09:50,  베이비 드라이버(디지털),  6,000원","12:15,  베이비 드라이버(디지털),  8,000원","14:40,  베이비 드라이버(디지털),  9,000원","17:05,  베이비 드라이버(디지털),  8,000원","19:30,  베이비 드라이버(디지털),  9,000원","21:55,  베이비 드라이버(디지털),  9,000원","24:30,  베이비 드라이버(디지털),  8,000원",,,152
