상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2015-01-01,BMW CINEMA SWEETBOX PREMIUM,"10:00,  테이큰 3(디지털),  6,000원","12:30,  국제시장(디지털),  10,000원","15:20,  테이큰 3(디지털),  10,000원","18:00,  국제시장(디지털),  10,000원","21:00,  테이큰 3(디지털),  10,000원","23:30,  국제시장(디지털),  9,000원",,,,132
2015-01-01,SUBPAC 1관,"09:20,  님아, 그 강을 건너지 마오(디지털),  6,000원","11:20,  기술자들(디지털),  10,000원","13:50,  님아, 그 강을 건너지 마오(디지털),  10,000원","15:50,  기술자들(디지털),  10,000원","18:30,  테이큰 3(디지털),  10,000원","21:20,  기술자들(디지털),  10,000원","23:50,  테이큰 3(디지털),  9,000원",,,76
2015-01-01,SUBPAC 2관,"09:20,  님아, 그 강을 건너지 마오(디지털)","11:20,  기술자들(디지털)","13:50,  님아, 그 강을 건너지 마오(디지털)","15:50,  기술자들(디지털)","18:30,  테이큰 3(디지털)","21:20,  기술자들(디지털)","23:50,  테이큰 3(디지털)",,,76
2015-01-01,4관 (VEATBOX / SWEETBOX),"09:40,  마다가스카의 펭귄(디지털)","12:00,  마다가스카의 펭귄(디지털)","14:10,  상의원(디지털)","16:50,  마다가스카의 펭귄(디지털)","19:30,  님아, 그 강을 건너지 마오(디지털)","21:40,  상의원(디지털)","24:20,  호빗: 다섯 군대 전투(디지털)",,,206
2015-01-01,PRIVATE CINEMA,"10:30,  국제시장(디지털)","13:20,  국제시장(디지털)","16:20,  국제시장(디지털)","19:10,  국제시장(디지털)","22:00,  국제시장(디지털)","24:40,  국제시장(디지털)",,,,40
2015-01-01,4DX(SOUNDX),"09:00,  테이큰 3(4D),  5,000원","11:40,  테이큰 3(4D),  9,000원","14:30,  테이큰 3(4D),  9,000원","17:10,  테이큰 3(4D),  9,000원","20:00,  테이큰 3(4D),  9,000원","22:40,  테이큰 3(4D),  9,000원","25:10,  테이큰 3(4D),  9,000원",,,144
2015-01-02,BMW CINEMA SWEETBOX PREMIUM,"10:00,  테이큰 3(디지털),  6,000원","12:30,  국제시장(디지털),  10,000원","15:20,  테이큰 3(디지털),  10,000원","18:00,  국제시장(디지털),  10,000원","20:50,  테이큰 3(디지털),  10,000원","23:30,  테이큰 3(디지털),  9,000원",,,,132
2015-01-02,SUBPAC 1관,"10:00,  테이큰 3(디지털)","12:30,  국제시장(디지털)","15:20,  테이큰 3(디지털)","17:40,  기술자들(디지털),  10,000원","20:20,  국제시장(디지털),  10,000원","23:00,  국제시장(디지털),  9,000원",,,,76
2015-01-02,SUBPAC 2관,"09:40,  마다가스카의 펭귄(디지털),  6,000원","12:10,  마다가스카의 펭귄(디지털),  10,000원","14:50,  마다가스카의 펭귄(디지털),  10,000원","17:00,  마다가스카의 펭귄(디지털),  10,000원","19:20,  님아, 그 강을 건너지 마오(디지털),  10,000원","21:30,  상의원(디지털),  10,000원","24:10,  기술자들(디지털),  9,000원",,,76
2015-01-02,4관 (VEATBOX / SWEETBOX),"09:40,  마다가스카의 펭귄(디지털)","12:00,  상의원(디지털)","14:50,  마다가스카의 펭귄(디지털)","17:00,  마다가스카의 펭귄(디지털)","19:20,  님아, 그 강을 건너지 마오(디지털)","21:30,  상의원(디지털)","24:10,  호빗: 다섯 군대 전투(디지털)",,,206
2015-01-02,PRIVATE CINEMA,"10:30,  국제시장(디지털)","13:40,  국제시장(디지털)","16:20,  국제시장(디지털)","19:00,  국제시장(디지털)","21:50,  국제시장(디지털)","24:40,  국제시장(디지털)",,,,40
2015-01-02,4DX(SOUNDX),"09:00,  테이큰 3(4D),  5,000원","11:30,  테이큰 3(4D),  9,000원","14:20,  테이큰 3(4D),  9,000원","17:20,  테이큰 3(4D),  9,000원","19:50,  테이큰 3(4D),  9,000원","22:40,  테이큰 3(4D),  9,000원","25:10,  테이큰 3(4D),  9,000원",,,144
2015-01-03,BMW CINEMA SWEETBOX PREMIUM,"10:00,  테이큰 3(디지털),  6,000원","12:30,  국제시장(디지털),  10,000원","15:20,  테이큰 3(디지털),  10,000원","18:00,  국제시장(디지털),  10,000원","21:00,  테이큰 3(디지털),  10,000원","23:35,  테이큰 3(디지털),  9,000원",,,,132
2015-01-03,SUBPAC 1관,"09:20,  님아, 그 강을 건너지 마오(디지털),  6,000원","11:20,  기술자들(디지털),  10,000원","13:50,  님아, 그 강을 건너지 마오(디지털),  10,000원","15:50,  기술자들(디지털),  10,000원","18:30,  테이큰 3(디지털),  10,000원","21:20,  기술자들(디지털),  10,000원","23:55,  국제시장(디지털),  9,000원",,,76
2015-01-03,SUBPAC 2관,"09:20,  님아, 그 강을 건너지 마오(디지털)","11:20,  기술자들(디지털)","13:50,  님아, 그 강을 건너지 마오(디지털)","15:50,  기술자들(디지털)","18:30,  테이큰 3(디지털)","21:20,  기술자들(디지털)","23:55,  국제시장(디지털)",,,76
2015-01-03,4관 (VEATBOX / SWEETBOX),"09:40,  마다가스카의 펭귄(디지털)","12:00,  마다가스카의 펭귄(디지털)","14:10,  상의원(디지털)","16:50,  마다가스카의 펭귄(디지털)","19:30,  님아, 그 강을 건너지 마오(디지털)","21:40,  상의원(디지털)","24:20,  호빗: 다섯 군대 전투(디지털)",,,206
2015-01-03,PRIVATE CINEMA,"10:30,  국제시장(디지털)","13:20,  국제시장(디지털)","15:00,  엑소더스: 신들과 왕들(디지털),  10,000원","19:10,  국제시장(디지털)","22:00,  국제시장(디지털)","24:40,  국제시장(디지털)",,,,40
2015-01-03,4DX(SOUNDX),"09:00,  테이큰 3(4D),  5,000원","11:40,  테이큰 3(4D),  9,000원","14:30,  테이큰 3(4D),  9,000원","17:10,  테이큰 3(4D),  9,000원","20:00,  테이큰 3(4D),  9,000원","22:40,  테이큰 3(4D),  9,000원","25:10,  테이큰 3(4D),  9,000원",,,144
2015-01-04,BMW CINEMA SWEETBOX PREMIUM,"10:00,  테이큰 3(디지털),  6,000원","12:30,  국제시장(디지털),  10,000원","15:20,  테이큰 3(디지털),  10,000원","18:00,  국제시장(디지털),  10,000원","20:50,  테이큰 3(디지털),  10,000원","23:30,  테이큰 3(디지털),  9,000원",,,,132
2015-01-04,SUBPAC 1관,"09:40,  기술자들(디지털),  6,000원","12:10,  마다가스카의 펭귄(디지털),  10,000원","14:50,  국제시장(디지털),  10,000원","17:40,  기술자들(디지털),  10,000원","20:20,  국제시장(디지털),  10,000원","23:00,  국제시장(디지털),  9,000원",,,,76
2015-01-04,SUBPAC 2관,"09:20,  마다가스카의 펭귄(디지털),  6,000원","11:50,  님아, 그 강을 건너지 마오(디지털),  10,000원","13:50,  마다가스카의 펭귄(디지털),  10,000원","16:00,  마다가스카의 펭귄(디지털),  10,000원","18:20,  호빗: 다섯 군대 전투(디지털),  10,000원","21:30,  마다가스카의 펭귄(디지털),  10,000원","24:00,  님아, 그 강을 건너지 마오(디지털),  9,000원",,,76
2015-01-04,4관 (VEATBOX / SWEETBOX),"09:20,  마다가스카의 펭귄(디지털)","11:50,  님아, 그 강을 건너지 마오(디지털)","13:50,  마다가스카의 펭귄(디지털)","16:00,  마다가스카의 펭귄(디지털)","18:20,  호빗: 다섯 군대 전투(디지털)","21:30,  마다가스카의 펭귄(디지털)","24:00,  님아, 그 강을 건너지 마오(디지털)",,,206
2015-01-04,PRIVATE CINEMA,"10:30,  국제시장(디지털)","13:30,  국제시장(디지털)","16:20,  국제시장(디지털)","19:05,  국제시장(디지털)","21:50,  국제시장(디지털)","24:35,  국제시장(디지털)",,,,40
2015-01-04,4DX(SOUNDX),"09:00,  테이큰 3(4D),  5,000원","11:35,  테이큰 3(4D),  9,000원","14:20,  테이큰 3(4D),  9,000원","17:10,  테이큰 3(4D),  9,000원","19:55,  테이큰 3(4D),  9,000원","22:45,  테이큰 3(4D),  9,000원","25:10,  테이큰 3(4D),  9,000원",,,144
2015-01-05,BMW CINEMA SWEETBOX PREMIUM,"10:30,  국제시장(디지털),  6,000원","13:40,  테이큰 3(디지털),  9,000원","16:20,  국제시장(디지털),  9,000원","19:10,  국제시장(디지털),  9,000원","21:50,  테이큰 3(디지털),  9,000원","24:30,  국제시장(디지털),  8,000원",,,,132
2015-01-05,SUBPAC 1관,"09:30,  상의원(디지털),  6,000원",,"14:00,  님아, 그 강을 건너지 마오(디지털),  9,000원","16:00,  기술자들(디지털),  9,000원","18:40,  님아, 그 강을 건너지 마오(디지털),  9,000원","21:00,  기술자들(디지털),  9,000원","23:50,  기술자들(디지털),  8,000원",,,76
2015-01-05,SUBPAC 2관,"09:50,  마다가스카의 펭귄(디지털),  6,000원","12:10,  마다가스카의 펭귄(디지털),  9,000원","15:00,  마다가스카의 펭귄(디지털),  9,000원","17:30,  마다가스카의 펭귄(디지털),  9,000원","19:40,  테이큰 3(디지털),  9,000원","22:20,  마다가스카의 펭귄(디지털),  9,000원","25:00,  테이큰 3(디지털),  8,000원",,,76
2015-01-05,4관 (VEATBOX / SWEETBOX),"09:00,  국제시장(디지털),  6,000원","11:40,  국제시장(디지털),  9,000원","14:30,  국제시장(디지털),  9,000원","17:10,  국제시장(디지털),  9,000원","20:00,  국제시장(디지털),  9,000원","22:50,  국제시장(디지털),  9,000원",,,,206
2015-01-05,4DX(SOUNDX),"10:10,  테이큰 3(4D),  5,000원","12:50,  테이큰 3(4D),  8,000원","15:20,  테이큰 3(4D),  8,000원","18:00,  테이큰 3(4D),  8,000원","20:40,  테이큰 3(4D),  8,000원","23:20,  테이큰 3(4D),  8,000원",,,,144
2015-01-06,BMW CINEMA SWEETBOX PREMIUM,"10:30,  국제시장(디지털),  6,000원","13:40,  테이큰 3(디지털),  9,000원","16:20,  국제시장(디지털),  9,000원","19:10,  국제시장(디지털),  9,000원","21:50,  테이큰 3(디지털),  9,000원","24:30,  국제시장(디지털),  8,000원",,,,132
2015-01-06,SUBPAC 1관,"09:30,  기술자들(디지털),  6,000원","12:00,  님아, 그 강을 건너지 마오(디지털),  9,000원","14:00,  님아, 그 강을 건너지 마오(디지털),  9,000원","16:00,  테이큰 3(디지털),  9,000원","18:40,  마다가스카의 펭귄(디지털),  9,000원","21:10,  기술자들(디지털),  9,000원","23:50,  기술자들(디지털),  8,000원",,,76
2015-01-06,SUBPAC 2관,"09:50,  마다가스카의 펭귄(디지털),  6,000원","12:20,  마다가스카의 펭귄(디지털),  9,000원","15:00,  마다가스카의 펭귄(디지털),  9,000원","17:30,  마다가스카의 펭귄(디지털),  9,000원","19:40,  테이큰 3(디지털),  9,000원","22:20,  마다가스카의 펭귄(디지털),  9,000원","25:00,  테이큰 3(디지털),  8,000원",,,76
2015-01-06,4관 (VEATBOX / SWEETBOX),"09:00,  국제시장(디지털),  6,000원","11:40,  국제시장(디지털),  9,000원","14:30,  국제시장(디지털),  9,500원","17:10,  국제시장(디지털),  9,000원","20:10,  국제시장(디지털),  9,000원","22:50,  국제시장(디지털),  9,000원",,,,206
2015-01-06,4DX(SOUNDX),"10:00,  테이큰 3(4D),  5,000원","13:00,  테이큰 3(4D),  8,000원","15:30,  테이큰 3(4D),  8,000원","18:10,  테이큰 3(4D),  8,000원","20:50,  테이큰 3(4D),  8,000원","23:30,  테이큰 3(4D),  8,000원",,,,144
2015-01-07,BMW CINEMA SWEETBOX PREMIUM,"10:00,  국제시장(디지털),  6,000원","13:00,  테이큰 3(디지털),  9,000원","15:30,  국제시장(디지털),  9,000원","18:10,  국제시장(디지털),  9,000원","20:50,  테이큰 3(디지털),  9,000원","23:20,  테이큰 3(디지털),  8,000원",,,,132
2015-01-07,SUBPAC 1관,"09:20,  언브로큰(디지털),  6,000원","12:10,  언브로큰(디지털),  9,000원","15:10,  님아, 그 강을 건너지 마오(디지털),  9,000원","17:30,  언브로큰(디지털),  9,000원","20:30,  언브로큰(디지털),  9,000원","24:00,  언브로큰(디지털),  8,000원",,,,76
2015-01-07,SUBPAC 2관,"09:30,  테이큰 3(디지털),  6,000원","11:55,  님아, 그 강을 건너지 마오(디지털),  9,000원","13:55,  테이큰 3(디지털),  9,000원","16:20,  테이큰 3(디지털),  9,000원","18:50,  마다가스카의 펭귄(디지털),  9,000원","21:20,  마다가스카의 펭귄(디지털),  9,000원","23:40,  국제시장(디지털),  8,000원",,,76
2015-01-07,4관 (VEATBOX / SWEETBOX),"09:00,  국제시장(디지털),  6,000원","11:40,  국제시장(디지털),  9,000원","14:20,  국제시장(디지털),  9,000원","17:10,  국제시장(디지털),  9,000원","20:00,  국제시장(디지털),  9,000원","22:40,  국제시장(디지털),  9,000원",,,,206
2015-01-07,4DX(SOUNDX),"10:20,  마다가스카의 펭귄(4D),  8,000원","12:30,  마다가스카의 펭귄(4D),  13,000원","14:40,  마다가스카의 펭귄(4D),  13,000원","16:50,  마다가스카의 펭귄(4D),  13,000원","19:20,  테이큰 3(4D),  8,000원","22:00,  테이큰 3(4D),  8,000원","24:30,  테이큰 3(4D),  8,000원",,,144
2015-01-08,BMW CINEMA SWEETBOX PREMIUM,"09:00,  테이큰 3(디지털),  6,000원","11:40,  국제시장(디지털),  9,000원","14:50,  국제시장(디지털),  9,000원","17:30,  국제시장(디지털),  9,000원","20:10,  국제시장(디지털),  9,000원","23:00,  국제시장(디지털),  8,000원",,,,132
2015-01-08,SUBPAC 1관,"10:30,  언브로큰(디지털),  6,000원","13:20,  마다가스카의 펭귄(디지털),  9,000원","15:40,  언브로큰(디지털),  9,000원","18:50,  언브로큰(디지털),  9,000원","21:50,  언브로큰(디지털),  9,000원","25:00,  언브로큰(디지털),  8,000원",,,,76
2015-01-08,SUBPAC 2관,"09:20,  님아, 그 강을 건너지 마오(디지털),  6,000원","11:20,  테이큰 3(디지털),  9,000원","13:50,  테이큰 3(디지털),  9,000원","16:15,  테이큰 3(디지털),  9,000원","19:30,  러브, 로지(디지털),  9,000원","22:25,  마다가스카의 펭귄(디지털),  9,000원","24:30,  님아, 그 강을 건너지 마오(디지털),  8,000원",,,76
2015-01-08,4관 (VEATBOX / SWEETBOX),"09:40,  국제시장(디지털),  6,000원","13:30,  러브, 로지(디지털),  9,000원","16:00,  러브, 로지(디지털),  9,000원","18:30,  러브, 로지(디지털),  9,000원","21:30,  국제시장(디지털),  9,700원","24:10,  국제시장(디지털),  8,000원",,,,206
2015-01-08,4DX(SOUNDX),"10:10,  마다가스카의 펭귄(4D),  8,000원","12:20,  마다가스카의 펭귄(4D),  13,000원","14:30,  마다가스카의 펭귄(4D),  13,000원","16:40,  마다가스카의 펭귄(4D),  13,000원","19:10,  테이큰 3(4D),  8,000원","22:10,  테이큰 3(4D),  8,000원","24:40,  테이큰 3(4D),  8,000원",,,144
2015-01-09,BMW CINEMA SWEETBOX PREMIUM,"10:00,  국제시장(디지털),  6,000원","13:00,  테이큰 3(디지털),  10,000원","15:30,  국제시장(디지털),  10,000원","18:20,  국제시장(디지털),  10,000원","21:10,  테이큰 3(디지털),  10,000원","24:00,  국제시장(디지털),  9,000원",,,,132
2015-01-09,SUBPAC 1관,"09:20,  언브로큰(디지털),  6,000원","12:10,  언브로큰(디지털),  10,000원","15:10,  테이큰 3(디지털),  10,000원","17:40,  언브로큰(디지털),  10,000원","20:30,  언브로큰(디지털),  10,000원","23:30,  언브로큰(디지털),  9,000원",,,,76
2015-01-09,SUBPAC 2관,"09:30,  테이큰 3(디지털),  6,000원","11:55,  님아, 그 강을 건너지 마오(디지털),  10,000원","13:55,  마다가스카의 펭귄(디지털),  10,000원","16:10,  테이큰 3(디지털),  10,000원","18:40,  마다가스카의 펭귄(디지털),  10,000원","20:50,  님아, 그 강을 건너지 마오(디지털),  10,000원","23:00,  테이큰 3(디지털),  9,000원",,,76
2015-01-09,4관 (VEATBOX / SWEETBOX),"09:00,  국제시장(디지털),  6,000원","11:40,  국제시장(디지털),  10,000원","14:20,  국제시장(디지털),  10,000원","17:10,  국제시장(디지털),  10,000원","20:00,  국제시장(디지털),  10,000원","22:40,  국제시장(디지털),  10,000원","25:20,  국제시장(디지털),  9,000원",,,206
2015-01-09,4DX(SOUNDX),"10:20,  마다가스카의 펭귄(4D),  8,000원","12:30,  마다가스카의 펭귄(4D),  13,000원","14:40,  마다가스카의 펭귄(4D),  13,000원","16:45,  마다가스카의 펭귄(4D),  10,000원","19:15,  테이큰 3(4D),  9,000원","22:00,  테이큰 3(4D),  9,000원","24:40,  테이큰 3(4D),  9,000원",,,144
2015-01-10,BMW CINEMA SWEETBOX PREMIUM,"09:00,  테이큰 3(디지털),  6,000원","12:00,  테이큰 3(디지털),  10,000원","15:00,  국제시장(디지털),  10,000원","18:00,  국제시장(디지털),  10,000원","20:50,  국제시장(디지털),  10,000원","23:40,  국제시장(디지털),  9,000원",,,,132
2015-01-10,SUBPAC 1관,"10:30,  언브로큰(디지털),  6,000원","13:20,  마다가스카의 펭귄(디지털),  10,000원","15:30,  마다가스카의 펭귄(디지털),  10,000원","17:40,  언브로큰(디지털),  10,000원","21:10,  언브로큰(디지털),  10,000원","24:00,  언브로큰(디지털),  9,000원",,,,76
2015-01-10,SUBPAC 2관,"09:20,  님아, 그 강을 건너지 마오(디지털),  6,000원","11:20,  국제시장(디지털),  10,000원","14:00,  국제시장(디지털),  10,000원","16:40,  테이큰 3(디지털),  10,000원","19:30,  테이큰 3(디지털),  10,000원","22:10,  테이큰 3(디지털),  10,000원","24:40,  테이큰 3(디지털),  9,000원",,,76
2015-01-10,4관 (VEATBOX / SWEETBOX),"10:10,  국제시장(디지털),  6,000원","12:50,  국제시장(디지털),  10,000원","16:00,  국제시장(디지털),  10,000원","19:00,  국제시장(디지털),  10,000원","21:50,  국제시장(디지털),  10,000원","25:00,  국제시장(디지털),  10,000원",,,,206
2015-01-10,4DX(SOUNDX),"09:30,  마다가스카의 펭귄(4D),  8,000원","11:40,  마다가스카의 펭귄(4D),  13,000원","14:20,  마다가스카의 펭귄(4D),  13,000원","17:20,  마다가스카의 펭귄(4D),  13,000원","20:10,  테이큰 3(4D),  9,000원","23:10,  테이큰 3(4D),  9,000원",,,,144
2015-01-11,BMW CINEMA SWEETBOX PREMIUM,"09:20,  국제시장(디지털),  6,000원","12:10,  테이큰 3(디지털),  10,000원","14:50,  국제시장(디지털),  10,000원","17:40,  국제시장(디지털),  10,000원","20:20,  테이큰 3(디지털),  10,000원","22:50,  국제시장(디지털),  10,000원",,,,132
2015-01-11,SUBPAC 1관,"09:50,  언브로큰(디지털),  6,000원","12:40,  마다가스카의 펭귄(디지털),  10,000원","15:10,  언브로큰(디지털),  10,000원","18:00,  마다가스카의 펭귄(디지털),  10,000원","20:40,  언브로큰(디지털),  10,000원","23:30,  테이큰 3(디지털),  9,000원",,,,76
2015-01-11,SUBPAC 2관,"09:00,  테이큰 3(디지털),  6,000원","11:30,  님아, 그 강을 건너지 마오(디지털),  10,000원","13:30,  테이큰 3(디지털),  10,000원","16:20,  테이큰 3(디지털),  10,000원","19:10,  국제시장(디지털),  10,000원","21:50,  언브로큰(디지털),  10,000원","24:50,  언브로큰(디지털),  9,000원",,,76
2015-01-11,4관 (VEATBOX / SWEETBOX),"10:20,  국제시장(디지털),  6,000원","13:00,  국제시장(디지털),  10,000원","15:40,  국제시장(디지털),  10,000원","18:25,  국제시장(디지털),  10,000원","21:10,  국제시장(디지털),  10,000원","23:50,  국제시장(디지털),  9,000원",,,,206
