상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2018-05-16,01관,,"14:40,  얼리맨(디지털더빙),  0원","16:40,  딥(디지털더빙),  0원","19:00,  내 이야기!!(디지털),  0원",,,,,,162
2018-05-16,02관(프리미엄),,,"18:00,  데드풀 2(디지털)","20:30,  데드풀 2(디지털)",,,,,,25
2018-05-16,03관,,"15:40,  조선명탐정: 흡혈괴마의 비밀(디지털),  0원","20:00,  꾼(디지털),  0원",,,,,,,162
2018-05-16,04관,,"18:00,  지금 만나러 갑니다(디지털),  0원",,,,,,,,216
2018-05-16,05관,,"15:20,  지금 만나러 갑니다(디지털),  0원","19:30,  지금 만나러 갑니다(디지털),  0원",,,,,,,139
2018-05-16,06관,,"15:00,  범죄도시(디지털),  0원","17:30,  조선명탐정: 흡혈괴마의 비밀(디지털),  0원","20:10,  범죄도시(디지털),  0원",,,,,,185
2018-05-16,07관,,,"17:20,  데드풀 2(디지털)","19:50,  데드풀 2(디지털)",,,,,,185
2018-05-17,01관,"10:10,  매직빈(디지털더빙)","11:50,  데드풀 2(디지털),  9,000원","14:10,  데드풀 2(디지털),  10,000원","16:40,  피터 래빗(디지털더빙),  11,000원","18:45,  데드풀 2(디지털),  11,000원","21:15,  데드풀 2(디지털),  11,000원",,,,162
2018-05-17,02관(프리미엄),"11:00,  데드풀 2(디지털),  8,000원","13:30,  레슬러(디지털)","16:00,  데드풀 2(디지털)","18:30,  레슬러(디지털),  10,000원","20:50,  버닝(디지털),  10,000원",,,,,25
2018-05-17,03관,"09:50,  데드풀 2(디지털),  7,000원","12:20,  피터 래빗(디지털더빙)","14:30,  피터 래빗(디지털더빙),  10,000원","16:50,  데드풀 2(디지털),  11,000원","19:20,  데드풀 2(디지털),  11,000원","21:50,  데드풀 2(디지털),  11,000원",,,,162
2018-05-17,04관,"10:30,  데드풀 2(디지털),  9,000원","13:00,  데드풀 2(디지털),  9,000원","15:20,  데드풀 2(디지털),  10,000원","17:50,  데드풀 2(디지털),  11,000원","20:20,  데드풀 2(디지털),  11,000원","22:50,  데드풀 2(디지털),  10,000원",,,,216
2018-05-17,05관,"10:20,  버닝(디지털)","13:20,  버닝(디지털),  10,000원","16:20,  버닝(디지털),  10,000원","19:20,  버닝(디지털),  11,000원","22:20,  버닝(디지털),  10,000원",,,,,139
2018-05-17,06관,"10:00,  어벤져스: 인피니티 워(디지털),  7,000원","13:00,  어벤져스: 인피니티 워(디지털),  9,000원","16:00,  어벤져스: 인피니티 워(디지털),  10,000원","19:00,  어벤져스: 인피니티 워(디지털),  7,000원","22:00,  어벤져스: 인피니티 워(디지털),  11,000원",,,,,185
2018-05-17,07관,"09:50,  얼리맨(디지털더빙)","11:40,  어벤져스: 인피니티 워(디지털),  9,000원","14:40,  어벤져스: 인피니티 워(디지털),  10,000원","17:40,  어벤져스: 인피니티 워(디지털),  9,000원","20:40,  어벤져스: 인피니티 워(디지털),  11,000원",,,,,185
2018-05-18,01관,"10:10,  매직빈(디지털더빙),  8,000원","11:50,  데드풀 2(디지털),  12,000원","14:10,  데드풀 2(디지털),  12,000원","16:40,  피터 래빗(디지털더빙),  12,000원","18:45,  데드풀 2(디지털),  7,000원","21:15,  데드풀 2(디지털),  12,000원",,,,162
2018-05-18,02관(프리미엄),"11:00,  데드풀 2(디지털)","13:30,  레슬러(디지털)","16:00,  데드풀 2(디지털),  11,000원","18:30,  레슬러(디지털),  11,000원","20:50,  버닝(디지털),  11,000원",,,,,25
2018-05-18,03관,"09:50,  데드풀 2(디지털),  8,000원","12:20,  피터 래빗(디지털더빙)","14:30,  피터 래빗(디지털더빙),  12,000원","16:50,  데드풀 2(디지털),  12,000원","19:20,  데드풀 2(디지털),  12,000원","21:50,  데드풀 2(디지털),  12,000원",,,,162
2018-05-18,04관,"10:30,  데드풀 2(디지털),  11,000원","13:00,  데드풀 2(디지털),  12,000원","15:20,  데드풀 2(디지털),  12,000원","17:50,  데드풀 2(디지털),  12,000원","20:20,  데드풀 2(디지털),  12,000원","22:50,  데드풀 2(디지털),  12,000원",,,,216
2018-05-18,05관,"10:20,  버닝(디지털),  12,000원","13:20,  버닝(디지털),  12,000원","16:20,  버닝(디지털),  10,000원","19:20,  버닝(디지털),  11,000원","22:20,  버닝(디지털),  12,000원",,,,,139
2018-05-18,06관,"10:00,  어벤져스: 인피니티 워(디지털),  9,000원","13:00,  어벤져스: 인피니티 워(디지털),  12,000원","16:00,  어벤져스: 인피니티 워(디지털),  12,000원","19:00,  어벤져스: 인피니티 워(디지털),  12,000원","22:00,  어벤져스: 인피니티 워(디지털),  12,000원",,,,,185
2018-05-18,07관,"09:50,  얼리맨(디지털더빙)","11:40,  어벤져스: 인피니티 워(디지털),  12,000원","14:40,  어벤져스: 인피니티 워(디지털),  11,000원","17:40,  어벤져스: 인피니티 워(디지털),  12,000원","20:40,  어벤져스: 인피니티 워(디지털),  12,000원",,,,,185
2018-05-19,01관,,"10:30,  얼리맨(디지털더빙)","12:25,  데드풀 2(디지털),  12,000원","14:45,  데드풀 2(디지털),  12,000원","17:15,  얼리맨(디지털더빙),  12,000원","19:30,  데드풀 2(디지털),  10,000원","22:00,  데드풀 2(디지털),  12,000원",,,162
2018-05-19,02관(프리미엄),,"11:20,  데드풀 2(디지털),  11,000원","13:50,  데드풀 2(디지털),  11,000원","16:20,  데드풀 2(디지털),  11,000원","18:50,  버닝(디지털),  11,000원","21:50,  버닝(디지털)",,,,25
2018-05-19,03관,"09:50,  데드풀 2(디지털),  8,000원","12:20,  피터 래빗(디지털더빙),  11,000원","14:30,  피터 래빗(디지털더빙),  12,000원","16:35,  피터 래빗(디지털더빙),  12,000원","18:40,  데드풀 2(디지털),  12,000원","21:10,  데드풀 2(디지털),  12,000원",,,,162
2018-05-19,04관,,"10:30,  데드풀 2(디지털),  7,000원","13:00,  데드풀 2(디지털),  12,000원","15:20,  데드풀 2(디지털),  12,000원","17:50,  데드풀 2(디지털),  12,000원","20:20,  데드풀 2(디지털),  12,000원","22:50,  데드풀 2(디지털),  12,000원",,,216
2018-05-19,05관,,"10:40,  버닝(디지털),  7,000원","13:40,  버닝(디지털),  12,000원","16:40,  버닝(디지털),  11,000원","19:40,  버닝(디지털),  12,000원","22:40,  버닝(디지털),  12,000원",,,,139
2018-05-19,06관,,"10:10,  어벤져스: 인피니티 워(디지털),  12,000원","13:10,  어벤져스: 인피니티 워(디지털),  12,000원","16:10,  어벤져스: 인피니티 워(디지털),  12,000원","19:10,  어벤져스: 인피니티 워(디지털),  12,000원","22:10,  어벤져스: 인피니티 워(디지털),  12,000원",,,,185
2018-05-19,07관,,"10:55,  피터 래빗(디지털더빙),  12,000원","13:00,  레슬러(디지털),  12,000원","15:20,  버닝(디지털),  12,000원","18:20,  레슬러(디지털),  12,000원","20:40,  레슬러(디지털),  12,000원","23:00,  레슬러(디지털),  12,000원",,,185
2018-05-20,01관,,"10:30,  얼리맨(디지털더빙),  12,000원","12:25,  데드풀 2(디지털),  11,000원","14:45,  데드풀 2(디지털),  12,000원","17:15,  얼리맨(디지털더빙),  12,000원","19:30,  데드풀 2(디지털),  12,000원","22:00,  데드풀 2(디지털),  12,000원",,,162
2018-05-20,02관(프리미엄),,"11:20,  데드풀 2(디지털)","13:50,  데드풀 2(디지털),  11,000원","16:20,  데드풀 2(디지털),  11,000원","18:50,  버닝(디지털)","21:50,  버닝(디지털),  11,000원",,,,25
2018-05-20,03관,"09:50,  데드풀 2(디지털),  8,000원","12:20,  피터 래빗(디지털더빙),  12,000원","14:30,  피터 래빗(디지털더빙),  12,000원","16:35,  피터 래빗(디지털더빙),  12,000원","18:40,  데드풀 2(디지털),  12,000원","21:10,  데드풀 2(디지털),  12,000원",,,,162
