상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2019-01-30,01관,,,"15:30,  극장판 헬로카봇: 옴파로스 섬의 비밀(디지털)","17:25,  극장판 헬로카봇: 옴파로스 섬의 비밀(디지털)","19:20,  뺑반(디지털)","22:10,  뺑반(디지털)",,,103
2019-01-30,02관,,,"15:40,  극한직업(디지털)","18:05,  극한직업(디지털)","20:30,  극한직업(디지털)","22:55,  극한직업(디지털)",,,174
2019-01-30,03관,,,"14:40,  뺑반(디지털)","17:35,  뺑반(디지털)","20:25,  뺑반(디지털)",,,,174
2019-01-30,05관,,,"15:20,  말모이(디지털)","18:20,  뺑반(디지털)","21:10,  뺑반(디지털)",,,,88
2019-01-30,05관,,,"15:10,  드래곤 길들이기 3(디지털)","17:30,  드래곤 길들이기 3(디지털)",,"22:30,  말모이(디지털)",,,88
2019-01-30,06관,,,"14:00,  극한직업(디지털)","16:30,  극한직업(디지털)","18:55,  극한직업(디지털)","21:20,  극한직업(디지털)",,,84
2019-01-30,07관,,,"14:50,  극한직업(디지털)","17:15,  극한직업(디지털)","19:40,  극한직업(디지털)","22:05,  극한직업(디지털)",,,223
2019-01-30,08관,,,"14:10,  드래곤 길들이기 3(디지털더빙)","16:40,  드래곤 길들이기 3(디지털더빙)","19:00,  드래곤 길들이기 3(디지털)","21:30,  드래곤 길들이기 3(디지털)",,,223
2019-02-01,01관,,,"15:30,  극장판 헬로카봇: 옴파로스 섬의 비밀(디지털),  11,000원","17:25,  극장판 헬로카봇: 옴파로스 섬의 비밀(디지털),  11,000원","19:20,  뺑반(디지털),  11,000원","22:10,  뺑반(디지털),  11,000원",,,103
2019-02-01,02관,,,"15:40,  극한직업(디지털),  11,000원","18:05,  극한직업(디지털),  11,000원","20:30,  극한직업(디지털),  11,000원",,,,174
2019-02-01,03관,,,"15:10,  드래곤 길들이기 3(디지털),  11,000원","17:30,  드래곤 길들이기 3(디지털),  11,000원","19:50,  내안의 그놈(디지털),  7,000원",,,,174
2019-02-01,05관,,,"15:20,  말모이(디지털),  7,000원","18:20,  뺑반(디지털),  9,000원","21:10,  뺑반(디지털),  11,000원",,,,88
