상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2019-04-18,01관,"16:30,  암수살인(디지털)","19:00,  암수살인(디지털)",,,,,,,,166
2019-04-18,02관,"16:00,  내안의 그놈(디지털)","19:10,  내안의 그놈(디지털)",,,,,,,,169
2019-04-18,03관,"17:00,  완벽한 타인(디지털)","19:30,  완벽한 타인(디지털)",,,,,,,,189
2019-04-18,04관,"14:30,  로망(디지털)","17:00,  그린 북(디지털)",,,,,,,,153
2019-04-18,05관,"14:00,  극장판 공룡메카드: 타이니소어의 섬(디지털)","15:50,  그린 북(디지털)","18:40,  스윙키즈(디지털)",,,,,,,122
2019-04-19,01관,"10:30,  미성년(디지털),  10,000원","12:35,  미성년(디지털),  11,000원","14:40,  미성년(디지털),  11,000원","16:45,  바이스(디지털),  11,000원","19:25,  바이스(디지털),  11,000원","22:10,  바이스(디지털),  11,000원",,,,166
2019-04-19,02관,"10:40,  왓칭(디지털),  8,000원","12:40,  헬보이(디지털),  11,000원","15:05,  헬보이(디지털),  11,000원","17:35,  돈(디지털),  11,000원","20:00,  헬보이(디지털),  11,000원","22:30,  헬보이(디지털),  11,000원",,,,169
2019-04-19,03관,"10:45,  생일(디지털),  10,000원","13:35,  생일(디지털),  11,000원","16:05,  생일(디지털)","18:35,  생일(디지털),  11,000원","21:05,  생일(디지털),  11,000원","23:30,  생일(디지털),  11,000원",,,,189
2019-04-19,04관,"10:20,  요로나의 저주(디지털)","12:30,  요로나의 저주(디지털),  11,000원","14:35,  요로나의 저주(디지털),  11,000원","16:40,  요로나의 저주(디지털),  11,000원","19:00,  요로나의 저주(디지털),  11,000원","21:00,  요로나의 저주(디지털),  11,000원","23:00,  요로나의 저주(디지털),  11,000원",,,153
2019-04-19,05관,"10:00,  똑딱똑딱 마법의 시계나라(디지털),  8,000원","11:50,  유랑지구(디지털),  11,000원","14:20,  돈(디지털),  11,000원","16:40,  유랑지구(디지털)","19:10,  왓칭(디지털),  11,000원","21:10,  왓칭(디지털),  11,000원","23:10,  미성년(디지털),  11,000원",,,122
2019-04-20,01관,"10:45,  헬보이(디지털),  8,000원","13:15,  바이스(디지털),  11,000원","16:00,  헬보이(디지털),  11,000원","18:35,  바이스(디지털),  11,000원","21:15,  헬보이(디지털),  11,000원","23:45,  헬보이(디지털),  11,000원",,,,166
2019-04-20,02관,"10:30,  요로나의 저주(디지털),  8,000원","12:30,  헬보이(디지털),  11,000원","15:05,  생일(디지털),  11,000원","17:30,  요로나의 저주(디지털),  11,000원","19:30,  요로나의 저주(디지털),  11,000원","21:30,  요로나의 저주(디지털),  11,000원","23:30,  요로나의 저주(디지털),  11,000원",,,169
2019-04-20,03관,"09:45,  생일(디지털),  8,000원","12:10,  생일(디지털),  11,000원","14:35,  생일(디지털),  11,000원","17:00,  생일(디지털),  11,000원","19:25,  생일(디지털),  11,000원","21:50,  생일(디지털),  11,000원","24:15,  생일(디지털),  9,000원",,,189
