상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2015-01-01,01관,"08:00,  국제시장(디지털),  6,000원","10:40,  국제시장(디지털),  9,000원","13:20,  국제시장(디지털),  9,000원","16:00,  국제시장(디지털),  9,000원","18:40,  국제시장(디지털),  9,000원","21:20,  국제시장(디지털),  9,000원","24:10,  국제시장(디지털),  9,000원",,,,236
2015-01-01,02관,"09:30,  국제시장(디지털),  9,000원","12:10,  국제시장(디지털),  9,000원","15:00,  국제시장(디지털),  9,000원","17:40,  국제시장(디지털),  9,000원","20:20,  국제시장(디지털),  9,000원","23:10,  국제시장(디지털),  9,000원",,,,,173
2015-01-01,03관,"09:50,  뽀로로 극장판 눈요정 마을 대모험(디지털),  5,000원","11:00,  마다가스카의 펭귄(디지털더빙),  8,000원","13:00,  마다가스카의 펭귄(디지털더빙),  9,000원","15:00,  마다가스카의 펭귄(디지털더빙),  9,000원","17:10,  마다가스카의 펭귄(디지털더빙),  9,000원","19:30,  국제시장(디지털),  9,000원","22:05,  국제시장(디지털),  9,000원","24:50,  더 테너 리리코 스핀토(디지털)",,,187
2015-01-01,04관,"08:10,  테이큰 3(디지털),  6,000원","10:30,  테이큰 3(디지털),  9,000원","12:50,  테이큰 3(디지털),  9,000원","15:10,  테이큰 3(디지털),  9,000원","17:30,  테이큰 3(디지털),  9,000원","19:50,  테이큰 3(디지털),  9,000원","22:20,  테이큰 3(디지털),  9,000원","24:40,  테이큰 3(디지털),  9,000원",,,154
2015-01-01,05관,"08:00,  더 테너 리리코 스핀토(디지털),  7,000원","10:20,  기술자들(디지털),  6,000원","12:50,  기술자들(디지털),  9,000원","15:20,  기술자들(디지털),  9,000원","18:00,  기술자들(디지털),  9,000원","20:40,  기술자들(디지털),  9,000원","23:30,  기술자들(디지털),  9,000원",,,,109
2015-01-01,06관,"08:00,  마다가스카의 펭귄(디지털더빙),  6,000원","10:00,  마다가스카의 펭귄(디지털더빙),  6,000원","12:00,  마다가스카의 펭귄(디지털더빙),  9,000원","14:00,  마다가스카의 펭귄(디지털더빙),  9,000원","16:10,  마다가스카의 펭귄(디지털더빙),  9,000원","18:10,  님아, 그 강을 건너지 마오(디지털),  9,000원","20:10,  님아, 그 강을 건너지 마오(디지털),  9,000원","22:10,  숲속으로(디지털),  9,000원","24:45,  숲속으로(디지털)",,120
2015-01-01,07관,"09:20,  호빗: 다섯 군대 전투(디지털),  6,000원","12:20,  님아, 그 강을 건너지 마오(디지털),  9,000원","14:20,  국제시장(디지털),  9,000원","17:00,  국제시장(디지털),  9,000원","19:40,  호빗: 다섯 군대 전투(디지털),  9,000원","22:45,  호빗: 다섯 군대 전투(디지털),  9,000원",,,,,120
2015-01-02,01관,"08:00,  국제시장(디지털),  6,000원","10:40,  국제시장(디지털),  7,000원","13:20,  국제시장(디지털),  9,000원","16:00,  국제시장(디지털),  9,000원","18:40,  국제시장(디지털),  9,000원","21:20,  국제시장(디지털),  9,000원","24:10,  국제시장(디지털),  9,000원",,,,236
2015-01-02,02관,"09:30,  국제시장(디지털),  7,000원","12:10,  국제시장(디지털),  9,000원","15:00,  국제시장(디지털),  9,000원","17:40,  국제시장(디지털),  9,000원","20:20,  국제시장(디지털),  9,000원","23:10,  국제시장(디지털),  9,000원",,,,,173
2015-01-02,03관,"09:50,  뽀로로 극장판 눈요정 마을 대모험(디지털),  5,000원","11:00,  마다가스카의 펭귄(디지털더빙),  6,500원","13:00,  마다가스카의 펭귄(디지털더빙),  9,000원","15:00,  마다가스카의 펭귄(디지털더빙),  9,000원","17:10,  마다가스카의 펭귄(디지털더빙),  9,000원","19:30,  국제시장(디지털),  9,000원","22:05,  국제시장(디지털),  9,000원","24:50,  더 테너 리리코 스핀토(디지털)",,,187
