상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,좌석수
2017-08-01,01관,"14:00,  다이노소어 아일랜드(디지털더빙),  0원",,,,,,,84
2017-08-01,02관,"15:00,  다이노소어 아일랜드(디지털더빙),  0원","18:30,  내 사랑(디지털),  0원",,,,,,121
2017-08-01,03관,"17:00,  하루(디지털),  0원",,,,,,,132
2017-08-01,04관,"18:00,  재심(디지털),  0원",,,,,,,120
2017-08-01,05관,"19:00,  존 윅 - 리로드(디지털),  0원",,,,,,,158
2017-08-01,06관,"20:00,  하루(디지털),  0원",,,,,,,120
2017-08-02,01관,"10:40,  슈퍼배드 3(디지털더빙),  6,000원","13:00,  슈퍼배드 3(디지털더빙),  9,000원","15:00,  슈퍼배드 3(디지털더빙),  9,000원","17:00,  슈퍼배드 3(디지털더빙),  9,000원","19:00,  택시운전사(디지털),  9,000원","21:50,  내 사랑(디지털),  6,000원",,84
2017-08-02,02관,"10:05,  내 사랑(디지털),  5,000원","12:30,  군함도(디지털),  9,000원","15:20,  군함도(디지털),  7,000원","18:10,  군함도(디지털),  9,000원","21:10,  군함도(디지털),  9,000원",,,121
2017-08-02,03관,"10:00,  택시운전사(디지털)","12:50,  택시운전사(디지털)","15:40,  택시운전사(디지털)","18:30,  택시운전사(디지털),  9,000원","21:20,  택시운전사(디지털)",,,132
2017-08-02,04관,"10:50,  군함도(디지털),  6,000원","13:30,  군함도(디지털),  9,000원","16:20,  군함도(디지털),  9,000원","19:10,  군함도(디지털),  9,000원","22:00,  군함도(디지털),  9,000원",,,120
2017-08-02,05관,"11:00,  택시운전사(디지털),  6,000원","13:50,  택시운전사(디지털),  9,000원","16:40,  택시운전사(디지털),  9,000원","19:30,  택시운전사(디지털),  9,000원","22:20,  택시운전사(디지털),  9,000원",,,158
2017-08-02,06관,,"11:50,  택시운전사(디지털),  8,000원","14:40,  택시운전사(디지털),  9,000원","17:40,  택시운전사(디지털),  9,000원","20:30,  택시운전사(디지털),  9,000원",,,120
2017-08-03,01관,"10:40,  슈퍼배드 3(디지털더빙),  6,000원","13:00,  슈퍼배드 3(디지털더빙),  8,000원","15:00,  슈퍼배드 3(디지털더빙),  9,000원","17:00,  슈퍼배드 3(디지털더빙),  9,000원","19:00,  택시운전사(디지털),  9,000원","21:50,  내 사랑(디지털),  6,000원",,84
2017-08-03,02관,"10:05,  내 사랑(디지털),  6,000원","12:30,  군함도(디지털),  9,000원","15:20,  군함도(디지털),  9,000원","18:10,  군함도(디지털),  9,000원","21:10,  군함도(디지털),  9,000원",,,121
2017-08-03,03관,"10:00,  택시운전사(디지털),  6,000원","12:50,  택시운전사(디지털)","15:40,  택시운전사(디지털)","18:30,  택시운전사(디지털)","21:20,  택시운전사(디지털)",,,132
2017-08-03,04관,"10:50,  군함도(디지털),  6,000원","13:30,  군함도(디지털),  9,000원","16:20,  군함도(디지털),  9,000원","19:10,  군함도(디지털),  9,000원","22:00,  군함도(디지털),  9,000원",,,120
2017-08-03,05관,"11:00,  택시운전사(디지털),  6,000원","13:50,  택시운전사(디지털),  9,000원","16:40,  택시운전사(디지털),  9,000원","19:30,  택시운전사(디지털),  9,000원","22:20,  택시운전사(디지털),  9,000원",,,158
2017-08-03,06관,,"11:50,  택시운전사(디지털),  9,000원","14:40,  택시운전사(디지털),  9,000원","17:40,  택시운전사(디지털),  9,000원","20:30,  택시운전사(디지털),  9,000원",,,120
