상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,좌석수
2015-08-19,01관,,"13:20,  매드 맥스: 분노의 도로(3D 디지털)",,,,,,,,,,206
2015-08-19,02관(SCREENX),,"14:50,  차이나타운(디지털)",,,,,,,,,,214
2015-08-19,03관,"12:20,  뷰티 인사이드(디지털)","15:20,  치외법권(디지털)",,,,,,,,,,203
2015-08-19,04관,,"13:50,  극비수사(디지털)","16:20,  연평해전(디지털)",,,,,,,,,180
2015-08-19,IMAX,"11:50,  인터스텔라(IMAX)",,,,,,,,,,,297
2015-08-19,4DX,"12:50,  샌 안드레아스(4D)","15:50,  매드 맥스: 분노의 도로(4D)",,,,,,,,,,148
2015-08-19,07관,,"14:20,  퇴마: 무녀굴(디지털)",,,,,,,,,,184
2015-08-20,01관,"11:50,  미니언즈(디지털더빙),  10,000원","14:10,  미션 임파서블: 로그네이션(디지털),  10,000원","17:10,  미션 임파서블: 로그네이션(디지털),  10,000원",,,,,,,,,206
2015-08-20,02관(SCREENX),"11:10,  뷰티 인사이드(디지털),  10,000원","14:00,  뷰티 인사이드(디지털),  10,000원","16:50,  뷰티 인사이드(디지털),  10,000원",,,,,,,,,214
2015-08-20,03관,"12:40,  암살(디지털),  10,000원","15:50,  암살(디지털),  10,000원",,,,,,,,,,203
2015-08-20,04관,"12:30,  베테랑(디지털),  10,000원","15:10,  인사이드 아웃(디지털),  10,000원","17:40,  베테랑(디지털),  10,000원",,,,,,,,,180
2015-08-20,IMAX,"11:00,  베테랑(디지털),  10,000원","13:50,  베테랑(디지털),  10,000원","16:30,  베테랑(디지털),  10,000원",,,,,,,,,297
2015-08-20,4DX,"12:20,  판타스틱 4(4D),  9,000원","14:40,  판타스틱 4(4D),  9,000원","17:00,  판타스틱 4(4D),  10,000원",,,,,,,,,148
2015-08-20,07관,"12:00,  미쓰 와이프(디지털),  10,000원","15:00,  퇴마: 무녀굴(디지털),  10,000원","17:30,  퇴마: 무녀굴(디지털),  10,000원",,,,,,,,,184
2015-08-21,01관,"11:30,  인사이드 아웃(디지털),  11,000원","14:00,  인사이드 아웃(디지털),  11,000원","16:30,  미션 임파서블: 로그네이션(디지털),  11,000원","19:20,  미션 임파서블: 로그네이션(디지털),  11,000원","22:10,  더 커널(디지털),  11,000원","24:30,  미션 임파서블: 로그네이션(디지털),  11,000원",,,,,,206
2015-08-21,02관(SCREENX),"12:30,  암살(디지털),  11,000원","15:45,  암살(디지털),  11,000원","19:00,  뷰티 인사이드(디지털),  11,000원","21:50,  뷰티 인사이드(디지털),  11,000원","24:40,  뷰티 인사이드(디지털),  11,000원",,,,,,,214
2015-08-21,03관,"11:40,  미니언즈(디지털더빙),  11,000원","13:50,  미니언즈(디지털더빙),  11,000원","16:00,  베테랑(디지털),  11,000원","18:50,  베테랑(디지털),  11,000원","21:35,  베테랑(디지털),  11,000원","24:20,  베테랑(디지털),  11,000원",,,,,,203
2015-08-21,04관,"12:40,  미쓰 와이프(디지털),  11,000원","15:35,  명탐정 코난 : 화염의 해바라기(디지털더빙),  11,000원","18:10,  미쓰 와이프(디지털),  11,000원","20:50,  판타스틱 4(디지털),  11,000원","23:10,  판타스틱 4(디지털),  11,000원","25:40,  판타스틱 4(디지털),  11,000원",,,,,,180
2015-08-21,IMAX,"11:50,  베테랑(디지털),  11,000원","14:40,  베테랑(디지털),  11,000원","17:25,  베테랑(디지털),  11,000원","20:10,  베테랑(디지털),  11,000원","22:50,  베테랑(디지털),  11,000원","25:30,  베테랑(디지털),  11,000원",,,,,,297
2015-08-21,4DX,"12:10,  판타스틱 4(4D),  9,000원","14:30,  판타스틱 4(4D),  9,000원","17:00,  판타스틱 4(4D),  9,000원","19:30,  판타스틱 4(4D),  9,000원","22:00,  판타스틱 4(4D),  9,000원","24:20,  판타스틱 4(4D),  9,000원",,,,,,148
2015-08-21,07관,"12:00,  뷰티 인사이드(디지털),  11,000원","14:50,  뷰티 인사이드(디지털),  11,000원","17:40,  뷰티 인사이드(디지털),  9,000원","20:30,  뷰티 인사이드(디지털),  11,000원","23:20,  퇴마: 무녀굴(디지털),  11,000원","25:50,  퇴마: 무녀굴(디지털),  11,000원",,,,,,184
2015-08-22,01관,"08:50,  인사이드 아웃(디지털),  6,000원","11:20,  인사이드 아웃(디지털),  11,000원","13:50,  미션 임파서블: 로그네이션(디지털),  11,000원","16:50,  인사이드 아웃(디지털),  11,000원","19:20,  미션 임파서블: 로그네이션(디지털),  11,000원","22:10,  미션 임파서블: 로그네이션(디지털),  11,000원","25:20,  미션 임파서블: 로그네이션(디지털),  11,000원",,,,,206
2015-08-22,02관(SCREENX),"07:50,  뷰티 인사이드(디지털),  6,000원","10:40,  뷰티 인사이드(디지털),  11,000원","13:30,  뷰티 인사이드(디지털),  11,000원","16:20,  뷰티 인사이드(디지털),  11,000원","19:30,  뷰티 인사이드(디지털),  11,000원","22:20,  뷰티 인사이드(디지털),  11,000원","25:10,  퇴마: 무녀굴(디지털),  11,000원",,,,,214
2015-08-22,03관,"07:00,  미니언즈(디지털더빙),  6,000원","09:20,  미니언즈(디지털더빙),  11,000원","11:40,  암살(디지털),  11,000원","14:50,  미니언즈(디지털더빙),  11,000원","17:00,  암살(디지털),  11,000원","20:00,  암살(디지털),  11,000원","23:00,  암살(디지털),  11,000원","26:05,  암살(디지털),  11,000원",,,,203
2015-08-22,04관,"08:30,  판타스틱 4(디지털),  6,000원","10:50,  명탐정 코난 : 화염의 해바라기(디지털더빙),  11,000원","13:20,  판타스틱 4(디지털),  11,000원","15:40,  판타스틱 4(디지털),  11,000원","18:00,  뷰티 인사이드(디지털),  11,000원","20:50,  뷰티 인사이드(디지털),  11,000원","23:40,  더 커널(디지털),  11,000원","25:50,  뷰티 인사이드(디지털),  11,000원",,,,180
