상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2017-02-21,01관,"19:00,  존 윅 - 리로드(디지털),  0원",,,,,,,,,,130
2017-02-21,02관,"13:00,  신 고질라(디지털),  0원",,,,,,,,,,136
2017-02-21,03관,"12:00,  판도라(디지털),  0원","15:00,  라라랜드(디지털),  0원",,,,,,,,,130
2017-02-21,04관,"12:30,  미씽: 사라진 여자(디지털),  0원","14:40,  터닝메카드W: 블랙미러의 부활(디지털),  0원",,,,,,,,,136
2017-02-21,05관,"13:50,  럭키(디지털),  0원","18:30,  핵소 고지(디지털),  0원",,,,,,,,,141
2017-02-21,06관,"13:30,  극장판 빰바라빤쮸: 바나나 왕국의 비밀(디지털더빙),  0원",,,,,,,,,,77
2017-02-22,01관,"09:10,  루시드 드림(디지털),  6,000원","11:15,  조작된 도시(디지털),  8,000원","13:45,  루시드 드림(디지털),  9,000원","15:50,  조작된 도시(디지털),  9,000원","18:20,  조작된 도시(디지털),  5,000원","20:50,  조작된 도시(디지털),  8,000원","23:20,  조작된 도시(디지털),  9,000원",,,,130
2017-02-22,02관,"09:05,  핵소 고지(디지털),  6,000원","11:50,  23 아이덴티티(디지털),  8,000원","14:15,  핵소 고지(디지털),  9,000원","17:00,  23 아이덴티티(디지털),  8,000원","19:25,  핵소 고지(디지털),  5,000원","22:10,  23 아이덴티티(디지털),  9,000원","24:35,  핵소 고지(디지털),  8,000원",,,,136
2017-02-22,03관,"09:50,  트롤(디지털더빙),  6,000원","11:50,  트롤(디지털더빙),  8,000원","13:50,  극장판 빰바라빤쮸: 바나나 왕국의 비밀(디지털더빙),  8,000원","15:20,  트롤(디지털더빙),  9,000원","17:20,  루시드 드림(디지털),  6,500원","19:30,  루시드 드림(디지털),  6,500원","21:35,  루시드 드림(디지털),  10,000원","23:40,  루시드 드림(디지털),  9,000원",,,130
2017-02-22,04관,"09:40,  싱글라이더(디지털),  6,000원","11:45,  싱글라이더(디지털),  9,000원","13:50,  싱글라이더(디지털),  7,000원","15:55,  싱글라이더(디지털),  9,000원","18:00,  싱글라이더(디지털),  6,500원","20:05,  싱글라이더(디지털),  6,500원","22:15,  싱글라이더(디지털),  9,000원","24:20,  싱글라이더(디지털),  8,000원",,,136
2017-02-22,05관,"09:55,  재심(디지털),  6,000원","12:20,  재심(디지털),  8,000원","14:45,  재심(디지털),  9,000원","17:10,  재심(디지털),  6,500원","19:40,  재심(디지털),  8,000원","22:05,  재심(디지털),  9,000원","24:30,  재심(디지털),  7,000원",,,,141
2017-02-22,06관,"09:30,  존 윅 - 리로드(디지털),  6,000원","12:00,  존 윅 - 리로드(디지털),  8,000원","14:30,  존 윅 - 리로드(디지털),  9,000원","17:05,  존 윅 - 리로드(디지털),  5,000원","19:35,  존 윅 - 리로드(디지털),  8,000원","22:05,  존 윅 - 리로드(디지털),  9,000원","24:40,  존 윅 - 리로드(디지털),  8,000원",,,,77
2017-02-23,01관,"09:10,  루시드 드림(디지털)","11:15,  조작된 도시(디지털),  8,000원","13:45,  루시드 드림(디지털)","15:50,  조작된 도시(디지털),  9,000원","18:20,  조작된 도시(디지털),  10,000원","20:50,  조작된 도시(디지털),  10,000원","23:20,  조작된 도시(디지털),  9,000원",,,,130
2017-02-23,02관,"09:00,  23 아이덴티티(디지털),  6,500원","11:25,  핵소 고지(디지털),  8,000원","14:10,  23 아이덴티티(디지털),  9,000원","16:35,  23 아이덴티티(디지털),  10,000원","19:20,  23 아이덴티티(디지털),  10,000원","21:45,  핵소 고지(디지털),  10,000원","24:30,  23 아이덴티티(디지털),  8,000원",,,,136
2017-02-23,03관,"09:50,  트롤(디지털더빙),  6,000원","11:50,  트롤(디지털더빙),  8,000원","13:45,  트롤(디지털더빙),  9,000원","15:40,  트롤(디지털더빙),  9,000원","17:35,  23 아이덴티티(디지털),  10,000원","20:00,  루시드 드림(디지털),  10,000원","22:10,  23 아이덴티티(디지털),  9,000원","24:35,  핵소 고지(디지털)",,,130
2017-02-23,04관,"09:40,  싱글라이더(디지털),  6,500원","11:45,  싱글라이더(디지털),  8,000원","13:55,  극장판 빰바라빤쮸: 바나나 왕국의 비밀(디지털더빙),  9,000원","15:25,  싱글라이더(디지털),  9,000원","17:30,  트롤(디지털더빙),  10,000원","19:35,  싱글라이더(디지털),  10,000원","21:45,  싱글라이더(디지털),  10,000원","23:50,  싱글라이더(디지털),  9,000원",,,136
2017-02-23,05관,"09:55,  재심(디지털),  6,000원","12:20,  재심(디지털),  8,000원","14:45,  재심(디지털),  9,000원","17:10,  재심(디지털),  9,000원","19:40,  재심(디지털),  10,000원","22:05,  재심(디지털),  9,000원","24:30,  재심(디지털)",,,,141
2017-02-23,06관,"09:30,  존 윅 - 리로드(디지털),  6,000원","12:00,  존 윅 - 리로드(디지털),  8,000원","14:30,  존 윅 - 리로드(디지털),  7,500원","17:05,  존 윅 - 리로드(디지털),  10,000원","19:35,  존 윅 - 리로드(디지털),  10,000원","22:05,  존 윅 - 리로드(디지털),  0원","24:35,  존 윅 - 리로드(디지털),  8,000원",,,,77
2017-02-24,01관,"09:10,  루시드 드림(디지털)","11:15,  조작된 도시(디지털),  11,000원","13:45,  루시드 드림(디지털),  9,000원","15:50,  조작된 도시(디지털),  9,000원","18:20,  조작된 도시(디지털),  10,000원","20:50,  조작된 도시(디지털),  11,000원","23:20,  조작된 도시(디지털),  11,000원",,,,130
2017-02-24,02관,"09:00,  23 아이덴티티(디지털),  7,000원","11:30,  23 아이덴티티(디지털),  11,000원","14:10,  23 아이덴티티(디지털),  11,000원","16:35,  23 아이덴티티(디지털),  11,000원","19:00,  23 아이덴티티(디지털),  11,000원","21:25,  23 아이덴티티(디지털),  11,000원","23:50,  23 아이덴티티(디지털),  9,000원",,,,136
2017-02-24,03관,"09:50,  트롤(디지털더빙),  9,000원","11:50,  트롤(디지털더빙),  11,000원","13:45,  트롤(디지털더빙),  9,500원","15:40,  트롤(디지털더빙),  9,000원","17:35,  23 아이덴티티(디지털),  11,000원","20:00,  루시드 드림(디지털),  11,000원","22:10,  핵소 고지(디지털),  11,000원","24:55,  23 아이덴티티(디지털),  10,000원",,,130
2017-02-24,04관,"09:40,  싱글라이더(디지털),  9,000원","11:45,  싱글라이더(디지털),  11,000원","13:55,  극장판 빰바라빤쮸: 바나나 왕국의 비밀(디지털더빙),  11,000원","15:25,  싱글라이더(디지털),  11,000원","17:30,  트롤(디지털더빙),  10,000원","19:35,  싱글라이더(디지털),  11,000원","21:45,  싱글라이더(디지털),  11,000원","23:50,  핵소 고지(디지털),  11,000원",,,136
2017-02-24,05관,"09:55,  재심(디지털),  7,000원","12:20,  재심(디지털),  11,000원","14:45,  재심(디지털),  11,000원","17:10,  재심(디지털),  11,000원","19:40,  재심(디지털),  11,000원","22:05,  재심(디지털),  11,000원","24:30,  재심(디지털),  9,000원",,,,141
2017-02-24,06관,"09:30,  존 윅 - 리로드(디지털),  7,000원","12:00,  존 윅 - 리로드(디지털),  11,000원","14:30,  존 윅 - 리로드(디지털),  8,000원","17:05,  존 윅 - 리로드(디지털),  11,000원","19:35,  존 윅 - 리로드(디지털),  11,000원","22:05,  존 윅 - 리로드(디지털),  10,000원","24:40,  존 윅 - 리로드(디지털),  10,000원",,,,77
2017-02-25,01관,"08:20,  조작된 도시(디지털),  7,000원","10:50,  극장판 빰바라빤쮸: 바나나 왕국의 비밀(디지털더빙),  7,500원","12:20,  조작된 도시(디지털),  11,000원","14:50,  조작된 도시(디지털),  11,000원","17:20,  조작된 도시(디지털),  11,000원","19:50,  조작된 도시(디지털),  11,000원","22:20,  조작된 도시(디지털),  11,000원","24:50,  조작된 도시(디지털),  10,000원",,,130
2017-02-25,02관,"09:50,  재심(디지털),  7,500원","12:15,  재심(디지털),  11,000원","14:40,  재심(디지털),  11,000원","17:05,  재심(디지털),  11,000원","19:30,  재심(디지털),  11,000원","22:00,  재심(디지털),  11,000원","24:30,  재심(디지털),  10,000원",,,,136
2017-02-25,03관,"09:10,  트롤(디지털더빙),  7,000원","11:10,  트롤(디지털더빙),  11,000원","13:10,  트롤(디지털더빙),  11,000원","15:10,  트롤(디지털더빙),  11,000원","17:10,  트롤(디지털더빙),  11,000원","19:10,  핵소 고지(디지털),  11,000원","21:55,  핵소 고지(디지털),  10,000원","24:40,  핵소 고지(디지털),  10,000원",,,130
2017-02-25,04관,"08:30,  트롤(디지털더빙)","10:30,  트롤(디지털더빙),  11,000원","12:30,  극장판 빰바라빤쮸: 바나나 왕국의 비밀(디지털더빙),  11,000원","14:00,  트롤(디지털더빙),  11,000원","16:00,  싱글라이더(디지털),  11,000원","18:05,  루시드 드림(디지털),  11,000원","20:10,  싱글라이더(디지털),  11,000원","22:15,  루시드 드림(디지털),  11,000원","24:25,  싱글라이더(디지털),  8,000원",,136
2017-02-25,05관,"08:00,  23 아이덴티티(디지털),  7,000원","10:25,  23 아이덴티티(디지털),  7,000원","12:50,  23 아이덴티티(디지털),  11,000원","15:15,  23 아이덴티티(디지털),  11,000원","17:40,  23 아이덴티티(디지털),  11,000원","20:05,  23 아이덴티티(디지털),  11,000원","22:30,  23 아이덴티티(디지털),  11,000원","24:55,  23 아이덴티티(디지털),  10,000원",,,141
2017-02-25,06관,"09:00,  존 윅 - 리로드(디지털),  7,000원","11:30,  존 윅 - 리로드(디지털),  11,000원","14:05,  존 윅 - 리로드(디지털),  11,000원","16:35,  존 윅 - 리로드(디지털),  11,000원","19:05,  존 윅 - 리로드(디지털),  11,000원","21:35,  존 윅 - 리로드(디지털),  11,000원","24:05,  존 윅 - 리로드(디지털),  10,000원",,,,77
2017-02-26,01관,"08:20,  조작된 도시(디지털),  7,000원","10:50,  극장판 빰바라빤쮸: 바나나 왕국의 비밀(디지털더빙),  11,000원","12:20,  조작된 도시(디지털),  11,000원","14:50,  조작된 도시(디지털),  11,000원","17:20,  조작된 도시(디지털),  11,000원","19:50,  조작된 도시(디지털),  11,000원","22:20,  조작된 도시(디지털),  11,000원","24:50,  조작된 도시(디지털),  10,000원",,,130
2017-02-26,02관,"09:50,  재심(디지털),  7,000원","12:15,  재심(디지털),  11,000원","14:40,  재심(디지털),  11,000원","17:05,  재심(디지털),  11,000원","19:30,  재심(디지털),  11,000원","22:00,  재심(디지털),  11,000원","24:30,  재심(디지털),  10,000원",,,,136
2017-02-26,03관,"09:10,  트롤(디지털더빙),  7,000원","11:10,  트롤(디지털더빙),  11,000원","13:10,  트롤(디지털더빙),  11,000원","15:10,  트롤(디지털더빙),  11,000원","17:10,  트롤(디지털더빙),  11,000원","19:10,  핵소 고지(디지털),  11,000원","21:55,  핵소 고지(디지털),  11,000원","24:40,  핵소 고지(디지털)",,,130
2017-02-26,04관,"08:30,  트롤(디지털더빙),  7,000원","10:30,  트롤(디지털더빙),  11,000원","12:30,  극장판 빰바라빤쮸: 바나나 왕국의 비밀(디지털더빙),  11,000원","14:00,  트롤(디지털더빙),  10,000원","16:00,  싱글라이더(디지털),  11,000원","18:05,  루시드 드림(디지털),  11,000원","20:10,  싱글라이더(디지털),  11,000원","22:15,  루시드 드림(디지털)","24:25,  싱글라이더(디지털),  8,000원",,136
2017-02-26,05관,"08:00,  23 아이덴티티(디지털),  7,000원","10:25,  23 아이덴티티(디지털),  11,000원","12:50,  23 아이덴티티(디지털),  11,000원","15:15,  23 아이덴티티(디지털),  11,000원","17:40,  23 아이덴티티(디지털),  11,000원","20:05,  23 아이덴티티(디지털),  11,000원","22:30,  23 아이덴티티(디지털),  11,000원","24:55,  23 아이덴티티(디지털),  10,000원",,,141
2017-02-26,06관,"09:00,  존 윅 - 리로드(디지털),  8,000원","11:30,  존 윅 - 리로드(디지털),  11,000원","14:05,  존 윅 - 리로드(디지털),  11,000원","16:35,  존 윅 - 리로드(디지털),  11,000원","19:05,  존 윅 - 리로드(디지털),  11,000원","21:35,  존 윅 - 리로드(디지털),  11,000원","24:05,  존 윅 - 리로드(디지털),  9,000원",,,,77
2017-02-27,01관,"09:10,  조작된 도시(디지털),  6,500원","11:40,  조작된 도시(디지털),  7,000원","14:10,  조작된 도시(디지털),  9,000원","16:40,  조작된 도시(디지털),  9,000원","19:10,  조작된 도시(디지털),  10,000원","21:40,  조작된 도시(디지털),  10,000원","24:10,  조작된 도시(디지털),  8,000원",,,,130
2017-02-27,02관,"09:50,  재심(디지털),  7,500원","12:15,  재심(디지털),  8,000원","14:45,  재심(디지털),  9,000원","17:10,  재심(디지털),  10,000원","19:35,  재심(디지털),  10,000원","22:00,  재심(디지털),  10,000원","24:25,  재심(디지털),  6,000원",,,,136
