상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,13회,좌석수
2015-01-01,01관,"09:30,  인터스텔라(디지털),  6,000원","12:50,  국제시장(디지털),  10,000원","15:25,  인터스텔라(디지털),  10,000원","18:50,  인터스텔라(디지털),  10,000원","22:10,  테이큰 3(디지털),  10,000원","24:35,  테이큰 3(디지털),  9,000원",,,,,,,,269
2015-01-01,02관,"08:45,  국제시장(디지털),  9,000원","11:25,  님아, 그 강을 건너지 마오(디지털),  10,000원","13:25,  테이큰 3(디지털),  10,000원","15:55,  국제시장(디지털),  10,000원","18:30,  국제시장(디지털),  10,000원","21:10,  국제시장(디지털),  10,000원","23:45,  국제시장(디지털),  9,000원",,,,,,,269
2015-01-01,03관,"09:50,  국제시장(디지털),  6,500원","12:25,  마다가스카의 펭귄(디지털더빙),  10,000원","14:30,  국제시장(디지털),  10,000원","17:10,  국제시장(디지털),  10,000원","19:50,  국제시장(디지털),  10,000원","22:30,  국제시장(디지털),  10,000원","25:05,  국제시장(디지털),  9,000원",,,,,,,285
2015-01-01,CINE KIDS,"09:35,  마다가스카의 펭귄(디지털더빙),  8,000원","11:40,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","13:30,  마다가스카의 펭귄(디지털더빙),  7,000원","15:35,  마다가스카의 펭귄(디지털더빙),  10,000원","17:40,  마다가스카의 펭귄(디지털더빙),  10,000원","19:40,  호빗: 다섯 군대 전투(디지털),  10,000원","22:40,  호빗: 다섯 군대 전투(디지털),  10,000원",,,,,,,93
2015-01-02,01관,"09:35,  인터스텔라(디지털),  6,000원","12:55,  국제시장(디지털),  10,000원","15:30,  인터스텔라(디지털),  10,000원","18:50,  인터스텔라(디지털),  10,000원","22:05,  테이큰 3(디지털),  10,000원","24:25,  테이큰 3(디지털),  9,000원",,,,,,,,269
2015-01-02,02관,"09:15,  테이큰 3(디지털),  6,000원","11:35,  님아, 그 강을 건너지 마오(디지털),  10,000원","13:30,  테이큰 3(디지털),  10,000원","15:50,  국제시장(디지털),  10,000원","18:25,  국제시장(디지털),  10,000원","21:00,  국제시장(디지털),  10,000원","23:35,  국제시장(디지털),  9,000원",,,,,,,269
2015-01-02,03관,"09:55,  국제시장(디지털),  7,000원","12:35,  마다가스카의 펭귄(디지털더빙),  10,000원","14:35,  국제시장(디지털),  10,000원","17:10,  국제시장(디지털),  10,000원","19:45,  국제시장(디지털),  10,000원","22:25,  국제시장(디지털),  10,000원","25:00,  국제시장(디지털),  9,000원",,,,,,,285
2015-01-02,CINE KIDS,"09:00,  마다가스카의 펭귄(디지털더빙),  6,000원","11:00,  마다가스카의 펭귄(디지털더빙),  7,000원","13:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","14:50,  마다가스카의 펭귄(디지털더빙),  10,000원","16:50,  마다가스카의 펭귄(디지털더빙),  10,000원","18:50,  님아, 그 강을 건너지 마오(디지털),  10,000원","20:45,  호빗: 다섯 군대 전투(디지털),  10,000원","23:40,  호빗: 다섯 군대 전투(디지털),  9,000원",,,,,,93
2015-01-03,01관,"09:30,  인터스텔라(디지털),  9,000원","12:50,  국제시장(디지털),  10,000원","15:25,  테이큰 3(디지털),  10,000원","17:45,  인터스텔라(디지털),  10,000원","21:05,  테이큰 3(디지털),  10,000원","23:25,  테이큰 3(디지털),  9,000원",,,,,,,,269
2015-01-03,02관,"08:45,  국제시장(디지털),  8,000원","11:25,  님아, 그 강을 건너지 마오(디지털),  10,000원","13:20,  인터스텔라(디지털),  10,000원","16:40,  마다가스카의 펭귄(디지털더빙),  10,000원","18:45,  국제시장(디지털),  10,000원","21:25,  국제시장(디지털),  10,000원","24:00,  국제시장(디지털),  9,000원",,,,,,,269
2015-01-03,03관,"09:50,  국제시장(디지털),  9,000원","12:25,  마다가스카의 펭귄(디지털더빙),  10,000원","14:30,  국제시장(디지털),  10,000원","17:10,  국제시장(디지털),  10,000원","19:50,  국제시장(디지털),  10,000원","22:30,  국제시장(디지털),  10,000원","25:05,  국제시장(디지털),  9,000원",,,,,,,285
2015-01-03,CINE KIDS,"09:35,  마다가스카의 펭귄(디지털더빙),  9,000원","11:40,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","13:30,  마다가스카의 펭귄(디지털더빙),  10,000원","15:35,  마다가스카의 펭귄(디지털더빙),  10,000원","17:40,  마다가스카의 펭귄(디지털더빙),  10,000원","19:40,  님아, 그 강을 건너지 마오(디지털),  10,000원","21:35,  호빗: 다섯 군대 전투(디지털),  10,000원","24:30,  호빗: 다섯 군대 전투(디지털),  9,000원",,,,,,93
2015-01-04,01관,"09:55,  인터스텔라(디지털),  9,000원","13:15,  국제시장(디지털),  10,000원","15:50,  국제시장(디지털),  10,000원","18:25,  국제시장(디지털),  10,000원","21:00,  국제시장(디지털),  10,000원","23:35,  국제시장(디지털),  9,000원",,,,,,,,269
2015-01-04,02관,"09:35,  국제시장(디지털),  9,000원","12:10,  마다가스카의 펭귄(디지털더빙),  10,000원","14:15,  국제시장(디지털),  10,000원","16:45,  테이큰 3(디지털),  10,000원","19:00,  테이큰 3(디지털),  10,000원","21:25,  테이큰 3(디지털),  10,000원","23:50,  테이큰 3(디지털),  9,000원",,,,,,,269
2015-01-04,03관,"08:35,  국제시장(디지털),  6,000원","11:10,  국제시장(디지털),  10,000원","13:45,  인터스텔라(디지털),  10,000원","17:10,  국제시장(디지털),  10,000원","19:45,  국제시장(디지털),  10,000원","22:20,  국제시장(디지털),  10,000원",,,,,,,,285
2015-01-04,CINE KIDS,"09:35,  마다가스카의 펭귄(디지털더빙),  6,000원","11:40,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","13:30,  마다가스카의 펭귄(디지털더빙),  7,000원","15:35,  마다가스카의 펭귄(디지털더빙),  10,000원","17:40,  마다가스카의 펭귄(디지털더빙),  10,000원","19:40,  님아, 그 강을 건너지 마오(디지털),  10,000원","21:35,  님아, 그 강을 건너지 마오(디지털),  10,000원","23:30,  호빗: 다섯 군대 전투(디지털),  9,000원",,,,,,93
2015-01-05,01관,"09:35,  국제시장(디지털),  6,000원","12:15,  국제시장(디지털),  9,000원","14:50,  인터스텔라(디지털),  9,000원","18:10,  테이큰 3(디지털),  9,000원","20:30,  테이큰 3(디지털),  9,000원","22:50,  테이큰 3(디지털),  9,000원","25:10,  테이큰 3(디지털),  8,000원",,,,,,,269
2015-01-05,02관,"09:15,  인터스텔라(디지털),  9,000원","12:35,  님아, 그 강을 건너지 마오(디지털),  9,000원","14:25,  국제시장(디지털),  9,000원","17:00,  국제시장(디지털),  9,000원","19:35,  국제시장(디지털),  9,000원","22:10,  국제시장(디지털),  9,000원","24:45,  국제시장(디지털),  8,000원",,,,,,,269
2015-01-05,03관,"09:55,  마다가스카의 펭귄(디지털더빙),  7,000원","11:55,  마다가스카의 펭귄(디지털더빙),  9,000원","14:00,  님아, 그 강을 건너지 마오(디지털),  9,000원","15:55,  국제시장(디지털),  9,000원","18:35,  국제시장(디지털),  9,000원","21:10,  국제시장(디지털),  9,000원","23:45,  국제시장(디지털),  8,000원",,,,,,,285
2015-01-05,CINE KIDS,,"11:00,  마다가스카의 펭귄(디지털더빙),  9,000원","13:00,  마다가스카의 펭귄(디지털더빙),  9,000원","15:05,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  9,000원","16:50,  마다가스카의 펭귄(디지털더빙),  9,000원","18:50,  호빗: 다섯 군대 전투(디지털),  9,000원","21:45,  님아, 그 강을 건너지 마오(디지털),  9,000원","23:40,  님아, 그 강을 건너지 마오(디지털),  8,000원",,,,,,93
2015-01-06,01관,"09:35,  인터스텔라(디지털),  9,000원","12:55,  국제시장(디지털),  9,000원","15:30,  테이큰 3(디지털),  9,000원","17:50,  테이큰 3(디지털),  9,000원","20:15,  테이큰 3(디지털),  9,000원","22:45,  테이큰 3(디지털),  9,000원","25:05,  테이큰 3(디지털),  8,000원",,,,,,,269
2015-01-06,02관,"09:15,  테이큰 3(디지털),  6,000원","11:35,  님아, 그 강을 건너지 마오(디지털),  9,000원","13:30,  테이큰 3(디지털),  9,000원","15:50,  국제시장(디지털),  9,000원","18:25,  국제시장(디지털),  9,000원","21:00,  국제시장(디지털),  9,000원","23:35,  국제시장(디지털),  8,000원",,,,,,,269
2015-01-06,03관,"09:55,  국제시장(디지털),  8,000원","12:30,  마다가스카의 펭귄(디지털더빙),  9,000원","14:30,  국제시장(디지털),  9,000원","17:05,  국제시장(디지털),  9,000원","19:40,  국제시장(디지털),  9,000원","22:15,  국제시장(디지털),  9,000원",,,,,,,,285
2015-01-06,CINE KIDS,"09:50,  마다가스카의 펭귄(디지털더빙),  6,000원","11:55,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  9,000원","13:45,  마다가스카의 펭귄(디지털더빙),  9,000원","15:45,  마다가스카의 펭귄(디지털더빙),  9,000원","17:45,  마다가스카의 펭귄(디지털더빙),  9,000원","19:50,  님아, 그 강을 건너지 마오(디지털),  9,000원","21:45,  호빗: 다섯 군대 전투(디지털),  9,000원",,,,,,,93
2015-01-07,01관,"09:15,  테이큰 3(디지털),  6,000원","11:35,  님아, 그 강을 건너지 마오(디지털),  9,000원","13:30,  국제시장(디지털),  9,000원","16:05,  국제시장(디지털),  9,000원","18:45,  국제시장(디지털),  9,000원","21:20,  국제시장(디지털),  9,000원","24:00,  국제시장(디지털),  8,000원",,,,,,,269
2015-01-07,02관,"09:55,  마다가스카의 펭귄(디지털더빙),  7,000원","11:55,  패딩턴(디지털),  9,000원","14:00,  테이큰 3(디지털),  9,000원","16:25,  패딩턴(디지털),  9,000원","18:25,  테이큰 3(디지털),  9,000원","20:45,  테이큰 3(디지털),  9,000원","23:05,  테이큰 3(디지털),  7,000원",,,,,,,269
2015-01-07,03관,"09:35,  국제시장(디지털),  7,000원","12:15,  국제시장(디지털),  9,000원","14:55,  국제시장(디지털),  9,000원","17:30,  국제시장(디지털),  9,000원","20:05,  국제시장(디지털),  9,000원","22:40,  국제시장(디지털),  9,000원",,,,,,,,285
2015-01-07,CINE KIDS,"09:00,  패딩턴(디지털),  7,000원","11:00,  마다가스카의 펭귄(디지털더빙),  9,000원","13:00,  마다가스카의 펭귄(디지털더빙),  9,000원","15:00,  마다가스카의 펭귄(디지털더빙),  9,000원","17:00,  마다가스카의 펭귄(디지털더빙),  9,000원","19:00,  님아, 그 강을 건너지 마오(디지털),  9,000원","20:55,  호빗: 다섯 군대 전투(디지털),  9,000원","23:45,  패딩턴(디지털),  9,000원",,,,,,93
2015-01-08,01관,"09:10,  인터스텔라(디지털),  9,000원","12:35,  호빗: 다섯 군대 전투(디지털),  9,000원","15:35,  테이큰 3(디지털),  9,000원","18:00,  테이큰 3(디지털),  9,000원","20:30,  테이큰 3(디지털),  9,000원","22:55,  테이큰 3(디지털),  9,000원",,,,,,,,269
2015-01-08,02관,"09:55,  마다가스카의 펭귄(디지털더빙),  7,000원","11:55,  패딩턴(디지털),  9,000원","13:55,  국제시장(디지털),  9,000원","16:25,  국제시장(디지털),  9,000원","19:00,  국제시장(디지털),  9,000원","21:35,  국제시장(디지털),  9,000원","24:10,  국제시장(디지털),  6,000원",,,,,,,269
2015-01-08,03관,"09:35,  국제시장(디지털),  9,000원","12:15,  국제시장(디지털),  9,000원","14:50,  국제시장(디지털),  9,000원","17:25,  국제시장(디지털),  9,000원","20:00,  국제시장(디지털),  9,000원","22:40,  국제시장(디지털),  9,000원",,,,,,,,285
2015-01-08,CINE KIDS,"09:40,  패딩턴(디지털),  7,000원","11:40,  마다가스카의 펭귄(디지털더빙),  9,000원","13:40,  마다가스카의 펭귄(디지털더빙),  9,000원","15:40,  마다가스카의 펭귄(디지털더빙),  9,000원","17:40,  마다가스카의 펭귄(디지털더빙),  9,000원","19:40,  패딩턴(디지털),  9,000원","21:45,  님아, 그 강을 건너지 마오(디지털),  9,000원","23:40,  패딩턴(디지털),  8,000원",,,,,,93
2015-01-09,01관,"09:05,  테이큰 3(디지털),  6,000원","11:25,  님아, 그 강을 건너지 마오(디지털),  10,000원","13:20,  국제시장(디지털),  10,000원","16:00,  패딩턴(디지털),  10,000원","18:15,  패딩턴(디지털),  10,000원","20:35,  테이큰 3(디지털),  10,000원","22:55,  테이큰 3(디지털),  10,000원",,,,,,,269
2015-01-09,02관,"09:55,  마다가스카의 펭귄(디지털더빙),  6,000원","11:55,  패딩턴(디지털),  10,000원","14:00,  테이큰 3(디지털),  10,000원","16:20,  국제시장(디지털),  10,000원","18:55,  국제시장(디지털),  10,000원","21:30,  국제시장(디지털),  10,000원","24:05,  국제시장(디지털),  9,000원",,,,,,,269
2015-01-09,03관,"09:35,  국제시장(디지털),  6,000원","12:15,  국제시장(디지털),  10,000원","14:50,  국제시장(디지털),  10,000원","17:25,  국제시장(디지털),  10,000원","20:00,  국제시장(디지털),  10,000원","22:35,  국제시장(디지털),  10,000원",,,,,,,,285
2015-01-09,CINE KIDS,"09:30,  패딩턴(디지털),  6,000원","11:30,  마다가스카의 펭귄(디지털더빙),  10,000원","13:30,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","15:20,  마다가스카의 펭귄(디지털더빙),  10,000원","17:20,  마다가스카의 펭귄(디지털더빙),  10,000원","19:20,  님아, 그 강을 건너지 마오(디지털),  10,000원","21:15,  님아, 그 강을 건너지 마오(디지털),  10,000원",,,,,,,93
2015-01-10,01관,"09:00,  국제시장(디지털),  7,000원","11:40,  마다가스카의 펭귄(디지털더빙),  10,000원","13:45,  국제시장(디지털),  10,000원","16:20,  국제시장(디지털),  10,000원","18:55,  국제시장(디지털),  10,000원","21:30,  국제시장(디지털),  10,000원","24:05,  국제시장(디지털),  9,000원",,,,,,,269
2015-01-10,02관,"09:20,  패딩턴(디지털),  7,000원","11:20,  패딩턴(디지털),  10,000원","13:25,  패딩턴(디지털),  10,000원","15:35,  테이큰 3(디지털),  10,000원","18:05,  테이큰 3(디지털),  10,000원","20:35,  테이큰 3(디지털),  10,000원","23:10,  테이큰 3(디지털),  9,000원",,,,,,,269
2015-01-10,03관,"09:55,  국제시장(디지털),  9,000원","12:30,  국제시장(디지털),  10,000원","15:05,  국제시장(디지털),  10,000원","17:40,  국제시장(디지털),  10,000원","20:15,  국제시장(디지털),  10,000원","22:50,  국제시장(디지털),  10,000원","25:25,  국제시장(디지털),  9,000원",,,,,,,285
2015-01-10,CINE KIDS,"08:30,  마다가스카의 펭귄(디지털더빙),  8,000원","10:30,  마다가스카의 펭귄(디지털더빙),  10,000원","12:30,  마다가스카의 펭귄(디지털더빙),  10,000원","14:30,  마다가스카의 펭귄(디지털더빙),  10,000원","16:30,  마다가스카의 펭귄(디지털더빙),  10,000원","18:30,  패딩턴(디지털),  9,000원","20:30,  님아, 그 강을 건너지 마오(디지털),  10,000원","22:25,  호빗: 다섯 군대 전투(디지털),  10,000원",,,,,,93
2015-01-11,01관,"09:35,  패딩턴(디지털),  7,000원","12:00,  마다가스카의 펭귄(디지털더빙),  10,000원","14:00,  국제시장(디지털),  10,000원","16:35,  국제시장(디지털),  10,000원","19:10,  국제시장(디지털),  10,000원","21:45,  국제시장(디지털),  10,000원","24:20,  국제시장(디지털),  9,000원",,,,,,,269
2015-01-11,02관,"08:55,  국제시장(디지털),  6,000원","11:30,  패딩턴(디지털),  10,000원","13:40,  패딩턴(디지털),  10,000원","15:50,  테이큰 3(디지털),  10,000원","18:20,  테이큰 3(디지털),  10,000원","20:45,  테이큰 3(디지털),  10,000원","23:10,  테이큰 3(디지털),  9,000원",,,,,,,269
2015-01-11,03관,"09:55,  국제시장(디지털),  7,000원","12:30,  국제시장(디지털),  10,000원","15:05,  국제시장(디지털),  10,000원","17:40,  국제시장(디지털),  10,000원","20:15,  국제시장(디지털),  10,000원","22:50,  국제시장(디지털),  10,000원",,,,,,,,285
2015-01-11,CINE KIDS,"09:00,  마다가스카의 펭귄(디지털더빙),  6,000원","11:00,  마다가스카의 펭귄(디지털더빙),  10,000원","13:00,  마다가스카의 펭귄(디지털더빙),  10,000원","15:00,  마다가스카의 펭귄(디지털더빙),  10,000원","17:00,  마다가스카의 펭귄(디지털더빙),  10,000원","19:00,  패딩턴(디지털),  10,000원","21:00,  님아, 그 강을 건너지 마오(디지털),  10,000원","22:55,  님아, 그 강을 건너지 마오(디지털),  10,000원",,,,,,93
2015-01-12,01관,"09:20,  테이큰 3(디지털),  6,000원","11:40,  패딩턴(디지털),  9,000원","13:45,  패딩턴(디지털),  9,000원","15:55,  국제시장(디지털),  9,000원","18:30,  국제시장(디지털),  9,000원","21:10,  국제시장(디지털),  9,000원","23:45,  국제시장(디지털),  8,000원",,,,,,,269
2015-01-12,02관,"09:55,  패딩턴(디지털),  9,000원","12:00,  테이큰 3(디지털),  9,000원","14:25,  인터스텔라(디지털),  9,000원","17:50,  님아, 그 강을 건너지 마오(디지털),  9,000원","19:50,  테이큰 3(디지털),  9,000원","22:10,  테이큰 3(디지털),  9,000원","24:30,  테이큰 3(디지털),  8,000원",,,,,,,269
2015-01-12,03관,"09:40,  국제시장(디지털),  6,000원","12:20,  국제시장(디지털),  9,000원","14:55,  국제시장(디지털),  9,000원","17:30,  국제시장(디지털),  9,000원","20:10,  국제시장(디지털),  9,000원","22:45,  국제시장(디지털),  9,000원",,,,,,,,285
2015-01-12,CINE KIDS,"09:45,  마다가스카의 펭귄(디지털더빙),  8,000원","11:50,  마다가스카의 펭귄(디지털더빙),  9,000원","13:50,  마다가스카의 펭귄(디지털더빙),  9,000원","15:50,  마다가스카의 펭귄(디지털더빙),  9,000원","17:50,  마다가스카의 펭귄(디지털더빙),  9,000원","19:50,  패딩턴(디지털),  9,000원","21:55,  님아, 그 강을 건너지 마오(디지털),  9,000원","23:50,  님아, 그 강을 건너지 마오(디지털)",,,,,,93
2015-01-13,01관,"09:00,  테이큰 3(디지털),  6,000원","11:20,  마다가스카의 펭귄(디지털더빙),  9,000원","13:20,  국제시장(디지털),  9,000원","15:55,  국제시장(디지털),  9,000원","18:35,  국제시장(디지털),  9,000원","21:10,  국제시장(디지털),  9,000원","23:45,  국제시장(디지털),  8,000원",,,,,,,269
2015-01-13,02관,"09:55,  마다가스카의 펭귄(디지털더빙),  8,000원","11:55,  패딩턴(디지털),  9,000원","14:05,  패딩턴(디지털),  9,000원","16:15,  인터스텔라(디지털),  9,000원","19:35,  테이큰 3(디지털),  9,000원","21:55,  테이큰 3(디지털),  9,000원","24:15,  테이큰 3(디지털),  8,000원",,,,,,,269
2015-01-13,03관,"09:35,  국제시장(디지털),  7,000원","12:15,  국제시장(디지털),  9,000원","14:45,  국제시장(디지털),  9,000원","17:25,  국제시장(디지털),  9,000원","20:00,  국제시장(디지털),  9,000원","22:35,  국제시장(디지털),  9,000원",,,,,,,,285
