상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2015-01-01,01관,"08:30,  테이큰 3(디지털),  5,000원","10:40,  테이큰 3(디지털),  7,000원","12:50,  테이큰 3(디지털),  8,000원","15:00,  테이큰 3(디지털),  9,000원","17:10,  테이큰 3(디지털),  10,000원","19:20,  테이큰 3(디지털),  10,000원","21:30,  테이큰 3(디지털),  10,000원","23:40,  테이큰 3(디지털),  10,000원",,135
2015-01-01,02관,"09:10,  마다가스카의 펭귄(디지털더빙),  5,000원","11:00,  기술자들(디지털),  8,000원","13:20,  마다가스카의 펭귄(디지털더빙),  7,000원","15:15,  기술자들(디지털),  9,000원","17:35,  마다가스카의 펭귄(디지털더빙),  10,000원","19:30,  기술자들(디지털),  10,000원","21:45,  기술자들(디지털),  10,000원","24:00,  기술자들(디지털),  10,000원",,137
2015-01-01,03관,"08:50,  국제시장(디지털),  5,000원","11:10,  국제시장(디지털),  8,000원","13:35,  국제시장(디지털),  8,000원","16:00,  국제시장(디지털),  10,000원","18:25,  국제시장(디지털),  10,000원","20:50,  국제시장(디지털),  10,000원","23:15,  국제시장(디지털),  10,000원",,,146
2015-01-01,04관,"09:20,  님아, 그 강을 건너지 마오(디지털),  9,000원","11:05,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  8,000원","12:40,  님아, 그 강을 건너지 마오(디지털),  9,000원","14:30,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  9,000원","16:10,  호빗: 다섯 군대 전투(디지털),  10,000원","18:50,  님아, 그 강을 건너지 마오(디지털),  10,000원","20:40,  님아, 그 강을 건너지 마오(디지털),  10,000원","22:30,  호빗: 다섯 군대 전투(디지털),  10,000원",,136
2015-01-02,01관,"08:30,  테이큰 3(디지털),  5,000원","10:40,  테이큰 3(디지털),  8,000원","12:50,  테이큰 3(디지털),  8,000원","15:00,  테이큰 3(디지털),  9,000원","17:10,  테이큰 3(디지털),  10,000원","19:20,  테이큰 3(디지털),  10,000원","21:30,  테이큰 3(디지털),  10,000원","23:40,  테이큰 3(디지털),  10,000원",,135
2015-01-02,02관,"09:10,  마다가스카의 펭귄(디지털더빙),  5,000원","11:00,  기술자들(디지털),  8,000원","13:20,  마다가스카의 펭귄(디지털더빙),  8,000원","15:15,  기술자들(디지털),  9,000원","17:35,  마다가스카의 펭귄(디지털더빙),  10,000원","19:30,  기술자들(디지털),  10,000원","21:45,  기술자들(디지털),  10,000원","24:00,  기술자들(디지털),  10,000원",,137
2015-01-02,03관,"08:50,  국제시장(디지털),  5,000원","11:10,  국제시장(디지털),  8,000원","13:35,  국제시장(디지털),  8,000원","16:00,  국제시장(디지털),  10,000원","18:25,  국제시장(디지털),  10,000원","20:50,  국제시장(디지털),  10,000원","23:15,  국제시장(디지털),  10,000원",,,146
2015-01-02,04관,"09:20,  님아, 그 강을 건너지 마오(디지털),  5,000원","11:05,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  8,000원","12:40,  님아, 그 강을 건너지 마오(디지털),  8,000원","14:30,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  8,000원","16:10,  호빗: 다섯 군대 전투(디지털),  10,000원","18:50,  님아, 그 강을 건너지 마오(디지털),  10,000원","20:40,  님아, 그 강을 건너지 마오(디지털),  10,000원","22:30,  호빗: 다섯 군대 전투(디지털),  10,000원",,136
2015-01-03,01관,"08:30,  테이큰 3(디지털),  7,000원","10:40,  테이큰 3(디지털),  9,000원","12:50,  테이큰 3(디지털),  9,000원","15:00,  테이큰 3(디지털),  8,500원","17:10,  테이큰 3(디지털),  10,000원","19:20,  테이큰 3(디지털),  10,000원","21:30,  테이큰 3(디지털),  10,000원","23:40,  테이큰 3(디지털),  10,000원",,135
2015-01-03,02관,"09:10,  마다가스카의 펭귄(디지털더빙),  9,000원","11:00,  기술자들(디지털),  9,000원","13:20,  마다가스카의 펭귄(디지털더빙),  8,000원","15:15,  기술자들(디지털),  8,000원","17:35,  마다가스카의 펭귄(디지털더빙),  10,000원","19:30,  기술자들(디지털),  10,000원","21:45,  기술자들(디지털),  10,000원","24:00,  기술자들(디지털),  10,000원",,137
