상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2019-08-14,01관,"14:15,  완벽한 타인(디지털)",,"19:20,  분노의 질주: 홉스&쇼(디지털),  11,000원","22:00,  분노의 질주: 홉스&쇼(디지털),  11,000원",,,,,177
2019-08-14,02관,"14:20,  언더독(디지털)","16:25,  증인(디지털)","19:00,  안녕, 티라노: 영원히, 함께(디지털),  10,000원","21:05,  분노의 질주: 홉스&쇼(디지털),  10,000원",,,,,42
2019-08-14,03관,"14:20,  롱 리브 더 킹: 목포 영웅(디지털)","16:55,  업사이드(디지털)","19:30,  봉오동 전투(디지털),  10,000원","22:15,  봉오동 전투(디지털),  9,000원",,,,,54
2019-08-14,04관,"14:00,  안시성(디지털)",,"19:10,  엑시트(디지털),  11,000원","21:20,  엑시트(디지털),  11,000원",,,,,106
2019-08-15,01관,"09:00,  봉오동 전투(디지털),  10,000원","11:40,  봉오동 전투(디지털),  12,000원","14:20,  봉오동 전투(디지털),  12,000원","17:00,  봉오동 전투(디지털),  12,000원","19:40,  봉오동 전투(디지털),  12,000원","22:20,  봉오동 전투(디지털),  12,000원",,,177
2019-08-15,02관,"09:10,  분노의 질주: 홉스&쇼(디지털),  8,000원","11:50,  분노의 질주: 홉스&쇼(디지털),  11,000원","14:30,  분노의 질주: 홉스&쇼(디지털),  11,000원","17:10,  분노의 질주: 홉스&쇼(디지털),  11,000원","19:50,  분노의 질주: 홉스&쇼(디지털),  11,000원","22:30,  분노의 질주: 홉스&쇼(디지털),  11,000원",,,42
2019-08-15,03관,"10:20,  엑시트(디지털),  11,000원","12:30,  엑시트(디지털),  11,000원","14:40,  엑시트(디지털),  11,000원","16:50,  엑시트(디지털),  11,000원","19:00,  엑시트(디지털),  11,000원","21:10,  엑시트(디지털),  11,000원",,,54
2019-08-15,04관,"09:30,  안녕, 티라노: 영원히, 함께(디지털),  8,000원","11:35,  안녕, 티라노: 영원히, 함께(디지털),  12,000원","13:50,  안녕, 티라노: 영원히, 함께(디지털),  11,000원","16:00,  분노의 질주: 홉스&쇼(디지털),  12,000원","18:40,  분노의 질주: 홉스&쇼(디지털),  12,000원","21:20,  분노의 질주: 홉스&쇼(디지털),  12,000원",,,106
2019-08-16,01관,"09:00,  봉오동 전투(디지털),  8,000원","11:40,  봉오동 전투(디지털),  12,000원","14:20,  봉오동 전투(디지털),  12,000원","17:00,  봉오동 전투(디지털),  12,000원","19:40,  봉오동 전투(디지털),  12,000원","22:20,  봉오동 전투(디지털),  12,000원",,,177
2019-08-16,02관,"09:30,  분노의 질주: 홉스&쇼(디지털),  8,000원","12:10,  분노의 질주: 홉스&쇼(디지털),  11,000원","14:50,  분노의 질주: 홉스&쇼(디지털),  11,000원","17:30,  분노의 질주: 홉스&쇼(디지털),  11,000원","20:10,  분노의 질주: 홉스&쇼(디지털),  11,000원","22:50,  분노의 질주: 홉스&쇼(디지털),  11,000원",,,42
2019-08-16,03관,"09:45,  엑시트(디지털),  8,000원","11:55,  엑시트(디지털),  11,000원","14:05,  엑시트(디지털),  11,000원","16:15,  엑시트(디지털),  11,000원","18:30,  분노의 질주: 홉스&쇼(디지털),  11,000원","21:15,  분노의 질주: 홉스&쇼(디지털),  11,000원",,,54
