상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2017-04-28,01관,"16:20,  라라랜드(디지털),  0원","19:20,  임금님의 사건수첩(디지털),  11,000원",,,,,,,,169
2017-04-28,02관,"17:00,  극장판 어드벤처 타임: 비밀의 아일랜드(디지털더빙),  0원","19:50,  특별시민(디지털),  11,000원",,,,,,,,205
2017-04-28,03관,"16:00,  라이언(디지털),  0원","19:00,  특별시민(디지털),  11,000원",,,,,,,,148
2017-04-28,04관,"16:00,  너의 이름은.(디지털),  0원","18:40,  분노의 질주: 더 익스트림(디지털),  11,000원",,,,,,,,148
2017-04-29,01관,"12:00,  특별시민(디지털),  6,500원","16:00,  특별시민(디지털),  11,000원","20:00,  특별시민(디지털),  11,000원",,,,,,,169
2017-04-29,02관,"11:00,  임금님의 사건수첩(디지털),  6,500원","15:00,  임금님의 사건수첩(디지털),  11,000원","19:00,  임금님의 사건수첩(디지털),  11,000원",,,,,,,205
2017-04-29,03관,"09:00,  극장판 또봇: 로봇군단의 습격(디지털),  6,000원","13:00,  스머프: 비밀의 숲(디지털더빙),  11,000원","17:00,  특별시민(디지털),  11,000원",,,,,,,148
2017-04-29,04관,"10:00,  분노의 질주: 더 익스트림(디지털),  6,000원","14:00,  분노의 질주: 더 익스트림(디지털),  11,000원","18:00,  분노의 질주: 더 익스트림(디지털),  11,000원",,,,,,,148
2017-04-30,01관,"09:30,  특별시민(디지털),  6,000원","12:10,  특별시민(디지털),  11,000원","14:50,  특별시민(디지털),  11,000원","17:30,  특별시민(디지털),  11,000원","20:10,  특별시민(디지털),  11,000원","22:50,  특별시민(디지털),  11,000원",,,,169
2017-04-30,02관,"10:00,  임금님의 사건수첩(디지털),  6,000원","12:20,  임금님의 사건수첩(디지털),  11,000원","14:40,  임금님의 사건수첩(디지털),  11,000원","17:00,  임금님의 사건수첩(디지털),  11,000원","19:20,  임금님의 사건수첩(디지털),  11,000원","21:40,  임금님의 사건수첩(디지털),  11,000원",,,,205
2017-04-30,03관,"09:20,  극장판 또봇: 로봇군단의 습격(디지털),  6,500원","11:10,  극장판 또봇: 로봇군단의 습격(디지털),  11,000원","13:00,  스머프: 비밀의 숲(디지털더빙),  11,000원","15:00,  극장판 또봇: 로봇군단의 습격(디지털),  11,000원","16:50,  스머프: 비밀의 숲(디지털더빙),  11,000원","18:50,  특별시민(디지털),  11,000원","21:30,  특별시민(디지털),  11,000원",,,148
2017-04-30,04관,"10:30,  분노의 질주: 더 익스트림(디지털),  6,000원","13:20,  분노의 질주: 더 익스트림(디지털),  11,000원","16:10,  분노의 질주: 더 익스트림(디지털),  11,000원","19:00,  분노의 질주: 더 익스트림(디지털),  11,000원","21:50,  분노의 질주: 더 익스트림(디지털),  11,000원",,,,,148
2017-05-01,01관,"09:30,  특별시민(디지털),  6,500원","12:10,  특별시민(디지털),  10,000원","14:50,  특별시민(디지털),  10,000원","17:30,  특별시민(디지털),  10,000원","20:10,  특별시민(디지털),  10,000원","22:50,  특별시민(디지털),  10,000원",,,,169
2017-05-01,02관,"10:00,  임금님의 사건수첩(디지털),  6,000원","12:20,  임금님의 사건수첩(디지털),  10,000원","14:40,  임금님의 사건수첩(디지털),  10,000원","17:00,  임금님의 사건수첩(디지털),  10,000원","19:20,  임금님의 사건수첩(디지털),  10,000원","21:40,  임금님의 사건수첩(디지털),  10,000원",,,,205
2017-05-01,03관,"09:20,  극장판 또봇: 로봇군단의 습격(디지털),  6,000원","11:10,  극장판 또봇: 로봇군단의 습격(디지털),  10,000원","13:00,  스머프: 비밀의 숲(디지털더빙),  9,000원","15:00,  극장판 또봇: 로봇군단의 습격(디지털),  10,000원","16:50,  스머프: 비밀의 숲(디지털더빙),  10,000원","18:50,  특별시민(디지털),  10,000원","21:30,  특별시민(디지털),  10,000원",,,148
2017-05-01,04관,"10:30,  분노의 질주: 더 익스트림(디지털),  6,500원","13:20,  분노의 질주: 더 익스트림(디지털),  10,000원","16:10,  분노의 질주: 더 익스트림(디지털),  10,000원","19:00,  분노의 질주: 더 익스트림(디지털),  10,000원","21:50,  분노의 질주: 더 익스트림(디지털),  10,000원",,,,,148
2017-05-02,01관,"09:30,  특별시민(디지털),  6,000원","12:10,  특별시민(디지털),  8,000원","14:50,  특별시민(디지털),  9,000원","17:30,  특별시민(디지털),  9,000원","20:10,  특별시민(디지털),  10,000원","22:50,  특별시민(디지털),  9,000원",,,,169
