상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2018-04-23,01관,,,"15:50,  사라진 밤(디지털)","17:45,  사라진 밤(디지털)","19:40,  사라진 밤(디지털)","21:35,  사라진 밤(디지털)",,,,132
2018-04-24,01관,"12:00,  사라진 밤(디지털)","14:10,  사라진 밤(디지털)","16:20,  사라진 밤(디지털)",,,,,,,132
2018-04-24,02관,"12:30,  나미야 잡화점의 기적(디지털)","15:10,  사라진 밤(디지털)","17:30,  리틀 포레스트(디지털)",,,,,,,164
2018-04-24,04관,"14:00,  나미야 잡화점의 기적(디지털)","17:00,  당갈(디지털)",,,,,,,,172
2018-04-24,05관,"13:00,  조선명탐정: 흡혈괴마의 비밀(디지털)","15:30,  조선명탐정: 흡혈괴마의 비밀(디지털)","18:00,  지금 만나러 갑니다(디지털)",,,,,,,156
2018-04-25,01관,"09:30,  살인소설(디지털),  7,000원","11:40,  당갈(디지털)","14:50,  살인소설(디지털),  10,000원","17:00,  당갈(디지털),  5,000원","21:00,  어벤져스: 인피니티 워(디지털),  7,000원","23:55,  어벤져스: 인피니티 워(디지털),  10,000원",,,,132
2018-04-25,02관,"08:05,  어벤져스: 인피니티 워(디지털),  7,000원","11:00,  어벤져스: 인피니티 워(디지털),  9,000원","13:55,  어벤져스: 인피니티 워(디지털),  10,000원","16:50,  어벤져스: 인피니티 워(디지털),  11,000원","19:45,  어벤져스: 인피니티 워(디지털),  7,000원","22:40,  어벤져스: 인피니티 워(디지털),  10,000원",,,,164
2018-04-25,03관,"10:25,  어벤져스: 인피니티 워(디지털),  8,000원","13:20,  어벤져스: 인피니티 워(디지털),  9,000원","16:15,  어벤져스: 인피니티 워(디지털),  10,000원","19:10,  어벤져스: 인피니티 워(디지털),  10,000원","22:05,  어벤져스: 인피니티 워(디지털),  9,000원","25:10,  어벤져스: 인피니티 워(디지털),  8,000원",,,,96
2018-04-25,04관,"09:50,  어벤져스: 인피니티 워(디지털),  10,000원","12:45,  어벤져스: 인피니티 워(디지털),  9,000원","15:40,  어벤져스: 인피니티 워(디지털),  10,000원","18:35,  어벤져스: 인피니티 워(디지털),  7,000원","21:30,  어벤져스: 인피니티 워(디지털),  11,000원","24:25,  어벤져스: 인피니티 워(디지털),  9,000원",,,,172
2018-04-25,05관,"08:50,  어벤져스: 인피니티 워(3D 디지털),  9,000원","11:45,  어벤져스: 인피니티 워(3D 디지털),  11,000원","14:40,  어벤져스: 인피니티 워(3D 디지털),  12,000원","17:35,  어벤져스: 인피니티 워(3D 디지털),  13,000원","20:30,  어벤져스: 인피니티 워(3D 디지털),  13,000원","23:30,  어벤져스: 인피니티 워(3D 디지털),  12,000원",,,,156
2018-04-26,01관,"09:00,  살인소설(디지털)","11:10,  당갈(디지털)","14:20,  어벤져스: 인피니티 워(디지털),  10,000원","17:15,  어벤져스: 인피니티 워(디지털),  11,000원","20:10,  어벤져스: 인피니티 워(디지털),  11,000원","23:05,  어벤져스: 인피니티 워(디지털),  10,000원",,,,132
2018-04-26,02관,"08:10,  어벤져스: 인피니티 워(디지털),  7,000원","11:05,  어벤져스: 인피니티 워(디지털),  9,000원","14:00,  어벤져스: 인피니티 워(디지털),  10,000원","16:55,  어벤져스: 인피니티 워(디지털),  11,000원","19:50,  어벤져스: 인피니티 워(디지털),  11,000원","22:45,  어벤져스: 인피니티 워(디지털),  10,000원","25:40,  어벤져스: 인피니티 워(디지털),  9,000원",,,164
2018-04-26,03관,"10:20,  어벤져스: 인피니티 워(디지털),  8,000원","13:15,  어벤져스: 인피니티 워(디지털),  9,000원","16:10,  어벤져스: 인피니티 워(디지털),  10,000원","19:05,  어벤져스: 인피니티 워(디지털),  10,000원","22:00,  어벤져스: 인피니티 워(디지털),  10,000원","25:05,  어벤져스: 인피니티 워(디지털),  8,000원",,,,96
2018-04-26,04관,"09:35,  어벤져스: 인피니티 워(디지털),  9,000원","12:30,  어벤져스: 인피니티 워(디지털),  9,000원","15:25,  어벤져스: 인피니티 워(디지털),  10,000원","18:20,  어벤져스: 인피니티 워(디지털),  11,000원","21:15,  어벤져스: 인피니티 워(디지털),  11,000원","24:10,  어벤져스: 인피니티 워(디지털),  9,000원",,,,172
2018-04-26,05관,"08:50,  어벤져스: 인피니티 워(3D 디지털),  9,000원","11:45,  어벤져스: 인피니티 워(3D 디지털),  11,000원","14:40,  어벤져스: 인피니티 워(3D 디지털),  12,000원","17:35,  어벤져스: 인피니티 워(3D 디지털),  13,000원","20:30,  어벤져스: 인피니티 워(3D 디지털),  13,000원","23:30,  어벤져스: 인피니티 워(3D 디지털),  12,000원",,,,156
2018-04-27,01관,"08:00,  당갈(디지털),  6,000원","11:05,  어벤져스: 인피니티 워(디지털),  12,000원","14:10,  어벤져스: 인피니티 워(디지털),  12,000원","17:05,  어벤져스: 인피니티 워(디지털),  12,000원","20:00,  어벤져스: 인피니티 워(디지털),  12,000원","22:55,  어벤져스: 인피니티 워(디지털),  12,000원","25:50,  어벤져스: 인피니티 워(디지털),  11,000원",,,132
