상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,좌석수
2015-01-01,살롱 S관(Cine de Chef),"11:00,  국제시장(디지털),  5,000원","13:40,  국제시장(디지털),  9,000원","16:20,  국제시장(디지털),  9,000원","19:10,  국제시장(디지털),  9,000원","22:00,  국제시장(디지털),  9,000원",,,60
2015-01-01,TEMPUR CINEMA,"10:40,  기술자들(디지털),  5,000원","13:10,  테이큰 3(디지털),  9,000원","15:40,  테이큰 3(디지털),  9,000원","18:20,  테이큰 3(디지털),  9,000원","21:10,  테이큰 3(디지털),  9,000원",,,30
2015-01-02,살롱 S관(Cine de Chef),"11:00,  국제시장(디지털),  5,000원","13:40,  국제시장(디지털),  8,000원","16:20,  국제시장(디지털),  8,000원","19:10,  국제시장(디지털),  8,000원","22:00,  국제시장(디지털),  8,000원",,,60
2015-01-02,TEMPUR CINEMA,"10:40,  기술자들(디지털),  5,000원","13:10,  테이큰 3(디지털),  8,000원","15:40,  테이큰 3(디지털),  8,000원","18:20,  테이큰 3(디지털),  8,000원","21:10,  테이큰 3(디지털),  8,000원",,,30
2015-01-03,살롱 S관(Cine de Chef),"11:00,  국제시장(디지털),  5,000원","13:40,  국제시장(디지털),  9,000원","16:20,  국제시장(디지털),  9,000원","19:10,  국제시장(디지털),  9,000원","22:00,  국제시장(디지털),  9,000원",,,60
2015-01-03,TEMPUR CINEMA,"10:40,  테이큰 3(디지털),  5,000원","13:10,  테이큰 3(디지털),  9,000원","15:40,  테이큰 3(디지털),  9,000원","18:20,  테이큰 3(디지털),  9,000원","21:10,  테이큰 3(디지털),  9,000원",,,30
2015-01-04,살롱 S관(Cine de Chef),"11:00,  국제시장(디지털),  5,000원","13:40,  국제시장(디지털),  9,000원","16:20,  국제시장(디지털),  9,000원","19:10,  국제시장(디지털),  9,000원","22:00,  국제시장(디지털),  9,000원",,,60
2015-01-04,TEMPUR CINEMA,"10:40,  테이큰 3(디지털),  5,000원","13:10,  테이큰 3(디지털),  9,000원","15:40,  테이큰 3(디지털),  9,000원","18:20,  테이큰 3(디지털),  9,000원","21:10,  테이큰 3(디지털),  9,000원",,,30
2015-01-05,살롱 S관(Cine de Chef),"11:00,  님아, 그 강을 건너지 마오(디지털),  5,000원","13:30,  님아, 그 강을 건너지 마오(디지털),  8,000원","16:20,  국제시장(디지털),  8,000원","19:30,  님아, 그 강을 건너지 마오(디지털),  8,000원","22:00,  국제시장(디지털),  8,000원",,,60
2015-01-05,TEMPUR CINEMA,"10:40,  테이큰 3(디지털),  5,000원","13:10,  국제시장(디지털),  8,000원","15:50,  테이큰 3(디지털),  8,000원","18:20,  국제시장(디지털),  8,000원","21:10,  테이큰 3(디지털),  8,000원",,,30
2015-01-06,살롱 S관(Cine de Chef),"11:00,  국제시장(디지털),  5,000원","13:40,  국제시장(디지털),  8,000원","16:20,  국제시장(디지털),  8,000원","19:10,  국제시장(디지털),  8,000원","22:00,  국제시장(디지털),  8,000원",,,60
2015-01-06,TEMPUR CINEMA,"10:40,  테이큰 3(디지털),  5,000원","13:10,  테이큰 3(디지털),  8,000원","15:40,  테이큰 3(디지털),  8,000원","18:20,  테이큰 3(디지털),  8,000원",,,,30
2015-01-07,살롱 S관(Cine de Chef),"11:00,  국제시장(디지털),  5,000원","13:40,  국제시장(디지털),  8,000원","16:20,  국제시장(디지털),  8,000원","19:10,  국제시장(디지털),  8,000원","22:00,  국제시장(디지털),  8,000원",,,60
2015-01-07,TEMPUR CINEMA,,"13:10,  테이큰 3(디지털),  8,000원","15:40,  테이큰 3(디지털),  8,000원","18:20,  테이큰 3(디지털),  8,000원","21:10,  언브로큰(디지털),  8,000원",,,30
