상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,13회,14회,15회,16회,좌석수
2015-01-01,TEMPUR CINEMA,"10:00,  상의원(디지털),  8,000원","13:00,  테이큰 3(디지털),  8,000원","15:30,  상의원(디지털),  8,000원","18:20,  국제시장(디지털),  8,000원","21:40,  테이큰 3(디지털),  8,000원",,,,,,,,,,,,30
2015-01-01,Cine de Chef B관,"10:20,  국제시장(디지털),  8,000원","13:20,  국제시장(디지털),  8,000원","16:00,  국제시장(디지털),  8,000원","19:20,  국제시장(디지털 영문자막),  8,000원","22:00,  국제시장(디지털),  8,000원",,,,,,,,,,,,48
2015-01-02,TEMPUR CINEMA,"10:00,  상의원(디지털),  8,000원","13:00,  상의원(디지털),  8,000원","15:30,  국제시장(디지털),  8,000원","18:20,  테이큰 3(디지털),  8,000원","21:40,  테이큰 3(디지털),  8,000원",,,,,,,,,,,,30
2015-01-02,Cine de Chef B관,"10:20,  국제시장(디지털),  8,000원","12:50,  국제시장(디지털),  8,000원","15:40,  국제시장(디지털),  8,000원","19:20,  국제시장(디지털 영문자막),  8,000원","22:00,  국제시장(디지털),  8,000원",,,,,,,,,,,,48
2015-01-03,TEMPUR CINEMA,"10:00,  상의원(디지털),  8,000원","13:00,  테이큰 3(디지털),  8,000원","15:30,  상의원(디지털),  8,000원","18:20,  국제시장(디지털),  8,000원","21:40,  테이큰 3(디지털),  8,000원",,,,,,,,,,,,30
2015-01-03,Cine de Chef B관,"10:20,  국제시장(디지털),  8,000원","13:20,  국제시장(디지털),  8,000원","16:00,  국제시장(디지털),  8,000원","19:20,  국제시장(디지털 영문자막),  8,000원","22:00,  국제시장(디지털),  8,000원",,,,,,,,,,,,48
2015-01-04,TEMPUR CINEMA,"10:00,  상의원(디지털),  8,000원","13:00,  테이큰 3(디지털),  8,000원","15:30,  상의원(디지털),  8,000원","18:20,  국제시장(디지털),  8,000원","21:40,  테이큰 3(디지털),  8,000원",,,,,,,,,,,,30
2015-01-04,Cine de Chef B관,"10:20,  국제시장(디지털),  8,000원","13:20,  국제시장(디지털),  8,000원","16:00,  국제시장(디지털),  8,000원","19:20,  국제시장(디지털 영문자막),  8,000원","22:00,  국제시장(디지털),  8,000원",,,,,,,,,,,,48
2015-01-05,TEMPUR CINEMA,"10:00,  상의원(디지털),  8,000원","13:20,  상의원(디지털),  8,000원","16:00,  상의원(디지털),  8,000원","19:00,  국제시장(디지털),  8,000원","22:20,  테이큰 3(디지털),  8,000원",,,,,,,,,,,,30
2015-01-05,Cine de Chef B관,"10:20,  국제시장(디지털),  8,000원","13:00,  국제시장(디지털),  8,000원","15:40,  국제시장(디지털),  8,000원","18:20,  국제시장(디지털 영문자막),  8,000원","21:30,  국제시장(디지털),  8,000원",,,,,,,,,,,,48
2015-01-06,TEMPUR CINEMA,"10:00,  상의원(디지털),  8,000원","13:00,  상의원(디지털),  8,000원","15:30,  상의원(디지털),  8,000원","18:20,  테이큰 3(디지털),  8,000원","21:40,  테이큰 3(디지털),  8,000원",,,,,,,,,,,,30
2015-01-06,Cine de Chef B관,"10:20,  국제시장(디지털),  8,000원","13:20,  국제시장(디지털),  8,000원","16:00,  국제시장(디지털),  8,000원","19:20,  국제시장(디지털 영문자막),  8,000원","22:00,  국제시장(디지털),  8,000원",,,,,,,,,,,,48
