상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,13회,14회,15회,16회,좌석수
2017-07-05,01관(Cine de Chef),"10:30,  스파이더맨: 홈 커밍(디지털),  9,000원","13:30,  스파이더맨: 홈 커밍(디지털)","17:00,  스파이더맨: 홈 커밍(디지털),  9,000원","20:00,  스파이더맨: 홈 커밍(디지털)","23:00,  스파이더맨: 홈 커밍(디지털)",,,,,,,,,,,,64
2017-07-05,02관(Cine de Chef-TEMPUR Cinema),"10:00,  헤드윅(디지털)","12:50,  박열(디지털)","16:00,  스파이더맨: 홈 커밍(디지털),  9,000원","19:10,  스파이더맨: 홈 커밍(디지털),  9,000원","22:20,  스파이더맨: 홈 커밍(디지털),  9,000원",,,,,,,,,,,,50
2017-07-06,01관(Cine de Chef),"11:00,  헤드윅(디지털)","13:30,  스파이더맨: 홈 커밍(디지털)","17:00,  스파이더맨: 홈 커밍(디지털),  9,000원","20:00,  스파이더맨: 홈 커밍(디지털),  9,000원","23:00,  스파이더맨: 홈 커밍(디지털)",,,,,,,,,,,,64
2017-07-06,02관(Cine de Chef-TEMPUR Cinema),"10:00,  스파이더맨: 홈 커밍(디지털),  9,000원","12:50,  박열(디지털)","16:00,  스파이더맨: 홈 커밍(디지털),  9,000원","19:10,  스파이더맨: 홈 커밍(디지털),  9,000원","22:20,  스파이더맨: 홈 커밍(디지털),  9,000원",,,,,,,,,,,,50
2017-07-07,01관(Cine de Chef),"10:30,  스파이더맨: 홈 커밍(디지털)","13:30,  스파이더맨: 홈 커밍(디지털)","17:10,  스파이더맨: 홈 커밍(디지털)","20:10,  스파이더맨: 홈 커밍(디지털)","23:10,  스파이더맨: 홈 커밍(디지털)",,,,,,,,,,,,64
2017-07-07,02관(Cine de Chef-TEMPUR Cinema),"10:10,  헤드윅(디지털)","13:00,  박열(디지털)","16:00,  스파이더맨: 홈 커밍(디지털),  10,000원","19:20,  스파이더맨: 홈 커밍(디지털),  10,000원","22:20,  스파이더맨: 홈 커밍(디지털),  10,000원",,,,,,,,,,,,50
2017-07-08,01관(Cine de Chef),"10:00,  박열(디지털)","13:00,  스파이더맨: 홈 커밍(디지털)","16:00,  스파이더맨: 홈 커밍(디지털),  10,000원","19:00,  스파이더맨: 홈 커밍(디지털),  10,000원","22:00,  스파이더맨: 홈 커밍(디지털),  10,000원",,,,,,,,,,,,64
2017-07-08,02관(Cine de Chef-TEMPUR Cinema),"10:30,  스파이더맨: 홈 커밍(디지털),  10,000원","13:40,  박열(디지털),  10,000원","17:00,  스파이더맨: 홈 커밍(디지털),  10,000원","20:10,  스파이더맨: 홈 커밍(디지털),  10,000원","23:20,  스파이더맨: 홈 커밍(디지털),  10,000원",,,,,,,,,,,,50
2017-07-09,01관(Cine de Chef),"10:00,  스파이더맨: 홈 커밍(디지털)","13:00,  스파이더맨: 홈 커밍(디지털),  10,000원","16:00,  스파이더맨: 홈 커밍(디지털),  10,000원","19:00,  스파이더맨: 홈 커밍(디지털),  10,000원","22:00,  스파이더맨: 홈 커밍(디지털),  10,000원",,,,,,,,,,,,64
2017-07-09,02관(Cine de Chef-TEMPUR Cinema),"10:20,  박열(디지털),  10,000원","13:30,  박열(디지털),  10,000원","16:50,  스파이더맨: 홈 커밍(디지털),  10,000원","20:00,  스파이더맨: 홈 커밍(디지털),  10,000원","23:00,  스파이더맨: 홈 커밍(디지털)",,,,,,,,,,,,50
