상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2015-01-01,01관,"13:00,  갓 헬프 더 걸(디지털),  8,000원","15:10,  한여름의 판타지아(디지털),  8,000원","17:50,  위플래쉬(디지털),  8,000원","19:50,  그녀(디지털),  8,000원",,,,,77
2015-01-02,01관,"11:20,  프란시스 하(디지털),  8,000원","13:00,  갈증(디지털),  8,000원","15:10,  보이후드(디지털),  8,000원","18:10,  프랭크(디지털),  8,000원","20:00,  해무(海霧)(디지털),  8,000원",,,,77
2015-01-03,01관,"11:20,  탐엣더팜(디지털),  8,000원","13:20,  마미(디지털),  8,000원","15:50,  위플래쉬(디지털),  8,000원","17:50,  키리시마가 동아리활동 그만둔대(디지털),  8,000원","19:50,  지옥이 뭐가 나빠(디지털),  8,000원",,,,77
2015-01-04,01관,"10:40,  보이후드(디지털),  6,000원","13:40,  내일을 위한 시간(디지털),  9,000원","15:30,  마미(디지털),  9,000원","18:00,  내일을 위한 시간(디지털),  9,000원","19:50,  마미(디지털),  9,000원",,,,77
2015-01-05,01관,"11:10,  내일을 위한 시간(디지털),  5,000원","13:00,  보이후드(디지털),  6,400원","16:00,  내일을 위한 시간(디지털),  8,000원","17:50,  마미(디지털),  8,000원","20:20,  내일을 위한 시간(디지털),  8,000원",,,,77
2015-01-06,01관,"11:20,  마미(디지털),  5,000원","13:50,  내일을 위한 시간(디지털),  8,000원","15:40,  마미(디지털),  8,000원","18:10,  내일을 위한 시간(디지털),  8,000원","20:00,  1월 단편 상상극장 – 맛있게 먹겠습니다(디지털),  7,000원",,,,77
2015-01-07,01관,"13:00,  내일을 위한 시간(디지털),  8,000원","15:00,  보이후드(디지털),  8,000원","18:00,  내일을 위한 시간(디지털),  8,000원","19:50,  마미(디지털),  8,000원",,,,,77
2015-01-08,01관,"11:20,  아메리칸 셰프(디지털),  5,000원","13:30,  내일을 위한 시간(디지털),  8,000원","15:20,  아메리칸 셰프(디지털),  8,000원","17:30,  마미(디지털),  8,000원","20:00,  아메리칸 셰프(디지털),  8,000원",,,,77
2015-01-09,01관,"10:30,  마미(디지털),  5,000원","13:00,  보이후드(디지털),  8,000원","16:00,  아메리칸 셰프(디지털),  8,000원","18:10,  내일을 위한 시간(디지털),  8,000원","20:00,  아메리칸 셰프(디지털),  8,000원",,,,77
2015-01-10,01관,"10:40,  보이후드(디지털),  6,000원","13:40,  아메리칸 셰프(디지털),  9,000원","15:50,  내일을 위한 시간(디지털),  9,000원","17:40,  아메리칸 셰프(디지털),  9,000원","19:50,  마미(디지털),  9,000원",,,,77
2015-01-11,01관,"10:30,  마미(디지털),  6,000원","13:00,  아메리칸 셰프(디지털),  9,000원","15:10,  내일을 위한 시간(디지털),  9,000원","17:00,  아메리칸 셰프(디지털),  9,000원","19:10,  보이후드(디지털),  9,000원",,,,77
2015-01-12,01관,"11:20,  아메리칸 셰프(디지털),  5,000원","13:30,  보이후드(디지털),  8,000원","16:30,  보이후드(디지털),  8,000원","19:30,  보이후드(디지털),  8,000원",,,,,77
2015-01-13,01관,"11:20,  아메리칸 셰프(디지털),  5,000원","13:30,  마미(디지털),  8,000원","16:00,  내일을 위한 시간(디지털),  8,000원","17:50,  아메리칸 셰프(디지털),  8,000원","20:00,  1월 단편 상상극장 – 맛있게 먹겠습니다(디지털),  7,000원",,,,77
2015-01-14,01관,"11:00,  마미(디지털),  5,000원","13:30,  내일을 위한 시간(디지털),  8,000원","15:20,  보이후드(디지털),  8,000원","18:20,  내일을 위한 시간(디지털),  8,000원","20:10,  아메리칸 셰프(디지털),  8,000원",,,,77
2015-01-15,01관,"11:00,  아이 킬드 마이 마더(디지털),  5,000원","12:50,  마미(디지털),  8,000원","15:20,  아메리칸 셰프(디지털),  8,000원","17:30,  마미(디지털),  8,000원","20:00,  아이 킬드 마이 마더(디지털),  8,000원",,,,77
2015-01-16,01관,"11:00,  내일을 위한 시간(디지털),  5,000원","12:50,  보이후드(디지털),  8,000원","15:50,  마미(디지털),  8,000원","18:20,  아이 킬드 마이 마더(디지털),  8,000원","20:10,  아메리칸 셰프(디지털),  8,000원",,,,77
2015-01-17,01관,"11:00,  보이후드(디지털),  6,000원","14:00,  내일을 위한 시간(디지털),  9,000원","15:50,  아메리칸 셰프(디지털),  9,000원","18:00,  아이 킬드 마이 마더(디지털),  9,000원","19:50,  마미(디지털),  9,000원",,,,77
2015-01-18,01관,"11:00,  마미(디지털),  6,000원","13:30,  아이 킬드 마이 마더(디지털),  9,000원","15:20,  아메리칸 셰프(디지털),  9,000원","17:30,  내일을 위한 시간(디지털),  9,000원","19:20,  보이후드(디지털),  9,000원",,,,77
2015-01-19,01관,"11:00,  마미(디지털),  5,000원","13:30,  아이 킬드 마이 마더(디지털),  8,000원","15:20,  보이후드(디지털),  8,000원","18:20,  내일을 위한 시간(디지털),  8,000원","20:10,  아메리칸 셰프(디지털),  8,000원",,,,77
2015-01-20,01관,"11:40,  내일을 위한 시간(디지털),  5,000원","13:30,  마미(디지털),  8,000원","16:00,  아이 킬드 마이 마더(디지털),  8,000원","17:50,  아메리칸 셰프(디지털),  8,000원","20:00,  1월 단편 상상극장 – 맛있게 먹겠습니다(디지털),  7,000원",,,,77
2015-01-21,01관,"11:00,  보이후드(디지털),  5,000원","14:00,  내일을 위한 시간(디지털),  8,000원","15:50,  아메리칸 셰프(디지털),  8,000원","18:00,  아이 킬드 마이 마더(디지털),  8,000원","19:50,  마미(디지털),  8,000원",,,,77
2015-01-22,01관,"11:40,  생각보다 맑은(디지털),  5,000원","13:20,  생각보다 맑은(디지털),  8,000원","15:00,  생각보다 맑은(디지털),  8,000원","16:40,  생각보다 맑은(디지털),  8,000원","18:20,  생각보다 맑은(디지털),  8,000원","20:00,  생각보다 맑은(디지털),  8,000원",,,77
2015-01-23,01관,"11:00,  아메리칸 셰프(디지털),  5,000원","13:10,  보이후드(디지털),  8,000원","16:10,  생각보다 맑은(디지털),  8,000원","17:40,  마미(디지털),  8,000원","20:10,  아이 킬드 마이 마더(디지털),  8,000원",,,,77
2015-01-24,01관,"10:40,  내일을 위한 시간(디지털),  6,000원","12:30,  생각보다 맑은(디지털),  9,000원","14:10,  아메리칸 셰프(디지털),  9,000원","16:20,  내일을 위한 시간(디지털),  9,000원","18:10,  아이 킬드 마이 마더(디지털),  9,000원","20:00,  마미(디지털),  9,000원",,,77
2015-01-25,01관,"11:10,  마미(디지털),  6,000원","13:40,  아이 킬드 마이 마더(디지털),  9,000원","15:30,  내일을 위한 시간(디지털),  9,000원","17:20,  생각보다 맑은(디지털),  9,000원","19:00,  보이후드(디지털),  9,000원",,,,77
2015-01-26,01관,"11:50,  개를 훔치는 완벽한 방법(디지털),  5,000원","14:10,  생각보다 맑은(디지털),  8,000원","15:50,  개를 훔치는 완벽한 방법(디지털),  8,000원","18:00,  생각보다 맑은(디지털),  8,000원","19:40,  개를 훔치는 완벽한 방법(디지털),  8,000원",,,,77
2015-01-27,01관,"11:50,  개를 훔치는 완벽한 방법(디지털),  5,000원","14:00,  개를 훔치는 완벽한 방법(디지털),  8,000원","16:10,  개를 훔치는 완벽한 방법(디지털),  8,000원","18:20,  생각보다 맑은(디지털),  8,000원","20:00,  1월 단편 상상극장 – 맛있게 먹겠습니다(디지털),  7,000원",,,,77
2015-01-28,01관,"11:00,  아메리칸 셰프(디지털),  5,000원","13:10,  개를 훔치는 완벽한 방법(디지털),  8,000원","15:20,  보이후드(디지털),  8,000원","18:20,  생각보다 맑은(디지털),  8,000원","20:00,  내일을 위한 시간(디지털),  8,000원",,,,77
2015-01-30,01관,"10:40,  개를 훔치는 완벽한 방법(디지털),  5,000원","12:40,  생각보다 맑은(디지털),  8,000원","14:10,  내일을 위한 시간(디지털),  8,000원","16:00,  아메리칸 셰프(디지털),  8,000원","18:10,  아이 킬드 마이 마더(디지털),  8,000원","20:00,  마미(디지털),  8,000원",,,77
