상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2015-01-01,01관,"11:00,  하울의 움직이는 성(필름),  6,000원","12:10,  마미(디지털)","14:50,  무드 인디고(디지털),  9,000원","16:40,  내일을 위한 시간(디지털),  9,000원","18:30,  무드 인디고(디지털),  9,000원","20:20,  맵 투 더 스타(디지털),  9,000원",,,,152
2015-01-02,01관,"11:00,  맵 투 더 스타(디지털),  6,000원","13:10,  무드 인디고(디지털),  8,000원","15:00,  액트 오브 킬링(디지털),  8,000원","17:50,  내일을 위한 시간(디지털),  8,000원","19:40,  마미(디지털),  8,000원",,,,,152
2015-01-03,01관,"11:00,  마미(디지털),  6,000원","13:40,  무드 인디고(디지털),  9,000원","15:30,  내일을 위한 시간(디지털),  9,000원","17:20,  맵 투 더 스타(디지털),  9,000원","19:30,  보이후드(디지털),  9,000원",,,,,152
2015-01-04,01관,"11:00,  액트 오브 킬링(디지털),  6,000원","13:50,  맵 투 더 스타(디지털),  9,000원","16:00,  무드 인디고(디지털),  9,000원","17:50,  내일을 위한 시간(디지털),  9,000원","19:40,  마미(디지털),  9,000원",,,,,152
2015-01-05,01관,"11:00,  거인(디지털),  6,000원","13:00,  다이빙벨(디지털),  8,000원","14:30,  파티51(디지털),  8,000원","16:30,  다이빙벨(디지털),  6,000원","18:00,  파티51(디지털),  8,000원","20:00,  거인(디지털),  8,000원",,,,152
2015-01-06,01관,"10:30,  보이후드(디지털),  6,000원","13:30,  맵 투 더 스타(디지털)","15:40,  무드 인디고(디지털),  8,000원","17:30,  마미(디지털),  8,000원","20:10,  내일을 위한 시간(디지털),  8,000원",,,,,152
2015-01-07,01관,"11:00,  마미(디지털),  6,000원","13:40,  하울의 움직이는 성(필름),  8,000원","16:00,  내일을 위한 시간(디지털),  8,000원","17:50,  맵 투 더 스타(디지털),  8,000원","20:00,  무드 인디고(디지털),  8,000원",,,,,152
2015-01-08,01관,"11:00,  내일을 위한 시간(디지털),  6,000원","12:50,  마미(디지털),  8,000원","15:30,  아메리칸 셰프(디지털),  8,000원","17:40,  무드 인디고(디지털),  8,000원","19:30,  나의 사적인 여자친구(디지털),  8,000원",,,,,152
2015-01-09,01관,"10:30,  맵 투 더 스타(디지털),  6,000원","12:40,  무드 인디고(디지털),  8,000원","14:30,  나의 사적인 여자친구(디지털),  8,000원","16:30,  내일을 위한 시간(디지털),  8,000원","18:20,  무드 인디고(디지털),  8,000원","20:10,  아메리칸 셰프(디지털),  8,000원",,,,152
2015-01-10,01관,"11:00,  다이빙벨(디지털),  6,000원",,,,,,,,,152
2015-01-11,01관,"11:00,  나의 사적인 여자친구(디지털),  6,000원","13:00,  내일을 위한 시간(디지털),  9,000원","14:50,  무드 인디고(디지털),  9,000원","16:40,  마미(디지털),  9,000원","19:20,  아메리칸 셰프(디지털),  9,000원",,,,,152
2015-01-12,01관,"10:30,  맵 투 더 스타(디지털),  6,000원","12:40,  아메리칸 셰프(디지털),  8,000원","14:50,  나의 사적인 여자친구(디지털),  8,000원","16:50,  내일을 위한 시간(디지털),  8,000원","18:40,  무드 인디고(디지털),  8,000원","20:30,  마미(디지털),  8,000원",,,,152
2015-01-13,01관,"11:30,  파티51(디지털),  6,000원","13:30,  거인(디지털),  8,000원","15:30,  파티51(디지털),  8,000원","17:30,  거인(디지털),  8,000원","20:00,  미라클 여행기(디지털),  4,000원",,,,,152
2015-01-14,01관,"10:30,  내일을 위한 시간(디지털),  6,000원","12:20,  마미(디지털),  8,000원","14:50,  나의 사적인 여자친구(디지털),  8,000원","16:50,  무드 인디고(디지털),  8,000원","18:40,  맵 투 더 스타(디지털),  8,000원","20:50,  아메리칸 셰프(디지털),  8,000원",,,,152
2015-01-15,01관,"10:30,  나의 사적인 여자친구(디지털),  6,000원","12:30,  아메리칸 셰프(디지털),  8,000원","14:40,  이별까지 7일(디지털),  8,000원","16:50,  미라클 여행기(디지털),  8,000원","18:30,  내일을 위한 시간(디지털),  8,000원","20:20,  미라클 여행기(디지털)",,,,152
2015-01-16,01관,"10:30,  아메리칸 셰프(디지털),  6,000원","12:40,  내일을 위한 시간(디지털),  8,000원","14:30,  나의 사적인 여자친구(디지털),  8,000원","16:30,  무드 인디고(디지털),  8,000원","18:20,  이별까지 7일(디지털),  8,000원","20:30,  미라클 여행기(디지털),  6,000원",,,,152
2015-01-17,01관,"10:30,  나의 사적인 여자친구(디지털),  6,000원","12:30,  하울의 움직이는 성(필름),  9,000원","15:00,  미라클 여행기(디지털),  9,000원","17:40,  무드 인디고(디지털),  9,000원","19:30,  보이후드(디지털),  9,000원",,,,,152
2015-01-18,01관,"10:30,  이별까지 7일(디지털),  6,000원","12:40,  미라클 여행기(디지털),  6,000원","14:20,  아메리칸 셰프(디지털),  9,000원","16:30,  내일을 위한 시간(디지털),  9,000원","18:20,  미라클 여행기(디지털),  7,000원","20:00,  마미(디지털),  9,000원",,,,152
2015-01-19,01관,"11:00,  미라클 여행기(디지털),  6,000원","12:40,  파티51(디지털),  8,000원","14:40,  거인(디지털),  8,000원","16:40,  미라클 여행기(디지털),  8,000원","18:20,  파티51(디지털),  8,000원","20:20,  미라클 여행기(디지털),  6,000원",,,,152
