상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2015-01-01,01관,"10:30,  거인(디지털),  6,000원","12:30,  다이빙벨(디지털),  9,000원","14:00,  내일을 위한 시간(디지털),  9,000원","15:50,  무드 인디고(디지털),  9,000원","17:40,  마미(디지털),  9,000원","20:20,  무드 인디고(디지털),  9,000원",,,,144
2015-01-02,01관,"11:00,  제인 구달(디지털),  6,000원","13:10,  퐁네프의 연인들(디지털),  8,000원","15:30,  마미(디지털),  8,000원","18:10,  무드 인디고(디지털),  8,000원","20:00,  내일을 위한 시간(디지털),  8,000원",,,,,144
2015-01-03,01관,"10:30,  테스(디지털),  6,000원","13:40,  마미(디지털),  9,000원","16:20,  무드 인디고(디지털),  9,000원","18:10,  내일을 위한 시간(디지털),  9,000원","20:00,  퐁네프의 연인들(디지털),  9,000원",,,,,144
2015-01-04,01관,"10:30,  액트 오브 킬링(디지털),  6,000원","13:20,  제인 구달(디지털),  9,000원","15:30,  마미(디지털),  9,000원","18:10,  무드 인디고(디지털),  9,000원","20:00,  보이후드(디지털),  9,000원",,,,,144
2015-01-05,01관,"10:30,  마미(디지털),  6,000원","13:10,  내일을 위한 시간(디지털),  8,000원","15:00,  액트 오브 킬링(디지털),  8,000원","17:50,  무드 인디고(디지털),  8,000원","19:40,  퐁네프의 연인들(디지털),  8,000원",,,,,144
2015-01-06,01관,"10:30,  무드 인디고(디지털),  6,000원","12:20,  마미(디지털),  8,000원","15:00,  내일을 위한 시간(디지털),  8,000원","16:50,  다이빙벨(디지털),  8,000원","18:20,  무드 인디고(디지털),  8,000원","20:10,  거인(디지털),  8,000원",,,,144
2015-01-07,01관,"11:00,  내일을 위한 시간(디지털),  6,000원","12:50,  무드 인디고(디지털),  6,000원","14:40,  퐁네프의 연인들(디지털),  8,000원","17:00,  마미(디지털),  8,000원","19:40,  무드 인디고(디지털),  8,000원",,,,,144
2015-01-08,01관,"11:00,  퐁네프의 연인들(디지털),  6,000원","13:20,  마미(디지털),  8,000원","16:00,  내일을 위한 시간(디지털),  8,000원","17:50,  무드 인디고(디지털),  8,000원","19:40,  아메리칸 셰프(디지털),  8,000원",,,,,144
2015-01-09,01관,"11:00,  무드 인디고(디지털),  6,000원","12:50,  내일을 위한 시간(디지털),  8,000원","14:40,  아메리칸 셰프(디지털),  8,000원","16:50,  마미(디지털),  8,000원","19:50,  미라클 여행기(디지털),  4,000원",,,,,144
2015-01-10,01관,"11:00,  내일을 위한 시간(디지털),  6,000원","16:20,  무드 인디고(디지털),  9,000원","18:10,  아메리칸 셰프(디지털),  9,000원","20:20,  마미(디지털),  9,000원","13:00,  미라클 여행기(디지털),  4,000원","14:40,  미라클 여행기(디지털),  4,000원",,,,144
2015-01-11,01관,"10:30,  액트 오브 킬링(디지털),  6,000원","13:20,  아메리칸 셰프(디지털),  9,000원","15:30,  보이후드(디지털),  9,000원","18:30,  무드 인디고(디지털),  9,000원","20:20,  내일을 위한 시간(디지털),  9,000원",,,,,144
